elevation_m;volume_km3;area_km2
52,82;1060,17;65273
52,72;1054,14;64896
52,7;1052,93;64822
52,86;1063,12;65440
53,12;1081,91;66649
53,16;1085,27;66837
53,22;1088,11;67086
53,19;1087,04;66986
53,16;1084,63;66821
53,28;1093,39;67447
53,4;1101,07;68028
53,29;1093,67;67468
52,97;1071,62;65937
52,63;1046,88;64446
52,49;1039,06;63962
52,3;1027,14;63241
51,87;997,4;61353
51,56;980,59;60046
51,23;960,11;58584
51,28;962,99;58851
51,41;971,3;59358
51,06;949,33;58040
50,55;918,9;57208
50,22;900,67;57049
49,86;878,99;56814
49,01;831,19;55763
48,27;790,39;54599
47,64;754,69;53257
47,05;724,34;52066
46,45;692,62;51443
45,75;656,45;51101
45,19;627,58;50598
44,39;586,33;48126
43,56;546,84;46046
42,76;509,6;45406
41,94;472,57;44066
41,03;432,16;41669
40,2;397,41;39942
39,67;375,69;38988
39,1;353,74;37858
38,24;323;36562
37,56;299;35349
37,2;286;33831
36,95;278;32649
36,6;266;30879
36,6;250;29872
36,11;230;28539
35,48;210;26959
34,8;194;25519
34,24;181;24266
33,8;169;22745
22;50;5000
12;15,4;1507
2,5;4,5;700
-2,5;1,8;400
-12,5;0;0
