# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217100
# River:                 DARYA-YE KUNDUZ
# Station:               KULUKH TEPA
# Country:               AF
# Latitude (DD):       36.983333
# Longitude (DD):      68.3
# Catchment area (km²):      37100.0
# Altitude (m ASL):        320.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965-10 - 1978-09
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4748
# DATA
YYYY-MM-DD;hh:mm; Value
1965-10-01;--:--;     51.500
1965-10-02;--:--;     51.500
1965-10-03;--:--;     53.600
1965-10-04;--:--;     54.600
1965-10-05;--:--;     56.700
1965-10-06;--:--;     57.800
1965-10-07;--:--;     58.800
1965-10-08;--:--;     63.000
1965-10-09;--:--;     65.400
1965-10-10;--:--;     67.800
1965-10-11;--:--;     75.000
1965-10-12;--:--;     78.900
1965-10-13;--:--;     76.300
1965-10-14;--:--;     76.300
1965-10-15;--:--;     77.600
1965-10-16;--:--;     85.100
1965-10-17;--:--;     75.000
1965-10-18;--:--;     72.600
1965-10-19;--:--;     76.300
1965-10-20;--:--;     77.600
1965-10-21;--:--;     77.600
1965-10-22;--:--;     75.000
1965-10-23;--:--;     75.000
1965-10-24;--:--;     75.000
1965-10-25;--:--;     77.600
1965-10-26;--:--;     75.000
1965-10-27;--:--;     71.400
1965-10-28;--:--;     71.400
1965-10-29;--:--;     70.200
1965-10-30;--:--;     71.400
1965-10-31;--:--;     73.800
1965-11-01;--:--;     75.000
1965-11-02;--:--;     75.000
1965-11-03;--:--;     75.000
1965-11-04;--:--;     75.000
1965-11-05;--:--;     75.000
1965-11-06;--:--;     72.600
1965-11-07;--:--;     72.600
1965-11-08;--:--;     77.600
1965-11-09;--:--;     95.000
1965-11-10;--:--;     99.200
1965-11-11;--:--;     97.800
1965-11-12;--:--;     99.200
1965-11-13;--:--;     95.000
1965-11-14;--:--;     95.000
1965-11-15;--:--;     93.600
1965-11-16;--:--;     89.400
1965-11-17;--:--;     92.200
1965-11-18;--:--;     95.000
1965-11-19;--:--;     92.200
1965-11-20;--:--;     95.000
1965-11-21;--:--;     92.200
1965-11-22;--:--;     88.000
1965-11-23;--:--;     89.400
1965-11-24;--:--;     86.700
1965-11-25;--:--;     88.000
1965-11-26;--:--;     86.700
1965-11-27;--:--;     86.700
1965-11-28;--:--;     86.700
1965-11-29;--:--;     84.100
1965-11-30;--:--;     84.100
1965-12-01;--:--;     86.700
1965-12-02;--:--;     85.400
1965-12-03;--:--;     84.100
1965-12-04;--:--;     82.800
1965-12-05;--:--;     84.100
1965-12-06;--:--;     85.400
1965-12-07;--:--;     85.400
1965-12-08;--:--;     89.400
1965-12-09;--:--;     85.400
1965-12-10;--:--;     90.800
1965-12-11;--:--;     85.400
1965-12-12;--:--;     92.200
1965-12-13;--:--;     90.800
1965-12-14;--:--;     93.600
1965-12-15;--:--;     92.200
1965-12-16;--:--;     89.400
1965-12-17;--:--;     85.400
1965-12-18;--:--;     84.100
1965-12-19;--:--;     84.100
1965-12-20;--:--;     84.100
1965-12-21;--:--;     84.100
1965-12-22;--:--;     86.700
1965-12-23;--:--;     85.400
1965-12-24;--:--;     84.100
1965-12-25;--:--;     84.100
1965-12-26;--:--;     82.800
1965-12-27;--:--;     85.400
1965-12-28;--:--;     84.100
1965-12-29;--:--;     84.100
1965-12-30;--:--;     85.400
1965-12-31;--:--;     85.400
1966-01-01;--:--;     85.400
1966-01-02;--:--;     85.400
1966-01-03;--:--;     85.400
1966-01-04;--:--;     82.800
1966-01-05;--:--;     80.200
1966-01-06;--:--;     80.200
1966-01-07;--:--;     78.900
1966-01-08;--:--;     77.600
1966-01-09;--:--;     77.600
1966-01-10;--:--;     75.000
1966-01-11;--:--;     73.800
1966-01-12;--:--;     72.600
1966-01-13;--:--;     75.000
1966-01-14;--:--;     73.800
1966-01-15;--:--;     72.600
1966-01-16;--:--;     72.600
1966-01-17;--:--;     72.600
1966-01-18;--:--;     71.400
1966-01-19;--:--;     70.200
1966-01-20;--:--;     70.200
1966-01-21;--:--;     67.800
1966-01-22;--:--;     66.600
1966-01-23;--:--;     66.600
1966-01-24;--:--;     72.600
1966-01-25;--:--;     71.400
1966-01-26;--:--;     63.000
1966-01-27;--:--;     60.900
1966-01-28;--:--;     58.800
1966-01-29;--:--;     56.700
1966-01-30;--:--;     54.600
1966-01-31;--:--;     55.600
1966-02-01;--:--;     55.600
1966-02-02;--:--;     54.600
1966-02-03;--:--;     58.800
1966-02-04;--:--;     58.800
1966-02-05;--:--;     58.800
1966-02-06;--:--;     57.800
1966-02-07;--:--;     56.700
1966-02-08;--:--;     60.900
1966-02-09;--:--;     62.000
1966-02-10;--:--;     63.000
1966-02-11;--:--;     63.000
1966-02-12;--:--;     60.900
1966-02-13;--:--;     60.900
1966-02-14;--:--;     60.900
1966-02-15;--:--;     59.800
1966-02-16;--:--;     58.800
1966-02-17;--:--;     58.800
1966-02-18;--:--;     56.700
1966-02-19;--:--;     55.600
1966-02-20;--:--;     58.800
1966-02-21;--:--;     57.800
1966-02-22;--:--;     67.800
1966-02-23;--:--;     71.400
1966-02-24;--:--;     72.600
1966-02-25;--:--;     70.200
1966-02-26;--:--;     67.800
1966-02-27;--:--;     70.200
1966-02-28;--:--;     70.200
1966-03-01;--:--;     70.200
1966-03-02;--:--;     66.600
1966-03-03;--:--;     70.200
1966-03-04;--:--;     70.200
1966-03-05;--:--;     85.400
1966-03-06;--:--;     85.400
1966-03-07;--:--;     85.400
1966-03-08;--:--;     81.500
1966-03-09;--:--;     77.600
1966-03-10;--:--;     77.600
1966-03-11;--:--;     73.800
1966-03-12;--:--;     70.200
1966-03-13;--:--;     66.600
1966-03-14;--:--;     66.600
1966-03-15;--:--;     67.800
1966-03-16;--:--;     69.000
1966-03-17;--:--;     88.000
1966-03-18;--:--;     85.400
1966-03-19;--:--;     89.400
1966-03-20;--:--;     90.800
1966-03-21;--:--;     90.800
1966-03-22;--:--;     88.000
1966-03-23;--:--;     93.600
1966-03-24;--:--;     97.800
