# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217101
# River:                 DARYA-YE KUNDUZ
# Station:               CHAR DARA
# Country:               AF
# Latitude (DD):       36.7
# Longitude (DD):      68.833333
# Catchment area (km²):      24820.0
# Altitude (m ASL):        401.0
# Next downstream station:      2217100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-08 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5170
# DATA
YYYY-MM-DD;hh:mm; Value
1964-08-05;--:--;     37.100
1964-08-06;--:--;     34.300
1964-08-07;--:--;     32.900
1964-08-08;--:--;     32.200
1964-08-09;--:--;     32.200
1964-08-10;--:--;     31.500
1964-08-11;--:--;     30.300
1964-08-12;--:--;     30.300
1964-08-13;--:--;     28.500
1964-08-14;--:--;     28.500
1964-08-15;--:--;     27.900
1964-08-16;--:--;     26.100
1964-08-17;--:--;     25.500
1964-08-18;--:--;     25.000
1964-08-19;--:--;     23.800
1964-08-20;--:--;     22.200
1964-08-21;--:--;     20.600
1964-08-22;--:--;     20.000
1964-08-23;--:--;     20.000
1964-08-24;--:--;     20.000
1964-08-25;--:--;     20.600
1964-08-26;--:--;     21.100
1964-08-27;--:--;     21.600
1964-08-28;--:--;     20.600
1964-08-29;--:--;     20.600
1964-08-30;--:--;     20.000
1964-08-31;--:--;     19.200
1964-09-01;--:--;     18.800
1964-09-02;--:--;     18.000
1964-09-03;--:--;     17.600
1964-09-04;--:--;     16.800
1964-09-05;--:--;     15.300
1964-09-06;--:--;     15.000
1964-09-07;--:--;     14.300
1964-09-08;--:--;     13.300
1964-09-09;--:--;     12.900
1964-09-10;--:--;     13.000
1964-09-11;--:--;     13.000
1964-09-12;--:--;     13.000
1964-09-13;--:--;     13.000
1964-09-14;--:--;     14.000
1964-09-15;--:--;     14.000
1964-09-16;--:--;     14.000
1964-09-17;--:--;     14.000
1964-09-18;--:--;     15.000
1964-09-19;--:--;     15.000
1964-09-20;--:--;     15.000
1964-09-21;--:--;     15.000
1964-09-22;--:--;     16.000
1964-09-23;--:--;     16.000
1964-09-24;--:--;     16.000
1964-09-25;--:--;     16.000
1964-09-26;--:--;     16.800
1964-09-27;--:--;     16.800
1964-09-28;--:--;     16.800
1964-09-29;--:--;     18.000
1964-09-30;--:--;     19.200
1964-10-01;--:--;     19.600
1964-10-02;--:--;     19.200
1964-10-03;--:--;     18.800
1964-10-04;--:--;     19.200
1964-10-05;--:--;     19.600
1964-10-06;--:--;     20.000
1964-10-07;--:--;     20.000
1964-10-08;--:--;     19.200
1964-10-09;--:--;     20.000
1964-10-10;--:--;     20.600
1964-10-11;--:--;     20.600
1964-10-12;--:--;     20.000
1964-10-13;--:--;     20.000
1964-10-14;--:--;     20.000
1964-10-15;--:--;     18.000
1964-10-16;--:--;     17.600
1964-10-17;--:--;     18.000
1964-10-18;--:--;     18.000
1964-10-19;--:--;     18.000
1964-10-20;--:--;     18.000
1964-10-21;--:--;     18.000
1964-10-22;--:--;     17.600
1964-10-23;--:--;     17.600
1964-10-24;--:--;     17.600
1964-10-25;--:--;     17.600
1964-10-26;--:--;     17.200
1964-10-27;--:--;     17.200
1964-10-28;--:--;     17.200
1964-10-29;--:--;     16.800
1964-10-30;--:--;     17.200
1964-10-31;--:--;     17.600
1964-11-01;--:--;     18.800
1964-11-02;--:--;     18.800
1964-11-03;--:--;     18.800
1964-11-04;--:--;     18.800
1964-11-05;--:--;     18.800
1964-11-06;--:--;     19.600
1964-11-07;--:--;     19.600
1964-11-08;--:--;     21.100
1964-11-09;--:--;     21.100
1964-11-10;--:--;     21.100
1964-11-11;--:--;     21.100
1964-11-12;--:--;     20.600
1964-11-13;--:--;     21.600
1964-11-14;--:--;     21.600
1964-11-15;--:--;     21.100
1964-11-16;--:--;     21.600
1964-11-17;--:--;     23.300
1964-11-18;--:--;     23.300
1964-11-19;--:--;     25.500
1964-11-20;--:--;     25.500
1964-11-21;--:--;     25.500
1964-11-22;--:--;     25.500
1964-11-23;--:--;     25.500
1964-11-24;--:--;     24.400
1964-11-25;--:--;     25.000
1964-11-26;--:--;     25.000
1964-11-27;--:--;     25.000
1964-11-28;--:--;     25.000
1964-11-29;--:--;     26.700
1964-11-30;--:--;     26.700
1964-12-01;--:--;     29.100
1964-12-02;--:--;     29.100
1964-12-03;--:--;     29.100
1964-12-04;--:--;     29.100
1964-12-05;--:--;     29.700
1964-12-06;--:--;     29.700
1964-12-07;--:--;     29.700
1964-12-08;--:--;     29.100
1964-12-09;--:--;     28.500
1964-12-10;--:--;     28.500
1964-12-11;--:--;     27.900
1964-12-12;--:--;     27.300
1964-12-13;--:--;     26.700
1964-12-14;--:--;     25.500
1964-12-15;--:--;     28.000
1964-12-16;--:--;     28.000
1964-12-17;--:--;     29.000
1964-12-18;--:--;     31.000
1964-12-19;--:--;     31.000
1964-12-20;--:--;     31.000
1964-12-21;--:--;     31.000
1964-12-22;--:--;     31.000
1964-12-23;--:--;     31.000
1964-12-24;--:--;     32.000
1964-12-25;--:--;     32.000
1964-12-26;--:--;     32.000
1964-12-27;--:--;     32.000
1964-12-28;--:--;     32.000
1964-12-29;--:--;     31.000
1964-12-30;--:--;     31.000
1964-12-31;--:--;     31.000
1965-01-01;--:--;     33.000
1965-01-02;--:--;     32.000
1965-01-03;--:--;     31.000
1965-01-04;--:--;     30.000
1965-01-05;--:--;     30.000
1965-01-06;--:--;     30.000
1965-01-07;--:--;     30.000
1965-01-08;--:--;     29.000
1965-01-09;--:--;     29.000
1965-01-10;--:--;     29.000
1965-01-11;--:--;     29.000
1965-01-12;--:--;     28.000
1965-01-13;--:--;     28.000
1965-01-14;--:--;     27.000
1965-01-15;--:--;     27.000
1965-01-16;--:--;     28.000
1965-01-17;--:--;     28.000
1965-01-18;--:--;     30.000
1965-01-19;--:--;     29.000
1965-01-20;--:--;     28.000
1965-01-21;--:--;     28.000
1965-01-22;--:--;     29.000
1965-01-23;--:--;     27.000
1965-01-24;--:--;     27.000
1965-01-25;--:--;     27.000
1965-01-26;--:--;     27.000
1965-01-27;--:--;     27.000
1965-01-28;--:--;     27.000
1965-01-29;--:--;     28.000
1965-01-30;--:--;     28.000
1965-01-31;--:--;     28.000
1965-02-01;--:--;     29.000
1965-02-02;--:--;     30.000
1965-02-03;--:--;     30.000
1965-02-04;--:--;     30.000
1965-02-05;--:--;     29.500
1965-02-06;--:--;     29.000
1965-02-07;--:--;     29.000
1965-02-08;--:--;     27.500
1965-02-09;--:--;     27.000
1965-02-10;--:--;     28.000
1965-02-11;--:--;     28.500
1965-02-12;--:--;     30.000
1965-02-13;--:--;     30.500
1965-02-14;--:--;     29.500
1965-02-15;--:--;     28.000
1965-02-16;--:--;     29.000
1965-02-17;--:--;     29.000
1965-02-18;--:--;     29.000
1965-02-19;--:--;     29.000
1965-02-20;--:--;     29.000
1965-02-21;--:--;     28.000
1965-02-22;--:--;     27.000
1965-02-23;--:--;     28.000
1965-02-24;--:--;     28.000
1965-02-25;--:--;     28.000
1965-02-26;--:--;     28.000
1965-02-27;--:--;     28.000
1965-02-28;--:--;     27.000
1965-03-01;--:--;     27.000
1965-03-02;--:--;     27.000
1965-03-03;--:--;     28.000
1965-03-04;--:--;     27.000
1965-03-05;--:--;     28.000
1965-03-06;--:--;     28.000
1965-03-07;--:--;     28.500
1965-03-08;--:--;     28.500
1965-03-09;--:--;     28.500
1965-03-10;--:--;     28.000
1965-03-11;--:--;     29.000
1965-03-12;--:--;     29.000
1965-03-13;--:--;     28.000
1965-03-14;--:--;     28.000
1965-03-15;--:--;     28.000
1965-03-16;--:--;     28.000
1965-03-17;--:--;     30.000
1965-03-18;--:--;     30.000
1965-03-19;--:--;     30.000
1965-03-20;--:--;     30.000
1965-03-21;--:--;     30.000
1965-03-22;--:--;     30.000
1965-03-23;--:--;     30.000
1965-03-24;--:--;     30.000
1965-03-25;--:--;     30.000
1965-03-26;--:--;     30.000
1965-03-27;--:--;     30.500
1965-03-28;--:--;     31.000
1965-03-29;--:--;     30.000
1965-03-30;--:--;     31.000
1965-03-31;--:--;     31.500
1965-04-01;--:--;     31.500
1965-04-02;--:--;     30.000
1965-04-03;--:--;     29.000
1965-04-04;--:--;     30.000
1965-04-05;--:--;     31.000
1965-04-06;--:--;     33.000
1965-04-07;--:--;     33.000
1965-04-08;--:--;     33.000
1965-04-09;--:--;     33.000
1965-04-10;--:--;     31.500
1965-04-11;--:--;     30.500
1965-04-12;--:--;     30.500
1965-04-13;--:--;     31.000
1965-04-14;--:--;     32.000
1965-04-15;--:--;     31.000
1965-04-16;--:--;     32.000
1965-04-17;--:--;     32.000
1965-04-18;--:--;     32.000
1965-04-19;--:--;     37.000
1965-04-20;--:--;     46.000
1965-04-21;--:--;     55.000
1965-04-22;--:--;     53.000
1965-04-23;--:--;     52.000
1965-04-24;--:--;     55.000
1965-04-25;--:--;     56.000
1965-04-26;--:--;     58.000
1965-04-27;--:--;     50.000
1965-04-28;--:--;     37.800
1965-04-29;--:--;     33.600
1965-04-30;--:--;     30.900
1965-05-01;--:--;     27.300
1965-05-02;--:--;     23.800
1965-05-03;--:--;     20.000
1965-05-04;--:--;     18.000
1965-05-05;--:--;     18.400
1965-05-06;--:--;     24.400
1965-05-07;--:--;     91.800
1965-05-08;--:--;     93.500
1965-05-09;--:--;     77.500
1965-05-10;--:--;     65.200
