# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217102
# River:                 DARYA-YE KUNDUZ
# Station:               BAGHLAN
# Country:               AF
# Latitude (DD):       36.1
# Longitude (DD):      68.666667
# Catchment area (km²):      19740.0
# Altitude (m ASL):        562.0
# Next downstream station:      2217101
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968-04 - 1978-09
# No. of years:          11
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3829
# DATA
YYYY-MM-DD;hh:mm; Value
1968-04-07;--:--;     46.500
1968-04-08;--:--;     46.500
1968-04-09;--:--;     49.900
1968-04-10;--:--;     54.200
1968-04-11;--:--;     50.800
1968-04-12;--:--;     58.000
1968-04-13;--:--;     64.000
1968-04-14;--:--;     62.000
1968-04-15;--:--;     64.000
1968-04-16;--:--;     60.000
1968-04-17;--:--;     56.000
1968-04-18;--:--;     53.300
1968-04-19;--:--;     53.300
1968-04-20;--:--;     52.400
1968-04-21;--:--;     53.300
1968-04-22;--:--;     59.000
1968-04-23;--:--;     65.000
1968-04-24;--:--;     66.000
1968-04-25;--:--;     69.400
1968-04-26;--:--;     71.600
1968-04-27;--:--;     90.400
1968-04-28;--:--;     88.000
1968-04-29;--:--;     89.200
1968-04-30;--:--;     98.800
1968-05-01;--:--;    103.000
1968-05-02;--:--;     97.600
1968-05-03;--:--;    100.000
1968-05-04;--:--;    106.000
1968-05-05;--:--;    114.000
1968-05-06;--:--;    115.000
1968-05-07;--:--;    121.000
1968-05-08;--:--;    118.000
1968-05-09;--:--;    116.000
1968-05-10;--:--;    116.000
1968-05-11;--:--;    120.000
1968-05-12;--:--;    126.000
1968-05-13;--:--;    133.000
1968-05-14;--:--;    139.000
1968-05-15;--:--;    139.000
1968-05-16;--:--;    138.000
1968-05-17;--:--;    145.000
1968-05-18;--:--;    150.000
1968-05-19;--:--;    175.000
1968-05-20;--:--;    214.000
1968-05-21;--:--;    204.000
1968-05-22;--:--;    188.000
1968-05-23;--:--;    180.000
1968-05-24;--:--;    178.000
1968-05-25;--:--;    194.000
1968-05-26;--:--;    202.000
1968-05-27;--:--;    194.000
1968-05-28;--:--;    188.000
1968-05-29;--:--;    218.000
1968-05-30;--:--;    252.000
1968-05-31;--:--;    245.000
1968-06-01;--:--;    258.000
1968-06-02;--:--;    258.000
1968-06-03;--:--;    252.000
1968-06-04;--:--;    285.000
1968-06-05;--:--;    285.000
1968-06-06;--:--;    290.000
1968-06-07;--:--;    341.000
1968-06-08;--:--;    368.000
1968-06-09;--:--;    374.000
1968-06-10;--:--;    410.000
1968-06-11;--:--;    410.000
1968-06-12;--:--;    428.000
1968-06-13;--:--;    425.000
1968-06-14;--:--;    422.000
1968-06-15;--:--;    422.000
1968-06-16;--:--;    419.000
1968-06-17;--:--;    416.000
1968-06-18;--:--;    413.000
1968-06-19;--:--;    413.000
1968-06-20;--:--;    419.000
1968-06-21;--:--;    425.000
1968-06-22;--:--;    444.000
1968-06-23;--:--;    447.000
1968-06-24;--:--;    444.000
1968-06-25;--:--;    444.000
1968-06-26;--:--;    447.000
1968-06-27;--:--;    383.000
1968-06-28;--:--;    335.000
1968-06-29;--:--;    288.000
1968-06-30;--:--;    275.000
1968-07-01;--:--;    305.000
1968-07-02;--:--;    362.000
1968-07-03;--:--;    389.000
1968-07-04;--:--;    395.000
1968-07-05;--:--;    365.000
1968-07-06;--:--;    347.000
1968-07-07;--:--;    341.000
1968-07-08;--:--;    362.000
1968-07-09;--:--;    362.000
1968-07-10;--:--;    335.000
1968-07-11;--:--;    310.000
1968-07-12;--:--;    278.000
1968-07-13;--:--;    265.000
1968-07-14;--:--;    262.000
