# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217103
# River:                 DARYA-YE KUNDUZ
# Station:               PUL-I-KONDA SANG
# Country:               AF
# Latitude (DD):       35.6
# Longitude (DD):      68.6
# Catchment area (km²):      12610.0
# Altitude (m ASL):        899.0
# Next downstream station:      2217102
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 1978-09
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-01;--:--;     22.700
1967-10-02;--:--;     23.500
1967-10-03;--:--;     24.400
1967-10-04;--:--;     24.400
1967-10-05;--:--;     24.400
1967-10-06;--:--;     24.400
1967-10-07;--:--;     24.400
1967-10-08;--:--;     24.400
1967-10-09;--:--;     25.200
1967-10-10;--:--;     25.200
1967-10-11;--:--;     25.200
1967-10-12;--:--;     25.200
1967-10-13;--:--;     25.200
1967-10-14;--:--;     25.200
1967-10-15;--:--;     25.200
1967-10-16;--:--;     28.600
1967-10-17;--:--;     27.800
1967-10-18;--:--;     27.800
1967-10-19;--:--;     25.200
1967-10-20;--:--;     25.200
1967-10-21;--:--;     26.100
1967-10-22;--:--;     26.100
1967-10-23;--:--;     26.100
1967-10-24;--:--;     31.200
1967-10-25;--:--;     28.600
1967-10-26;--:--;     26.900
1967-10-27;--:--;     26.900
1967-10-28;--:--;     26.100
1967-10-29;--:--;     26.100
1967-10-30;--:--;     26.100
1967-10-31;--:--;     26.100
1967-11-01;--:--;     26.100
1967-11-02;--:--;     26.100
1967-11-03;--:--;     26.100
1967-11-04;--:--;     26.100
1967-11-05;--:--;     25.200
1967-11-06;--:--;     25.200
1967-11-07;--:--;     25.200
1967-11-08;--:--;     25.200
1967-11-09;--:--;     24.400
1967-11-10;--:--;     23.500
1967-11-11;--:--;     23.500
1967-11-12;--:--;     23.500
1967-11-13;--:--;     23.500
1967-11-14;--:--;     23.500
1967-11-15;--:--;     23.500
1967-11-16;--:--;     23.500
1967-11-17;--:--;     23.500
1967-11-18;--:--;     23.500
1967-11-19;--:--;     23.500
1967-11-20;--:--;     22.700
1967-11-21;--:--;     22.700
1967-11-22;--:--;     22.700
1967-11-23;--:--;     22.700
1967-11-24;--:--;     22.700
1967-11-25;--:--;     22.700
1967-11-26;--:--;     22.700
1967-11-27;--:--;     26.900
1967-11-28;--:--;     24.400
1967-11-29;--:--;     22.700
1967-11-30;--:--;     22.700
1967-12-01;--:--;     22.000
1967-12-02;--:--;     22.000
1967-12-03;--:--;     22.700
1967-12-04;--:--;     22.700
1967-12-05;--:--;     22.000
1967-12-06;--:--;     22.000
1967-12-07;--:--;     21.200
1967-12-08;--:--;     21.200
1967-12-09;--:--;     21.200
1967-12-10;--:--;     21.200
1967-12-11;--:--;     21.200
1967-12-12;--:--;     22.000
1967-12-13;--:--;     21.200
1967-12-14;--:--;     21.200
1967-12-15;--:--;     21.200
1967-12-16;--:--;     21.200
1967-12-17;--:--;     21.200
1967-12-18;--:--;     22.700
1967-12-19;--:--;     22.000
