# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217104
# River:                 DARYA-YE KUNDUZ
# Station:               DASHT-I-SAFED
# Country:               AF
# Latitude (DD):       35.3
# Longitude (DD):      67.916667
# Catchment area (km²):      3795.0
# Altitude (m ASL):        1588.0
# Next downstream station:      2217103
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 1978-09
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4007
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-12;--:--;      8.330
1967-10-13;--:--;      8.330
1967-10-14;--:--;      8.660
1967-10-15;--:--;      9.320
1967-10-16;--:--;      9.320
1967-10-17;--:--;      9.320
1967-10-18;--:--;      9.320
1967-10-19;--:--;      9.320
1967-10-20;--:--;      9.320
1967-10-21;--:--;      8.990
1967-10-22;--:--;      9.320
1967-10-23;--:--;      8.990
1967-10-24;--:--;      9.320
1967-10-25;--:--;      9.320
1967-10-26;--:--;      9.320
1967-10-27;--:--;      9.320
1967-10-28;--:--;      8.990
1967-10-29;--:--;      8.990
1967-10-30;--:--;      9.320
1967-10-31;--:--;      9.650
1967-11-01;--:--;      8.990
1967-11-02;--:--;      8.660
1967-11-03;--:--;      8.660
1967-11-04;--:--;      8.660
1967-11-05;--:--;      8.660
1967-11-06;--:--;      8.660
1967-11-07;--:--;      8.660
1967-11-08;--:--;      8.330
1967-11-09;--:--;      8.330
1967-11-10;--:--;      8.660
1967-11-11;--:--;      8.660
1967-11-12;--:--;      8.990
1967-11-13;--:--;      8.990
1967-11-14;--:--;      8.990
1967-11-15;--:--;      8.990
1967-11-16;--:--;      8.990
1967-11-17;--:--;      8.990
1967-11-18;--:--;      8.990
1967-11-19;--:--;      8.660
1967-11-20;--:--;      8.990
1967-11-21;--:--;      8.990
1967-11-22;--:--;      8.660
1967-11-23;--:--;      8.660
1967-11-24;--:--;      8.990
1967-11-25;--:--;      8.990
1967-11-26;--:--;      9.320
1967-11-27;--:--;     10.300
1967-11-28;--:--;      9.650
1967-11-29;--:--;      9.650
1967-11-30;--:--;      9.650
1967-12-01;--:--;      9.650
1967-12-02;--:--;      9.650
1967-12-03;--:--;      9.650
1967-12-04;--:--;      9.650
1967-12-05;--:--;      9.650
1967-12-06;--:--;      9.650
1967-12-07;--:--;      9.320
1967-12-08;--:--;      9.320
1967-12-09;--:--;      9.320
1967-12-10;--:--;      9.320
1967-12-11;--:--;      9.320
1967-12-12;--:--;      9.320
1967-12-13;--:--;      9.980
1967-12-14;--:--;      9.980
1967-12-15;--:--;      9.650
1967-12-16;--:--;      9.650
1967-12-17;--:--;      9.980
1967-12-18;--:--;      9.980
1967-12-19;--:--;      9.980
1967-12-20;--:--;      9.980
1967-12-21;--:--;      9.980
1967-12-22;--:--;     10.300
1967-12-23;--:--;     10.300
1967-12-24;--:--;     10.300
1967-12-25;--:--;      9.980
1967-12-26;--:--;      9.980
1967-12-27;--:--;     10.600
1967-12-28;--:--;     10.300
1967-12-29;--:--;     10.300
1967-12-30;--:--;     10.300
1967-12-31;--:--;     10.300
1968-01-01;--:--;     10.300
1968-01-02;--:--;     10.300
1968-01-03;--:--;     10.600
1968-01-04;--:--;     10.600
1968-01-05;--:--;     10.600
1968-01-06;--:--;     10.600
1968-01-07;--:--;     10.300
1968-01-08;--:--;     10.300
1968-01-09;--:--;     10.300
1968-01-10;--:--;     10.300
1968-01-11;--:--;     10.300
1968-01-12;--:--;     10.600
1968-01-13;--:--;     10.600
1968-01-14;--:--;     10.600
1968-01-15;--:--;     10.300
1968-01-16;--:--;     10.300
1968-01-17;--:--;     10.300
1968-01-18;--:--;     10.300
1968-01-19;--:--;     10.600
1968-01-20;--:--;     10.300
1968-01-21;--:--;     10.300
1968-01-22;--:--;     10.600
1968-01-23;--:--;     10.300
1968-01-24;--:--;     10.300
1968-01-25;--:--;     10.600
1968-01-26;--:--;     10.600
1968-01-27;--:--;     10.600
1968-01-28;--:--;     10.600
1968-01-29;--:--;     10.300
1968-01-30;--:--;     10.300
1968-01-31;--:--;     10.300
1968-02-01;--:--;     10.300
1968-02-02;--:--;     10.300
1968-02-03;--:--;     10.300
1968-02-04;--:--;     10.600
1968-02-05;--:--;     10.600
1968-02-06;--:--;     10.300
1968-02-07;--:--;     10.300
1968-02-08;--:--;     10.500
1968-02-09;--:--;     10.500
1968-02-10;--:--;     10.500
1968-02-11;--:--;     10.500
1968-02-12;--:--;     10.500
1968-02-13;--:--;     10.500
1968-02-14;--:--;     10.500
1968-02-15;--:--;     10.500
1968-02-16;--:--;     10.500
1968-02-17;--:--;     10.500
1968-02-18;--:--;     10.500
1968-02-19;--:--;     10.500
1968-02-20;--:--;     10.500
1968-02-21;--:--;     10.500
1968-02-22;--:--;     10.500
1968-02-23;--:--;     10.500
1968-02-24;--:--;     10.500
1968-02-25;--:--;     10.500
1968-02-26;--:--;     10.500
1968-02-27;--:--;     10.500
1968-02-28;--:--;     10.500
1968-02-29;--:--;     10.500
1968-03-01;--:--;     10.000
1968-03-02;--:--;     10.000
1968-03-03;--:--;     10.000
1968-03-04;--:--;     10.000
1968-03-05;--:--;     10.000
1968-03-06;--:--;     10.000
1968-03-07;--:--;     10.000
1968-03-08;--:--;     10.000
1968-03-09;--:--;     10.000
1968-03-10;--:--;     10.000
1968-03-11;--:--;     10.000
1968-03-12;--:--;     10.000
1968-03-13;--:--;     10.000
1968-03-14;--:--;     10.000
1968-03-15;--:--;     10.000
1968-03-16;--:--;     10.000
1968-03-17;--:--;     10.000
1968-03-18;--:--;     10.000
1968-03-19;--:--;     10.000
1968-03-20;--:--;     10.000
1968-03-21;--:--;     10.000
1968-03-22;--:--;     10.000
1968-03-23;--:--;     10.000
1968-03-24;--:--;     10.000
1968-03-25;--:--;     10.000
1968-03-26;--:--;     10.000
1968-03-27;--:--;     10.000
1968-03-28;--:--;     10.000
1968-03-29;--:--;     10.000
1968-03-30;--:--;     10.000
1968-03-31;--:--;     10.000
1968-04-01;--:--;     10.000
1968-04-02;--:--;     10.000
1968-04-03;--:--;     10.000
1968-04-04;--:--;     10.000
1968-04-05;--:--;     10.000
1968-04-06;--:--;     10.000
1968-04-07;--:--;     10.000
1968-04-08;--:--;     10.000
1968-04-09;--:--;     10.000
1968-04-10;--:--;     10.000
1968-04-11;--:--;     10.500
1968-04-12;--:--;     10.500
1968-04-13;--:--;     10.500
1968-04-14;--:--;     10.500
1968-04-15;--:--;     10.500
1968-04-16;--:--;     10.500
1968-04-17;--:--;     10.500
1968-04-18;--:--;     10.500
1968-04-19;--:--;     10.500
1968-04-20;--:--;     10.500
1968-04-21;--:--;     10.600
1968-04-22;--:--;     10.600
1968-04-23;--:--;     10.600
1968-04-24;--:--;     10.600
1968-04-25;--:--;     10.600
1968-04-26;--:--;     10.600
1968-04-27;--:--;     10.600
1968-04-28;--:--;     10.600
1968-04-29;--:--;     10.600
1968-04-30;--:--;     10.600
1968-05-01;--:--;     10.600
1968-05-02;--:--;     10.600
