# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217110
# River:                 DARYACHAH-YE BAMYAN
# Station:               DOAB
# Country:               AF
# Latitude (DD):       35.266667
# Longitude (DD):      67.983333
# Catchment area (km²):      5005.0
# Altitude (m ASL):        1468.0
# Next downstream station:      2217103
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-10 - 1978-09
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4018
# DATA
YYYY-MM-DD;hh:mm; Value
1967-10-01;--:--;      7.000
1967-10-02;--:--;      7.000
1967-10-03;--:--;      7.000
1967-10-04;--:--;      7.000
1967-10-05;--:--;      7.000
1967-10-06;--:--;      6.500
1967-10-07;--:--;      6.500
1967-10-08;--:--;      6.500
1967-10-09;--:--;      6.500
1967-10-10;--:--;      6.770
1967-10-11;--:--;      6.770
1967-10-12;--:--;      6.770
1967-10-13;--:--;      7.030
1967-10-14;--:--;      7.030
1967-10-15;--:--;      7.780
1967-10-16;--:--;      7.780
1967-10-17;--:--;      7.530
1967-10-18;--:--;      7.530
1967-10-19;--:--;      7.530
1967-10-20;--:--;      7.280
1967-10-21;--:--;      7.280
1967-10-22;--:--;      7.280
1967-10-23;--:--;      7.780
1967-10-24;--:--;      8.540
1967-10-25;--:--;      8.290
1967-10-26;--:--;      7.780
1967-10-27;--:--;      7.530
1967-10-28;--:--;      7.280
1967-10-29;--:--;      7.280
1967-10-30;--:--;      7.030
1967-10-31;--:--;      7.030
1967-11-01;--:--;      6.770
1967-11-02;--:--;      6.770
1967-11-03;--:--;      6.770
1967-11-04;--:--;      6.770
1967-11-05;--:--;      6.520
1967-11-06;--:--;      6.770
1967-11-07;--:--;      6.320
1967-11-08;--:--;      6.320
1967-11-09;--:--;      5.940
1967-11-10;--:--;      6.520
1967-11-11;--:--;      6.520
1967-11-12;--:--;      6.520
1967-11-13;--:--;      6.320
1967-11-14;--:--;      6.320
1967-11-15;--:--;      6.770
1967-11-16;--:--;      6.770
1967-11-17;--:--;      6.520
1967-11-18;--:--;      6.520
1967-11-19;--:--;      6.130
1967-11-20;--:--;      5.940
1967-11-21;--:--;      6.320
1967-11-22;--:--;      6.130
1967-11-23;--:--;      5.350
1967-11-24;--:--;      4.760
1967-11-25;--:--;      5.160
1967-11-26;--:--;      5.740
1967-11-27;--:--;      6.520
1967-11-28;--:--;      5.740
1967-11-29;--:--;      4.760
1967-11-30;--:--;      5.350
1967-12-01;--:--;      5.160
1967-12-02;--:--;      4.900
1967-12-03;--:--;      4.900
1967-12-04;--:--;      4.900
1967-12-05;--:--;      4.900
1967-12-06;--:--;      5.450
1967-12-07;--:--;      3.980
1967-12-08;--:--;      4.960
1967-12-09;--:--;      4.960
1967-12-10;--:--;      4.760
1967-12-11;--:--;      4.570
1967-12-12;--:--;      4.420
1967-12-13;--:--;      4.130
1967-12-14;--:--;      4.000
1967-12-15;--:--;      4.000
1967-12-16;--:--;      3.540
1967-12-17;--:--;      5.160
1967-12-18;--:--;      4.760
1967-12-19;--:--;      4.280
1967-12-20;--:--;      4.500
1967-12-21;--:--;      4.500
1967-12-22;--:--;      4.500
1967-12-23;--:--;      4.500
1967-12-24;--:--;      4.500
1967-12-25;--:--;      4.500
1967-12-26;--:--;      4.500
1967-12-27;--:--;      4.500
1967-12-28;--:--;      4.500
1967-12-29;--:--;      4.500
1967-12-30;--:--;      4.500
1967-12-31;--:--;      4.500
1968-01-01;--:--;      4.500
1968-01-02;--:--;      4.500
1968-01-03;--:--;      4.500
1968-01-04;--:--;      4.570
1968-01-05;--:--;      5.160
1968-01-06;--:--;      4.760
1968-01-07;--:--;      4.760
1968-01-08;--:--;      5.160
1968-01-09;--:--;      4.130
1968-01-10;--:--;      4.130
1968-01-11;--:--;      4.130
1968-01-12;--:--;      4.130
1968-01-13;--:--;      4.130
1968-01-14;--:--;      4.130
1968-01-15;--:--;      4.130
1968-01-16;--:--;      4.200
1968-01-17;--:--;      4.200
1968-01-18;--:--;      4.200
1968-01-19;--:--;      4.200
1968-01-20;--:--;      4.200
1968-01-21;--:--;      4.200
1968-01-22;--:--;      4.200
1968-01-23;--:--;      4.200
1968-01-24;--:--;      4.200
1968-01-25;--:--;      4.200
1968-01-26;--:--;      4.300
1968-01-27;--:--;      4.300
1968-01-28;--:--;      4.300
1968-01-29;--:--;      4.300
1968-01-30;--:--;      4.300
1968-01-31;--:--;      4.300
1968-02-01;--:--;      4.400
1968-02-02;--:--;      4.400
1968-02-03;--:--;      4.400
1968-02-04;--:--;      4.400
1968-02-05;--:--;      4.420
1968-02-06;--:--;      4.420
1968-02-07;--:--;      4.960
1968-02-08;--:--;      5.160
1968-02-09;--:--;      5.160
1968-02-10;--:--;      5.160
1968-02-11;--:--;      5.160
1968-02-12;--:--;      5.500
1968-02-13;--:--;      5.500
1968-02-14;--:--;      5.500
1968-02-15;--:--;      5.500
1968-02-16;--:--;      5.000
1968-02-17;--:--;      5.000
1968-02-18;--:--;      5.000
1968-02-19;--:--;      5.000
1968-02-20;--:--;      5.000
1968-02-21;--:--;      5.000
1968-02-22;--:--;      5.000
1968-02-23;--:--;      5.000
1968-02-24;--:--;      5.000
1968-02-25;--:--;      5.000
1968-02-26;--:--;      5.000
1968-02-27;--:--;      5.000
1968-02-28;--:--;      5.000
1968-02-29;--:--;      5.000
1968-03-01;--:--;      4.900
1968-03-02;--:--;      4.900
1968-03-03;--:--;      4.900
1968-03-04;--:--;      4.900
1968-03-05;--:--;      4.900
1968-03-06;--:--;      4.900
1968-03-07;--:--;      4.900
1968-03-08;--:--;      4.900
1968-03-09;--:--;      4.900
1968-03-10;--:--;      4.900
1968-03-11;--:--;      5.000
1968-03-12;--:--;      5.000
1968-03-13;--:--;      5.000
1968-03-14;--:--;      5.000
1968-03-15;--:--;      5.000
1968-03-16;--:--;      5.000
1968-03-17;--:--;      5.000
1968-03-18;--:--;      5.000
1968-03-19;--:--;      5.000
1968-03-20;--:--;      5.000
1968-03-21;--:--;      6.000
1968-03-22;--:--;      6.000
1968-03-23;--:--;      6.000
1968-03-24;--:--;      6.000
1968-03-25;--:--;      6.000
1968-03-26;--:--;      6.000
1968-03-27;--:--;      6.000
1968-03-28;--:--;      6.000
1968-03-29;--:--;      6.000
1968-03-30;--:--;      6.000
1968-03-31;--:--;      6.000
1968-04-01;--:--;      6.500
1968-04-02;--:--;      6.500
1968-04-03;--:--;      6.500
1968-04-04;--:--;      6.500
1968-04-05;--:--;      6.500
1968-04-06;--:--;      8.000
1968-04-07;--:--;      8.000
1968-04-08;--:--;      8.000
1968-04-09;--:--;      8.000
1968-04-10;--:--;      8.000
1968-04-11;--:--;      8.500
1968-04-12;--:--;      8.500
1968-04-13;--:--;      8.500
1968-04-14;--:--;      8.500
1968-04-15;--:--;      8.500
1968-04-16;--:--;      8.500
1968-04-17;--:--;      8.500
1968-04-18;--:--;      8.500
1968-04-19;--:--;      8.500
1968-04-20;--:--;      8.500
1968-04-21;--:--;      9.000
1968-04-22;--:--;      9.000
1968-04-23;--:--;      9.000
1968-04-24;--:--;      9.000
1968-04-25;--:--;      9.000
1968-04-26;--:--;      9.000
1968-04-27;--:--;      9.000
1968-04-28;--:--;      9.000
1968-04-29;--:--;      9.000
1968-04-30;--:--;      9.000
1968-05-01;--:--;      9.500
1968-05-02;--:--;      9.500
1968-05-03;--:--;      9.500
1968-05-04;--:--;      9.500
1968-05-05;--:--;      9.500
1968-05-06;--:--;      9.940
1968-05-07;--:--;      9.640
1968-05-08;--:--;      9.050
1968-05-09;--:--;      8.540
1968-05-10;--:--;      8.040
1968-05-11;--:--;      7.780
1968-05-12;--:--;      6.520
1968-05-13;--:--;      5.940
1968-05-14;--:--;      7.030
1968-05-15;--:--;      7.780
1968-05-16;--:--;      6.770
1968-05-17;--:--;      6.130
1968-05-18;--:--;      8.540
1968-05-19;--:--;      8.800
1968-05-20;--:--;      8.540
1968-05-21;--:--;      7.780
1968-05-22;--:--;     19.800
1968-05-23;--:--;     19.300
1968-05-24;--:--;     19.300
1968-05-25;--:--;     21.700
1968-05-26;--:--;     23.600
1968-05-27;--:--;     23.100
1968-05-28;--:--;     23.600
1968-05-29;--:--;     30.500
1968-05-30;--:--;     45.300
1968-05-31;--:--;     46.900
1968-06-01;--:--;     52.500
1968-06-02;--:--;     52.500
1968-06-03;--:--;     53.400
1968-06-04;--:--;     54.300
1968-06-05;--:--;     54.300
1968-06-06;--:--;     55.200
1968-06-07;--:--;     56.100
1968-06-08;--:--;     57.000
1968-06-09;--:--;     57.000
1968-06-10;--:--;     57.900
1968-06-11;--:--;     58.800
1968-06-12;--:--;     59.700
1968-06-13;--:--;     58.800
1968-06-14;--:--;     59.700
1968-06-15;--:--;     57.000
1968-06-16;--:--;     54.300
1968-06-17;--:--;     53.400
1968-06-18;--:--;     50.900
1968-06-19;--:--;     50.100
1968-06-20;--:--;     48.500
1968-06-21;--:--;     46.100
1968-06-22;--:--;     46.100
1968-06-23;--:--;     45.300
1968-06-24;--:--;     44.500
1968-06-25;--:--;     43.800
1968-06-26;--:--;     45.300
1968-06-27;--:--;     43.800
1968-06-28;--:--;     40.800
1968-06-29;--:--;     36.400
1968-06-30;--:--;     35.700
1968-07-01;--:--;     36.400
1968-07-02;--:--;     38.500
1968-07-03;--:--;     38.500
1968-07-04;--:--;     37.800
1968-07-05;--:--;     37.000
1968-07-06;--:--;     37.800
1968-07-07;--:--;     36.400
1968-07-08;--:--;     37.000
1968-07-09;--:--;     37.000
1968-07-10;--:--;     35.100
1968-07-11;--:--;     33.100
1968-07-12;--:--;     32.400
1968-07-13;--:--;     32.400
1968-07-14;--:--;     31.200
1968-07-15;--:--;     31.200
1968-07-16;--:--;     30.500
1968-07-17;--:--;     30.100
1968-07-18;--:--;     26.500
1968-07-19;--:--;     24.700
1968-07-20;--:--;     21.300
1968-07-21;--:--;     21.300
1968-07-22;--:--;     19.900
1968-07-23;--:--;     18.500
1968-07-24;--:--;     17.800
1968-07-25;--:--;     17.100
1968-07-26;--:--;     16.500
1968-07-27;--:--;     16.000
1968-07-28;--:--;     15.500
1968-07-29;--:--;     15.500
1968-07-30;--:--;     15.500
1968-07-31;--:--;     15.500
1968-08-01;--:--;     14.000
1968-08-02;--:--;     14.000
1968-08-03;--:--;     14.000
1968-08-04;--:--;     14.000
1968-08-05;--:--;     14.400
1968-08-06;--:--;     13.800
1968-08-07;--:--;     13.800
1968-08-08;--:--;     13.800
1968-08-09;--:--;     13.800
1968-08-10;--:--;     13.800
1968-08-11;--:--;     13.300
1968-08-12;--:--;     12.100
1968-08-13;--:--;     12.100
1968-08-14;--:--;     11.500
1968-08-15;--:--;     10.900
1968-08-16;--:--;     10.400
1968-08-17;--:--;      9.780
1968-08-18;--:--;     10.400
1968-08-19;--:--;      9.780
1968-08-20;--:--;      9.780
1968-08-21;--:--;      9.200
1968-08-22;--:--;      9.200
1968-08-23;--:--;      9.780
1968-08-24;--:--;      9.780
1968-08-25;--:--;      9.200
1968-08-26;--:--;      9.200
1968-08-27;--:--;      9.200
1968-08-28;--:--;      9.200
1968-08-29;--:--;      8.790
1968-08-30;--:--;      9.200
1968-08-31;--:--;      9.200
1968-09-01;--:--;      9.000
1968-09-02;--:--;      9.000
1968-09-03;--:--;      9.000
1968-09-04;--:--;      9.000
1968-09-05;--:--;      9.000
1968-09-06;--:--;      9.200
1968-09-07;--:--;      9.200
1968-09-08;--:--;      9.200
1968-09-09;--:--;      9.200
1968-09-10;--:--;      9.200
1968-09-11;--:--;      9.200
1968-09-12;--:--;      9.200
1968-09-13;--:--;      9.780
1968-09-14;--:--;      9.780
1968-09-15;--:--;     10.400
1968-09-16;--:--;     10.900
1968-09-17;--:--;     10.900
1968-09-18;--:--;     11.500
1968-09-19;--:--;     11.500
1968-09-20;--:--;     11.500
1968-09-21;--:--;     11.500
1968-09-22;--:--;     11.500
1968-09-23;--:--;     11.500
1968-09-24;--:--;     11.500
1968-09-25;--:--;     10.900
1968-09-26;--:--;     11.500
1968-09-27;--:--;     11.500
1968-09-28;--:--;     11.500
1968-09-29;--:--;     10.900
1968-09-30;--:--;     10.900
1968-10-01;--:--;     10.400
1968-10-02;--:--;      9.780
1968-10-03;--:--;      9.780
1968-10-04;--:--;      9.200
1968-10-05;--:--;      8.790
1968-10-06;--:--;      8.790
1968-10-07;--:--;      8.790
1968-10-08;--:--;      8.380
1968-10-09;--:--;      8.380
1968-10-10;--:--;      8.380
1968-10-11;--:--;      8.380
1968-10-12;--:--;      7.970
1968-10-13;--:--;      7.970
1968-10-14;--:--;      7.970
1968-10-15;--:--;      7.150
1968-10-16;--:--;      5.510
1968-10-17;--:--;      7.150
1968-10-18;--:--;      7.150
1968-10-19;--:--;      7.150
1968-10-20;--:--;      7.560
1968-10-21;--:--;      6.740
1968-10-22;--:--;      6.330
1968-10-23;--:--;      5.510
1968-10-24;--:--;      5.920
1968-10-25;--:--;      5.920
1968-10-26;--:--;      5.100
1968-10-27;--:--;      5.510
1968-10-28;--:--;      5.920
1968-10-29;--:--;      6.330
1968-10-30;--:--;      6.330
1968-10-31;--:--;      6.330
1968-11-01;--:--;      6.330
1968-11-02;--:--;      6.740
1968-11-03;--:--;      6.740
1968-11-04;--:--;      6.740
1968-11-05;--:--;      6.740
1968-11-06;--:--;      6.740
1968-11-07;--:--;      6.740
1968-11-08;--:--;      7.150
1968-11-09;--:--;      7.150
1968-11-10;--:--;      7.150
1968-11-11;--:--;      7.560
1968-11-12;--:--;      7.560
1968-11-13;--:--;      8.380
1968-11-14;--:--;     12.100
1968-11-15;--:--;     11.500
1968-11-16;--:--;      9.200
1968-11-17;--:--;      9.200
1968-11-18;--:--;      8.380
1968-11-19;--:--;      7.150
1968-11-20;--:--;      5.920
1968-11-21;--:--;      7.970
1968-11-22;--:--;      7.970
1968-11-23;--:--;      6.740
1968-11-24;--:--;      7.560
1968-11-25;--:--;      8.380
1968-11-26;--:--;      7.560
1968-11-27;--:--;      4.600
1968-11-28;--:--;      3.850
1968-11-29;--:--;      3.350
1968-11-30;--:--;      3.350
1968-12-01;--:--;      3.350
1968-12-02;--:--;      3.350
1968-12-03;--:--;      3.350
1968-12-04;--:--;      4.000
1968-12-05;--:--;      4.000
1968-12-06;--:--;      4.000
1968-12-07;--:--;      4.500
1968-12-08;--:--;      4.500
1968-12-09;--:--;      4.500
1968-12-10;--:--;      5.510
1968-12-11;--:--;      5.100
1968-12-12;--:--;      5.100
1968-12-13;--:--;      5.100
1968-12-14;--:--;      5.510
1968-12-15;--:--;      5.510
1968-12-16;--:--;      5.920
1968-12-17;--:--;      5.920
1968-12-18;--:--;      6.330
1968-12-19;--:--;      6.330
1968-12-20;--:--;      6.000
1968-12-21;--:--;      6.000
1968-12-22;--:--;      6.000
1968-12-23;--:--;      6.000
1968-12-24;--:--;      6.000
1968-12-25;--:--;      6.000
1968-12-26;--:--;      5.500
1968-12-27;--:--;      5.500
1968-12-28;--:--;      5.500
1968-12-29;--:--;      5.500
1968-12-30;--:--;      5.500
1968-12-31;--:--;      5.500
1969-01-01;--:--;      5.500
1969-01-02;--:--;      5.500
1969-01-03;--:--;      5.500
1969-01-04;--:--;      5.500
1969-01-05;--:--;      5.500
1969-01-06;--:--;      5.500
1969-01-07;--:--;      5.500
1969-01-08;--:--;      5.500
1969-01-09;--:--;      5.510
1969-01-10;--:--;      5.510
1969-01-11;--:--;      5.510
1969-01-12;--:--;      5.510
1969-01-13;--:--;      5.510
1969-01-14;--:--;      5.510
1969-01-15;--:--;      5.100
1969-01-16;--:--;      5.100
1969-01-17;--:--;      5.100
1969-01-18;--:--;      5.100
1969-01-19;--:--;      5.510
1969-01-20;--:--;      5.920
1969-01-21;--:--;      5.920
1969-01-22;--:--;      5.920
1969-01-23;--:--;      5.510
1969-01-24;--:--;      5.920
1969-01-25;--:--;      5.920
1969-01-26;--:--;      5.920
1969-01-27;--:--;      5.510
1969-01-28;--:--;      5.510
1969-01-29;--:--;      5.510
1969-01-30;--:--;      5.510
1969-01-31;--:--;      5.920
1969-02-01;--:--;      5.920
1969-02-02;--:--;      5.920
1969-02-03;--:--;      5.920
1969-02-04;--:--;      5.920
1969-02-05;--:--;      5.920
1969-02-06;--:--;      5.920
1969-02-07;--:--;      5.920
1969-02-08;--:--;      5.920
