# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217120
# River:                 DARYA-YE ANDARAB
# Station:               DOSHI
# Country:               AF
# Latitude (DD):       35.6
# Longitude (DD):      68.683333
# Catchment area (km²):      3705.0
# Altitude (m ASL):        860.0
# Next downstream station:      2217102
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-10 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5113
# DATA
YYYY-MM-DD;hh:mm; Value
1964-10-01;--:--;     16.500
1964-10-02;--:--;     16.500
1964-10-03;--:--;     16.500
1964-10-04;--:--;     16.500
1964-10-05;--:--;     16.000
1964-10-06;--:--;     16.000
1964-10-07;--:--;     16.000
1964-10-08;--:--;     16.000
1964-10-09;--:--;     16.000
1964-10-10;--:--;     16.000
1964-10-11;--:--;     15.500
1964-10-12;--:--;     15.500
1964-10-13;--:--;     15.500
1964-10-14;--:--;     15.500
1964-10-15;--:--;     15.500
1964-10-16;--:--;     15.000
1964-10-17;--:--;     15.000
1964-10-18;--:--;     15.000
1964-10-19;--:--;     15.000
1964-10-20;--:--;     15.000
1964-10-21;--:--;     14.000
1964-10-22;--:--;     14.000
1964-10-23;--:--;     14.000
1964-10-24;--:--;     14.000
1964-10-25;--:--;     14.000
1964-10-26;--:--;     13.500
1964-10-27;--:--;     13.500
1964-10-28;--:--;     13.500
1964-10-29;--:--;     13.500
1964-10-30;--:--;     13.500
1964-10-31;--:--;     13.500
1964-11-01;--:--;     13.000
1964-11-02;--:--;     13.000
1964-11-03;--:--;     13.000
1964-11-04;--:--;     13.000
1964-11-05;--:--;     13.000
1964-11-06;--:--;     12.500
1964-11-07;--:--;     12.500
1964-11-08;--:--;     12.500
1964-11-09;--:--;     12.500
