# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217130
# River:                 DARYA-YE TALUQAN
# Station:               PUL-I-CHUGHA
# Country:               AF
# Latitude (DD):       36.733333
# Longitude (DD):      69.2
# Catchment area (km²):      9760.0
# Altitude (m ASL):        558.0
# Next downstream station:      2217100
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960-04 - 1978-09
# No. of years:          19
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 6739
# DATA
YYYY-MM-DD;hh:mm; Value
1960-04-19;--:--;     33.700
1960-04-20;--:--;     33.700
1960-04-21;--:--;     33.700
1960-04-22;--:--;     32.100
1960-04-23;--:--;     32.900
1960-04-24;--:--;     38.500
1960-04-25;--:--;     37.700
1960-04-26;--:--;     36.100
1960-04-27;--:--;     32.100
1960-04-28;--:--;     30.500
1960-04-29;--:--;     29.800
1960-04-30;--:--;     29.100
1960-05-01;--:--;     33.700
1960-05-02;--:--;     53.900
1960-05-03;--:--;     60.400
1960-05-04;--:--;     58.200
1960-05-05;--:--;     55.000
1960-05-06;--:--;     58.200
1960-05-07;--:--;     49.600
1960-05-08;--:--;     47.500
1960-05-09;--:--;     46.600
1960-05-10;--:--;     47.500
1960-05-11;--:--;     45.700
1960-05-12;--:--;     46.600
1960-05-13;--:--;     49.600
1960-05-14;--:--;     52.800
1960-05-15;--:--;     58.200
1960-05-16;--:--;     69.000
1960-05-17;--:--;     89.400
1960-05-18;--:--;     69.000
1960-05-19;--:--;     64.700
1960-05-20;--:--;     66.800
1960-05-21;--:--;     72.600
1960-05-22;--:--;     75.000
1960-05-23;--:--;     57.100
1960-05-24;--:--;     58.200
1960-05-25;--:--;     63.600
1960-05-26;--:--;     88.000
1960-05-27;--:--;     72.600
1960-05-28;--:--;     66.800
1960-05-29;--:--;     61.400
1960-05-30;--:--;     61.400
1960-05-31;--:--;     65.800
1960-06-01;--:--;     72.600
1960-06-02;--:--;     77.400
1960-06-03;--:--;     82.400
1960-06-04;--:--;     85.200
1960-06-05;--:--;     93.600
1960-06-06;--:--;     99.500
1960-06-07;--:--;    106.000
1960-06-08;--:--;    106.000
1960-06-09;--:--;    108.000
1960-06-10;--:--;    114.000
1960-06-11;--:--;    120.000
1960-06-12;--:--;    114.000
1960-06-13;--:--;    106.000
1960-06-14;--:--;     93.600
1960-06-15;--:--;     86.600
1960-06-16;--:--;     73.800
1960-06-17;--:--;     72.600
1960-06-18;--:--;     76.200
1960-06-19;--:--;     77.400
1960-06-20;--:--;     85.200
1960-06-21;--:--;     81.000
1960-06-22;--:--;     76.200
1960-06-23;--:--;     78.600
1960-06-24;--:--;     93.600
1960-06-25;--:--;     86.600
1960-06-26;--:--;     86.600
1960-06-27;--:--;     86.600
1960-06-28;--:--;     86.600
1960-06-29;--:--;     86.600
1960-06-30;--:--;     86.600
1960-07-01;--:--;     98.000
1960-07-02;--:--;    101.000
1960-07-03;--:--;    105.000
1960-07-04;--:--;    108.000
1960-07-05;--:--;    113.000
1960-07-06;--:--;    118.000
1960-07-07;--:--;    122.000
1960-07-08;--:--;    128.000
1960-07-09;--:--;    132.000
1960-07-10;--:--;    138.000
1960-07-11;--:--;    142.000
1960-07-12;--:--;    148.000
1960-07-13;--:--;    144.000
1960-07-14;--:--;    140.000
1960-07-15;--:--;    136.000
1960-07-16;--:--;    132.000
1960-07-17;--:--;    129.000
1960-07-18;--:--;    125.000
1960-07-19;--:--;    122.000
1960-07-20;--:--;    119.000
1960-07-21;--:--;    115.000
1960-07-22;--:--;    112.000
1960-07-23;--:--;    110.000
1960-07-24;--:--;    106.000
1960-07-25;--:--;    104.000
1960-07-26;--:--;    101.000
1960-07-27;--:--;     98.000
1960-07-28;--:--;     96.000
1960-07-29;--:--;     93.000
1960-07-30;--:--;     91.000
1960-07-31;--:--;     89.000
1960-08-01;--:--;     87.000
1960-08-02;--:--;     84.000
1960-08-03;--:--;     82.000
1960-08-04;--:--;     80.000
1960-08-05;--:--;     77.000
1960-08-06;--:--;     75.000
1960-08-07;--:--;     73.000
1960-08-08;--:--;     71.000
1960-08-09;--:--;     70.000
1960-08-10;--:--;     68.000
1960-08-11;--:--;     66.000
1960-08-12;--:--;     64.000
1960-08-13;--:--;     62.000
1960-08-14;--:--;     61.000
1960-08-15;--:--;     59.000
1960-08-16;--:--;     58.000
1960-08-17;--:--;     56.000
1960-08-18;--:--;     55.000
1960-08-19;--:--;     53.000
1960-08-20;--:--;     52.000
1960-08-21;--:--;     51.000
1960-08-22;--:--;     49.000
1960-08-23;--:--;     48.000
1960-08-24;--:--;     47.000
1960-08-25;--:--;     46.000
1960-08-26;--:--;     45.000
1960-08-27;--:--;     43.000
1960-08-28;--:--;     42.000
1960-08-29;--:--;     41.000
1960-08-30;--:--;     40.000
1960-08-31;--:--;     39.000
1960-09-01;--:--;     38.000
1960-09-02;--:--;     37.000
1960-09-03;--:--;     36.000
1960-09-04;--:--;     35.000
1960-09-05;--:--;     34.000
1960-09-06;--:--;     33.000
1960-09-07;--:--;     32.000
1960-09-08;--:--;     31.500
1960-09-09;--:--;     30.500
1960-09-10;--:--;     30.000
