# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217200
# River:                 DARYA-YE KOKCHAH
# Station:               KHOJAGAR
# Country:               AF
# Latitude (DD):       37.083333
# Longitude (DD):      69.466667
# Catchment area (km²):      20645.0
# Altitude (m ASL):        446.0
# Next downstream station:      2517950
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-04 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5271
# DATA
YYYY-MM-DD;hh:mm; Value
1964-04-26;--:--;    174.000
1964-04-27;--:--;    152.000
1964-04-28;--:--;    177.000
1964-04-29;--:--;    160.000
1964-04-30;--:--;    157.000
1964-05-01;--:--;    157.000
1964-05-02;--:--;    183.000
1964-05-03;--:--;    370.000
1964-05-04;--:--;    190.000
1964-05-05;--:--;    194.000
1964-05-06;--:--;    183.000
1964-05-07;--:--;    190.000
1964-05-08;--:--;    222.000
1964-05-09;--:--;    226.000
1964-05-10;--:--;    210.000
1964-05-11;--:--;    190.000
1964-05-12;--:--;    187.000
1964-05-13;--:--;    198.000
1964-05-14;--:--;    198.000
1964-05-15;--:--;    214.000
1964-05-16;--:--;    206.000
1964-05-17;--:--;    190.000
1964-05-18;--:--;    180.000
1964-05-19;--:--;    170.000
1964-05-20;--:--;    183.000
1964-05-21;--:--;    198.000
1964-05-22;--:--;    210.000
1964-05-23;--:--;    170.000
1964-05-24;--:--;    152.000
1964-05-25;--:--;    130.000
1964-05-26;--:--;    133.000
1964-05-27;--:--;    154.000
1964-05-28;--:--;    141.000
1964-05-29;--:--;    164.000
1964-05-30;--:--;    198.000
1964-05-31;--:--;    222.000
1964-06-01;--:--;    222.000
1964-06-02;--:--;    218.000
1964-06-03;--:--;    218.000
1964-06-04;--:--;    226.000
1964-06-05;--:--;    210.000
1964-06-06;--:--;    202.000
1964-06-07;--:--;    194.000
1964-06-08;--:--;    202.000
1964-06-09;--:--;    244.000
1964-06-10;--:--;    302.000
1964-06-11;--:--;    376.000
1964-06-12;--:--;    400.000
1964-06-13;--:--;    370.000
1964-06-14;--:--;    406.000
1964-06-15;--:--;    424.000
1964-06-16;--:--;    406.000
1964-06-17;--:--;    454.000
1964-06-18;--:--;    542.000
1964-06-19;--:--;    548.000
1964-06-20;--:--;    536.000
1964-06-21;--:--;    571.000
1964-06-22;--:--;    627.000
1964-06-23;--:--;    647.000
1964-06-24;--:--;    651.000
1964-06-25;--:--;    651.000
1964-06-26;--:--;    647.000
1964-06-27;--:--;    659.000
1964-06-28;--:--;    702.000
1964-06-29;--:--;    730.000
1964-06-30;--:--;    775.000
1964-07-01;--:--;    740.000
1964-07-02;--:--;    745.000
1964-07-03;--:--;    735.000
1964-07-04;--:--;    720.000
1964-07-05;--:--;    663.000
1964-07-06;--:--;    623.000
1964-07-07;--:--;    619.000
1964-07-08;--:--;    611.000
1964-07-09;--:--;    615.000
1964-07-10;--:--;    619.000
1964-07-11;--:--;    615.000
1964-07-12;--:--;    615.000
1964-07-13;--:--;    607.000
1964-07-14;--:--;    583.000
1964-07-15;--:--;    510.000
1964-07-16;--:--;    442.000
1964-07-17;--:--;    376.000
1964-07-18;--:--;    330.000
1964-07-19;--:--;    275.000
1964-07-20;--:--;    244.000
1964-07-21;--:--;    222.000
1964-07-22;--:--;    230.000
1964-07-23;--:--;    239.000
1964-07-24;--:--;    288.000
1964-07-25;--:--;    302.000
1964-07-26;--:--;    320.000
1964-07-27;--:--;    340.000
1964-07-28;--:--;    330.000
1964-07-29;--:--;    306.000
1964-07-30;--:--;    293.000
1964-07-31;--:--;    288.000
1964-08-01;--:--;    284.000
1964-08-02;--:--;    275.000
1964-08-03;--:--;    266.000
1964-08-04;--:--;    275.000
1964-08-05;--:--;    280.000
1964-08-06;--:--;    284.000
1964-08-07;--:--;    288.000
1964-08-08;--:--;    298.000
1964-08-09;--:--;    325.000
1964-08-10;--:--;    345.000
1964-08-11;--:--;    360.000
1964-08-12;--:--;    360.000
1964-08-13;--:--;    360.000
1964-08-14;--:--;    350.000
1964-08-15;--:--;    350.000
1964-08-16;--:--;    365.000
1964-08-17;--:--;    365.000
1964-08-18;--:--;    350.000
1964-08-19;--:--;    340.000
1964-08-20;--:--;    335.000
1964-08-21;--:--;    330.000
1964-08-22;--:--;    330.000
1964-08-23;--:--;    316.000
1964-08-24;--:--;    311.000
1964-08-25;--:--;    302.000
1964-08-26;--:--;    302.000
1964-08-27;--:--;    280.000
1964-08-28;--:--;    271.000
1964-08-29;--:--;    262.000
1964-08-30;--:--;    257.000
1964-08-31;--:--;    257.000
1964-09-01;--:--;    252.000
1964-09-02;--:--;    239.000
1964-09-03;--:--;    234.000
1964-09-04;--:--;    226.000
1964-09-05;--:--;    218.000
1964-09-06;--:--;    214.000
1964-09-07;--:--;    206.000
1964-09-08;--:--;    202.000
1964-09-09;--:--;    198.000
1964-09-10;--:--;    198.000
1964-09-11;--:--;    202.000
1964-09-12;--:--;    202.000
1964-09-13;--:--;    198.000
1964-09-14;--:--;    198.000
1964-09-15;--:--;    202.000
1964-09-16;--:--;    206.000
1964-09-17;--:--;    202.000
1964-09-18;--:--;    198.000
1964-09-19;--:--;    194.000
1964-09-20;--:--;    190.000
1964-09-21;--:--;    187.000
1964-09-22;--:--;    164.000
1964-09-23;--:--;    160.000
1964-09-24;--:--;    149.000
1964-09-25;--:--;    144.000
1964-09-26;--:--;    141.000
1964-09-27;--:--;    135.000
1964-09-28;--:--;    130.000
1964-09-29;--:--;    128.000
1964-09-30;--:--;    118.000
1964-10-01;--:--;    116.000
1964-10-02;--:--;    114.000
1964-10-03;--:--;    116.000
1964-10-04;--:--;    112.000
1964-10-05;--:--;    114.000
1964-10-06;--:--;    114.000
1964-10-07;--:--;    114.000
1964-10-08;--:--;    112.000
1964-10-09;--:--;    114.000
1964-10-10;--:--;    114.000
1964-10-11;--:--;    116.000
1964-10-12;--:--;    116.000
1964-10-13;--:--;    116.000
1964-10-14;--:--;    118.000
1964-10-15;--:--;    121.000
1964-10-16;--:--;    121.000
1964-10-17;--:--;    123.000
1964-10-18;--:--;    121.000
1964-10-19;--:--;    116.000
1964-10-20;--:--;    114.000
1964-10-21;--:--;    109.000
1964-10-22;--:--;    107.000
1964-10-23;--:--;    101.000
1964-10-24;--:--;     98.600
1964-10-25;--:--;     94.400
1964-10-26;--:--;     92.300
1964-10-27;--:--;     90.200
1964-10-28;--:--;     88.100
1964-10-29;--:--;     86.000
1964-10-30;--:--;     84.200
1964-10-31;--:--;     78.800
1964-11-01;--:--;     77.000
1964-11-02;--:--;     75.200
1964-11-03;--:--;     73.400
1964-11-04;--:--;     75.200
1964-11-05;--:--;     75.200
1964-11-06;--:--;     75.200
1964-11-07;--:--;     75.200
1964-11-08;--:--;     71.600
1964-11-09;--:--;     71.600
1964-11-10;--:--;     71.600
1964-11-11;--:--;     73.400
1964-11-12;--:--;     75.200
1964-11-13;--:--;     75.200
1964-11-14;--:--;     75.200
1964-11-15;--:--;     75.200
1964-11-16;--:--;     77.000
1964-11-17;--:--;     75.200
1964-11-18;--:--;     75.200
1964-11-19;--:--;     75.200
1964-11-20;--:--;     75.200
1964-11-21;--:--;     73.400
1964-11-22;--:--;     73.400
1964-11-23;--:--;     73.400
1964-11-24;--:--;     73.400
1964-11-25;--:--;     73.400
1964-11-26;--:--;     73.400
1964-11-27;--:--;     73.400
1964-11-28;--:--;     73.400
1964-11-29;--:--;     73.400
1964-11-30;--:--;     73.400
1964-12-01;--:--;     73.400
1964-12-02;--:--;     69.800
1964-12-03;--:--;     69.800
1964-12-04;--:--;     73.400
1964-12-05;--:--;     73.400
1964-12-06;--:--;     73.400
1964-12-07;--:--;     71.600
1964-12-08;--:--;     69.800
1964-12-09;--:--;     69.800
1964-12-10;--:--;     69.800
1964-12-11;--:--;     66.500
1964-12-12;--:--;     65.000
1964-12-13;--:--;     65.000
1964-12-14;--:--;     66.500
1964-12-15;--:--;     66.500
1964-12-16;--:--;     66.500
1964-12-17;--:--;     66.500
1964-12-18;--:--;     66.500
1964-12-19;--:--;     66.500
1964-12-20;--:--;     66.500
1964-12-21;--:--;     66.500
1964-12-22;--:--;     68.000
1964-12-23;--:--;     66.500
1964-12-24;--:--;     66.500
1964-12-25;--:--;     68.000
1964-12-26;--:--;     68.000
1964-12-27;--:--;     66.500
1964-12-28;--:--;     68.000
1964-12-29;--:--;     66.500
1964-12-30;--:--;     66.500
1964-12-31;--:--;     66.500
