# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217201
# River:                 DARYA-YE KOKCHAH
# Station:               NEAR JURM
# Country:               AF
# Latitude (DD):       36.933333
# Longitude (DD):      70.866667
# Catchment area (km²):      7670.0
# Altitude (m ASL):        1449.0
# Next downstream station:      2217200
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969-10 - 1978-09
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3287
# DATA
YYYY-MM-DD;hh:mm; Value
1969-10-01;--:--;     65.000
1969-10-02;--:--;     65.000
1969-10-03;--:--;     63.300
1969-10-04;--:--;     61.600
1969-10-05;--:--;     60.800
1969-10-06;--:--;     60.800
1969-10-07;--:--;     59.900
1969-10-08;--:--;     59.900
1969-10-09;--:--;     59.900
1969-10-10;--:--;     59.000
1969-10-11;--:--;     58.200
1969-10-12;--:--;     58.200
1969-10-13;--:--;     55.700
1969-10-14;--:--;     53.300
1969-10-15;--:--;     54.100
1969-10-16;--:--;     54.100
1969-10-17;--:--;     52.500
1969-10-18;--:--;     50.900
1969-10-19;--:--;     51.700
1969-10-20;--:--;     50.900
1969-10-21;--:--;     50.100
1969-10-22;--:--;     50.100
1969-10-23;--:--;     53.300
1969-10-24;--:--;     49.300
1969-10-25;--:--;     48.500
1969-10-26;--:--;     47.800
1969-10-27;--:--;     46.200
1969-10-28;--:--;     46.200
1969-10-29;--:--;     47.800
1969-10-30;--:--;     46.200
1969-10-31;--:--;     45.500
1969-11-01;--:--;     44.800
1969-11-02;--:--;     44.000
1969-11-03;--:--;     44.000
1969-11-04;--:--;     43.200
1969-11-05;--:--;     42.500
1969-11-06;--:--;     42.500
1969-11-07;--:--;     42.500
1969-11-08;--:--;     42.500
1969-11-09;--:--;     41.000
1969-11-10;--:--;     41.000
1969-11-11;--:--;     40.300
1969-11-12;--:--;     40.300
1969-11-13;--:--;     40.300
1969-11-14;--:--;     39.600
1969-11-15;--:--;     38.900
1969-11-16;--:--;     38.900
1969-11-17;--:--;     38.200
1969-11-18;--:--;     38.200
1969-11-19;--:--;     36.700
1969-11-20;--:--;     36.000
1969-11-21;--:--;     35.300
1969-11-22;--:--;     34.600
1969-11-23;--:--;     33.900
1969-11-24;--:--;     33.900
1969-11-25;--:--;     33.200
1969-11-26;--:--;     33.200
1969-11-27;--:--;     33.200
1969-11-28;--:--;     33.200
1969-11-29;--:--;     32.500
1969-11-30;--:--;     32.500
1969-12-01;--:--;     32.500
1969-12-02;--:--;     31.100
1969-12-03;--:--;     31.100
1969-12-04;--:--;     31.100
1969-12-05;--:--;     30.400
1969-12-06;--:--;     30.000
1969-12-07;--:--;     30.000
1969-12-08;--:--;     30.000
1969-12-09;--:--;     30.000
1969-12-10;--:--;     30.000
1969-12-11;--:--;     30.000
1969-12-12;--:--;     30.000
1969-12-13;--:--;     30.000
1969-12-14;--:--;     30.000
1969-12-15;--:--;     30.000
1969-12-16;--:--;     30.000
1969-12-17;--:--;     30.000
1969-12-18;--:--;     30.000
1969-12-19;--:--;     30.000
1969-12-20;--:--;     30.000
1969-12-21;--:--;     30.000
1969-12-22;--:--;     30.000
1969-12-23;--:--;     30.000
1969-12-24;--:--;     30.000
1969-12-25;--:--;     30.000
1969-12-26;--:--;     30.000
1969-12-27;--:--;     30.000
1969-12-28;--:--;     30.000
1969-12-29;--:--;     30.000
1969-12-30;--:--;     30.000
1969-12-31;--:--;     30.000
1970-01-01;--:--;     30.000
1970-01-02;--:--;     30.000
1970-01-03;--:--;     30.000
1970-01-04;--:--;     30.000
1970-01-05;--:--;     30.000
1970-01-06;--:--;     29.800
1970-01-07;--:--;     29.800
1970-01-08;--:--;     29.100
1970-01-09;--:--;     29.800
1970-01-10;--:--;     30.400
1970-01-11;--:--;     30.400
1970-01-12;--:--;     30.400
1970-01-13;--:--;     31.100
1970-01-14;--:--;     30.400
1970-01-15;--:--;     30.400
1970-01-16;--:--;     31.100
1970-01-17;--:--;     30.400
1970-01-18;--:--;     31.100
1970-01-19;--:--;     31.100
1970-01-20;--:--;     30.000
1970-01-21;--:--;     30.000
1970-01-22;--:--;     30.000
1970-01-23;--:--;     30.000
1970-01-24;--:--;     30.000
1970-01-25;--:--;     30.000
1970-01-26;--:--;     29.000
1970-01-27;--:--;     29.000
1970-01-28;--:--;     29.000
1970-01-29;--:--;     29.000
1970-01-30;--:--;     29.000
1970-01-31;--:--;     29.000
1970-02-01;--:--;     27.000
1970-02-02;--:--;     27.000
1970-02-03;--:--;     27.000
1970-02-04;--:--;     27.000
1970-02-05;--:--;     27.000
1970-02-06;--:--;     26.000
1970-02-07;--:--;     26.000
1970-02-08;--:--;     26.000
1970-02-09;--:--;     26.000
1970-02-10;--:--;     26.000
1970-02-11;--:--;     26.000
1970-02-12;--:--;     26.000
1970-02-13;--:--;     26.000
1970-02-14;--:--;     26.000
1970-02-15;--:--;     26.000
1970-02-16;--:--;     24.000
1970-02-17;--:--;     24.000
1970-02-18;--:--;     24.000
1970-02-19;--:--;     24.000
1970-02-20;--:--;     24.000
1970-02-21;--:--;     23.000
1970-02-22;--:--;     23.000
1970-02-23;--:--;     23.000
1970-02-24;--:--;     23.000
1970-02-25;--:--;     23.000
1970-02-26;--:--;     21.900
1970-02-27;--:--;     21.900
1970-02-28;--:--;     21.900
1970-03-01;--:--;     21.200
1970-03-02;--:--;     21.900
1970-03-03;--:--;     21.900
1970-03-04;--:--;     21.900
1970-03-05;--:--;     21.900
1970-03-06;--:--;     21.200
1970-03-07;--:--;     21.200
1970-03-08;--:--;     21.200
