# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217210
# River:                 DARYA-YE WARDUJ
# Station:               SHASHPUL
# Country:               AF
# Latitude (DD):       37.016667
# Longitude (DD):      70.833333
# Catchment area (km²):      4485.0
# Altitude (m ASL):        1407.0
# Next downstream station:      2217201
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969-10 - 1978-09
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3287
# DATA
YYYY-MM-DD;hh:mm; Value
1969-10-01;--:--;     51.600
1969-10-02;--:--;     51.000
1969-10-03;--:--;     49.900
1969-10-04;--:--;     48.200
1969-10-05;--:--;     47.600
1969-10-06;--:--;     47.000
1969-10-07;--:--;     46.400
1969-10-08;--:--;     45.900
1969-10-09;--:--;     44.700
1969-10-10;--:--;     44.200
1969-10-11;--:--;     46.400
1969-10-12;--:--;     44.700
1969-10-13;--:--;     44.200
1969-10-14;--:--;     43.600
1969-10-15;--:--;     43.600
1969-10-16;--:--;     43.600
1969-10-17;--:--;     43.000
1969-10-18;--:--;     44.700
1969-10-19;--:--;     43.600
1969-10-20;--:--;     44.200
1969-10-21;--:--;     44.700
1969-10-22;--:--;     52.700
1969-10-23;--:--;     46.400
1969-10-24;--:--;     43.600
1969-10-25;--:--;     41.900
1969-10-26;--:--;     41.300
1969-10-27;--:--;     41.900
1969-10-28;--:--;     43.600
1969-10-29;--:--;     42.400
1969-10-30;--:--;     40.800
1969-10-31;--:--;     40.800
1969-11-01;--:--;     40.200
1969-11-02;--:--;     40.200
1969-11-03;--:--;     39.600
1969-11-04;--:--;     37.900
1969-11-05;--:--;     37.900
1969-11-06;--:--;     37.900
1969-11-07;--:--;     36.200
1969-11-08;--:--;     36.800
1969-11-09;--:--;     34.500
1969-11-10;--:--;     34.000
1969-11-11;--:--;     32.300
1969-11-12;--:--;     30.200
1969-11-13;--:--;     30.200
1969-11-14;--:--;     30.900
1969-11-15;--:--;     30.900
1969-11-16;--:--;     28.000
1969-11-17;--:--;     28.000
1969-11-18;--:--;     26.800
1969-11-19;--:--;     25.200
1969-11-20;--:--;     25.200
1969-11-21;--:--;     25.200
1969-11-22;--:--;     25.200
1969-11-23;--:--;     25.200
1969-11-24;--:--;     25.200
1969-11-25;--:--;     25.200
1969-11-26;--:--;     25.200
1969-11-27;--:--;     25.200
1969-11-28;--:--;     25.200
1969-11-29;--:--;     25.200
1969-11-30;--:--;     25.200
1969-12-01;--:--;     24.000
1969-12-02;--:--;     24.000
1969-12-03;--:--;     24.000
1969-12-04;--:--;     24.000
1969-12-05;--:--;     24.000
1969-12-06;--:--;     24.000
1969-12-07;--:--;     24.000
1969-12-08;--:--;     24.000
1969-12-09;--:--;     24.000
1969-12-10;--:--;     24.000
1969-12-11;--:--;     24.000
1969-12-12;--:--;     24.000
1969-12-13;--:--;     24.000
1969-12-14;--:--;     24.000
1969-12-15;--:--;     24.000
1969-12-16;--:--;     23.000
1969-12-17;--:--;     23.000
1969-12-18;--:--;     23.000
1969-12-19;--:--;     23.000
1969-12-20;--:--;     23.000
1969-12-21;--:--;     23.000
1969-12-22;--:--;     23.000
1969-12-23;--:--;     23.000
1969-12-24;--:--;     23.000
1969-12-25;--:--;     23.000
1969-12-26;--:--;     23.000
1969-12-27;--:--;     23.000
1969-12-28;--:--;     23.000
1969-12-29;--:--;     23.000
1969-12-30;--:--;     23.000
1969-12-31;--:--;     23.000
1970-01-01;--:--;     22.000
1970-01-02;--:--;     22.000
1970-01-03;--:--;     22.000
1970-01-04;--:--;     22.000
1970-01-05;--:--;     22.000
1970-01-06;--:--;     21.200
1970-01-07;--:--;     21.700
1970-01-08;--:--;     24.000
1970-01-09;--:--;     24.000
1970-01-10;--:--;     23.500
1970-01-11;--:--;     24.000
1970-01-12;--:--;     23.500
1970-01-13;--:--;     23.500
1970-01-14;--:--;     23.500
1970-01-15;--:--;     24.000
1970-01-16;--:--;     24.000
1970-01-17;--:--;     24.000
1970-01-18;--:--;     24.000
1970-01-19;--:--;     23.500
1970-01-20;--:--;     23.500
1970-01-21;--:--;     23.500
1970-01-22;--:--;     23.500
1970-01-23;--:--;     23.500
1970-01-24;--:--;     23.500
1970-01-25;--:--;     23.500
1970-01-26;--:--;     23.500
1970-01-27;--:--;     23.500
1970-01-28;--:--;     23.500
1970-01-29;--:--;     23.500
1970-01-30;--:--;     22.400
1970-01-31;--:--;     22.400
1970-02-01;--:--;     22.400
1970-02-02;--:--;     21.700
1970-02-03;--:--;     21.700
1970-02-04;--:--;     21.700
1970-02-05;--:--;     21.700
1970-02-06;--:--;     21.700
1970-02-07;--:--;     21.700
1970-02-08;--:--;     21.700
1970-02-09;--:--;     21.200
1970-02-10;--:--;     21.200
1970-02-11;--:--;     21.200
1970-02-12;--:--;     21.200
1970-02-13;--:--;     21.700
1970-02-14;--:--;     21.700
1970-02-15;--:--;     20.700
1970-02-16;--:--;     20.700
1970-02-17;--:--;     20.700
1970-02-18;--:--;     20.700
1970-02-19;--:--;     20.700
1970-02-20;--:--;     20.700
1970-02-21;--:--;     20.700
1970-02-22;--:--;     20.700
1970-02-23;--:--;     20.100
1970-02-24;--:--;     20.100
1970-02-25;--:--;     20.100
1970-02-26;--:--;     20.000
1970-02-27;--:--;     20.000
1970-02-28;--:--;     20.000
1970-03-01;--:--;     19.500
1970-03-02;--:--;     19.500
1970-03-03;--:--;     19.500
1970-03-04;--:--;     18.900
1970-03-05;--:--;     18.400
1970-03-06;--:--;     18.400
1970-03-07;--:--;     18.400
1970-03-08;--:--;     17.600
1970-03-09;--:--;     17.600
1970-03-10;--:--;     17.600
1970-03-11;--:--;     17.600
1970-03-12;--:--;     17.000
1970-03-13;--:--;     17.000
1970-03-14;--:--;     17.000
1970-03-15;--:--;     16.500
1970-03-16;--:--;     16.500
1970-03-17;--:--;     14.000
1970-03-18;--:--;     14.000
1970-03-19;--:--;     13.500
1970-03-20;--:--;     13.500
1970-03-21;--:--;     13.500
1970-03-22;--:--;     12.200
1970-03-23;--:--;     12.200
1970-03-24;--:--;     13.500
1970-03-25;--:--;     13.500
1970-03-26;--:--;     16.000
1970-03-27;--:--;     16.500
1970-03-28;--:--;     15.300
1970-03-29;--:--;     14.000
1970-03-30;--:--;     14.000
1970-03-31;--:--;     14.000
1970-04-01;--:--;     14.000
1970-04-02;--:--;     12.700
1970-04-03;--:--;     14.000
1970-04-04;--:--;     16.500
1970-04-05;--:--;     17.600
1970-04-06;--:--;     16.500
1970-04-07;--:--;     18.400
1970-04-08;--:--;     18.400
1970-04-09;--:--;     17.600
1970-04-10;--:--;     18.900
1970-04-11;--:--;     18.900
1970-04-12;--:--;     21.700
1970-04-13;--:--;     26.200
1970-04-14;--:--;     29.700
1970-04-15;--:--;     28.600
1970-04-16;--:--;     24.600
1970-04-17;--:--;     22.400
1970-04-18;--:--;     20.000
1970-04-19;--:--;     16.500
1970-04-20;--:--;     16.500
1970-04-21;--:--;     16.000
1970-04-22;--:--;     16.500
1970-04-23;--:--;     21.200
1970-04-24;--:--;     25.700
1970-04-25;--:--;     25.700
1970-04-26;--:--;     30.900
1970-04-27;--:--;     33.400
1970-04-28;--:--;     36.200
1970-04-29;--:--;     29.700
1970-04-30;--:--;     26.800
1970-05-01;--:--;     25.200
1970-05-02;--:--;     24.000
1970-05-03;--:--;     22.400
1970-05-04;--:--;     23.000
1970-05-05;--:--;     26.800
1970-05-06;--:--;     29.700
1970-05-07;--:--;     26.200
1970-05-08;--:--;     28.600
1970-05-09;--:--;     30.200
1970-05-10;--:--;     30.200
1970-05-11;--:--;     28.600
1970-05-12;--:--;     26.800
1970-05-13;--:--;     29.700
1970-05-14;--:--;     29.700
1970-05-15;--:--;     32.900
1970-05-16;--:--;     38.500
1970-05-17;--:--;     46.400
1970-05-18;--:--;     56.700
1970-05-19;--:--;     69.800
1970-05-20;--:--;     91.400
1970-05-21;--:--;     97.200
1970-05-22;--:--;    106.000
1970-05-23;--:--;    107.000
1970-05-24;--:--;    107.000
1970-05-25;--:--;    113.000
1970-05-26;--:--;    104.000
1970-05-27;--:--;     82.500
1970-05-28;--:--;     82.500
1970-05-29;--:--;     96.600
1970-05-30;--:--;    111.000
1970-05-31;--:--;    137.000
1970-06-01;--:--;    165.000
1970-06-02;--:--;    161.000
1970-06-03;--:--;    165.000
1970-06-04;--:--;    152.000
1970-06-05;--:--;    112.000
1970-06-06;--:--;     96.600
1970-06-07;--:--;     92.100
1970-06-08;--:--;     92.700
1970-06-09;--:--;    113.000
1970-06-10;--:--;    137.000
1970-06-11;--:--;    146.000
1970-06-12;--:--;    167.000
1970-06-13;--:--;    144.000
1970-06-14;--:--;    137.000
1970-06-15;--:--;     97.800
1970-06-16;--:--;     79.300
1970-06-17;--:--;     88.200
1970-06-18;--:--;     85.000
1970-06-19;--:--;     94.600
