# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217401
# River:                 SHIRIN TAGAW
# Station:               KHISHT PUL
# Country:               AF
# Latitude (DD):       35.95
# Longitude (DD):      64.9
# Catchment area (km²):      3280.0
# Altitude (m ASL):        769.0
# Next downstream station:      2218400
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966-01 - 1978-09
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 4656
# DATA
YYYY-MM-DD;hh:mm; Value
1966-01-01;--:--;      2.940
1966-01-02;--:--;      2.750
1966-01-03;--:--;      2.750
1966-01-04;--:--;      3.130
1966-01-05;--:--;      3.130
1966-01-06;--:--;      2.940
1966-01-07;--:--;      2.940
1966-01-08;--:--;      2.940
1966-01-09;--:--;      3.130
1966-01-10;--:--;      3.340
1966-01-11;--:--;      3.340
1966-01-12;--:--;      3.340
1966-01-13;--:--;      3.340
1966-01-14;--:--;      3.540
1966-01-15;--:--;      3.540
1966-01-16;--:--;      3.540
1966-01-17;--:--;      3.540
1966-01-18;--:--;      3.750
1966-01-19;--:--;      3.750
1966-01-20;--:--;      3.750
1966-01-21;--:--;      3.750
1966-01-22;--:--;      3.750
1966-01-23;--:--;      3.750
1966-01-24;--:--;      3.540
1966-01-25;--:--;      3.540
1966-01-26;--:--;      3.750
1966-01-27;--:--;      3.750
1966-01-28;--:--;      3.750
1966-01-29;--:--;      3.750
1966-01-30;--:--;      3.750
1966-01-31;--:--;      3.750
1966-02-01;--:--;      3.750
1966-02-02;--:--;      3.750
1966-02-03;--:--;      3.960
1966-02-04;--:--;      3.750
1966-02-05;--:--;      3.960
1966-02-06;--:--;      5.200
1966-02-07;--:--;      4.370
1966-02-08;--:--;      4.160
1966-02-09;--:--;      4.160
1966-02-10;--:--;      4.160
1966-02-11;--:--;      4.160
1966-02-12;--:--;      4.160
1966-02-13;--:--;      4.160
1966-02-14;--:--;      4.160
1966-02-15;--:--;      3.960
1966-02-16;--:--;      3.960
1966-02-17;--:--;      3.960
1966-02-18;--:--;      3.960
1966-02-19;--:--;      3.960
1966-02-20;--:--;      4.580
1966-02-21;--:--;      4.580
1966-02-22;--:--;      4.580
1966-02-23;--:--;      4.580
1966-02-24;--:--;      4.370
1966-02-25;--:--;      4.370
1966-02-26;--:--;      4.370
1966-02-27;--:--;      4.160
1966-02-28;--:--;      4.160
1966-03-01;--:--;      4.580
1966-03-02;--:--;      4.580
1966-03-03;--:--;      4.580
1966-03-04;--:--;      4.580
1966-03-05;--:--;      4.580
1966-03-06;--:--;      4.790
1966-03-07;--:--;      4.790
1966-03-08;--:--;      4.580
1966-03-09;--:--;      4.790
1966-03-10;--:--;      4.580
1966-03-11;--:--;      4.580
1966-03-12;--:--;      4.580
1966-03-13;--:--;      4.580
1966-03-14;--:--;      4.580
1966-03-15;--:--;      4.790
1966-03-16;--:--;      4.790
