# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217410
# River:                 MAIMANAH
# Station:               NEAR PATA BABA
# Country:               AF
# Latitude (DD):       36.533333
# Longitude (DD):      64.883333
# Catchment area (km²):      6685.0
# Altitude (m ASL):        381.0
# Next downstream station:      2218400
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967-11 - 1972-09
# No. of years:          6
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 1786
# DATA
YYYY-MM-DD;hh:mm; Value
1967-11-11;--:--;      0.460
1967-11-12;--:--;      0.460
1967-11-13;--:--;      0.390
1967-11-14;--:--;      0.390
1967-11-15;--:--;      0.460
1967-11-16;--:--;      0.460
1967-11-17;--:--;      0.460
1967-11-18;--:--;      0.620
1967-11-19;--:--;      0.730
1967-11-20;--:--;      0.620
1967-11-21;--:--;      0.490
1967-11-22;--:--;      0.490
1967-11-23;--:--;      0.490
1967-11-24;--:--;      0.460
1967-11-25;--:--;      0.460
1967-11-26;--:--;      0.390
1967-11-27;--:--;      0.390
1967-11-28;--:--;      6.140
1967-11-29;--:--;      2.480
1967-11-30;--:--;      2.580
1967-12-01;--:--;      1.130
1967-12-02;--:--;      0.490
1967-12-03;--:--;      0.460
1967-12-04;--:--;      0.460
1967-12-05;--:--;      0.250
1967-12-06;--:--;      0.220
1967-12-07;--:--;      0.160
1967-12-08;--:--;      0.150
1967-12-09;--:--;      0.130
1967-12-10;--:--;      0.160
1967-12-11;--:--;      0.070
1967-12-12;--:--;      0.070
1967-12-13;--:--;      0.250
1967-12-14;--:--;      0.280
1967-12-15;--:--;      0.250
1967-12-16;--:--;      0.120
1967-12-17;--:--;      0.100
1967-12-18;--:--;      0.040
1967-12-19;--:--;      0.010
1967-12-20;--:--;      0.010
1967-12-21;--:--;      0.010
1967-12-22;--:--;      0.010
1967-12-23;--:--;      0.010
1967-12-24;--:--;      0.010
1967-12-25;--:--;      0.000
1967-12-26;--:--;      0.000
1967-12-27;--:--;      0.000
1967-12-28;--:--;      0.000
1967-12-29;--:--;      0.000
1967-12-30;--:--;      0.010
1967-12-31;--:--;      0.000
1968-01-01;--:--;      0.000
1968-01-02;--:--;      0.010
1968-01-03;--:--;      0.000
1968-01-04;--:--;      0.000
1968-01-05;--:--;      0.000
1968-01-06;--:--;      0.000
1968-01-07;--:--;      0.000
1968-01-08;--:--;      0.000
1968-01-09;--:--;      0.010
1968-01-10;--:--;      0.000
1968-01-11;--:--;      0.000
1968-01-12;--:--;      0.000
1968-01-13;--:--;      0.000
1968-01-14;--:--;      0.000
1968-01-15;--:--;      0.000
1968-01-16;--:--;      0.000
1968-01-17;--:--;      0.000
1968-01-18;--:--;      0.000
1968-01-19;--:--;      0.010
1968-01-20;--:--;      0.010
1968-01-21;--:--;      0.000
1968-01-22;--:--;      0.020
1968-01-23;--:--;      0.010
1968-01-24;--:--;      0.390
1968-01-25;--:--;      0.490
1968-01-26;--:--;      0.530
1968-01-27;--:--;      0.020
1968-01-28;--:--;      1.290
1968-01-29;--:--;      0.560
1968-01-30;--:--;      0.460
1968-01-31;--:--;      0.220
1968-02-01;--:--;      0.030
1968-02-02;--:--;      0.010
1968-02-03;--:--;      0.730
1968-02-04;--:--;      0.250
1968-02-05;--:--;      0.200
1968-02-06;--:--;      0.100
1968-02-07;--:--;      0.200
1968-02-08;--:--;      0.200
1968-02-09;--:--;      0.560
1968-02-10;--:--;      0.420
1968-02-11;--:--;      0.560
1968-02-12;--:--;      0.520
1968-02-13;--:--;      0.460
1968-02-14;--:--;      0.390
1968-02-15;--:--;      0.390
1968-02-16;--:--;      0.390
1968-02-17;--:--;      0.530
1968-02-18;--:--;      0.460
1968-02-19;--:--;      0.350
1968-02-20;--:--;      0.220
1968-02-21;--:--;      0.220
1968-02-22;--:--;      0.200
1968-02-23;--:--;      0.200
1968-02-24;--:--;      0.200
1968-02-25;--:--;      0.200
1968-02-26;--:--;      0.200
1968-02-27;--:--;      0.130
1968-02-28;--:--;      0.120
1968-02-29;--:--;      0.120
1968-03-01;--:--;      0.130
1968-03-02;--:--;      0.100
1968-03-03;--:--;      0.120
1968-03-04;--:--;      0.100
1968-03-05;--:--;      0.100
1968-03-06;--:--;      0.150
1968-03-07;--:--;      0.150
1968-03-08;--:--;      0.150
1968-03-09;--:--;      0.150
1968-03-10;--:--;      0.050
1968-03-11;--:--;      0.200
1968-03-12;--:--;      0.490
1968-03-13;--:--;      1.020
1968-03-14;--:--;      0.790
1968-03-15;--:--;      0.840
1968-03-16;--:--;      0.900
1968-03-17;--:--;      0.840
1968-03-18;--:--;      1.700
1968-03-19;--:--;      2.060
1968-03-20;--:--;      2.160
1968-03-21;--:--;      1.950
1968-03-22;--:--;      1.380
1968-03-23;--:--;      1.290
1968-03-24;--:--;      0.790
1968-03-25;--:--;      0.520
1968-03-26;--:--;      0.790
1968-03-27;--:--;      0.730
1968-03-28;--:--;      0.730
1968-03-29;--:--;      0.670
1968-03-30;--:--;      0.620
1968-03-31;--:--;      0.790
1968-04-01;--:--;      0.460
1968-04-02;--:--;      0.460
1968-04-03;--:--;      0.220
1968-04-04;--:--;      0.320
1968-04-05;--:--;      0.070
1968-04-06;--:--;      0.250
1968-04-07;--:--;      2.480
1968-04-08;--:--;      2.160
1968-04-09;--:--;      1.380
1968-04-10;--:--;      0.900
1968-04-11;--:--;      0.670
1968-04-12;--:--;      0.490
1968-04-13;--:--;      0.350
1968-04-14;--:--;      0.180
1968-04-15;--:--;      0.180
1968-04-16;--:--;      0.320
1968-04-17;--:--;      0.250
1968-04-18;--:--;      0.200
1968-04-19;--:--;      0.120
1968-04-20;--:--;      0.100
1968-04-21;--:--;      0.020
1968-04-22;--:--;      0.320
1968-04-23;--:--;      1.380
1968-04-24;--:--;      1.540
1968-04-25;--:--;      0.960
1968-04-26;--:--;      3.000
1968-04-27;--:--;     31.000
1968-04-28;--:--;     30.700
1968-04-29;--:--;     11.900
1968-04-30;--:--;     12.800
1968-05-01;--:--;     12.100
1968-05-02;--:--;      9.400
1968-05-03;--:--;      7.160
1968-05-04;--:--;      7.690
1968-05-05;--:--;      8.070
1968-05-06;--:--;      6.480
1968-05-07;--:--;      7.160
1968-05-08;--:--;      5.500
1968-05-09;--:--;      4.600
1968-05-10;--:--;      4.100
1968-05-11;--:--;      3.000
1968-05-12;--:--;      2.000
1968-05-13;--:--;      1.600
1968-05-14;--:--;      1.520
1968-05-15;--:--;      1.440
1968-05-16;--:--;      1.200
1968-05-17;--:--;      0.850
1968-05-18;--:--;      0.670
1968-05-19;--:--;      4.870
1968-05-20;--:--;      8.700
1968-05-21;--:--;     11.900
1968-05-22;--:--;      5.300
1968-05-23;--:--;      2.900
1968-05-24;--:--;      1.760
1968-05-25;--:--;      1.600
1968-05-26;--:--;      4.220
1968-05-27;--:--;      3.110
1968-05-28;--:--;      1.840
1968-05-29;--:--;      1.360
1968-05-30;--:--;      0.790
1968-05-31;--:--;      0.530
1968-06-01;--:--;      0.340
1968-06-02;--:--;      0.300
1968-06-03;--:--;      0.300
1968-06-04;--:--;      0.260
1968-06-05;--:--;      0.220
1968-06-06;--:--;      0.210
1968-06-07;--:--;      0.210
1968-06-08;--:--;      0.210
1968-06-09;--:--;      0.210
1968-06-10;--:--;      0.190
1968-06-11;--:--;      0.150
1968-06-12;--:--;      0.130
1968-06-13;--:--;      0.170
1968-06-14;--:--;      0.130
1968-06-15;--:--;      0.100
1968-06-16;--:--;      0.170
1968-06-17;--:--;      0.170
1968-06-18;--:--;      0.100
1968-06-19;--:--;      0.030
1968-06-20;--:--;      0.060
1968-06-21;--:--;      0.010
1968-06-22;--:--;      0.210
1968-06-23;--:--;      0.170
1968-06-24;--:--;      0.130
1968-06-25;--:--;      0.130
1968-06-26;--:--;      0.130
1968-06-27;--:--;      0.100
1968-06-28;--:--;      0.100
1968-06-29;--:--;      0.120
1968-06-30;--:--;      0.100
1968-07-01;--:--;      0.120
1968-07-02;--:--;      0.130
1968-07-03;--:--;      0.130
1968-07-04;--:--;      0.120
1968-07-05;--:--;      0.130
1968-07-06;--:--;      0.030
1968-07-07;--:--;      0.020
1968-07-08;--:--;      0.060
1968-07-09;--:--;      0.030
1968-07-10;--:--;      0.030
1968-07-11;--:--;      0.030
1968-07-12;--:--;      0.030
1968-07-13;--:--;      0.030
1968-07-14;--:--;      0.030
1968-07-15;--:--;      0.020
1968-07-16;--:--;      0.020
