# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217450
# River:                 BALKH
# Station:               RABAT-I-BALA
# Country:               AF
# Latitude (DD):       36.583333
# Longitude (DD):      66.966667
# Catchment area (km²):      18035.0
# Altitude (m ASL):        432.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-04 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5296
# DATA
YYYY-MM-DD;hh:mm; Value
1964-04-01;--:--;     60.000
1964-04-02;--:--;     60.000
1964-04-03;--:--;     58.000
1964-04-04;--:--;     60.000
1964-04-05;--:--;     56.300
1964-04-06;--:--;     56.300
1964-04-07;--:--;     56.300
1964-04-08;--:--;     56.300
1964-04-09;--:--;     56.300
1964-04-10;--:--;     56.300
1964-04-11;--:--;     61.000
1964-04-12;--:--;     63.000
1964-04-13;--:--;     61.000
1964-04-14;--:--;     59.000
1964-04-15;--:--;     59.000
1964-04-16;--:--;     63.000
1964-04-17;--:--;     72.000
1964-04-18;--:--;     66.000
1964-04-19;--:--;     61.000
1964-04-20;--:--;     65.000
1964-04-21;--:--;     74.000
1964-04-22;--:--;     73.000
1964-04-23;--:--;     70.000
1964-04-24;--:--;     72.000
1964-04-25;--:--;     74.000
1964-04-26;--:--;     87.600
1964-04-27;--:--;     85.200
1964-04-28;--:--;     81.600
1964-04-29;--:--;     80.400
1964-04-30;--:--;     80.400
1964-05-01;--:--;     85.200
1964-05-02;--:--;     94.200
1964-05-03;--:--;    108.000
1964-05-04;--:--;    105.000
1964-05-05;--:--;    103.000
1964-05-06;--:--;     98.400
1964-05-07;--:--;    103.000
1964-05-08;--:--;    111.000
1964-05-09;--:--;    111.000
1964-05-10;--:--;    111.000
1964-05-11;--:--;    124.000
1964-05-12;--:--;    134.000
1964-05-13;--:--;    145.000
1964-05-14;--:--;    148.000
1964-05-15;--:--;    148.000
1964-05-16;--:--;    145.000
1964-05-17;--:--;    145.000
1964-05-18;--:--;    145.000
1964-05-19;--:--;    150.000
1964-05-20;--:--;    152.000
1964-05-21;--:--;    150.000
1964-05-22;--:--;    147.000
1964-05-23;--:--;    143.000
1964-05-24;--:--;    132.000
1964-05-25;--:--;    117.000
1964-05-26;--:--;    128.000
1964-05-27;--:--;    129.000
1964-05-28;--:--;    136.000
1964-05-29;--:--;    136.000
1964-05-30;--:--;    134.000
1964-05-31;--:--;    136.000
1964-06-01;--:--;    128.000
1964-06-02;--:--;    120.000
1964-06-03;--:--;    121.000
1964-06-04;--:--;    120.000
1964-06-05;--:--;    112.000
1964-06-06;--:--;    117.000
1964-06-07;--:--;    118.000
1964-06-08;--:--;    120.000
1964-06-09;--:--;    120.000
1964-06-10;--:--;    110.000
1964-06-11;--:--;    115.000
1964-06-12;--:--;    120.000
1964-06-13;--:--;    101.000
1964-06-14;--:--;     98.400
1964-06-15;--:--;     92.800
1964-06-16;--:--;     88.800
1964-06-17;--:--;     85.200
1964-06-18;--:--;     81.600
1964-06-19;--:--;     81.600
1964-06-20;--:--;     84.000
1964-06-21;--:--;     86.400
1964-06-22;--:--;     85.200
1964-06-23;--:--;     84.000
1964-06-24;--:--;     85.200
1964-06-25;--:--;     82.800
1964-06-26;--:--;     76.000
1964-06-27;--:--;     73.000
1964-06-28;--:--;     71.000
1964-06-29;--:--;     70.000
1964-06-30;--:--;     67.000
1964-07-01;--:--;     66.000
1964-07-02;--:--;     66.000
1964-07-03;--:--;     63.000
1964-07-04;--:--;     61.000
1964-07-05;--:--;     59.000
1964-07-06;--:--;     55.400
1964-07-07;--:--;     53.800
