# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217451
# River:                 BALKH
# Station:               NEAR NAYAK
# Country:               AF
# Latitude (DD):       34.75
# Longitude (DD):      67.0
# Catchment area (km²):      1460.0
# Altitude (m ASL):        2580.0
# Next downstream station:      2218450
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969-01 - 1978-09
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3546
# DATA
YYYY-MM-DD;hh:mm; Value
1969-01-15;--:--;      1.890
1969-01-16;--:--;      1.890
1969-01-17;--:--;      1.890
1969-01-18;--:--;      1.890
1969-01-19;--:--;      1.890
1969-01-20;--:--;      1.890
1969-01-21;--:--;      1.890
1969-01-22;--:--;      1.890
1969-01-23;--:--;      1.890
1969-01-24;--:--;      1.890
1969-01-25;--:--;      1.890
1969-01-26;--:--;      1.890
1969-01-27;--:--;      1.890
1969-01-28;--:--;      1.890
1969-01-29;--:--;      1.890
1969-01-30;--:--;      1.890
1969-01-31;--:--;      1.890
1969-02-01;--:--;      1.890
1969-02-02;--:--;      1.890
1969-02-03;--:--;      1.890
1969-02-04;--:--;      1.890
1969-02-05;--:--;      1.890
1969-02-06;--:--;      1.890
1969-02-07;--:--;      1.890
1969-02-08;--:--;      1.890
1969-02-09;--:--;      2.020
1969-02-10;--:--;      2.020
1969-02-11;--:--;      2.020
1969-02-12;--:--;      2.020
1969-02-13;--:--;      2.020
1969-02-14;--:--;      2.020
1969-02-15;--:--;      2.020
1969-02-16;--:--;      2.020
1969-02-17;--:--;      2.020
1969-02-18;--:--;      2.020
1969-02-19;--:--;      2.020
1969-02-20;--:--;      2.020
1969-02-21;--:--;      2.020
1969-02-22;--:--;      2.020
1969-02-23;--:--;      2.020
1969-02-24;--:--;      2.020
1969-02-25;--:--;      2.020
1969-02-26;--:--;      2.020
1969-02-27;--:--;      2.150
1969-02-28;--:--;      2.150
1969-03-01;--:--;      2.150
1969-03-02;--:--;      2.150
1969-03-03;--:--;      2.150
1969-03-04;--:--;      2.150
1969-03-05;--:--;      2.280
1969-03-06;--:--;      2.280
1969-03-07;--:--;      2.280
1969-03-08;--:--;      2.150
1969-03-09;--:--;      2.410
1969-03-10;--:--;      2.410
1969-03-11;--:--;      2.410
1969-03-12;--:--;      2.540
1969-03-13;--:--;      2.540
1969-03-14;--:--;      2.540
1969-03-15;--:--;      2.670
1969-03-16;--:--;      2.670
1969-03-17;--:--;      2.670
1969-03-18;--:--;      2.670
1969-03-19;--:--;      2.670
1969-03-20;--:--;      2.800
1969-03-21;--:--;      2.800
1969-03-22;--:--;      2.800
1969-03-23;--:--;      2.960
1969-03-24;--:--;      2.980
1969-03-25;--:--;      3.170
1969-03-26;--:--;      3.170
1969-03-27;--:--;      3.170
1969-03-28;--:--;      3.360
1969-03-29;--:--;      3.360
1969-03-30;--:--;      3.540
1969-03-31;--:--;      3.720
1969-04-01;--:--;      3.720
1969-04-02;--:--;      3.910
1969-04-03;--:--;      4.090
1969-04-04;--:--;      4.090
1969-04-05;--:--;      4.280
1969-04-06;--:--;      4.460
1969-04-07;--:--;      4.650
1969-04-08;--:--;      5.160
1969-04-09;--:--;      5.410
1969-04-10;--:--;      5.920
1969-04-11;--:--;      6.420
1969-04-12;--:--;      6.930
1969-04-13;--:--;      7.180
1969-04-14;--:--;      7.800
1969-04-15;--:--;      8.120
1969-04-16;--:--;      8.430
1969-04-17;--:--;      8.740
1969-04-18;--:--;      8.740
1969-04-19;--:--;      9.050
1969-04-20;--:--;      9.360
1969-04-21;--:--;      7.800
1969-04-22;--:--;      7.800
1969-04-23;--:--;      7.490
1969-04-24;--:--;      7.180
1969-04-25;--:--;      6.930
1969-04-26;--:--;      6.930
1969-04-27;--:--;      6.670
1969-04-28;--:--;      6.670
1969-04-29;--:--;      6.670
1969-04-30;--:--;      6.670
1969-05-01;--:--;      6.420
1969-05-02;--:--;      6.420
1969-05-03;--:--;      6.670
1969-05-04;--:--;      7.180
1969-05-05;--:--;      8.120
1969-05-06;--:--;      9.680
1969-05-07;--:--;     12.600
1969-05-08;--:--;     18.000
1969-05-09;--:--;     23.400
1969-05-10;--:--;     20.100
1969-05-11;--:--;     19.000
1969-05-12;--:--;     16.600
1969-05-13;--:--;     15.200
1969-05-14;--:--;     13.800
1969-05-15;--:--;     12.600
1969-05-16;--:--;     13.000
1969-05-17;--:--;     14.200
1969-05-18;--:--;     13.400
1969-05-19;--:--;     14.200
1969-05-20;--:--;     14.700
1969-05-21;--:--;     15.600
1969-05-22;--:--;     17.100
1969-05-23;--:--;     18.000
1969-05-24;--:--;     19.000
1969-05-25;--:--;     20.600
1969-05-26;--:--;     21.800
1969-05-27;--:--;     24.000
1969-05-28;--:--;     25.800
1969-05-29;--:--;     27.100
1969-05-30;--:--;     27.100
1969-05-31;--:--;     28.400
1969-06-01;--:--;     28.400
1969-06-02;--:--;     27.800
1969-06-03;--:--;     25.800
1969-06-04;--:--;     24.000
1969-06-05;--:--;     25.800
1969-06-06;--:--;     25.200
1969-06-07;--:--;     24.000
1969-06-08;--:--;     23.400
1969-06-09;--:--;     21.800
1969-06-10;--:--;     21.800
1969-06-11;--:--;     21.800
1969-06-12;--:--;     21.200
1969-06-13;--:--;     21.200
1969-06-14;--:--;     21.200
1969-06-15;--:--;     20.600
1969-06-16;--:--;     20.600
1969-06-17;--:--;     20.100
1969-06-18;--:--;     20.100
1969-06-19;--:--;     19.600
1969-06-20;--:--;     19.000
1969-06-21;--:--;     19.000
1969-06-22;--:--;     17.600
1969-06-23;--:--;     17.600
1969-06-24;--:--;     17.100
1969-06-25;--:--;     17.100
1969-06-26;--:--;     16.600
1969-06-27;--:--;     16.100
1969-06-28;--:--;     15.200
1969-06-29;--:--;     14.700
1969-06-30;--:--;     13.800
1969-07-01;--:--;     13.800
1969-07-02;--:--;     13.400
1969-07-03;--:--;     13.400
1969-07-04;--:--;     13.400
1969-07-05;--:--;     12.200
1969-07-06;--:--;     12.200
1969-07-07;--:--;     11.500
1969-07-08;--:--;     11.500
1969-07-09;--:--;     11.100
1969-07-10;--:--;     10.700
1969-07-11;--:--;      9.990
1969-07-12;--:--;      9.680
1969-07-13;--:--;      9.680
1969-07-14;--:--;      9.360
1969-07-15;--:--;      9.360
1969-07-16;--:--;      9.050
1969-07-17;--:--;      9.360
1969-07-18;--:--;      9.360
1969-07-19;--:--;      9.360
1969-07-20;--:--;      9.360
1969-07-21;--:--;      9.050
1969-07-22;--:--;      8.740
1969-07-23;--:--;      8.740
1969-07-24;--:--;      8.740
1969-07-25;--:--;      8.430
1969-07-26;--:--;      8.430
1969-07-27;--:--;      8.120
1969-07-28;--:--;      8.120
1969-07-29;--:--;      8.120
1969-07-30;--:--;      7.800
1969-07-31;--:--;      7.490
1969-08-01;--:--;      7.180
1969-08-02;--:--;      7.180
1969-08-03;--:--;      7.490
1969-08-04;--:--;      7.490
1969-08-05;--:--;      7.180
1969-08-06;--:--;      7.180
1969-08-07;--:--;      7.180
1969-08-08;--:--;      7.180
1969-08-09;--:--;      7.490
1969-08-10;--:--;      7.180
1969-08-11;--:--;      6.670
1969-08-12;--:--;      6.420
1969-08-13;--:--;      6.420
1969-08-14;--:--;      6.420
1969-08-15;--:--;      6.420
1969-08-16;--:--;      6.420
1969-08-17;--:--;      6.420
1969-08-18;--:--;      6.420
1969-08-19;--:--;      6.420
1969-08-20;--:--;      5.920
1969-08-21;--:--;      5.920
1969-08-22;--:--;      5.920
1969-08-23;--:--;      5.920
1969-08-24;--:--;      5.920
1969-08-25;--:--;      5.920
1969-08-26;--:--;      6.170
1969-08-27;--:--;      6.170
1969-08-28;--:--;      6.170
1969-08-29;--:--;      6.170
1969-08-30;--:--;      6.170
1969-08-31;--:--;      6.170
1969-09-01;--:--;      6.170
1969-09-02;--:--;      5.920
1969-09-03;--:--;      5.920
1969-09-04;--:--;      5.920
1969-09-05;--:--;      5.920
1969-09-06;--:--;      5.920
1969-09-07;--:--;      5.920
1969-09-08;--:--;      5.920
1969-09-09;--:--;      5.920
1969-09-10;--:--;      5.920
1969-09-11;--:--;      5.920
1969-09-12;--:--;      5.920
1969-09-13;--:--;      5.920
1969-09-14;--:--;      5.920
1969-09-15;--:--;      5.920
1969-09-16;--:--;      6.170
1969-09-17;--:--;      6.170
1969-09-18;--:--;      6.170
1969-09-19;--:--;      6.420
1969-09-20;--:--;      6.420
1969-09-21;--:--;      6.420
