# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217460
# River:                 DARYA-YE SUF
# Station:               NEAR KISHANDEH
# Country:               AF
# Latitude (DD):       36.133333
# Longitude (DD):      66.95
# Catchment area (km²):      3070.0
# Altitude (m ASL):        753.0
# Next downstream station:      2218450
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969-01 - 1978-09
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3552
# DATA
YYYY-MM-DD;hh:mm; Value
1969-01-09;--:--;      2.890
1969-01-10;--:--;      2.890
1969-01-11;--:--;      3.150
1969-01-12;--:--;      2.890
1969-01-13;--:--;      2.890
1969-01-14;--:--;      2.890
1969-01-15;--:--;      2.760
1969-01-16;--:--;      2.760
1969-01-17;--:--;      2.760
1969-01-18;--:--;      2.760
1969-01-19;--:--;      2.760
1969-01-20;--:--;      2.890
1969-01-21;--:--;      2.890
1969-01-22;--:--;      2.890
1969-01-23;--:--;      2.890
1969-01-24;--:--;      2.760
1969-01-25;--:--;      2.760
1969-01-26;--:--;      2.760
1969-01-27;--:--;      2.760
1969-01-28;--:--;      2.890
1969-01-29;--:--;      2.890
1969-01-30;--:--;      2.760
1969-01-31;--:--;      2.760
1969-02-01;--:--;      2.890
1969-02-02;--:--;      2.760
1969-02-03;--:--;      2.890
1969-02-04;--:--;      2.890
1969-02-05;--:--;      3.020
1969-02-06;--:--;      3.020
1969-02-07;--:--;      2.890
1969-02-08;--:--;      2.890
1969-02-09;--:--;      3.020
1969-02-10;--:--;      2.890
1969-02-11;--:--;      2.890
1969-02-12;--:--;      3.020
1969-02-13;--:--;      2.760
1969-02-14;--:--;      2.760
1969-02-15;--:--;      2.760
1969-02-16;--:--;      2.890
1969-02-17;--:--;      3.020
1969-02-18;--:--;      2.890
1969-02-19;--:--;      3.020
1969-02-20;--:--;      2.760
1969-02-21;--:--;      2.760
1969-02-22;--:--;      2.760
1969-02-23;--:--;      2.760
1969-02-24;--:--;      3.020
1969-02-25;--:--;      2.760
1969-02-26;--:--;      2.890
1969-02-27;--:--;      3.020
1969-02-28;--:--;      2.890
1969-03-01;--:--;      3.150
1969-03-02;--:--;      3.150
1969-03-03;--:--;      3.150
1969-03-04;--:--;      3.150
1969-03-05;--:--;      3.150
1969-03-06;--:--;      3.020
1969-03-07;--:--;      3.020
1969-03-08;--:--;      2.890
1969-03-09;--:--;      2.890
1969-03-10;--:--;      2.890
1969-03-11;--:--;      2.890
1969-03-12;--:--;      2.890
1969-03-13;--:--;      2.890
1969-03-14;--:--;      2.890
1969-03-15;--:--;      2.890
1969-03-16;--:--;      2.890
1969-03-17;--:--;      2.890
1969-03-18;--:--;      4.880
1969-03-19;--:--;      2.890
1969-03-20;--:--;      2.890
1969-03-21;--:--;      2.900
1969-03-22;--:--;      2.900
1969-03-23;--:--;      2.900
1969-03-24;--:--;      2.900
1969-03-25;--:--;      3.000
1969-03-26;--:--;      3.000
1969-03-27;--:--;      2.900
1969-03-28;--:--;      2.800
1969-03-29;--:--;      2.700
1969-03-30;--:--;      2.600
1969-03-31;--:--;      2.550
1969-04-01;--:--;      2.500
1969-04-02;--:--;      2.450
1969-04-03;--:--;      2.400
1969-04-04;--:--;      2.350
1969-04-05;--:--;      2.300
1969-04-06;--:--;      2.250
1969-04-07;--:--;      2.230
1969-04-08;--:--;      2.210
1969-04-09;--:--;      2.190
1969-04-10;--:--;      2.170
1969-04-11;--:--;      2.150
1969-04-12;--:--;      2.140
1969-04-13;--:--;      2.130
1969-04-14;--:--;      2.110
1969-04-15;--:--;      8.000
1969-04-16;--:--;      5.000
1969-04-17;--:--;      3.000
1969-04-18;--:--;      2.600
1969-04-19;--:--;      3.000
1969-04-20;--:--;     10.000
1969-04-21;--:--;      7.000
1969-04-22;--:--;      4.000
1969-04-23;--:--;      3.500
1969-04-24;--:--;      3.400
1969-04-25;--:--;      3.350
1969-04-26;--:--;      3.300
1969-04-27;--:--;      3.300
1969-04-28;--:--;      3.200
1969-04-29;--:--;      3.200
1969-04-30;--:--;      3.200
1969-05-01;--:--;      3.150
1969-05-02;--:--;      3.150
1969-05-03;--:--;      3.150
1969-05-04;--:--;      3.150
1969-05-05;--:--;      3.000
1969-05-06;--:--;      3.000
1969-05-07;--:--;      4.000
1969-05-08;--:--;      6.000
1969-05-09;--:--;      7.500
1969-05-10;--:--;      8.000
1969-05-11;--:--;      7.500
1969-05-12;--:--;      7.000
1969-05-13;--:--;      7.000
1969-05-14;--:--;      6.000
1969-05-15;--:--;      5.000
1969-05-16;--:--;      4.500
1969-05-17;--:--;      6.000
1969-05-18;--:--;      6.000
1969-05-19;--:--;      5.000
1969-05-20;--:--;      3.500
1969-05-21;--:--;      2.500
1969-05-22;--:--;      1.610
1969-05-23;--:--;      1.610
1969-05-24;--:--;      1.610
1969-05-25;--:--;      1.610
1969-05-26;--:--;      1.610
1969-05-27;--:--;      1.260
1969-05-28;--:--;      1.260
1969-05-29;--:--;      0.910
1969-05-30;--:--;      1.140
1969-05-31;--:--;      1.200
1969-06-01;--:--;      1.090
1969-06-02;--:--;      1.090
1969-06-03;--:--;      1.090
1969-06-04;--:--;      1.090
1969-06-05;--:--;      1.090
1969-06-06;--:--;      0.910
1969-06-07;--:--;      0.850
1969-06-08;--:--;      0.850
1969-06-09;--:--;      0.850
1969-06-10;--:--;      0.850
1969-06-11;--:--;      0.850
1969-06-12;--:--;      0.850
1969-06-13;--:--;      0.850
1969-06-14;--:--;      0.800
1969-06-15;--:--;      0.740
1969-06-16;--:--;      0.740
1969-06-17;--:--;      0.740
1969-06-18;--:--;      0.740
1969-06-19;--:--;      0.740
1969-06-20;--:--;      0.740
1969-06-21;--:--;      0.740
