# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217470
# River:                 DARYA-YE KHULM
# Station:               SAYAD
# Country:               AF
# Latitude (DD):       36.583333
# Longitude (DD):      67.783333
# Catchment area (km²):      8170.0
# Altitude (m ASL):        669.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-05 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5254
# DATA
YYYY-MM-DD;hh:mm; Value
1964-05-13;--:--;      0.910
1964-05-14;--:--;      1.030
1964-05-15;--:--;      0.830
1964-05-16;--:--;      0.910
1964-05-17;--:--;      0.930
1964-05-18;--:--;      0.890
1964-05-19;--:--;      0.870
1964-05-20;--:--;      0.970
1964-05-21;--:--;      0.850
1964-05-22;--:--;      0.970
1964-05-23;--:--;      0.970
1964-05-24;--:--;      0.930
1964-05-25;--:--;      0.930
1964-05-26;--:--;      0.930
1964-05-27;--:--;      0.970
1964-05-28;--:--;      0.910
1964-05-29;--:--;      0.930
1964-05-30;--:--;      0.910
1964-05-31;--:--;      0.890
1964-06-01;--:--;      0.830
1964-06-02;--:--;      0.750
1964-06-03;--:--;      0.660
1964-06-04;--:--;      0.870
1964-06-05;--:--;      0.930
1964-06-06;--:--;      0.950
1964-06-07;--:--;      0.990
1964-06-08;--:--;      0.970
1964-06-09;--:--;      0.830
1964-06-10;--:--;      1.050
1964-06-11;--:--;      1.010
1964-06-12;--:--;      0.970
1964-06-13;--:--;      0.970
1964-06-14;--:--;      0.970
1964-06-15;--:--;      0.970
1964-06-16;--:--;      0.990
1964-06-17;--:--;      0.970
1964-06-18;--:--;      0.930
1964-06-19;--:--;      0.990
1964-06-20;--:--;      0.930
1964-06-21;--:--;      0.780
1964-06-22;--:--;      0.930
1964-06-23;--:--;      0.970
1964-06-24;--:--;      0.990
1964-06-25;--:--;      1.010
1964-06-26;--:--;      1.030
1964-06-27;--:--;      0.990
1964-06-28;--:--;      0.990
1964-06-29;--:--;      0.990
1964-06-30;--:--;      0.990
1964-07-01;--:--;      0.910
1964-07-02;--:--;      0.990
1964-07-03;--:--;      0.910
1964-07-04;--:--;      0.930
1964-07-05;--:--;      0.970
1964-07-06;--:--;      0.950
1964-07-07;--:--;      0.990
1964-07-08;--:--;      0.970
1964-07-09;--:--;      0.870
1964-07-10;--:--;      0.850
1964-07-11;--:--;      0.850
1964-07-12;--:--;      0.890
1964-07-13;--:--;      0.890
1964-07-14;--:--;      0.930
1964-07-15;--:--;      0.910
1964-07-16;--:--;      1.030
1964-07-17;--:--;      1.100
1964-07-18;--:--;      0.970
1964-07-19;--:--;      1.010
1964-07-20;--:--;      0.990
1964-07-21;--:--;      0.830
1964-07-22;--:--;      0.660
1964-07-23;--:--;      0.830
1964-07-24;--:--;      0.650
1964-07-25;--:--;      0.710
1964-07-26;--:--;      0.800
1964-07-27;--:--;      0.830
1964-07-28;--:--;      0.870
1964-07-29;--:--;      0.830
1964-07-30;--:--;      0.910
1964-07-31;--:--;      0.950
1964-08-01;--:--;      0.990
1964-08-02;--:--;      1.010
1964-08-03;--:--;      0.810
1964-08-04;--:--;      0.780
1964-08-05;--:--;      0.730
1964-08-06;--:--;      0.780
1964-08-07;--:--;      0.800
1964-08-08;--:--;      0.780
1964-08-09;--:--;      0.970
1964-08-10;--:--;      0.890
1964-08-11;--:--;      1.010
1964-08-12;--:--;      1.050
1964-08-13;--:--;      1.010
1964-08-14;--:--;      1.030
1964-08-15;--:--;      1.030
1964-08-16;--:--;      1.070
1964-08-17;--:--;      1.070
1964-08-18;--:--;      1.030
1964-08-19;--:--;      1.030
1964-08-20;--:--;      0.990
1964-08-21;--:--;      1.030
1964-08-22;--:--;      0.990
1964-08-23;--:--;      0.990
1964-08-24;--:--;      0.990
1964-08-25;--:--;      0.990
1964-08-26;--:--;      0.990
1964-08-27;--:--;      0.990
1964-08-28;--:--;      1.010
1964-08-29;--:--;      1.010
1964-08-30;--:--;      1.050
1964-08-31;--:--;      1.100
1964-09-01;--:--;      1.050
1964-09-02;--:--;      1.100
1964-09-03;--:--;      1.050
1964-09-04;--:--;      1.050
1964-09-05;--:--;      0.910
1964-09-06;--:--;      1.010
1964-09-07;--:--;      1.100
1964-09-08;--:--;      1.030
1964-09-09;--:--;      1.050
1964-09-10;--:--;      1.050
1964-09-11;--:--;      1.050
1964-09-12;--:--;      0.990
1964-09-13;--:--;      1.030
1964-09-14;--:--;      1.010
1964-09-15;--:--;      1.010
1964-09-16;--:--;      0.950
1964-09-17;--:--;      0.910
1964-09-18;--:--;      0.950
1964-09-19;--:--;      0.750
1964-09-20;--:--;      0.760
1964-09-21;--:--;      0.760
1964-09-22;--:--;      0.910
1964-09-23;--:--;      0.890
1964-09-24;--:--;      0.950
1964-09-25;--:--;      0.950
1964-09-26;--:--;      0.950
1964-09-27;--:--;      0.950
1964-09-28;--:--;      0.910
1964-09-29;--:--;      0.890
1964-09-30;--:--;      0.930
1964-10-01;--:--;      0.890
1964-10-02;--:--;      0.910
1964-10-03;--:--;      0.870
1964-10-04;--:--;      0.850
1964-10-05;--:--;      0.660
1964-10-06;--:--;      0.700
1964-10-07;--:--;      0.700
1964-10-08;--:--;      0.680
1964-10-09;--:--;      0.660
1964-10-10;--:--;      0.750
1964-10-11;--:--;      0.780
1964-10-12;--:--;      0.810
1964-10-13;--:--;      0.830
1964-10-14;--:--;      0.830
1964-10-15;--:--;      0.800
1964-10-16;--:--;      0.850
1964-10-17;--:--;      0.850
1964-10-18;--:--;      0.850
1964-10-19;--:--;      0.890
1964-10-20;--:--;      0.910
1964-10-21;--:--;      0.910
1964-10-22;--:--;      0.890
1964-10-23;--:--;      0.910
1964-10-24;--:--;      0.890
1964-10-25;--:--;      0.710
1964-10-26;--:--;      0.620
1964-10-27;--:--;      0.660
1964-10-28;--:--;      0.640
1964-10-29;--:--;      0.750
1964-10-30;--:--;      0.850
1964-10-31;--:--;      0.810
1964-11-01;--:--;      0.810
1964-11-02;--:--;      0.930
1964-11-03;--:--;      1.100
1964-11-04;--:--;      1.050
1964-11-05;--:--;      0.990
1964-11-06;--:--;      1.030
1964-11-07;--:--;      0.990
1964-11-08;--:--;      1.070
1964-11-09;--:--;      1.010
1964-11-10;--:--;      1.010
1964-11-11;--:--;      0.990
1964-11-12;--:--;      0.970
1964-11-13;--:--;      0.950
1964-11-14;--:--;      0.870
1964-11-15;--:--;      0.780
1964-11-16;--:--;      0.870
1964-11-17;--:--;      0.870
1964-11-18;--:--;      0.850
1964-11-19;--:--;      0.850
1964-11-20;--:--;      0.890
1964-11-21;--:--;      0.930
1964-11-22;--:--;      0.950
1964-11-23;--:--;      0.830
1964-11-24;--:--;      0.830
1964-11-25;--:--;      0.830
1964-11-26;--:--;      0.830
1964-11-27;--:--;      0.810
1964-11-28;--:--;      0.810
1964-11-29;--:--;      0.850
1964-11-30;--:--;      0.800
1964-12-01;--:--;      0.800
1964-12-02;--:--;      0.830
1964-12-03;--:--;      0.870
1964-12-04;--:--;      0.800
1964-12-05;--:--;      0.810
1964-12-06;--:--;      0.850
1964-12-07;--:--;      0.810
1964-12-08;--:--;      0.780
1964-12-09;--:--;      0.760
1964-12-10;--:--;      0.760
1964-12-11;--:--;      0.780
1964-12-12;--:--;      0.760
1964-12-13;--:--;      0.760
1964-12-14;--:--;      0.780
1964-12-15;--:--;      0.760
1964-12-16;--:--;      0.780
1964-12-17;--:--;      0.730
1964-12-18;--:--;      0.760
1964-12-19;--:--;      0.760
1964-12-20;--:--;      0.780
1964-12-21;--:--;      0.730
1964-12-22;--:--;      0.710
1964-12-23;--:--;      0.700
1964-12-24;--:--;      0.710
1964-12-25;--:--;      0.700
1964-12-26;--:--;      0.700
1964-12-27;--:--;      0.660
1964-12-28;--:--;      0.640
1964-12-29;--:--;      0.660
1964-12-30;--:--;      0.650
1964-12-31;--:--;      0.680
1965-01-01;--:--;      1.350
1965-01-02;--:--;      1.350
1965-01-03;--:--;      1.100
1965-01-04;--:--;      1.120
1965-01-05;--:--;      1.050
1965-01-06;--:--;      1.100
1965-01-07;--:--;      1.160
1965-01-08;--:--;      1.070
1965-01-09;--:--;      1.030
1965-01-10;--:--;      1.030
1965-01-11;--:--;      1.030
1965-01-12;--:--;      1.070
1965-01-13;--:--;      1.070
1965-01-14;--:--;      1.120
1965-01-15;--:--;      1.120
1965-01-16;--:--;      1.140
1965-01-17;--:--;      1.050
1965-01-18;--:--;      1.230
1965-01-19;--:--;      1.380
1965-01-20;--:--;      1.230
1965-01-21;--:--;      1.400
1965-01-22;--:--;      1.320
1965-01-23;--:--;      1.400
1965-01-24;--:--;      1.380
1965-01-25;--:--;      1.300
1965-01-26;--:--;      1.300
1965-01-27;--:--;      1.300
1965-01-28;--:--;      1.300
1965-01-29;--:--;      1.280
1965-01-30;--:--;      1.400
1965-01-31;--:--;      1.400
1965-02-01;--:--;      1.480
1965-02-02;--:--;      1.730
1965-02-03;--:--;      1.820
1965-02-04;--:--;      1.760
1965-02-05;--:--;      1.790
1965-02-06;--:--;      1.820
1965-02-07;--:--;      1.980
1965-02-08;--:--;      1.790
1965-02-09;--:--;      1.820
1965-02-10;--:--;      1.850
1965-02-11;--:--;      1.910
1965-02-12;--:--;      1.910
1965-02-13;--:--;      1.850
1965-02-14;--:--;      1.820
1965-02-15;--:--;      1.880
1965-02-16;--:--;      2.200
1965-02-17;--:--;      2.420
1965-02-18;--:--;      2.660
1965-02-19;--:--;      2.710
1965-02-20;--:--;      2.620
1965-02-21;--:--;      2.100
1965-02-22;--:--;      2.100
1965-02-23;--:--;      2.100
1965-02-24;--:--;      2.140
1965-02-25;--:--;      2.170
1965-02-26;--:--;      2.140
1965-02-27;--:--;      2.280
1965-02-28;--:--;      2.450
1965-03-01;--:--;      2.540
1965-03-02;--:--;      2.540
1965-03-03;--:--;      2.490
1965-03-04;--:--;      2.450
1965-03-05;--:--;      2.560
1965-03-06;--:--;      2.340
1965-03-07;--:--;      2.280
1965-03-08;--:--;      2.040
1965-03-09;--:--;      2.540
1965-03-10;--:--;      2.380
1965-03-11;--:--;      1.980
1965-03-12;--:--;      1.910
1965-03-13;--:--;      1.820
1965-03-14;--:--;      1.940
1965-03-15;--:--;      2.450
1965-03-16;--:--;      2.070
1965-03-17;--:--;      2.170
1965-03-18;--:--;      2.490
1965-03-19;--:--;      2.070
1965-03-20;--:--;      1.880
1965-03-21;--:--;      2.240
1965-03-22;--:--;      2.070
1965-03-23;--:--;      2.040
1965-03-24;--:--;      2.140
1965-03-25;--:--;      2.240
1965-03-26;--:--;      2.310
1965-03-27;--:--;      2.280
1965-03-28;--:--;      2.310
1965-03-29;--:--;      2.380
1965-03-30;--:--;      2.340
1965-03-31;--:--;      2.580
1965-04-01;--:--;      2.450
1965-04-02;--:--;      2.040
1965-04-03;--:--;      2.100
1965-04-04;--:--;      1.850
1965-04-05;--:--;      1.760
1965-04-06;--:--;      2.000
1965-04-07;--:--;      2.040
1965-04-08;--:--;      1.850
1965-04-09;--:--;      1.730
1965-04-10;--:--;      1.320
1965-04-11;--:--;      1.350
1965-04-12;--:--;      1.420
1965-04-13;--:--;      1.420
1965-04-14;--:--;      1.530
1965-04-15;--:--;      1.560
1965-04-16;--:--;      1.590
1965-04-17;--:--;      1.620
1965-04-18;--:--;      1.560
1965-04-19;--:--;      1.620
1965-04-20;--:--;      2.240
1965-04-21;--:--;      2.880
1965-04-22;--:--;      2.920
1965-04-23;--:--;      5.200
1965-04-24;--:--;      5.080
1965-04-25;--:--;      2.960
1965-04-26;--:--;      3.130
1965-04-27;--:--;      3.350
1965-04-28;--:--;      3.050
1965-04-29;--:--;      2.240
1965-04-30;--:--;      2.140
1965-05-01;--:--;      2.240
1965-05-02;--:--;      3.050
1965-05-03;--:--;      3.600
1965-05-04;--:--;      3.500
1965-05-05;--:--;     16.800
1965-05-06;--:--;     21.000
1965-05-07;--:--;     24.400
1965-05-08;--:--;     24.100
1965-05-09;--:--;     10.600
1965-05-10;--:--;      3.170
1965-05-11;--:--;      3.700
1965-05-12;--:--;      3.750
1965-05-13;--:--;      3.700
1965-05-14;--:--;      3.500
1965-05-15;--:--;      3.130
1965-05-16;--:--;      2.960
1965-05-17;--:--;      2.710
1965-05-18;--:--;      2.450
1965-05-19;--:--;      2.140
1965-05-20;--:--;      2.170
1965-05-21;--:--;      2.070
1965-05-22;--:--;      2.100
1965-05-23;--:--;      2.240
1965-05-24;--:--;      2.170
1965-05-25;--:--;      2.100
1965-05-26;--:--;      1.730
1965-05-27;--:--;      1.700
1965-05-28;--:--;      1.760
1965-05-29;--:--;      1.980
1965-05-30;--:--;      2.000
1965-05-31;--:--;      2.140
1965-06-01;--:--;      2.170
1965-06-02;--:--;      2.040
1965-06-03;--:--;      2.000
1965-06-04;--:--;      1.980
1965-06-05;--:--;      1.910
1965-06-06;--:--;      1.790
1965-06-07;--:--;      1.730
1965-06-08;--:--;      1.590
1965-06-09;--:--;      1.500
1965-06-10;--:--;      1.420
1965-06-11;--:--;      1.400
1965-06-12;--:--;      1.320
1965-06-13;--:--;      1.230
1965-06-14;--:--;      1.180
1965-06-15;--:--;      1.120
1965-06-16;--:--;      1.050
1965-06-17;--:--;      1.100
1965-06-18;--:--;      1.230
1965-06-19;--:--;      1.250
1965-06-20;--:--;      1.420
1965-06-21;--:--;      1.350
1965-06-22;--:--;      1.230
1965-06-23;--:--;      1.180
1965-06-24;--:--;      1.180
1965-06-25;--:--;      1.140
1965-06-26;--:--;      1.160
1965-06-27;--:--;      1.140
1965-06-28;--:--;      1.010
1965-06-29;--:--;      0.890
1965-06-30;--:--;      0.910
1965-07-01;--:--;      0.970
1965-07-02;--:--;      2.660
1965-07-03;--:--;      0.910
1965-07-04;--:--;      0.910
1965-07-05;--:--;      0.950
1965-07-06;--:--;      1.560
1965-07-07;--:--;      2.200
1965-07-08;--:--;      2.040
1965-07-09;--:--;      1.980
1965-07-10;--:--;      1.940
1965-07-11;--:--;      2.170
1965-07-12;--:--;      2.040
1965-07-13;--:--;      1.940
1965-07-14;--:--;      1.670
1965-07-15;--:--;      1.320
1965-07-16;--:--;      1.160
1965-07-17;--:--;      1.140
1965-07-18;--:--;      1.050
1965-07-19;--:--;      0.990
1965-07-20;--:--;      0.910
1965-07-21;--:--;      0.850
1965-07-22;--:--;      0.870
1965-07-23;--:--;      0.870
1965-07-24;--:--;      0.830
1965-07-25;--:--;      0.830
1965-07-26;--:--;      0.890
1965-07-27;--:--;      0.910
1965-07-28;--:--;      0.890
1965-07-29;--:--;      0.890
1965-07-30;--:--;      0.870
1965-07-31;--:--;      0.850
1965-08-01;--:--;      0.830
1965-08-02;--:--;      0.830
1965-08-03;--:--;      0.830
1965-08-04;--:--;      0.830
1965-08-05;--:--;      0.810
1965-08-06;--:--;      0.810
1965-08-07;--:--;      0.800
1965-08-08;--:--;      0.800
1965-08-09;--:--;      0.810
1965-08-10;--:--;      0.830
1965-08-11;--:--;      0.850
1965-08-12;--:--;      0.850
1965-08-13;--:--;      0.810
1965-08-14;--:--;      0.910
1965-08-15;--:--;      1.030
1965-08-16;--:--;      1.010
1965-08-17;--:--;      1.070
1965-08-18;--:--;      1.070
1965-08-19;--:--;      1.070
1965-08-20;--:--;      1.030
1965-08-21;--:--;      1.100
1965-08-22;--:--;      1.070
1965-08-23;--:--;      1.030
1965-08-24;--:--;      0.890
1965-08-25;--:--;      0.890
1965-08-26;--:--;      0.870
1965-08-27;--:--;      0.870
1965-08-28;--:--;      0.890
1965-08-29;--:--;      0.950
1965-08-30;--:--;      0.930
1965-08-31;--:--;      0.890
1965-09-01;--:--;      0.990
1965-09-02;--:--;      1.230
1965-09-03;--:--;      1.380
1965-09-04;--:--;      1.380
1965-09-05;--:--;      1.400
1965-09-06;--:--;      1.480
1965-09-07;--:--;      1.480
1965-09-08;--:--;      1.530
1965-09-09;--:--;      1.530
1965-09-10;--:--;      1.500
1965-09-11;--:--;      1.480
1965-09-12;--:--;      1.300
1965-09-13;--:--;      1.140
1965-09-14;--:--;      1.120
1965-09-15;--:--;      1.030
1965-09-16;--:--;      1.010
1965-09-17;--:--;      1.010
1965-09-18;--:--;      1.030
1965-09-19;--:--;      1.030
1965-09-20;--:--;      1.160
1965-09-21;--:--;      1.350
1965-09-22;--:--;      1.350
1965-09-23;--:--;      1.380
1965-09-24;--:--;      1.480
1965-09-25;--:--;      1.700
1965-09-26;--:--;      1.670
1965-09-27;--:--;      1.700
1965-09-28;--:--;      1.670
1965-09-29;--:--;      1.640
1965-09-30;--:--;      1.280
1965-10-01;--:--;      1.030
1965-10-02;--:--;      1.030
1965-10-03;--:--;      1.010
1965-10-04;--:--;      1.010
1965-10-05;--:--;      0.950
1965-10-06;--:--;      0.910
1965-10-07;--:--;      0.890
1965-10-08;--:--;      1.010
1965-10-09;--:--;      1.300
1965-10-10;--:--;      1.560
1965-10-11;--:--;      1.500
1965-10-12;--:--;      1.530
1965-10-13;--:--;      1.590
1965-10-14;--:--;      1.530
1965-10-15;--:--;      1.530
1965-10-16;--:--;      1.530
1965-10-17;--:--;      1.500
1965-10-18;--:--;      1.590
1965-10-19;--:--;      1.590
1965-10-20;--:--;      1.560
1965-10-21;--:--;      1.560
1965-10-22;--:--;      1.250
1965-10-23;--:--;      0.760
1965-10-24;--:--;      0.970
1965-10-25;--:--;      0.970
1965-10-26;--:--;      0.970
1965-10-27;--:--;      0.970
1965-10-28;--:--;      1.670
1965-10-29;--:--;      1.760
1965-10-30;--:--;      1.820
1965-10-31;--:--;      1.850
1965-11-01;--:--;      1.850
1965-11-02;--:--;      1.910
1965-11-03;--:--;      1.980
1965-11-04;--:--;      2.040
1965-11-05;--:--;      2.100
1965-11-06;--:--;      2.140
1965-11-07;--:--;      1.850
1965-11-08;--:--;      1.450
1965-11-09;--:--;      1.230
1965-11-10;--:--;      1.230
1965-11-11;--:--;      1.210
1965-11-12;--:--;      1.210
1965-11-13;--:--;      1.180
1965-11-14;--:--;      1.140
1965-11-15;--:--;      1.530
1965-11-16;--:--;      2.100
1965-11-17;--:--;      2.310
1965-11-18;--:--;      2.450
1965-11-19;--:--;      2.450
1965-11-20;--:--;      2.490
1965-11-21;--:--;      2.540
1965-11-22;--:--;      2.580
1965-11-23;--:--;      2.580
1965-11-24;--:--;      2.790
1965-11-25;--:--;      2.920
1965-11-26;--:--;      2.070
1965-11-27;--:--;      1.640
1965-11-28;--:--;      1.910
1965-11-29;--:--;      1.880
1965-11-30;--:--;      1.850
1965-12-01;--:--;      1.880
1965-12-02;--:--;      1.850
1965-12-03;--:--;      1.980
1965-12-04;--:--;      2.200
1965-12-05;--:--;      2.340
1965-12-06;--:--;      2.310
1965-12-07;--:--;      2.340
1965-12-08;--:--;      2.420
1965-12-09;--:--;      2.340
1965-12-10;--:--;      2.340
1965-12-11;--:--;      2.340
1965-12-12;--:--;      2.340
1965-12-13;--:--;      2.340
1965-12-14;--:--;      2.280
1965-12-15;--:--;      2.280
1965-12-16;--:--;      2.310
1965-12-17;--:--;      2.240
1965-12-18;--:--;      2.280
1965-12-19;--:--;      2.240
1965-12-20;--:--;      2.260
1965-12-21;--:--;      2.240
