# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217480
# River:                 DARYA-YE SAR-E PUL
# Station:               ASIABAD
# Country:               AF
# Latitude (DD):       36.2
# Longitude (DD):      65.95
# Catchment area (km²):      6950.0
# Altitude (m ASL):        642.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964-10 - 1978-09
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 5113
# DATA
YYYY-MM-DD;hh:mm; Value
1964-10-01;--:--;      5.750
1964-10-02;--:--;      5.600
1964-10-03;--:--;      5.600
1964-10-04;--:--;      5.450
1964-10-05;--:--;      5.600
1964-10-06;--:--;      5.600
1964-10-07;--:--;      6.350
1964-10-08;--:--;      6.800
1964-10-09;--:--;      6.980
1964-10-10;--:--;      6.980
1964-10-11;--:--;      6.980
1964-10-12;--:--;      7.340
1964-10-13;--:--;      7.340
1964-10-14;--:--;      7.340
1964-10-15;--:--;      7.340
1964-10-16;--:--;      7.700
1964-10-17;--:--;      7.520
1964-10-18;--:--;      7.340
1964-10-19;--:--;      7.340
1964-10-20;--:--;      7.340
1964-10-21;--:--;      7.340
1964-10-22;--:--;      6.980
1964-10-23;--:--;      7.340
1964-10-24;--:--;      7.160
1964-10-25;--:--;      7.340
1964-10-26;--:--;      7.340
1964-10-27;--:--;      7.340
1964-10-28;--:--;      7.340
1964-10-29;--:--;      7.700
1964-10-30;--:--;      7.700
1964-10-31;--:--;      7.880
1964-11-01;--:--;      7.880
1964-11-02;--:--;      7.700
1964-11-03;--:--;      7.700
1964-11-04;--:--;      7.700
1964-11-05;--:--;      7.340
1964-11-06;--:--;      7.340
1964-11-07;--:--;      7.340
1964-11-08;--:--;      7.340
1964-11-09;--:--;      7.340
1964-11-10;--:--;      7.340
1964-11-11;--:--;      7.700
1964-11-12;--:--;      7.880
1964-11-13;--:--;      8.060
1964-11-14;--:--;      8.060
1964-11-15;--:--;      7.700
1964-11-16;--:--;      7.700
1964-11-17;--:--;      7.700
1964-11-18;--:--;      7.700
1964-11-19;--:--;      7.700
1964-11-20;--:--;      7.700
1964-11-21;--:--;      7.340
1964-11-22;--:--;      7.340
1964-11-23;--:--;      7.340
1964-11-24;--:--;      7.160
1964-11-25;--:--;      7.340
1964-11-26;--:--;      7.340
1964-11-27;--:--;      7.700
1964-11-28;--:--;      7.340
1964-11-29;--:--;      8.420
1964-11-30;--:--;      8.420
1964-12-01;--:--;      8.060
1964-12-02;--:--;      7.340
1964-12-03;--:--;      7.340
1964-12-04;--:--;      7.700
1964-12-05;--:--;      7.340
1964-12-06;--:--;      7.340
1964-12-07;--:--;      7.700
1964-12-08;--:--;      7.520
1964-12-09;--:--;      7.700
1964-12-10;--:--;      7.160
1964-12-11;--:--;      6.980
1964-12-12;--:--;      7.520
1964-12-13;--:--;      7.700
1964-12-14;--:--;      7.700
1964-12-15;--:--;      7.880
1964-12-16;--:--;      7.880
1964-12-17;--:--;      8.240
1964-12-18;--:--;      8.060
1964-12-19;--:--;      7.880
1964-12-20;--:--;      7.880
1964-12-21;--:--;      7.700
1964-12-22;--:--;      7.340
1964-12-23;--:--;      7.340
1964-12-24;--:--;      7.340
1964-12-25;--:--;      7.340
1964-12-26;--:--;      7.340
1964-12-27;--:--;      7.340
1964-12-28;--:--;      7.340
1964-12-29;--:--;      6.960
1964-12-30;--:--;      7.880
1964-12-31;--:--;      7.520
1965-01-01;--:--;      7.700
1965-01-02;--:--;      7.340
1965-01-03;--:--;      7.880
1965-01-04;--:--;      7.340
1965-01-05;--:--;      7.160
1965-01-06;--:--;      7.520
1965-01-07;--:--;      7.340
1965-01-08;--:--;      7.340
1965-01-09;--:--;      7.160
1965-01-10;--:--;      6.980
1965-01-11;--:--;      6.980
1965-01-12;--:--;      6.980
1965-01-13;--:--;      6.980
1965-01-14;--:--;      6.980
1965-01-15;--:--;      6.980
1965-01-16;--:--;      6.980
1965-01-17;--:--;      8.060
1965-01-18;--:--;      8.060
1965-01-19;--:--;      7.520
1965-01-20;--:--;      7.700
1965-01-21;--:--;      7.520
1965-01-22;--:--;      8.420
1965-01-23;--:--;      7.700
1965-01-24;--:--;      6.980
1965-01-25;--:--;      7.700
1965-01-26;--:--;      7.700
1965-01-27;--:--;      6.980
1965-01-28;--:--;      7.700
1965-01-29;--:--;      7.520
1965-01-30;--:--;      7.340
1965-01-31;--:--;      7.700
1965-02-01;--:--;      8.060
1965-02-02;--:--;      8.060
1965-02-03;--:--;      7.700
1965-02-04;--:--;      8.060
1965-02-05;--:--;      7.340
1965-02-06;--:--;      7.160
1965-02-07;--:--;      7.160
1965-02-08;--:--;      7.160
1965-02-09;--:--;      7.160
1965-02-10;--:--;      7.340
1965-02-11;--:--;      7.340
1965-02-12;--:--;      7.340
1965-02-13;--:--;      6.980
1965-02-14;--:--;      6.980
1965-02-15;--:--;     10.800
1965-02-16;--:--;     10.300
1965-02-17;--:--;      9.550
1965-02-18;--:--;      8.060
1965-02-19;--:--;      8.060
1965-02-20;--:--;      7.700
1965-02-21;--:--;      7.340
1965-02-22;--:--;      7.340
1965-02-23;--:--;      7.340
1965-02-24;--:--;     10.800
1965-02-25;--:--;      8.790
1965-02-26;--:--;      8.980
1965-02-27;--:--;      8.600
1965-02-28;--:--;      8.600
1965-03-01;--:--;      8.420
1965-03-02;--:--;      8.240
1965-03-03;--:--;      8.240
1965-03-04;--:--;      8.420
1965-03-05;--:--;      8.420
1965-03-06;--:--;      8.420
1965-03-07;--:--;      8.600
1965-03-08;--:--;      8.420
1965-03-09;--:--;      8.420
1965-03-10;--:--;      8.240
1965-03-11;--:--;      8.240
1965-03-12;--:--;      8.240
1965-03-13;--:--;      8.060
1965-03-14;--:--;      8.240
1965-03-15;--:--;      8.980
1965-03-16;--:--;      9.360
1965-03-17;--:--;      9.360
1965-03-18;--:--;      9.550
1965-03-19;--:--;      9.170
1965-03-20;--:--;      8.980
1965-03-21;--:--;      8.600
1965-03-22;--:--;      9.740
1965-03-23;--:--;      8.790
1965-03-24;--:--;      8.240
1965-03-25;--:--;     14.000
1965-03-26;--:--;     13.000
1965-03-27;--:--;     11.500
1965-03-28;--:--;     10.500
1965-03-29;--:--;     10.100
1965-03-30;--:--;     13.500
1965-03-31;--:--;     10.500
1965-04-01;--:--;      9.740
1965-04-02;--:--;      9.170
1965-04-03;--:--;      8.980
1965-04-04;--:--;      8.790
1965-04-05;--:--;      8.420
1965-04-06;--:--;      9.740
1965-04-07;--:--;      9.550
1965-04-08;--:--;      9.550
1965-04-09;--:--;      8.790
1965-04-10;--:--;      8.600
1965-04-11;--:--;      8.420
1965-04-12;--:--;      8.790
1965-04-13;--:--;      8.790
1965-04-14;--:--;      8.980
1965-04-15;--:--;      8.980
1965-04-16;--:--;      9.360
1965-04-17;--:--;      9.360
1965-04-18;--:--;      9.360
1965-04-19;--:--;      8.790
1965-04-20;--:--;      8.240
1965-04-21;--:--;      8.240
1965-04-22;--:--;      8.980
1965-04-23;--:--;      8.980
1965-04-24;--:--;      8.060
1965-04-25;--:--;      7.700
1965-04-26;--:--;     13.500
1965-04-27;--:--;      9.170
1965-04-28;--:--;      7.340
1965-04-29;--:--;      6.980
1965-04-30;--:--;      6.650
1965-05-01;--:--;      7.340
1965-05-02;--:--;      8.240
1965-05-03;--:--;      8.240
1965-05-04;--:--;      8.060
1965-05-05;--:--;      8.420
1965-05-06;--:--;     24.500
1965-05-07;--:--;     22.600
1965-05-08;--:--;      8.600
1965-05-09;--:--;      6.980
1965-05-10;--:--;      6.980
1965-05-11;--:--;      6.200
1965-05-12;--:--;      6.050
1965-05-13;--:--;      6.050
1965-05-14;--:--;      6.350
1965-05-15;--:--;      6.350
1965-05-16;--:--;      6.350
1965-05-17;--:--;      6.500
1965-05-18;--:--;      6.650
1965-05-19;--:--;      8.420
1965-05-20;--:--;     11.200
1965-05-21;--:--;     13.800
1965-05-22;--:--;     17.200
1965-05-23;--:--;     13.200
1965-05-24;--:--;     13.800
1965-05-25;--:--;     12.500
1965-05-26;--:--;     11.500
1965-05-27;--:--;     10.800
1965-05-28;--:--;     11.200
1965-05-29;--:--;      8.600
1965-05-30;--:--;      8.420
1965-05-31;--:--;      7.520
1965-06-01;--:--;      7.340
1965-06-02;--:--;      7.160
1965-06-03;--:--;      6.980
1965-06-04;--:--;      7.160
1965-06-05;--:--;      7.520
1965-06-06;--:--;      9.170
1965-06-07;--:--;      8.980
1965-06-08;--:--;      8.790
1965-06-09;--:--;      8.600
1965-06-10;--:--;      8.240
1965-06-11;--:--;      8.060
1965-06-12;--:--;      7.880
1965-06-13;--:--;      7.880
1965-06-14;--:--;      7.520
1965-06-15;--:--;      7.160
1965-06-16;--:--;      7.160
1965-06-17;--:--;      5.190
1965-06-18;--:--;      5.080
1965-06-19;--:--;      4.640
1965-06-20;--:--;      4.640
1965-06-21;--:--;      4.640
1965-06-22;--:--;      4.750
1965-06-23;--:--;      4.750
1965-06-24;--:--;      6.050
1965-06-25;--:--;      6.050
1965-06-26;--:--;      6.050
1965-06-27;--:--;      6.050
1965-06-28;--:--;      6.050
1965-06-29;--:--;      5.300
1965-06-30;--:--;      5.300
1965-07-01;--:--;      5.450
1965-07-02;--:--;      5.600
1965-07-03;--:--;      5.190
1965-07-04;--:--;      4.640
1965-07-05;--:--;      4.640
1965-07-06;--:--;      4.640
1965-07-07;--:--;      4.420
1965-07-08;--:--;      4.200
1965-07-09;--:--;      4.200
1965-07-10;--:--;      4.200
1965-07-11;--:--;      4.530
1965-07-12;--:--;      6.350
1965-07-13;--:--;      6.200
1965-07-14;--:--;      6.050
1965-07-15;--:--;      6.050
1965-07-16;--:--;      6.050
1965-07-17;--:--;      5.900
1965-07-18;--:--;      6.050
1965-07-19;--:--;      5.750
1965-07-20;--:--;      5.450
1965-07-21;--:--;      4.750
1965-07-22;--:--;      3.500
1965-07-23;--:--;      3.130
1965-07-24;--:--;      4.000
1965-07-25;--:--;      2.990
1965-07-26;--:--;      3.060
1965-07-27;--:--;      3.060
1965-07-28;--:--;      3.130
1965-07-29;--:--;      2.990
1965-07-30;--:--;      4.860
1965-07-31;--:--;      4.860
1965-08-01;--:--;      5.300
1965-08-02;--:--;      5.450
1965-08-03;--:--;      5.450
1965-08-04;--:--;      5.600
1965-08-05;--:--;      5.600
1965-08-06;--:--;      5.450
1965-08-07;--:--;      4.860
1965-08-08;--:--;      4.860
1965-08-09;--:--;      4.420
1965-08-10;--:--;      3.500
1965-08-11;--:--;      3.300
1965-08-12;--:--;      3.300
1965-08-13;--:--;      3.300
1965-08-14;--:--;      3.200
1965-08-15;--:--;      3.200
1965-08-16;--:--;      3.200
1965-08-17;--:--;      3.900
1965-08-18;--:--;      4.970
1965-08-19;--:--;      4.530
1965-08-20;--:--;      4.530
1965-08-21;--:--;      4.640
