# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416850
# River:                 NORIN
# Station:               UCH-KURGAN
# Country:               KG
# Latitude (DD):       41.17
# Longitude (DD):      72.1
# Catchment area (km²):      58400.0
# Altitude (m ASL):        498.0
# Next downstream station:      2316200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1938-01 - 1983-12
# No. of years:          47
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 16801
# DATA
YYYY-MM-DD;hh:mm; Value
1938-01-01;--:--;    165.000
1938-01-02;--:--;    165.000
1938-01-03;--:--;    165.000
1938-01-04;--:--;    160.000
1938-01-05;--:--;    165.000
1938-01-06;--:--;    154.000
1938-01-07;--:--;    163.000
1938-01-08;--:--;    163.000
1938-01-09;--:--;    163.000
1938-01-10;--:--;    154.000
1938-01-11;--:--;    164.000
1938-01-12;--:--;    164.000
1938-01-13;--:--;    164.000
1938-01-14;--:--;    164.000
1938-01-15;--:--;    165.000
1938-01-16;--:--;    165.000
1938-01-17;--:--;    165.000
1938-01-18;--:--;    163.000
1938-01-19;--:--;    158.000
1938-01-20;--:--;    156.000
1938-01-21;--:--;    154.000
1938-01-22;--:--;    156.000
1938-01-23;--:--;    160.000
1938-01-24;--:--;    165.000
1938-01-25;--:--;    158.000
1938-01-26;--:--;    158.000
1938-01-27;--:--;    163.000
1938-01-28;--:--;    156.000
1938-01-29;--:--;    158.000
1938-01-30;--:--;    160.000
1938-01-31;--:--;    154.000
1938-02-01;--:--;    152.000
1938-02-02;--:--;    144.000
1938-02-03;--:--;    142.000
1938-02-04;--:--;    140.000
1938-02-05;--:--;    136.000
1938-02-06;--:--;    134.000
1938-02-07;--:--;    152.000
1938-02-08;--:--;    154.000
1938-02-09;--:--;    163.000
1938-02-10;--:--;    154.000
1938-02-11;--:--;    152.000
1938-02-12;--:--;    152.000
1938-02-13;--:--;    154.000
1938-02-14;--:--;    152.000
1938-02-15;--:--;    154.000
1938-02-16;--:--;    160.000
1938-02-17;--:--;    152.000
1938-02-18;--:--;    154.000
1938-02-19;--:--;    154.000
1938-02-20;--:--;    154.000
1938-02-21;--:--;    158.000
1938-02-22;--:--;    165.000
1938-02-23;--:--;    168.000
1938-02-24;--:--;    168.000
1938-02-25;--:--;    168.000
1938-02-26;--:--;    170.000
1938-02-27;--:--;    176.000
1938-02-28;--:--;    183.000
1938-03-01;--:--;    181.000
1938-03-02;--:--;    168.000
1938-03-03;--:--;    165.000
1938-03-04;--:--;    160.000
1938-03-05;--:--;    163.000
1938-03-06;--:--;    165.000
1938-03-07;--:--;    165.000
1938-03-08;--:--;    163.000
1938-03-09;--:--;    158.000
1938-03-10;--:--;    158.000
1938-03-11;--:--;    158.000
1938-03-12;--:--;    163.000
1938-03-13;--:--;    165.000
1938-03-14;--:--;    165.000
1938-03-15;--:--;    165.000
1938-03-16;--:--;    168.000
1938-03-17;--:--;    170.000
1938-03-18;--:--;    168.000
1938-03-19;--:--;    170.000
1938-03-20;--:--;    168.000
1938-03-21;--:--;    173.000
1938-03-22;--:--;    176.000
1938-03-23;--:--;    176.000
1938-03-24;--:--;    170.000
1938-03-25;--:--;    165.000
1938-03-26;--:--;    163.000
1938-03-27;--:--;    168.000
1938-03-28;--:--;    170.000
1938-03-29;--:--;    173.000
1938-03-30;--:--;    176.000
1938-03-31;--:--;    176.000
1938-04-01;--:--;    181.000
1938-04-02;--:--;    194.000
1938-04-03;--:--;    213.000
1938-04-04;--:--;    243.000
1938-04-05;--:--;    257.000
1938-04-06;--:--;    253.000
1938-04-07;--:--;    233.000
1938-04-08;--:--;    230.000
1938-04-09;--:--;    240.000
1938-04-10;--:--;    247.000
1938-04-11;--:--;    253.000
1938-04-12;--:--;    282.000
1938-04-13;--:--;    301.000
1938-04-14;--:--;    309.000
1938-04-15;--:--;    318.000
1938-04-16;--:--;    326.000
1938-04-17;--:--;    360.000
1938-04-18;--:--;    417.000
1938-04-19;--:--;    458.000
1938-04-20;--:--;    440.000
1938-04-21;--:--;    390.000
1938-04-22;--:--;    360.000
1938-04-23;--:--;    360.000
1938-04-24;--:--;    373.000
1938-04-25;--:--;    394.000
1938-04-26;--:--;    417.000
1938-04-27;--:--;    404.000
1938-04-28;--:--;    381.000
1938-04-29;--:--;    351.000
1938-04-30;--:--;    334.000
1938-05-01;--:--;    351.000
1938-05-02;--:--;    440.000
1938-05-03;--:--;    545.000
1938-05-04;--:--;    630.000
1938-05-05;--:--;    670.000
1938-05-06;--:--;    686.000
1938-05-07;--:--;    692.000
1938-05-08;--:--;    736.000
