# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517500
# River:                 YAGHNOB
# Station:               TAKFON
# Country:               TJ
# Latitude (DD):       39.18
# Longitude (DD):      68.53
# Catchment area (km²):      1490.0
# Altitude (m ASL):        1760.0
# Next downstream station:      2517450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1986-12
# No. of years:          10
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3287
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;      4.000
1978-01-02;--:--;      4.000
1978-01-03;--:--;      4.000
1978-01-04;--:--;      4.000
1978-01-05;--:--;      4.000
1978-01-06;--:--;      4.000
1978-01-07;--:--;      4.000
1978-01-08;--:--;      4.000
1978-01-09;--:--;      4.000
1978-01-10;--:--;      4.000
1978-01-11;--:--;      4.000
1978-01-12;--:--;      4.000
1978-01-13;--:--;      4.000
1978-01-14;--:--;      4.000
1978-01-15;--:--;      4.000
1978-01-16;--:--;      4.000
1978-01-17;--:--;      4.000
1978-01-18;--:--;      4.000
1978-01-19;--:--;      4.000
1978-01-20;--:--;      4.000
1978-01-21;--:--;      4.000
1978-01-22;--:--;      4.000
1978-01-23;--:--;      4.000
1978-01-24;--:--;      4.000
1978-01-25;--:--;      4.000
1978-01-26;--:--;      4.000
1978-01-27;--:--;      4.000
1978-01-28;--:--;      4.000
1978-01-29;--:--;      4.000
1978-01-30;--:--;      4.000
1978-01-31;--:--;      4.000
1978-02-01;--:--;      4.000
1978-02-02;--:--;      4.000
1978-02-03;--:--;      4.000
1978-02-04;--:--;      4.000
1978-02-05;--:--;      4.000
1978-02-06;--:--;      4.000
1978-02-07;--:--;      4.000
1978-02-08;--:--;      4.000
1978-02-09;--:--;      4.000
1978-02-10;--:--;      4.000
1978-02-11;--:--;      5.000
1978-02-12;--:--;      6.000
1978-02-13;--:--;      6.000
1978-02-14;--:--;      6.000
1978-02-15;--:--;      6.000
1978-02-16;--:--;      6.000
1978-02-17;--:--;      5.000
1978-02-18;--:--;      6.000
1978-02-19;--:--;      6.000
1978-02-20;--:--;      6.000
1978-02-21;--:--;      6.000
1978-02-22;--:--;      6.000
1978-02-23;--:--;      6.000
1978-02-24;--:--;      6.000
1978-02-25;--:--;      6.000
1978-02-26;--:--;      6.000
1978-02-27;--:--;      6.000
1978-02-28;--:--;      6.000
1978-03-01;--:--;      5.000
1978-03-02;--:--;      5.000
1978-03-03;--:--;      6.000
1978-03-04;--:--;      5.000
1978-03-05;--:--;      5.000
1978-03-06;--:--;      5.000
1978-03-07;--:--;      5.000
1978-03-08;--:--;      6.000
1978-03-09;--:--;      5.000
1978-03-10;--:--;      5.000
1978-03-11;--:--;      5.000
1978-03-12;--:--;      5.000
1978-03-13;--:--;      5.000
1978-03-14;--:--;      6.000
1978-03-15;--:--;      5.000
1978-03-16;--:--;      5.000
1978-03-17;--:--;      5.000
1978-03-18;--:--;      5.000
1978-03-19;--:--;      5.000
1978-03-20;--:--;      5.000
1978-03-21;--:--;      5.000
1978-03-22;--:--;      5.000
1978-03-23;--:--;      5.000
1978-03-24;--:--;      5.000
1978-03-25;--:--;      5.000
1978-03-26;--:--;      6.000
1978-03-27;--:--;      6.000
1978-03-28;--:--;      5.000
1978-03-29;--:--;      5.000
1978-03-30;--:--;      5.000
1978-03-31;--:--;      5.000
1978-04-01;--:--;      5.000
1978-04-02;--:--;      5.000
1978-04-03;--:--;      5.000
1978-04-04;--:--;      5.000
1978-04-05;--:--;      5.000
1978-04-06;--:--;      6.000
1978-04-07;--:--;      6.000
1978-04-08;--:--;      6.000
1978-04-09;--:--;      8.000
1978-04-10;--:--;      8.000
1978-04-11;--:--;      9.000
1978-04-12;--:--;     11.000
1978-04-13;--:--;     12.000
1978-04-14;--:--;     11.000
1978-04-15;--:--;     13.000
1978-04-16;--:--;     19.000
1978-04-17;--:--;     18.000
1978-04-18;--:--;     16.000
1978-04-19;--:--;     17.000
1978-04-20;--:--;     16.000
1978-04-21;--:--;     15.000
1978-04-22;--:--;     15.000
1978-04-23;--:--;     14.000
1978-04-24;--:--;     14.000
1978-04-25;--:--;     13.000
1978-04-26;--:--;     14.000
1978-04-27;--:--;     19.000
1978-04-28;--:--;     23.000
1978-04-29;--:--;     19.000
1978-04-30;--:--;     19.000
1978-05-01;--:--;     22.000
1978-05-02;--:--;     28.000
1978-05-03;--:--;     29.000
1978-05-04;--:--;     32.000
1978-05-05;--:--;     34.000
1978-05-06;--:--;     34.000
1978-05-07;--:--;     36.000
1978-05-08;--:--;     40.000
1978-05-09;--:--;     48.000
1978-05-10;--:--;     52.000
1978-05-11;--:--;     61.000
1978-05-12;--:--;     48.000
1978-05-13;--:--;     47.000
1978-05-14;--:--;     45.000
1978-05-15;--:--;     38.000
1978-05-16;--:--;     43.000
1978-05-17;--:--;     52.000
1978-05-18;--:--;     59.000
1978-05-19;--:--;     63.000
1978-05-20;--:--;     66.000
1978-05-21;--:--;     67.000
1978-05-22;--:--;     67.000
