# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517600
# River:                 KOFIRNIHON
# Station:               CHINOR
# Country:               TJ
# Latitude (DD):       38.58
# Longitude (DD):      69.05
# Catchment area (km²):      3040.0
# Altitude (m ASL):        980.0
# Next downstream station:      2517610
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1986-12
# No. of years:          10
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3287
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     25.000
1978-01-02;--:--;     24.000
1978-01-03;--:--;     24.000
1978-01-04;--:--;     24.000
1978-01-05;--:--;     24.000
1978-01-06;--:--;     24.000
1978-01-07;--:--;     24.000
1978-01-08;--:--;     24.000
1978-01-09;--:--;     23.000
1978-01-10;--:--;     23.000
1978-01-11;--:--;     24.000
1978-01-12;--:--;     24.000
1978-01-13;--:--;     23.000
1978-01-14;--:--;     22.000
1978-01-15;--:--;     21.000
1978-01-16;--:--;     22.000
1978-01-17;--:--;     22.000
1978-01-18;--:--;     21.000
1978-01-19;--:--;     21.000
1978-01-20;--:--;     21.000
1978-01-21;--:--;     22.000
1978-01-22;--:--;     22.000
1978-01-23;--:--;     22.000
1978-01-24;--:--;     22.000
1978-01-25;--:--;     22.000
1978-01-26;--:--;     21.000
1978-01-27;--:--;     22.000
1978-01-28;--:--;     21.000
1978-01-29;--:--;     21.000
1978-01-30;--:--;     21.000
1978-01-31;--:--;     21.000
1978-02-01;--:--;     21.000
1978-02-02;--:--;     21.000
1978-02-03;--:--;     21.000
1978-02-04;--:--;     21.000
1978-02-05;--:--;     21.000
1978-02-06;--:--;     21.000
1978-02-07;--:--;     20.000
1978-02-08;--:--;     19.000
1978-02-09;--:--;     20.000
1978-02-10;--:--;     20.000
1978-02-11;--:--;     21.000
1978-02-12;--:--;     21.000
1978-02-13;--:--;     22.000
1978-02-14;--:--;     22.000
1978-02-15;--:--;     22.000
1978-02-16;--:--;     22.000
1978-02-17;--:--;     22.000
1978-02-18;--:--;     22.000
1978-02-19;--:--;     23.000
1978-02-20;--:--;     23.000
1978-02-21;--:--;     24.000
1978-02-22;--:--;     26.000
1978-02-23;--:--;     27.000
1978-02-24;--:--;     29.000
1978-02-25;--:--;     32.000
1978-02-26;--:--;     35.000
1978-02-27;--:--;     35.000
1978-02-28;--:--;     33.000
1978-03-01;--:--;     32.000
1978-03-02;--:--;     33.000
1978-03-03;--:--;     37.000
1978-03-04;--:--;     38.000
1978-03-05;--:--;     38.000
1978-03-06;--:--;     37.000
1978-03-07;--:--;     36.000
1978-03-08;--:--;     39.000
1978-03-09;--:--;     39.000
1978-03-10;--:--;     37.000
1978-03-11;--:--;     35.000
1978-03-12;--:--;     35.000
1978-03-13;--:--;     37.000
1978-03-14;--:--;     46.000
1978-03-15;--:--;     52.000
1978-03-16;--:--;     52.000
1978-03-17;--:--;     46.000
1978-03-18;--:--;     44.000
1978-03-19;--:--;     40.000
1978-03-20;--:--;     39.000
1978-03-21;--:--;     39.000
1978-03-22;--:--;     39.000
1978-03-23;--:--;     39.000
1978-03-24;--:--;     39.000
1978-03-25;--:--;     39.000
1978-03-26;--:--;     39.000
1978-03-27;--:--;     39.000
1978-03-28;--:--;     42.000
1978-03-29;--:--;     42.000
1978-03-30;--:--;     45.000
1978-03-31;--:--;     48.000
1978-04-01;--:--;     54.000
1978-04-02;--:--;     58.000
1978-04-03;--:--;     66.000
1978-04-04;--:--;     64.000
1978-04-05;--:--;     67.000
1978-04-06;--:--;     66.000
1978-04-07;--:--;     81.000
1978-04-08;--:--;    116.000
1978-04-09;--:--;    168.000
1978-04-10;--:--;    200.000
1978-04-11;--:--;    242.000
1978-04-12;--:--;    255.000
1978-04-13;--:--;    236.000
1978-04-14;--:--;    234.000
1978-04-15;--:--;    264.000
1978-04-16;--:--;    343.000
1978-04-17;--:--;    277.000
1978-04-18;--:--;    218.000
1978-04-19;--:--;    202.000
1978-04-20;--:--;    187.000
1978-04-21;--:--;    205.000
1978-04-22;--:--;    200.000
1978-04-23;--:--;    185.000
1978-04-24;--:--;    183.000
1978-04-25;--:--;    183.000
1978-04-26;--:--;    190.000
1978-04-27;--:--;    218.000
1978-04-28;--:--;    231.000
1978-04-29;--:--;    215.000
1978-04-30;--:--;    218.000
1978-05-01;--:--;    231.000
1978-05-02;--:--;    242.000
1978-05-03;--:--;    250.000
1978-05-04;--:--;    269.000
1978-05-05;--:--;    307.000
1978-05-06;--:--;    264.000
1978-05-07;--:--;    253.000
1978-05-08;--:--;    258.000
1978-05-09;--:--;    280.000
1978-05-10;--:--;    304.000
1978-05-11;--:--;    326.000
1978-05-12;--:--;    272.000
1978-05-13;--:--;    236.000
1978-05-14;--:--;    223.000
1978-05-15;--:--;    223.000
1978-05-16;--:--;    236.000
1978-05-17;--:--;    245.000
1978-05-18;--:--;    250.000
1978-05-19;--:--;    258.000
1978-05-20;--:--;    264.000
1978-05-21;--:--;    253.000
1978-05-22;--:--;    258.000
1978-05-23;--:--;    250.000
1978-05-24;--:--;    430.000
1978-05-25;--:--;    336.000
1978-05-26;--:--;    264.000
1978-05-27;--:--;    238.000
1978-05-28;--:--;    224.000
1978-05-29;--:--;    214.000
1978-05-30;--:--;    212.000
1978-05-31;--:--;    221.000
1978-06-01;--:--;    234.000
1978-06-02;--:--;    262.000
1978-06-03;--:--;    280.000
1978-06-04;--:--;    275.000
1978-06-05;--:--;    269.000
1978-06-06;--:--;    262.000
1978-06-07;--:--;    288.000
1978-06-08;--:--;    298.000
1978-06-09;--:--;    262.000
1978-06-10;--:--;    249.000
1978-06-11;--:--;    264.000
1978-06-12;--:--;    290.000
1978-06-13;--:--;    288.000
1978-06-14;--:--;    267.000
1978-06-15;--:--;    277.000
1978-06-16;--:--;    254.000
1978-06-17;--:--;    241.000
1978-06-18;--:--;    251.000
1978-06-19;--:--;    280.000
1978-06-20;--:--;    290.000
1978-06-21;--:--;    298.000
1978-06-22;--:--;    317.000
1978-06-23;--:--;    325.000
1978-06-24;--:--;    350.000
1978-06-25;--:--;    353.000
1978-06-26;--:--;    336.000
1978-06-27;--:--;    325.000
1978-06-28;--:--;    325.000
1978-06-29;--:--;    333.000
1978-06-30;--:--;    328.000
1978-07-01;--:--;    320.000
1978-07-02;--:--;    303.000
1978-07-03;--:--;    293.000
1978-07-04;--:--;    288.000
1978-07-05;--:--;    288.000
1978-07-06;--:--;    275.000
1978-07-07;--:--;    241.000
1978-07-08;--:--;    205.000
1978-07-09;--:--;    185.000
1978-07-10;--:--;    163.000
1978-07-11;--:--;    172.000
1978-07-12;--:--;    189.000
1978-07-13;--:--;    196.000
1978-07-14;--:--;    203.000
1978-07-15;--:--;    207.000
1978-07-16;--:--;    214.000
1978-07-17;--:--;    212.000
1978-07-18;--:--;    196.000
1978-07-19;--:--;    180.000
1978-07-20;--:--;    172.000
1978-07-21;--:--;    174.000
1978-07-22;--:--;    167.000
1978-07-23;--:--;    150.000
1978-07-24;--:--;    146.000
1978-07-25;--:--;    141.000
1978-07-26;--:--;    141.000
1978-07-27;--:--;    141.000
1978-07-28;--:--;    135.000
1978-07-29;--:--;    131.000
1978-07-30;--:--;    125.000
1978-07-31;--:--;    113.000
1978-08-01;--:--;    107.000
1978-08-02;--:--;    105.000
1978-08-03;--:--;    102.000
1978-08-04;--:--;    102.000
1978-08-05;--:--;     99.000
1978-08-06;--:--;     97.000
1978-08-07;--:--;     95.000
1978-08-08;--:--;     94.000
1978-08-09;--:--;     86.000
1978-08-10;--:--;     84.000
1978-08-11;--:--;     89.000
1978-08-12;--:--;     94.000
1978-08-13;--:--;     89.000
1978-08-14;--:--;     86.000
1978-08-15;--:--;     86.000
1978-08-16;--:--;     86.000
1978-08-17;--:--;     84.000
1978-08-18;--:--;     84.000
1978-08-19;--:--;     84.000
1978-08-20;--:--;     82.000
1978-08-21;--:--;     72.000
1978-08-22;--:--;     64.000
1978-08-23;--:--;     58.000
1978-08-24;--:--;     58.000
1978-08-25;--:--;     55.000
1978-08-26;--:--;     55.000
1978-08-27;--:--;     49.000
1978-08-28;--:--;     48.000
1978-08-29;--:--;     46.000
1978-08-30;--:--;     43.000
1978-08-31;--:--;     41.000
1978-09-01;--:--;     39.000
1978-09-02;--:--;     38.000
1978-09-03;--:--;     38.000
1978-09-04;--:--;     33.000
1978-09-05;--:--;     34.000
1978-09-06;--:--;     39.000
1978-09-07;--:--;     44.000
1978-09-08;--:--;     44.000
1978-09-09;--:--;     44.000
1978-09-10;--:--;     44.000
1978-09-11;--:--;     43.000
1978-09-12;--:--;     43.000
1978-09-13;--:--;     41.000
1978-09-14;--:--;     42.000
1978-09-15;--:--;     38.000
1978-09-16;--:--;     36.000
1978-09-17;--:--;     36.000
1978-09-18;--:--;     36.000
1978-09-19;--:--;     36.000
1978-09-20;--:--;     36.000
1978-09-21;--:--;     36.000
1978-09-22;--:--;     35.000
1978-09-23;--:--;     35.000
1978-09-24;--:--;     35.000
1978-09-25;--:--;     34.000
1978-09-26;--:--;     34.000
1978-09-27;--:--;     34.000
1978-09-28;--:--;     32.000
1978-09-29;--:--;     31.000
1978-09-30;--:--;     30.000
1978-10-01;--:--;     30.000
1978-10-02;--:--;     27.000
1978-10-03;--:--;     27.000
1978-10-04;--:--;     25.000
