# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517920
# River:                 VAKHSH
# Station:               GARM
# Country:               TJ
# Latitude (DD):       39.0
# Longitude (DD):      70.33
# Catchment area (km²):      20000.0
# Altitude (m ASL):        1316.0
# Next downstream station:      2517910
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-11 - 1986-12
# No. of years:          51
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 18323
# DATA
YYYY-MM-DD;hh:mm; Value
1936-11-01;--:--;    179.000
1936-11-02;--:--;    175.000
1936-11-03;--:--;    179.000
1936-11-04;--:--;    216.000
1936-11-05;--:--;    208.000
1936-11-06;--:--;    204.000
1936-11-07;--:--;    208.000
1936-11-08;--:--;    196.000
1936-11-09;--:--;    196.000
1936-11-10;--:--;    179.000
1936-11-11;--:--;    175.000
1936-11-12;--:--;    171.000
1936-11-13;--:--;    148.000
1936-11-14;--:--;    144.000
1936-11-15;--:--;    127.000
1936-11-16;--:--;    127.000
1936-11-17;--:--;    127.000
1936-11-18;--:--;    107.000
1936-11-19;--:--;    163.000
1936-11-20;--:--;    140.000
1936-11-21;--:--;    159.000
1936-11-22;--:--;    175.000
1936-11-23;--:--;    163.000
1936-11-24;--:--;    171.000
1936-11-25;--:--;    167.000
1936-11-26;--:--;    155.000
1936-11-27;--:--;    148.000
1936-11-28;--:--;    179.000
1936-11-29;--:--;    171.000
1936-11-30;--:--;    159.000
1936-12-01;--:--;    155.000
1936-12-02;--:--;    171.000
1936-12-03;--:--;    148.000
1936-12-04;--:--;    179.000
1936-12-05;--:--;    187.000
1936-12-06;--:--;    183.000
1936-12-07;--:--;    196.000
1936-12-08;--:--;    187.000
1936-12-09;--:--;    179.000
1936-12-10;--:--;    167.000
1936-12-11;--:--;    163.000
1936-12-12;--:--;    167.000
1936-12-13;--:--;    155.000
1936-12-14;--:--;    171.000
1936-12-15;--:--;    159.000
1936-12-16;--:--;    159.000
1936-12-17;--:--;    148.000
1936-12-18;--:--;    152.000
1936-12-19;--:--;    148.000
1936-12-20;--:--;    159.000
1936-12-21;--:--;    155.000
1936-12-22;--:--;    155.000
1936-12-23;--:--;    144.000
1936-12-24;--:--;    131.000
1936-12-25;--:--;    136.000
1936-12-26;--:--;    131.000
1936-12-27;--:--;    127.000
1936-12-28;--:--;    131.000
1936-12-29;--:--;    123.000
1936-12-30;--:--;    123.000
1936-12-31;--:--;    115.000
1937-01-01;--:--;    125.000
1937-01-02;--:--;    123.000
1937-01-03;--:--;    122.000
1937-01-04;--:--;    116.000
1937-01-05;--:--;    116.000
1937-01-06;--:--;    118.000
1937-01-07;--:--;    118.000
1937-01-08;--:--;    116.000
1937-01-09;--:--;    116.000
1937-01-10;--:--;    116.000
1937-01-11;--:--;    116.000
1937-01-12;--:--;    116.000
1937-01-13;--:--;    116.000
1937-01-14;--:--;    115.000
1937-01-15;--:--;    115.000
1937-01-16;--:--;    115.000
1937-01-17;--:--;    115.000
1937-01-18;--:--;    115.000
1937-01-19;--:--;    115.000
1937-01-20;--:--;    115.000
1937-01-21;--:--;    113.000
1937-01-22;--:--;    113.000
1937-01-23;--:--;    113.000
1937-01-24;--:--;    110.000
1937-01-25;--:--;    108.000
1937-01-26;--:--;    108.000
1937-01-27;--:--;    108.000
1937-01-28;--:--;    110.000
1937-01-29;--:--;    110.000
1937-01-30;--:--;    103.000
1937-01-31;--:--;    103.000
1937-02-01;--:--;    103.000
1937-02-02;--:--;    104.000
1937-02-03;--:--;    103.000
1937-02-04;--:--;    100.000
1937-02-05;--:--;    103.000
1937-02-06;--:--;    104.000
1937-02-07;--:--;    104.000
1937-02-08;--:--;    105.000
1937-02-09;--:--;    111.000
1937-02-10;--:--;    116.000
1937-02-11;--:--;    104.000
1937-02-12;--:--;    113.000
1937-02-13;--:--;    107.000
1937-02-14;--:--;    111.000
1937-02-15;--:--;    103.000
1937-02-16;--:--;    103.000
1937-02-17;--:--;    103.000
1937-02-18;--:--;    103.000
1937-02-19;--:--;    120.000
1937-02-20;--:--;    120.000
1937-02-21;--:--;    125.000
1937-02-22;--:--;    125.000
1937-02-23;--:--;    118.000
1937-02-24;--:--;    118.000
1937-02-25;--:--;    115.000
1937-02-26;--:--;    115.000
1937-02-27;--:--;    111.000
1937-02-28;--:--;    107.000
1937-03-01;--:--;    100.000
1937-03-02;--:--;    103.000
1937-03-03;--:--;    103.000
1937-03-04;--:--;    110.000
1937-03-05;--:--;    113.000
1937-03-06;--:--;    107.000
1937-03-07;--:--;    107.000
1937-03-08;--:--;    103.000
1937-03-09;--:--;    104.000
1937-03-10;--:--;    102.000
1937-03-11;--:--;    104.000
1937-03-12;--:--;    103.000
1937-03-13;--:--;    103.000
1937-03-14;--:--;    107.000
1937-03-15;--:--;    107.000
1937-03-16;--:--;    105.000
1937-03-17;--:--;    107.000
1937-03-18;--:--;    111.000
1937-03-19;--:--;    110.000
1937-03-20;--:--;    111.000
1937-03-21;--:--;    110.000
1937-03-22;--:--;    108.000
1937-03-23;--:--;    108.000
1937-03-24;--:--;    113.000
1937-03-25;--:--;    118.000
1937-03-26;--:--;    122.000
1937-03-27;--:--;    123.000
1937-03-28;--:--;    116.000
1937-03-29;--:--;    116.000
1937-03-30;--:--;    120.000
1937-03-31;--:--;    122.000
1937-04-01;--:--;    122.000
1937-04-02;--:--;    134.000
1937-04-03;--:--;    140.000
1937-04-04;--:--;    152.000
1937-04-05;--:--;    156.000
1937-04-06;--:--;    162.000
1937-04-07;--:--;    164.000
1937-04-08;--:--;    177.000
1937-04-09;--:--;    196.000
1937-04-10;--:--;    183.000
1937-04-11;--:--;    179.000
1937-04-12;--:--;    175.000
1937-04-13;--:--;    228.000
1937-04-14;--:--;    242.000
1937-04-15;--:--;    210.000
1937-04-16;--:--;    201.000
1937-04-17;--:--;    181.000
1937-04-18;--:--;    168.000
1937-04-19;--:--;    162.000
1937-04-20;--:--;    166.000
1937-04-21;--:--;    162.000
1937-04-22;--:--;    181.000
1937-04-23;--:--;    198.000
1937-04-24;--:--;    196.000
1937-04-25;--:--;    158.000
1937-04-26;--:--;    172.000
1937-04-27;--:--;    190.000
1937-04-28;--:--;    187.000
1937-04-29;--:--;    190.000
1937-04-30;--:--;    218.000
1937-05-01;--:--;    242.000
1937-05-02;--:--;    264.000
1937-05-03;--:--;    267.000
1937-05-04;--:--;    276.000
1937-05-05;--:--;    267.000
1937-05-06;--:--;    276.000
1937-05-07;--:--;    300.000
1937-05-08;--:--;    300.000
1937-05-09;--:--;    294.000
1937-05-10;--:--;    321.000
1937-05-11;--:--;    348.000
1937-05-12;--:--;    454.000
1937-05-13;--:--;    495.000
1937-05-14;--:--;    520.000
1937-05-15;--:--;    509.000
1937-05-16;--:--;    492.000
1937-05-17;--:--;    675.000
1937-05-18;--:--;    577.000
1937-05-19;--:--;    405.000
1937-05-20;--:--;    386.000
1937-05-21;--:--;    414.000
1937-05-22;--:--;    383.000
1937-05-23;--:--;    396.000
1937-05-24;--:--;    351.000
1937-05-25;--:--;    368.000
1937-05-26;--:--;    371.000
1937-05-27;--:--;    623.000
1937-05-28;--:--;    675.000
1937-05-29;--:--;    472.000
1937-05-30;--:--;    500.000
1937-05-31;--:--;    469.000
1937-06-01;--:--;    463.000
1937-06-02;--:--;    444.000
1937-06-03;--:--;    466.000
1937-06-04;--:--;    466.000
1937-06-05;--:--;    577.000
1937-06-06;--:--;    672.000
1937-06-07;--:--;    672.000
1937-06-08;--:--;    636.000
1937-06-09;--:--;    668.000
1937-06-10;--:--;    848.000
1937-06-11;--:--;    616.000
1937-06-12;--:--;    648.000
1937-06-13;--:--;    608.000
1937-06-14;--:--;    712.000
1937-06-15;--:--;    723.000
1937-06-16;--:--;    960.000
1937-06-17;--:--;    941.000
1937-06-18;--:--;    987.000
1937-06-19;--:--;    944.000
1937-06-20;--:--;    678.000
1937-06-21;--:--;    795.000
1937-06-22;--:--;    802.000
1937-06-23;--:--;    760.000
1937-06-24;--:--;    783.000
1937-06-25;--:--;    733.000
1937-06-26;--:--;    685.000
1937-06-27;--:--;    927.000
1937-06-28;--:--;   1040.000
1937-06-29;--:--;   1040.000
1937-06-30;--:--;   1020.000
1937-07-01;--:--;    910.000
1937-07-02;--:--;    606.000
1937-07-03;--:--;    868.000
1937-07-04;--:--;    639.000
1937-07-05;--:--;    706.000
1937-07-06;--:--;    706.000
1937-07-07;--:--;    699.000
1937-07-08;--:--;    702.000
1937-07-09;--:--;    685.000
1937-07-10;--:--;    726.000
1937-07-11;--:--;    716.000
1937-07-12;--:--;    716.000
1937-07-13;--:--;    806.000
1937-07-14;--:--;    639.000
1937-07-15;--:--;    876.000
1937-07-16;--:--;    950.000
1937-07-17;--:--;   1010.000
1937-07-18;--:--;    957.000
1937-07-19;--:--;    987.000
1937-07-20;--:--;   1040.000
1937-07-21;--:--;   1020.000
1937-07-22;--:--;   1010.000
1937-07-23;--:--;    980.000
1937-07-24;--:--;    907.000
1937-07-25;--:--;    809.000
1937-07-26;--:--;    944.000
1937-07-27;--:--;   1160.000
1937-07-28;--:--;   1170.000
1937-07-29;--:--;   1030.000
1937-07-30;--:--;    937.000
1937-07-31;--:--;   1110.000
1937-08-01;--:--;    967.000
1937-08-02;--:--;    924.000
1937-08-03;--:--;    907.000
1937-08-04;--:--;    890.000
1937-08-05;--:--;    947.000
1937-08-06;--:--;    984.000
1937-08-07;--:--;    950.000
1937-08-08;--:--;    798.000
1937-08-09;--:--;    665.000
1937-08-10;--:--;    622.000
1937-08-11;--:--;    629.000
1937-08-12;--:--;    611.000
1937-08-13;--:--;    672.000
1937-08-14;--:--;    716.000
1937-08-15;--:--;    748.000
1937-08-16;--:--;    759.000
1937-08-17;--:--;    792.000
1937-08-18;--:--;    840.000
1937-08-19;--:--;    822.000
1937-08-20;--:--;    916.000
1937-08-21;--:--;    855.000
1937-08-22;--:--;    829.000
1937-08-23;--:--;    873.000
1937-08-24;--:--;    862.000
1937-08-25;--:--;    855.000
1937-08-26;--:--;    883.000
1937-08-27;--:--;    894.000
1937-08-28;--:--;    891.000
1937-08-29;--:--;    887.000
1937-08-30;--:--;    883.000
1937-08-31;--:--;    792.000
1937-09-01;--:--;    773.000
1937-09-02;--:--;    745.000
1937-09-03;--:--;    689.000
1937-09-04;--:--;    622.000
1937-09-05;--:--;    622.000
1937-09-06;--:--;    636.000
1937-09-07;--:--;    625.000
1937-09-08;--:--;    531.000
1937-09-09;--:--;    510.000
1937-09-10;--:--;    427.000
1937-09-11;--:--;    394.000
1937-09-12;--:--;    349.000
1937-09-13;--:--;    324.000
1937-09-14;--:--;    330.000
1937-09-15;--:--;    321.000
1937-09-16;--:--;    324.000
1937-09-17;--:--;    371.000
1937-09-18;--:--;    336.000
1937-09-19;--:--;    333.000
1937-09-20;--:--;    336.000
1937-09-21;--:--;    327.000
1937-09-22;--:--;    327.000
1937-09-23;--:--;    327.000
1937-09-24;--:--;    314.000
1937-09-25;--:--;    311.000
1937-09-26;--:--;    299.000
1937-09-27;--:--;    287.000
1937-09-28;--:--;    302.000
1937-09-29;--:--;    290.000
1937-09-30;--:--;    290.000
1937-10-01;--:--;    290.000
1937-10-02;--:--;    290.000
1937-10-03;--:--;    293.000
1937-10-04;--:--;    281.000
1937-10-05;--:--;    258.000
1937-10-06;--:--;    255.000
1937-10-07;--:--;    250.000
1937-10-08;--:--;    261.000
1937-10-09;--:--;    235.000
1937-10-10;--:--;    227.000
1937-10-11;--:--;    190.000
1937-10-12;--:--;    198.000
1937-10-13;--:--;    195.000
1937-10-14;--:--;    182.000
1937-10-15;--:--;    177.000
1937-10-16;--:--;    180.000
1937-10-17;--:--;    177.000
1937-10-18;--:--;    175.000
1937-10-19;--:--;    158.000
1937-10-20;--:--;    158.000
1937-10-21;--:--;    156.000
1937-10-22;--:--;    173.000
1937-10-23;--:--;    168.000
1937-10-24;--:--;    173.000
1937-10-25;--:--;    158.000
1937-10-26;--:--;    156.000
1937-10-27;--:--;    154.000
1937-10-28;--:--;    158.000
1937-10-29;--:--;    170.000
1937-10-30;--:--;    156.000
1937-10-31;--:--;    154.000
1937-11-01;--:--;    152.000
1937-11-02;--:--;    152.000
1937-11-03;--:--;    149.000
1937-11-04;--:--;    142.000
1937-11-05;--:--;    142.000
1937-11-06;--:--;    142.000
1937-11-07;--:--;    142.000
1937-11-08;--:--;    140.000
1937-11-09;--:--;    140.000
1937-11-10;--:--;    145.000
1937-11-11;--:--;    145.000
1937-11-12;--:--;    145.000
1937-11-13;--:--;    145.000
1937-11-14;--:--;    145.000
1937-11-15;--:--;    145.000
1937-11-16;--:--;    145.000
1937-11-17;--:--;    145.000
1937-11-18;--:--;    145.000
1937-11-19;--:--;    145.000
1937-11-20;--:--;    145.000
1937-11-21;--:--;    145.000
1937-11-22;--:--;    145.000
1937-11-23;--:--;    145.000
1937-11-24;--:--;    138.000
1937-11-25;--:--;    138.000
1937-11-26;--:--;    138.000
1937-11-27;--:--;    138.000
1937-11-28;--:--;    138.000
1937-11-29;--:--;    138.000
1937-11-30;--:--;    133.000
1937-12-01;--:--;    133.000
1937-12-02;--:--;    135.000
1937-12-03;--:--;    135.000
1937-12-04;--:--;    138.000
1937-12-05;--:--;    138.000
1937-12-06;--:--;    140.000
1937-12-07;--:--;    140.000
1937-12-08;--:--;    142.000
1937-12-09;--:--;    142.000
1937-12-10;--:--;    116.000
1937-12-11;--:--;    116.000
1937-12-12;--:--;    116.000
1937-12-13;--:--;    116.000
1937-12-14;--:--;    116.000
