# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2816650
# River:                 SOKH
# Station:               SARYKANDA
# Country:               UZ
# Latitude (DD):       39.944686
# Longitude (DD):      71.109463
# Catchment area (km²):      2480.0
# Altitude (m ASL):        1140.0
# Next downstream station:      2316200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978-01 - 1987-12
# No. of years:          11
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 3652
# DATA
YYYY-MM-DD;hh:mm; Value
1978-01-01;--:--;     13.000
1978-01-02;--:--;     13.000
1978-01-03;--:--;     13.000
1978-01-04;--:--;     12.000
1978-01-05;--:--;     12.000
1978-01-06;--:--;     13.000
1978-01-07;--:--;     14.000
1978-01-08;--:--;     13.000
1978-01-09;--:--;     13.000
1978-01-10;--:--;     13.000
1978-01-11;--:--;     14.000
1978-01-12;--:--;     14.000
1978-01-13;--:--;     13.000
1978-01-14;--:--;     13.000
1978-01-15;--:--;     13.000
1978-01-16;--:--;     12.000
1978-01-17;--:--;     12.000
1978-01-18;--:--;     12.000
1978-01-19;--:--;     12.000
1978-01-20;--:--;     12.000
1978-01-21;--:--;     12.000
1978-01-22;--:--;     12.000
1978-01-23;--:--;     12.000
1978-01-24;--:--;     12.000
1978-01-25;--:--;     12.000
1978-01-26;--:--;     12.000
1978-01-27;--:--;     12.000
1978-01-28;--:--;     12.000
1978-01-29;--:--;     12.000
1978-01-30;--:--;     12.000
1978-01-31;--:--;     12.000
1978-02-01;--:--;     12.000
1978-02-02;--:--;     12.000
1978-02-03;--:--;     12.000
1978-02-04;--:--;     12.000
1978-02-05;--:--;     12.000
1978-02-06;--:--;     11.000
1978-02-07;--:--;     11.000
1978-02-08;--:--;     10.000
1978-02-09;--:--;     10.000
1978-02-10;--:--;     10.000
1978-02-11;--:--;     10.000
1978-02-12;--:--;     11.000
1978-02-13;--:--;     11.000
1978-02-14;--:--;     11.000
1978-02-15;--:--;     11.000
1978-02-16;--:--;     11.000
1978-02-17;--:--;     11.000
1978-02-18;--:--;     11.000
1978-02-19;--:--;     11.000
1978-02-20;--:--;     11.000
1978-02-21;--:--;     11.000
1978-02-22;--:--;     11.000
1978-02-23;--:--;     11.000
1978-02-24;--:--;     11.000
1978-02-25;--:--;     11.000
1978-02-26;--:--;     11.000
1978-02-27;--:--;     11.000
1978-02-28;--:--;     11.000
1978-03-01;--:--;     11.000
1978-03-02;--:--;     11.000
1978-03-03;--:--;     11.000
1978-03-04;--:--;     11.000
1978-03-05;--:--;     11.000
1978-03-06;--:--;     10.000
1978-03-07;--:--;     11.000
1978-03-08;--:--;     11.000
1978-03-09;--:--;     11.000
1978-03-10;--:--;     11.000
1978-03-11;--:--;     10.000
1978-03-12;--:--;     11.000
1978-03-13;--:--;     11.000
1978-03-14;--:--;     11.000
1978-03-15;--:--;     11.000
1978-03-16;--:--;     11.000
1978-03-17;--:--;     11.000
1978-03-18;--:--;     10.000
1978-03-19;--:--;     10.000
1978-03-20;--:--;     10.000
1978-03-21;--:--;     10.000
1978-03-22;--:--;     10.000
1978-03-23;--:--;     10.000
1978-03-24;--:--;     10.000
1978-03-25;--:--;     10.000
1978-03-26;--:--;     10.000
1978-03-27;--:--;     10.000
1978-03-28;--:--;     10.000
1978-03-29;--:--;     10.000
1978-03-30;--:--;     10.000
1978-03-31;--:--;     10.000
1978-04-01;--:--;     10.000
1978-04-02;--:--;     10.000
1978-04-03;--:--;     10.000
1978-04-04;--:--;     10.000
1978-04-05;--:--;      9.000
1978-04-06;--:--;     10.000
1978-04-07;--:--;     10.000
1978-04-08;--:--;     10.000
1978-04-09;--:--;     10.000
1978-04-10;--:--;     11.000
1978-04-11;--:--;     11.000
1978-04-12;--:--;     13.000
1978-04-13;--:--;     14.000
1978-04-14;--:--;     15.000
1978-04-15;--:--;     16.000
1978-04-16;--:--;     23.000
1978-04-17;--:--;     19.000
1978-04-18;--:--;     15.000
1978-04-19;--:--;     14.000
1978-04-20;--:--;     13.000
1978-04-21;--:--;     12.000
1978-04-22;--:--;     14.000
1978-04-23;--:--;     13.000
1978-04-24;--:--;     13.000
1978-04-25;--:--;     12.000
1978-04-26;--:--;     15.000
1978-04-27;--:--;     14.000
1978-04-28;--:--;     15.000
1978-04-29;--:--;     13.000
1978-04-30;--:--;     13.000
1978-05-01;--:--;     15.000
1978-05-02;--:--;     20.000
1978-05-03;--:--;     22.000
1978-05-04;--:--;     19.000
1978-05-05;--:--;     23.000
1978-05-06;--:--;     24.000
1978-05-07;--:--;     22.000
1978-05-08;--:--;     24.000
1978-05-09;--:--;     26.000
1978-05-10;--:--;     30.000
1978-05-11;--:--;     31.000
1978-05-12;--:--;     27.000
1978-05-13;--:--;     22.000
1978-05-14;--:--;     20.000
1978-05-15;--:--;     20.000
1978-05-16;--:--;     23.000
1978-05-17;--:--;     27.000
1978-05-18;--:--;     30.000
1978-05-19;--:--;     28.000
1978-05-20;--:--;     31.000
1978-05-21;--:--;     29.000
1978-05-22;--:--;     31.000
1978-05-23;--:--;     28.000
1978-05-24;--:--;     49.000
1978-05-25;--:--;     37.000
1978-05-26;--:--;     33.000
1978-05-27;--:--;     28.000
1978-05-28;--:--;     27.000
1978-05-29;--:--;     26.000
1978-05-30;--:--;     33.000
1978-05-31;--:--;     34.000
1978-06-01;--:--;     35.000
1978-06-02;--:--;     37.000
1978-06-03;--:--;     47.000
1978-06-04;--:--;     43.000
1978-06-05;--:--;     43.000
1978-06-06;--:--;     48.000
1978-06-07;--:--;     58.000
1978-06-08;--:--;     62.000
1978-06-09;--:--;     50.000
1978-06-10;--:--;     46.000
1978-06-11;--:--;     47.000
1978-06-12;--:--;     60.000
1978-06-13;--:--;     60.000
1978-06-14;--:--;     53.000
1978-06-15;--:--;     62.000
1978-06-16;--:--;     60.000
1978-06-17;--:--;     66.000
1978-06-18;--:--;     71.000
1978-06-19;--:--;     82.000
1978-06-20;--:--;     98.000
1978-06-21;--:--;     99.000
1978-06-22;--:--;    115.000
1978-06-23;--:--;    127.000
1978-06-24;--:--;    138.000
1978-06-25;--:--;    141.000
1978-06-26;--:--;    158.000
1978-06-27;--:--;    162.000
1978-06-28;--:--;    165.000
1978-06-29;--:--;    169.000
1978-06-30;--:--;    181.000
1978-07-01;--:--;    185.000
1978-07-02;--:--;    181.000
1978-07-03;--:--;    186.000
1978-07-04;--:--;    197.000
1978-07-05;--:--;    199.000
1978-07-06;--:--;    189.000
1978-07-07;--:--;    161.000
1978-07-08;--:--;    131.000
1978-07-09;--:--;    130.000
1978-07-10;--:--;    130.000
1978-07-11;--:--;    136.000
1978-07-12;--:--;    147.000
1978-07-13;--:--;    158.000
1978-07-14;--:--;    165.000
1978-07-15;--:--;    178.000
1978-07-16;--:--;    186.000
1978-07-17;--:--;    189.000
1978-07-18;--:--;    171.000
1978-07-19;--:--;    165.000
1978-07-20;--:--;    169.000
1978-07-21;--:--;    174.000
1978-07-22;--:--;    163.000
1978-07-23;--:--;    172.000
1978-07-24;--:--;    173.000
1978-07-25;--:--;    179.000
1978-07-26;--:--;    177.000
1978-07-27;--:--;    171.000
1978-07-28;--:--;    163.000
1978-07-29;--:--;    161.000
1978-07-30;--:--;    161.000
1978-07-31;--:--;    152.000
1978-08-01;--:--;    157.000
1978-08-02;--:--;    153.000
1978-08-03;--:--;    150.000
1978-08-04;--:--;    150.000
1978-08-05;--:--;    148.000
1978-08-06;--:--;    150.000
1978-08-07;--:--;    152.000
1978-08-08;--:--;    152.000
1978-08-09;--:--;    152.000
1978-08-10;--:--;    152.000
