# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2817100
# River:                 AMU DARYA
# Station:               CHATLY
# Country:               UZ
# Latitude (DD):       42.28
# Longitude (DD):      59.7
# Catchment area (km²):      450000.0
# Altitude (m ASL):        72.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN DAILY DISCHARGE (Q)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936-01 - 1973-12
# No. of years:          39
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date
#     hh:mm      - Time
#     Value   - original (provided) data
#************************************************************
#
# Data lines: 13880
# DATA
YYYY-MM-DD;hh:mm; Value
1936-01-01;--:--;    688.000
1936-01-02;--:--;    664.000
1936-01-03;--:--;    614.000
1936-01-04;--:--;    634.000
1936-01-05;--:--;    626.000
1936-01-06;--:--;    610.000
1936-01-07;--:--;    614.000
1936-01-08;--:--;    624.000
1936-01-09;--:--;    639.000
1936-01-10;--:--;    695.000
1936-01-11;--:--;    713.000
1936-01-12;--:--;    734.000
1936-01-13;--:--;    712.000
1936-01-14;--:--;    688.000
1936-01-15;--:--;    696.000
1936-01-16;--:--;    725.000
1936-01-17;--:--;    782.000
1936-01-18;--:--;    821.000
1936-01-19;--:--;    833.000
1936-01-20;--:--;    802.000
1936-01-21;--:--;    741.000
1936-01-22;--:--;    673.000
1936-01-23;--:--;    600.000
1936-01-24;--:--;    528.000
1936-01-25;--:--;    500.000
1936-01-26;--:--;    464.000
1936-01-27;--:--;    440.000
1936-01-28;--:--;    459.000
1936-01-29;--:--;    448.000
1936-01-30;--:--;    460.000
1936-01-31;--:--;    492.000
1936-02-01;--:--;    496.000
1936-02-02;--:--;    550.000
1936-02-03;--:--;    577.000
1936-02-04;--:--;    560.000
1936-02-05;--:--;    539.000
1936-02-06;--:--;    506.000
1936-02-07;--:--;    477.000
1936-02-08;--:--;    481.000
1936-02-09;--:--;    508.000
1936-02-10;--:--;    535.000
1936-02-11;--:--;    566.000
1936-02-12;--:--;    585.000
1936-02-13;--:--;    602.000
1936-02-14;--:--;    629.000
1936-02-15;--:--;    739.000
1936-02-16;--:--;    813.000
1936-02-17;--:--;    792.000
1936-02-18;--:--;    748.000
1936-02-19;--:--;    715.000
1936-02-20;--:--;    705.000
1936-02-21;--:--;    684.000
1936-02-22;--:--;    602.000
1936-02-23;--:--;    567.000
1936-02-24;--:--;    474.000
1936-02-25;--:--;    441.000
1936-02-26;--:--;    373.000
1936-02-27;--:--;    324.000
1936-02-28;--:--;    331.000
1936-02-29;--:--;    357.000
1936-03-01;--:--;    388.000
1936-03-02;--:--;    427.000
1936-03-03;--:--;    453.000
1936-03-04;--:--;    468.000
1936-03-05;--:--;    465.000
1936-03-06;--:--;    515.000
1936-03-07;--:--;    580.000
1936-03-08;--:--;    613.000
1936-03-09;--:--;    620.000
1936-03-10;--:--;    613.000
1936-03-11;--:--;    591.000
1936-03-12;--:--;    577.000
1936-03-13;--:--;    589.000
1936-03-14;--:--;    621.000
1936-03-15;--:--;    622.000
1936-03-16;--:--;    792.000
1936-03-17;--:--;    885.000
1936-03-18;--:--;    741.000
1936-03-19;--:--;    592.000
1936-03-20;--:--;    474.000
1936-03-21;--:--;    425.000
1936-03-22;--:--;    453.000
1936-03-23;--:--;    419.000
1936-03-24;--:--;    389.000
1936-03-25;--:--;    379.000
1936-03-26;--:--;    388.000
1936-03-27;--:--;    409.000
1936-03-28;--:--;    430.000
1936-03-29;--:--;    477.000
1936-03-30;--:--;    514.000
1936-03-31;--:--;    579.000
1936-04-01;--:--;    670.000
1936-04-02;--:--;    739.000
1936-04-03;--:--;    713.000
1936-04-04;--:--;    687.000
1936-04-05;--:--;    678.000
1936-04-06;--:--;    678.000
1936-04-07;--:--;    670.000
1936-04-08;--:--;    653.000
1936-04-09;--:--;    644.000
1936-04-10;--:--;    678.000
1936-04-11;--:--;    644.000
1936-04-12;--:--;    636.000
1936-04-13;--:--;    628.000
1936-04-14;--:--;    765.000
1936-04-15;--:--;    865.000
1936-04-16;--:--;    876.000
1936-04-17;--:--;    876.000
1936-04-18;--:--;    876.000
1936-04-19;--:--;    865.000
1936-04-20;--:--;    855.000
1936-04-21;--:--;    825.000
1936-04-22;--:--;    825.000
1936-04-23;--:--;    835.000
1936-04-24;--:--;    845.000
1936-04-25;--:--;    835.000
1936-04-26;--:--;    815.000
1936-04-27;--:--;   1060.000
1936-04-28;--:--;   1320.000
1936-04-29;--:--;   1380.000
1936-04-30;--:--;   1350.000
1936-05-01;--:--;   1240.000
1936-05-02;--:--;   1270.000
1936-05-03;--:--;   1410.000
1936-05-04;--:--;   1480.000
1936-05-05;--:--;   1340.000
1936-05-06;--:--;   1270.000
1936-05-07;--:--;   1240.000
1936-05-08;--:--;   1270.000
1936-05-09;--:--;   1280.000
1936-05-10;--:--;   1350.000
1936-05-11;--:--;   2340.000
1936-05-12;--:--;   2880.000
1936-05-13;--:--;   2370.000
1936-05-14;--:--;   1860.000
1936-05-15;--:--;   1540.000
1936-05-16;--:--;   1400.000
1936-05-17;--:--;   1350.000
1936-05-18;--:--;   1400.000
1936-05-19;--:--;   1810.000
1936-05-20;--:--;   1860.000
1936-05-21;--:--;   1990.000
1936-05-22;--:--;   2080.000
1936-05-23;--:--;   2130.000
1936-05-24;--:--;   2140.000
1936-05-25;--:--;   2840.000
1936-05-26;--:--;   3170.000
1936-05-27;--:--;   3780.000
1936-05-28;--:--;   4300.000
1936-05-29;--:--;   4620.000
1936-05-30;--:--;   4170.000
1936-05-31;--:--;   3950.000
1936-06-01;--:--;   3880.000
1936-06-02;--:--;   3900.000
1936-06-03;--:--;   3950.000
1936-06-04;--:--;   4040.000
1936-06-05;--:--;   4120.000
1936-06-06;--:--;   4190.000
1936-06-07;--:--;   4300.000
1936-06-08;--:--;   4320.000
1936-06-09;--:--;   4340.000
1936-06-10;--:--;   4410.000
1936-06-11;--:--;   4300.000
1936-06-12;--:--;   3990.000
1936-06-13;--:--;   3730.000
1936-06-14;--:--;   3540.000
1936-06-15;--:--;   3610.000
1936-06-16;--:--;   3760.000
1936-06-17;--:--;   3970.000
1936-06-18;--:--;   4100.000
1936-06-19;--:--;   4150.000
1936-06-20;--:--;   4150.000
1936-06-21;--:--;   4080.000
1936-06-22;--:--;   3840.000
1936-06-23;--:--;   3460.000
1936-06-24;--:--;   3400.000
1936-06-25;--:--;   3520.000
1936-06-26;--:--;   3800.000
1936-06-27;--:--;   4060.000
1936-06-28;--:--;   4190.000
1936-06-29;--:--;   4190.000
1936-06-30;--:--;   3730.000
1936-07-01;--:--;   3420.000
1936-07-02;--:--;   3070.000
1936-07-03;--:--;   2860.000
1936-07-04;--:--;   2820.000
1936-07-05;--:--;   2880.000
1936-07-06;--:--;   3070.000
1936-07-07;--:--;   3290.000
1936-07-08;--:--;   3540.000
1936-07-09;--:--;   3710.000
1936-07-10;--:--;   3840.000
1936-07-11;--:--;   4010.000
1936-07-12;--:--;   4170.000
1936-07-13;--:--;   4300.000
1936-07-14;--:--;   4480.000
1936-07-15;--:--;   4280.000
1936-07-16;--:--;   3990.000
1936-07-17;--:--;   3730.000
1936-07-18;--:--;   3610.000
1936-07-19;--:--;   3520.000
1936-07-20;--:--;   3420.000
1936-07-21;--:--;   3310.000
1936-07-22;--:--;   3290.000
1936-07-23;--:--;   3230.000
1936-07-24;--:--;   3150.000
1936-07-25;--:--;   2840.000
1936-07-26;--:--;   2690.000
1936-07-27;--:--;   2510.000
1936-07-28;--:--;   2470.000
1936-07-29;--:--;   2410.000
1936-07-30;--:--;   2550.000
1936-07-31;--:--;   2720.000
1936-08-01;--:--;   3010.000
1936-08-02;--:--;   3290.000
1936-08-03;--:--;   3360.000
1936-08-04;--:--;   3210.000
1936-08-05;--:--;   3150.000
1936-08-06;--:--;   2970.000
1936-08-07;--:--;   2760.000
1936-08-08;--:--;   2570.000
1936-08-09;--:--;   2350.000
1936-08-10;--:--;   2170.000
1936-08-11;--:--;   2190.000
1936-08-12;--:--;   2240.000
1936-08-13;--:--;   2220.000
1936-08-14;--:--;   2240.000
1936-08-15;--:--;   2200.000
1936-08-16;--:--;   2200.000
1936-08-17;--:--;   2190.000
1936-08-18;--:--;   2260.000
1936-08-19;--:--;   2280.000
1936-08-20;--:--;   2240.000
1936-08-21;--:--;   2100.000
1936-08-22;--:--;   2200.000
1936-08-23;--:--;   2280.000
1936-08-24;--:--;   2370.000
1936-08-25;--:--;   2490.000
1936-08-26;--:--;   2470.000
1936-08-27;--:--;   2610.000
1936-08-28;--:--;   2550.000
1936-08-29;--:--;   2430.000
1936-08-30;--:--;   2260.000
1936-08-31;--:--;   2020.000
1936-09-01;--:--;   1920.000
1936-09-02;--:--;   1810.000
1936-09-03;--:--;   1770.000
1936-09-04;--:--;   1600.000
1936-09-05;--:--;   1490.000
1936-09-06;--:--;   1460.000
1936-09-07;--:--;   1460.000
1936-09-08;--:--;   1460.000
1936-09-09;--:--;   1510.000
1936-09-10;--:--;   1570.000
1936-09-11;--:--;   1680.000
1936-09-12;--:--;   1750.000
1936-09-13;--:--;   1750.000
1936-09-14;--:--;   1750.000
1936-09-15;--:--;   1680.000
1936-09-16;--:--;   1680.000
1936-09-17;--:--;   1600.000
1936-09-18;--:--;   1670.000
1936-09-19;--:--;   1620.000
1936-09-20;--:--;   1560.000
1936-09-21;--:--;   1520.000
1936-09-22;--:--;   1460.000
1936-09-23;--:--;   1400.000
1936-09-24;--:--;   1380.000
1936-09-25;--:--;   1380.000
1936-09-26;--:--;   1350.000
1936-09-27;--:--;   1380.000
1936-09-28;--:--;   1400.000
1936-09-29;--:--;   1440.000
1936-09-30;--:--;   1510.000
1936-10-01;--:--;   1590.000
1936-10-02;--:--;   1560.000
1936-10-03;--:--;   1490.000
1936-10-04;--:--;   1430.000
1936-10-05;--:--;   1380.000
1936-10-06;--:--;   1350.000
1936-10-07;--:--;   1310.000
1936-10-08;--:--;   1310.000
1936-10-09;--:--;   1280.000
1936-10-10;--:--;   1240.000
1936-10-11;--:--;   1200.000
1936-10-12;--:--;   1200.000
1936-10-13;--:--;   1240.000
1936-10-14;--:--;   1130.000
1936-10-15;--:--;   1100.000
1936-10-16;--:--;   1080.000
1936-10-17;--:--;   1040.000
1936-10-18;--:--;   1020.000
1936-10-19;--:--;   1000.000
1936-10-20;--:--;    988.000
1936-10-21;--:--;    964.000
1936-10-22;--:--;    953.000
1936-10-23;--:--;    942.000
1936-10-24;--:--;    953.000
1936-10-25;--:--;    953.000
1936-10-26;--:--;    942.000
1936-10-27;--:--;    931.000
1936-10-28;--:--;    898.000
1936-10-29;--:--;    887.000
1936-10-30;--:--;    876.000
1936-10-31;--:--;    855.000
1936-11-01;--:--;    855.000
1936-11-02;--:--;    845.000
1936-11-03;--:--;    835.000
1936-11-04;--:--;    855.000
1936-11-05;--:--;    855.000
1936-11-06;--:--;    855.000
1936-11-07;--:--;    855.000
1936-11-08;--:--;    845.000
1936-11-09;--:--;    845.000
1936-11-10;--:--;    845.000
1936-11-11;--:--;    845.000
1936-11-12;--:--;    835.000
1936-11-13;--:--;    855.000
1936-11-14;--:--;    855.000
1936-11-15;--:--;    865.000
1936-11-16;--:--;    825.000
1936-11-17;--:--;    805.000
1936-11-18;--:--;    795.000
1936-11-19;--:--;    775.000
1936-11-20;--:--;    756.000
1936-11-21;--:--;    765.000
1936-11-22;--:--;    756.000
1936-11-23;--:--;    739.000
1936-11-24;--:--;    730.000
1936-11-25;--:--;    713.000
1936-11-26;--:--;    713.000
1936-11-27;--:--;    704.000
1936-11-28;--:--;    713.000
1936-11-29;--:--;    687.000
1936-11-30;--:--;    653.000
1936-12-01;--:--;    661.000
1936-12-02;--:--;    653.000
1936-12-03;--:--;    653.000
1936-12-04;--:--;    661.000
1936-12-05;--:--;    661.000
1936-12-06;--:--;    636.000
1936-12-07;--:--;    636.000
1936-12-08;--:--;    628.000
1936-12-09;--:--;    628.000
1936-12-10;--:--;    611.000
1936-12-11;--:--;    636.000
1936-12-12;--:--;    636.000
1936-12-13;--:--;    619.000
1936-12-14;--:--;    628.000
1936-12-15;--:--;    628.000
1936-12-16;--:--;    636.000
1936-12-17;--:--;   -999.000
1936-12-18;--:--;   -999.000
1936-12-19;--:--;   -999.000
1936-12-20;--:--;   -999.000
1936-12-21;--:--;   -999.000
1936-12-22;--:--;   -999.000
1936-12-23;--:--;   -999.000
1936-12-24;--:--;   -999.000
1936-12-25;--:--;   -999.000
1936-12-26;--:--;   -999.000
