# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217100
# River:                 DARYA-YE KUNDUZ
# Station:               KULUKH TEPA
# Country:               AF
# Latitude (DD):       36.983333
# Longitude (DD):      68.3
# Catchment area (km²):      37100.0
# Altitude (m ASL):        320.0
# Next downstream station:      2617110
# Remarks:               USGS-ID: 365900068180000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965 - 1978
# No. of years:          14
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 156
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1965-10-01;--:--;   -999.000;     69.832; 100
1965-11-01;--:--;   -999.000;     86.967; 100
1965-12-01;--:--;   -999.000;     86.206; 100
1966-01-01;--:--;   -999.000;     71.868; 100
1966-02-01;--:--;   -999.000;     61.757; 100
1966-03-01;--:--;   -999.000;     83.752; 100
1966-04-01;--:--;   -999.000;     95.550; 100
1966-05-01;--:--;   -999.000;    156.810; 100
1966-06-01;--:--;   -999.000;    427.667; 100
1966-07-01;--:--;   -999.000;    156.503; 100
1966-08-01;--:--;   -999.000;     64.835; 100
1966-09-01;--:--;   -999.000;     37.003; 100
1966-10-01;--:--;   -999.000;     86.523; 100
1966-11-01;--:--;   -999.000;     93.813; 100
1966-12-01;--:--;   -999.000;     80.039; 100
1967-01-01;--:--;   -999.000;     71.123; 100
1967-02-01;--:--;   -999.000;     68.743; 100
1967-03-01;--:--;   -999.000;     66.506; 100
1967-04-01;--:--;   -999.000;     60.587; 100
1967-05-01;--:--;   -999.000;    111.800; 100
1967-06-01;--:--;   -999.000;    334.333; 100
1967-07-01;--:--;   -999.000;    258.065; 100
1967-08-01;--:--;   -999.000;     78.377; 100
1967-09-01;--:--;   -999.000;     32.510; 100
1967-10-01;--:--;   -999.000;     70.116; 100
1967-11-01;--:--;   -999.000;     83.250; 100
1967-12-01;--:--;   -999.000;     87.090; 100
1968-01-01;--:--;   -999.000;     79.645; 100
1968-02-01;--:--;   -999.000;     67.734; 100
1968-03-01;--:--;   -999.000;     62.203; 100
1968-04-01;--:--;   -999.000;     85.710; 100
1968-05-01;--:--;   -999.000;    174.387; 100
1968-06-01;--:--;   -999.000;    618.000; 100
1968-07-01;--:--;   -999.000;    407.903; 100
1968-08-01;--:--;   -999.000;    141.687; 100
1968-09-01;--:--;   -999.000;     46.190; 100
1968-10-01;--:--;   -999.000;     78.726; 100
1968-11-01;--:--;   -999.000;     88.650; 100
1968-12-01;--:--;   -999.000;     95.081; 100
1969-01-01;--:--;   -999.000;     80.652; 100
1969-02-01;--:--;   -999.000;     70.921; 100
1969-03-01;--:--;   -999.000;     96.335; 100
1969-04-01;--:--;   -999.000;    179.000; 100
1969-05-01;--:--;   -999.000;    233.871; 100
1969-06-01;--:--;   -999.000;    483.667; 100
1969-07-01;--:--;   -999.000;    389.839; 100
1969-08-01;--:--;   -999.000;    153.710; 100
1969-09-01;--:--;   -999.000;     60.427; 100
1969-10-01;--:--;   -999.000;    100.681; 100
1969-11-01;--:--;   -999.000;    103.060; 100
1969-12-01;--:--;   -999.000;     91.071; 100
1970-01-01;--:--;   -999.000;     80.316; 100
1970-02-01;--:--;   -999.000;     74.121; 100
1970-03-01;--:--;   -999.000;     76.323; 100
1970-04-01;--:--;   -999.000;     63.203; 100
1970-05-01;--:--;   -999.000;    150.268; 100
1970-06-01;--:--;   -999.000;    198.500; 100
1970-07-01;--:--;   -999.000;    107.274; 100
1970-08-01;--:--;   -999.000;     37.432; 100
1970-09-01;--:--;   -999.000;     47.817; 100
1970-10-01;--:--;   -999.000;     75.077; 100
1970-11-01;--:--;   -999.000;     80.603; 100
1970-12-01;--:--;   -999.000;     88.655; 100
1971-01-01;--:--;   -999.000;     75.568; 100
1971-02-01;--:--;   -999.000;     67.768; 100
1971-03-01;--:--;   -999.000;     69.006; 100
1971-04-01;--:--;   -999.000;     62.907; 100
1971-05-01;--:--;   -999.000;    138.181; 100
1971-06-01;--:--;   -999.000;    148.167; 100
1971-07-01;--:--;   -999.000;     11.968; 100
1971-08-01;--:--;   -999.000;     10.774; 100
1971-09-01;--:--;   -999.000;     23.750; 100
1971-10-01;--:--;   -999.000;     52.803; 100
1971-11-01;--:--;   -999.000;     77.547; 100
1971-12-01;--:--;   -999.000;     67.348; 100
1972-01-01;--:--;   -999.000;     60.481; 100
1972-02-01;--:--;   -999.000;     55.893; 100
1972-03-01;--:--;   -999.000;     65.968; 100
1972-04-01;--:--;   -999.000;     68.087; 100
1972-05-01;--:--;   -999.000;     89.965; 100
1972-06-01;--:--;   -999.000;    285.460; 100
1972-07-01;--:--;   -999.000;    165.774; 100
1972-08-01;--:--;   -999.000;     44.232; 100
1972-09-01;--:--;   -999.000;     19.827; 100
1972-10-01;--:--;   -999.000;     51.019; 100
1972-11-01;--:--;   -999.000;     61.377; 100
1972-12-01;--:--;   -999.000;     66.281; 100
1973-01-01;--:--;   -999.000;     59.045; 100
1973-02-01;--:--;   -999.000;     65.214; 100
1973-03-01;--:--;   -999.000;     84.732; 100
1973-04-01;--:--;   -999.000;    130.400; 100
1973-05-01;--:--;   -999.000;    236.161; 100
1973-06-01;--:--;   -999.000;    363.867; 100
1973-07-01;--:--;   -999.000;    230.161; 100
1973-08-01;--:--;   -999.000;     39.677; 100
1973-09-01;--:--;   -999.000;     31.627; 100
