# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217101
# River:                 DARYA-YE KUNDUZ
# Station:               CHAR DARA
# Country:               AF
# Latitude (DD):       36.7
# Longitude (DD):      68.833333
# Catchment area (km²):      24820.0
# Altitude (m ASL):        401.0
# Next downstream station:      2217100
# Remarks:               USGS-ID: 364200068500000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 170
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-08-01;--:--;   -999.000;     25.652;  87
1964-09-01;--:--;   -999.000;     15.387; 100
1964-10-01;--:--;   -999.000;     18.581; 100
1964-11-01;--:--;   -999.000;     22.533; 100
1964-12-01;--:--;   -999.000;     29.774; 100
1965-01-01;--:--;   -999.000;     28.645; 100
1965-02-01;--:--;   -999.000;     28.661; 100
1965-03-01;--:--;   -999.000;     29.113; 100
1965-04-01;--:--;   -999.000;     37.677; 100
1965-05-01;--:--;   -999.000;     57.948; 100
1965-06-01;--:--;   -999.000;    211.467; 100
1965-07-01;--:--;   -999.000;    171.516; 100
1965-08-01;--:--;   -999.000;     48.129; 100
1965-09-01;--:--;   -999.000;     23.233; 100
1965-10-01;--:--;   -999.000;     29.494; 100
1965-11-01;--:--;   -999.000;     31.897; 100
1965-12-01;--:--;   -999.000;     36.977; 100
1966-01-01;--:--;   -999.000;     34.539; 100
1966-02-01;--:--;   -999.000;     34.364; 100
1966-03-01;--:--;   -999.000;     42.677; 100
1966-04-01;--:--;   -999.000;     58.267; 100
1966-05-01;--:--;   -999.000;    115.645; 100
1966-06-01;--:--;   -999.000;    239.767; 100
1966-07-01;--:--;   -999.000;     83.326; 100
1966-08-01;--:--;   -999.000;     31.490; 100
1966-09-01;--:--;   -999.000;     18.907; 100
1966-10-01;--:--;   -999.000;     32.468; 100
1966-11-01;--:--;   -999.000;     33.740; 100
1966-12-01;--:--;   -999.000;     33.916; 100
1967-01-01;--:--;   -999.000;     32.877; 100
1967-02-01;--:--;   -999.000;     36.050; 100
1967-03-01;--:--;   -999.000;     34.274; 100
1967-04-01;--:--;   -999.000;     30.270; 100
1967-05-01;--:--;   -999.000;     80.545; 100
1967-06-01;--:--;   -999.000;    213.497; 100
1967-07-01;--:--;   -999.000;    134.677; 100
1967-08-01;--:--;   -999.000;     37.390; 100
1967-09-01;--:--;   -999.000;     15.747; 100
1967-10-01;--:--;   -999.000;     34.732; 100
1967-11-01;--:--;   -999.000;     41.240; 100
1967-12-01;--:--;   -999.000;     40.187; 100
