# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217102
# River:                 DARYA-YE KUNDUZ
# Station:               BAGHLAN
# Country:               AF
# Latitude (DD):       36.1
# Longitude (DD):      68.666667
# Catchment area (km²):      19740.0
# Altitude (m ASL):        562.0
# Next downstream station:      2217101
# Remarks:               USGS-ID: 360600068400000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1968 - 1978
# No. of years:          11
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 126
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1968-04-01;--:--;   -999.000;     63.400;  80
1968-05-01;--:--;   -999.000;    155.761; 100
1968-06-01;--:--;   -999.000;    374.667; 100
1968-07-01;--:--;   -999.000;    247.935; 100
1968-08-01;--:--;   -999.000;     97.139; 100
1968-09-01;--:--;   -999.000;     48.890; 100
1968-10-01;--:--;   -999.000;     43.819; 100
1968-11-01;--:--;   -999.000;     43.570; 100
1968-12-01;--:--;   -999.000;     45.074; 100
1969-01-01;--:--;   -999.000;     36.774; 100
1969-02-01;--:--;   -999.000;     33.682; 100
1969-03-01;--:--;   -999.000;     34.977; 100
1969-04-01;--:--;   -999.000;     59.920; 100
1969-05-01;--:--;   -999.000;    122.065; 100
1969-06-01;--:--;   -999.000;    260.933; 100
1969-07-01;--:--;   -999.000;    179.516; 100
1969-08-01;--:--;   -999.000;     78.352; 100
1969-09-01;--:--;   -999.000;     47.253; 100
1969-10-01;--:--;   -999.000;     43.794; 100
1969-11-01;--:--;   -999.000;     48.507; 100
1969-12-01;--:--;   -999.000;     41.752; 100
1970-01-01;--:--;   -999.000;     38.371; 100
1970-02-01;--:--;   -999.000;     35.446; 100
1970-03-01;--:--;   -999.000;     37.745; 100
1970-04-01;--:--;   -999.000;     45.987; 100
1970-05-01;--:--;   -999.000;    106.455; 100
1970-06-01;--:--;   -999.000;    112.153; 100
1970-07-01;--:--;   -999.000;     60.981; 100
1970-08-01;--:--;   -999.000;     37.335; 100
1970-09-01;--:--;   -999.000;     31.893; 100
1970-10-01;--:--;   -999.000;     30.552; 100
1970-11-01;--:--;   -999.000;     31.963; 100
1970-12-01;--:--;   -999.000;     33.329; 100
1971-01-01;--:--;   -999.000;     30.500; 100
1971-02-01;--:--;   -999.000;     28.286; 100
1971-03-01;--:--;   -999.000;     32.500; 100
1971-04-01;--:--;   -999.000;     45.550; 100
1971-05-01;--:--;   -999.000;    123.158; 100
1971-06-01;--:--;   -999.000;     79.773; 100
1971-07-01;--:--;   -999.000;     25.065; 100
1971-08-01;--:--;   -999.000;     15.032; 100
1971-09-01;--:--;   -999.000;     15.800; 100
1971-10-01;--:--;   -999.000;     21.032; 100
1971-11-01;--:--;   -999.000;     27.000; 100
1971-12-01;--:--;   -999.000;     25.865; 100
1972-01-01;--:--;   -999.000;     26.042; 100
1972-02-01;--:--;   -999.000;     25.410; 100
1972-03-01;--:--;   -999.000;     26.384; 100
1972-04-01;--:--;   -999.000;     21.987; 100
1972-05-01;--:--;   -999.000;     58.919; 100
1972-06-01;--:--;   -999.000;    217.033; 100
1972-07-01;--:--;   -999.000;    127.581; 100
1972-08-01;--:--;   -999.000;     37.858; 100
1972-09-01;--:--;   -999.000;     23.777; 100
1972-10-01;--:--;   -999.000;     29.226; 100
1972-11-01;--:--;   -999.000;     30.667; 100
1972-12-01;--:--;   -999.000;     34.323; 100
1973-01-01;--:--;   -999.000;     32.129; 100
1973-02-01;--:--;   -999.000;     30.589; 100
1973-03-01;--:--;   -999.000;     34.581; 100
1973-04-01;--:--;   -999.000;     82.250; 100
1973-05-01;--:--;   -999.000;    168.597; 100
1973-06-01;--:--;   -999.000;    242.367; 100
1973-07-01;--:--;   -999.000;     98.006; 100
1973-08-01;--:--;   -999.000;     40.323; 100
1973-09-01;--:--;   -999.000;     34.917; 100
1973-10-01;--:--;   -999.000;     37.316; 100
1973-11-01;--:--;   -999.000;     37.557; 100
1973-12-01;--:--;   -999.000;     34.658; 100
1974-01-01;--:--;   -999.000;     32.726; 100
1974-02-01;--:--;   -999.000;     32.307; 100
1974-03-01;--:--;   -999.000;     36.655; 100
