# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217103
# River:                 DARYA-YE KUNDUZ
# Station:               PUL-I-KONDA SANG
# Country:               AF
# Latitude (DD):       35.6
# Longitude (DD):      68.6
# Catchment area (km²):      12610.0
# Altitude (m ASL):        899.0
# Next downstream station:      2217102
# Remarks:               USGS-ID: 353600068360000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 1978
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-10-01;--:--;   -999.000;     25.803; 100
1967-11-01;--:--;   -999.000;     24.007; 100
1967-12-01;--:--;   -999.000;     22.019; 100
1968-01-01;--:--;   -999.000;     19.945; 100
1968-02-01;--:--;   -999.000;     16.810; 100
1968-03-01;--:--;   -999.000;     17.003; 100
1968-04-01;--:--;   -999.000;     29.340; 100
1968-05-01;--:--;   -999.000;     63.077; 100
1968-06-01;--:--;   -999.000;    166.433; 100
1968-07-01;--:--;   -999.000;     98.871; 100
1968-08-01;--:--;   -999.000;     42.868; 100
1968-09-01;--:--;   -999.000;     33.263; 100
1968-10-01;--:--;   -999.000;     27.484; 100
1968-11-01;--:--;   -999.000;     27.500; 100
1968-12-01;--:--;   -999.000;     24.981; 100
1969-01-01;--:--;   -999.000;     22.248; 100
1969-02-01;--:--;   -999.000;     21.543; 100
1969-03-01;--:--;   -999.000;     20.503; 100
1969-04-01;--:--;   -999.000;     29.183; 100
1969-05-01;--:--;   -999.000;     54.319; 100
1969-06-01;--:--;   -999.000;    114.267; 100
1969-07-01;--:--;   -999.000;     82.100; 100
1969-08-01;--:--;   -999.000;     40.419; 100
1969-09-01;--:--;   -999.000;     31.667; 100
1969-10-01;--:--;   -999.000;     29.590; 100
1969-11-01;--:--;   -999.000;     28.643; 100
1969-12-01;--:--;   -999.000;     25.852; 100
1970-01-01;--:--;   -999.000;     23.152; 100
1970-02-01;--:--;   -999.000;     23.018; 100
1970-03-01;--:--;   -999.000;     21.629; 100
1970-04-01;--:--;   -999.000;     23.387; 100
1970-05-01;--:--;   -999.000;     63.135; 100
1970-06-01;--:--;   -999.000;     60.890; 100
1970-07-01;--:--;   -999.000;     34.835; 100
1970-08-01;--:--;   -999.000;     26.619; 100
1970-09-01;--:--;   -999.000;     24.493; 100
1970-10-01;--:--;   -999.000;     24.074; 100
1970-11-01;--:--;   -999.000;     20.837; 100
1970-12-01;--:--;   -999.000;     19.329; 100
1971-01-01;--:--;   -999.000;     16.823; 100
1971-02-01;--:--;   -999.000;     19.007; 100
1971-03-01;--:--;   -999.000;     16.794; 100
1971-04-01;--:--;   -999.000;     16.740; 100
1971-05-01;--:--;   -999.000;     64.294; 100
1971-06-01;--:--;   -999.000;     41.767; 100
1971-07-01;--:--;   -999.000;     17.829; 100
1971-08-01;--:--;   -999.000;     16.842; 100
1971-09-01;--:--;   -999.000;     16.803; 100
1971-10-01;--:--;   -999.000;     17.477; 100
1971-11-01;--:--;   -999.000;     16.950; 100
1971-12-01;--:--;   -999.000;     16.265; 100
1972-01-01;--:--;   -999.000;     15.055; 100
1972-02-01;--:--;   -999.000;     15.886; 100
1972-03-01;--:--;   -999.000;     17.535; 100
1972-04-01;--:--;   -999.000;     17.180; 100
1972-05-01;--:--;   -999.000;     35.019; 100
1972-06-01;--:--;   -999.000;     95.900; 100
1972-07-01;--:--;   -999.000;     62.690; 100
1972-08-01;--:--;   -999.000;     26.490; 100
1972-09-01;--:--;   -999.000;     19.187; 100
1972-10-01;--:--;   -999.000;     19.865; 100
1972-11-01;--:--;   -999.000;     18.753; 100
1972-12-01;--:--;   -999.000;     17.452; 100
1973-01-01;--:--;   -999.000;     16.535; 100
1973-02-01;--:--;   -999.000;     16.668; 100
1973-03-01;--:--;   -999.000;     19.968; 100
1973-04-01;--:--;   -999.000;     21.870; 100
1973-05-01;--:--;   -999.000;     63.265; 100
1973-06-01;--:--;   -999.000;    125.187; 100
1973-07-01;--:--;   -999.000;     59.068; 100
1973-08-01;--:--;   -999.000;     29.765; 100
1973-09-01;--:--;   -999.000;     24.273; 100
1973-10-01;--:--;   -999.000;     23.184; 100
1973-11-01;--:--;   -999.000;     20.510; 100
1973-12-01;--:--;   -999.000;     18.206; 100
1974-01-01;--:--;   -999.000;     18.810; 100
1974-02-01;--:--;   -999.000;     16.921; 100
1974-03-01;--:--;   -999.000;     22.832; 100
1974-04-01;--:--;   -999.000;     21.510; 100
1974-05-01;--:--;   -999.000;     41.129; 100
1974-06-01;--:--;   -999.000;     74.753; 100
1974-07-01;--:--;   -999.000;     39.023; 100
1974-08-01;--:--;   -999.000;     20.255; 100
1974-09-01;--:--;   -999.000;     17.770; 100
1974-10-01;--:--;   -999.000;     18.823; 100
1974-11-01;--:--;   -999.000;     19.697; 100
1974-12-01;--:--;   -999.000;     18.587; 100
1975-01-01;--:--;   -999.000;     16.677; 100
1975-02-01;--:--;   -999.000;     15.657; 100
1975-03-01;--:--;   -999.000;     15.100; 100
1975-04-01;--:--;   -999.000;     18.167; 100
