# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217104
# River:                 DARYA-YE KUNDUZ
# Station:               DASHT-I-SAFED
# Country:               AF
# Latitude (DD):       35.3
# Longitude (DD):      67.916667
# Catchment area (km²):      3795.0
# Altitude (m ASL):        1588.0
# Next downstream station:      2217103
# Remarks:               USGS-ID: 351800067550000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 1978
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-10-01;--:--;   -999.000;      9.139;  65
1967-11-01;--:--;   -999.000;      8.946; 100
1967-12-01;--:--;   -999.000;      9.859; 100
1968-01-01;--:--;   -999.000;     10.426; 100
1968-02-01;--:--;   -999.000;     10.472; 100
1968-03-01;--:--;   -999.000;     10.000; 100
1968-04-01;--:--;   -999.000;     10.367; 100
1968-05-01;--:--;   -999.000;     10.608; 100
1968-06-01;--:--;   -999.000;     20.900; 100
1968-07-01;--:--;   -999.000;     13.774; 100
1968-08-01;--:--;   -999.000;     12.742; 100
1968-09-01;--:--;   -999.000;     11.750; 100
1968-10-01;--:--;   -999.000;     12.235; 100
1968-11-01;--:--;   -999.000;     10.078; 100
1968-12-01;--:--;   -999.000;     12.174; 100
1969-01-01;--:--;   -999.000;     13.658; 100
1969-02-01;--:--;   -999.000;     12.900; 100
1969-03-01;--:--;   -999.000;     12.523; 100
1969-04-01;--:--;   -999.000;     12.400; 100
1969-05-01;--:--;   -999.000;     11.848; 100
1969-06-01;--:--;   -999.000;     15.937; 100
1969-07-01;--:--;   -999.000;     13.423; 100
1969-08-01;--:--;   -999.000;     11.329; 100
1969-09-01;--:--;   -999.000;     12.810; 100
1969-10-01;--:--;   -999.000;     12.971; 100
1969-11-01;--:--;   -999.000;     12.750; 100
1969-12-01;--:--;   -999.000;     13.455; 100
1970-01-01;--:--;   -999.000;     12.629; 100
1970-02-01;--:--;   -999.000;     11.118; 100
1970-03-01;--:--;   -999.000;     10.070; 100
1970-04-01;--:--;   -999.000;     10.207; 100
1970-05-01;--:--;   -999.000;     10.697; 100
1970-06-01;--:--;   -999.000;      9.718; 100
1970-07-01;--:--;   -999.000;      8.308; 100
1970-08-01;--:--;   -999.000;      8.820; 100
1970-09-01;--:--;   -999.000;      8.657; 100
1970-10-01;--:--;   -999.000;      8.777; 100
1970-11-01;--:--;   -999.000;      7.911; 100
1970-12-01;--:--;   -999.000;      7.643; 100
1971-01-01;--:--;   -999.000;      9.852; 100
1971-02-01;--:--;   -999.000;     10.486; 100
1971-03-01;--:--;   -999.000;     10.032; 100
1971-04-01;--:--;   -999.000;     10.099; 100
1971-05-01;--:--;   -999.000;      8.541; 100
