# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217110
# River:                 DARYACHAH-YE BAMYAN
# Station:               DOAB
# Country:               AF
# Latitude (DD):       35.266667
# Longitude (DD):      67.983333
# Catchment area (km²):      5005.0
# Altitude (m ASL):        1468.0
# Next downstream station:      2217103
# Remarks:               USGS-ID: 351600067590000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 1978
# No. of years:          12
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 132
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-10-01;--:--;   -999.000;      7.223; 100
1967-11-01;--:--;   -999.000;      6.188; 100
1967-12-01;--:--;   -999.000;      4.572; 100
1968-01-01;--:--;   -999.000;      4.343; 100
1968-02-01;--:--;   -999.000;      4.967; 100
1968-03-01;--:--;   -999.000;      5.323; 100
1968-04-01;--:--;   -999.000;      8.250; 100
1968-05-01;--:--;   -999.000;     14.433; 100
1968-06-01;--:--;   -999.000;     50.973; 100
1968-07-01;--:--;   -999.000;     27.548; 100
1968-08-01;--:--;   -999.000;     11.335; 100
1968-09-01;--:--;   -999.000;     10.295; 100
1968-10-01;--:--;   -999.000;      7.438; 100
1968-11-01;--:--;   -999.000;      7.217; 100
1968-12-01;--:--;   -999.000;      5.190; 100
1969-01-01;--:--;   -999.000;      5.547; 100
1969-02-01;--:--;   -999.000;      5.847; 100
1969-03-01;--:--;   -999.000;      5.190; 100
1969-04-01;--:--;   -999.000;      6.024; 100
1969-05-01;--:--;   -999.000;     18.507; 100
1969-06-01;--:--;   -999.000;     56.133; 100
1969-07-01;--:--;   -999.000;     31.477; 100
1969-08-01;--:--;   -999.000;     13.343; 100
1969-09-01;--:--;   -999.000;     10.541; 100
1969-10-01;--:--;   -999.000;      8.554; 100
1969-11-01;--:--;   -999.000;      8.818; 100
1969-12-01;--:--;   -999.000;      7.915; 100
1970-01-01;--:--;   -999.000;      6.686; 100
1970-02-01;--:--;   -999.000;      5.410; 100
1970-03-01;--:--;   -999.000;      4.797; 100
1970-04-01;--:--;   -999.000;      5.812; 100
1970-05-01;--:--;   -999.000;     11.361; 100
1970-06-01;--:--;   -999.000;     16.410; 100
1970-07-01;--:--;   -999.000;      8.366; 100
1970-08-01;--:--;   -999.000;      5.507; 100
1970-09-01;--:--;   -999.000;      5.084; 100
1970-10-01;--:--;   -999.000;      5.135; 100
1970-11-01;--:--;   -999.000;      4.785; 100
1970-12-01;--:--;   -999.000;      4.305; 100
1971-01-01;--:--;   -999.000;      3.644; 100
1971-02-01;--:--;   -999.000;      3.318; 100
1971-03-01;--:--;   -999.000;      3.813; 100
1971-04-01;--:--;   -999.000;      3.982; 100
1971-05-01;--:--;   -999.000;     13.020; 100
1971-06-01;--:--;   -999.000;      9.346; 100
1971-07-01;--:--;   -999.000;      2.661; 100
1971-08-01;--:--;   -999.000;      2.650; 100
1971-09-01;--:--;   -999.000;      1.973; 100
1971-10-01;--:--;   -999.000;      3.102; 100
1971-11-01;--:--;   -999.000;      3.257; 100
1971-12-01;--:--;   -999.000;      2.977; 100
1972-01-01;--:--;   -999.000;      3.548; 100
1972-02-01;--:--;   -999.000;      4.045; 100
1972-03-01;--:--;   -999.000;      3.323; 100
1972-04-01;--:--;   -999.000;      3.060; 100
1972-05-01;--:--;   -999.000;     11.097; 100
1972-06-01;--:--;   -999.000;     36.790; 100
1972-07-01;--:--;   -999.000;     19.768; 100
1972-08-01;--:--;   -999.000;      8.016; 100
1972-09-01;--:--;   -999.000;      6.888; 100
1972-10-01;--:--;   -999.000;      8.083; 100
1972-11-01;--:--;   -999.000;      7.440; 100
1972-12-01;--:--;   -999.000;      5.887; 100
1973-01-01;--:--;   -999.000;      5.715; 100
1973-02-01;--:--;   -999.000;      5.176; 100
1973-03-01;--:--;   -999.000;      4.230; 100
1973-04-01;--:--;   -999.000;      5.900; 100
1973-05-01;--:--;   -999.000;     26.565; 100
1973-06-01;--:--;   -999.000;     43.733; 100
1973-07-01;--:--;   -999.000;     18.571; 100
1973-08-01;--:--;   -999.000;      8.061; 100
1973-09-01;--:--;   -999.000;      7.623; 100
1973-10-01;--:--;   -999.000;      6.294; 100
1973-11-01;--:--;   -999.000;      5.903; 100
1973-12-01;--:--;   -999.000;      4.214; 100
1974-01-01;--:--;   -999.000;      3.601; 100
1974-02-01;--:--;   -999.000;      2.555; 100
1974-03-01;--:--;   -999.000;      4.316; 100
1974-04-01;--:--;   -999.000;      3.170; 100
1974-05-01;--:--;   -999.000;     13.742; 100
1974-06-01;--:--;   -999.000;     21.477; 100
1974-07-01;--:--;   -999.000;      7.821; 100
1974-08-01;--:--;   -999.000;      4.026; 100
1974-09-01;--:--;   -999.000;      3.997; 100
1974-10-01;--:--;   -999.000;      4.830; 100
1974-11-01;--:--;   -999.000;      3.801; 100
1974-12-01;--:--;   -999.000;      3.511; 100
1975-01-01;--:--;   -999.000;      3.864; 100
1975-02-01;--:--;   -999.000;      3.206; 100
1975-03-01;--:--;   -999.000;      2.817; 100
1975-04-01;--:--;   -999.000;      3.250; 100
1975-05-01;--:--;   -999.000;     10.372; 100
1975-06-01;--:--;   -999.000;     25.360; 100
1975-07-01;--:--;   -999.000;     18.214; 100
1975-08-01;--:--;   -999.000;      6.946; 100
1975-09-01;--:--;   -999.000;      5.692; 100
1975-10-01;--:--;   -999.000;      5.187; 100
1975-11-01;--:--;   -999.000;      5.115; 100
1975-12-01;--:--;   -999.000;      5.023; 100
1976-01-01;--:--;   -999.000;      4.589; 100
1976-02-01;--:--;   -999.000;      4.414; 100
1976-03-01;--:--;   -999.000;      4.468; 100
1976-04-01;--:--;   -999.000;      6.234; 100
1976-05-01;--:--;   -999.000;     18.922; 100
1976-06-01;--:--;   -999.000;     25.100; 100
1976-07-01;--:--;   -999.000;     16.133; 100
1976-08-01;--:--;   -999.000;      4.854; 100
1976-09-01;--:--;   -999.000;      5.552; 100
1976-10-01;--:--;   -999.000;      5.659; 100
1976-11-01;--:--;   -999.000;      5.275; 100
1976-12-01;--:--;   -999.000;      5.618; 100
1977-01-01;--:--;   -999.000;      4.542; 100
1977-02-01;--:--;   -999.000;      4.238; 100
1977-03-01;--:--;   -999.000;      4.670; 100
1977-04-01;--:--;   -999.000;      4.665; 100
1977-05-01;--:--;   -999.000;     11.011; 100
1977-06-01;--:--;   -999.000;     23.907; 100
1977-07-01;--:--;   -999.000;      9.465; 100
1977-08-01;--:--;   -999.000;      4.568; 100
1977-09-01;--:--;   -999.000;      4.395; 100
1977-10-01;--:--;   -999.000;      4.339; 100
1977-11-01;--:--;   -999.000;      4.927; 100
1977-12-01;--:--;   -999.000;      4.145; 100
1978-01-01;--:--;   -999.000;      2.702; 100
1978-02-01;--:--;   -999.000;      2.459; 100
1978-03-01;--:--;   -999.000;      3.010; 100
1978-04-01;--:--;   -999.000;      3.515; 100
1978-05-01;--:--;   -999.000;     15.181; 100
1978-06-01;--:--;   -999.000;     28.300; 100
1978-07-01;--:--;   -999.000;     10.523; 100
1978-08-01;--:--;   -999.000;      6.108; 100
1978-09-01;--:--;   -999.000;      4.617; 100
