# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217120
# River:                 DARYA-YE ANDARAB
# Station:               DOSHI
# Country:               AF
# Latitude (DD):       35.6
# Longitude (DD):      68.683333
# Catchment area (km²):      3705.0
# Altitude (m ASL):        860.0
# Next downstream station:      2217102
# Remarks:               USGS-ID: 353600068410000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 168
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-10-01;--:--;   -999.000;     15.016; 100
1964-11-01;--:--;   -999.000;     11.833; 100
1964-12-01;--:--;   -999.000;     12.597; 100
1965-01-01;--:--;   -999.000;     12.403; 100
1965-02-01;--:--;   -999.000;     12.893; 100
1965-03-01;--:--;   -999.000;     13.194; 100
1965-04-01;--:--;   -999.000;     19.110; 100
1965-05-01;--:--;   -999.000;     53.032; 100
1965-06-01;--:--;   -999.000;    144.333; 100
1965-07-01;--:--;   -999.000;    125.677; 100
1965-08-01;--:--;   -999.000;     31.000; 100
1965-09-01;--:--;   -999.000;     14.000; 100
1965-10-01;--:--;   -999.000;     16.877; 100
1965-11-01;--:--;   -999.000;     16.000; 100
1965-12-01;--:--;   -999.000;     14.748; 100
1966-01-01;--:--;   -999.000;     12.894; 100
1966-02-01;--:--;   -999.000;     12.086; 100
1966-03-01;--:--;   -999.000;     19.297; 100
1966-04-01;--:--;   -999.000;     34.577; 100
1966-05-01;--:--;   -999.000;     61.542; 100
1966-06-01;--:--;   -999.000;    161.667; 100
1966-07-01;--:--;   -999.000;     54.387; 100
1966-08-01;--:--;   -999.000;     33.123; 100
1966-09-01;--:--;   -999.000;     18.680; 100
1966-10-01;--:--;   -999.000;     17.265; 100
1966-11-01;--:--;   -999.000;     14.900; 100
1966-12-01;--:--;   -999.000;     11.458; 100
1967-01-01;--:--;   -999.000;     11.474; 100
1967-02-01;--:--;   -999.000;     11.404; 100
1967-03-01;--:--;   -999.000;     11.890; 100
1967-04-01;--:--;   -999.000;     17.045; 100
1967-05-01;--:--;   -999.000;     59.090; 100
1967-06-01;--:--;   -999.000;    143.500; 100
1967-07-01;--:--;   -999.000;     94.516; 100
1967-08-01;--:--;   -999.000;     26.600; 100
1967-09-01;--:--;   -999.000;     15.210; 100
1967-10-01;--:--;   -999.000;     17.123; 100
1967-11-01;--:--;   -999.000;     14.293; 100
1967-12-01;--:--;   -999.000;     13.090; 100
1968-01-01;--:--;   -999.000;     11.216; 100
1968-02-01;--:--;   -999.000;      9.640; 100
1968-03-01;--:--;   -999.000;      9.674; 100
1968-04-01;--:--;   -999.000;     27.560; 100
1968-05-01;--:--;   -999.000;     99.468; 100
1968-06-01;--:--;   -999.000;    224.500; 100
1968-07-01;--:--;   -999.000;    169.194; 100
1968-08-01;--:--;   -999.000;     58.016; 100
1968-09-01;--:--;   -999.000;     24.700; 100
1968-10-01;--:--;   -999.000;     22.539; 100
1968-11-01;--:--;   -999.000;     17.877; 100
1968-12-01;--:--;   -999.000;     10.536; 100
1969-01-01;--:--;   -999.000;     13.026; 100
1969-02-01;--:--;   -999.000;     13.446; 100
1969-03-01;--:--;   -999.000;     15.835; 100
1969-04-01;--:--;   -999.000;     33.700; 100
1969-05-01;--:--;   -999.000;     78.632; 100
1969-06-01;--:--;   -999.000;    156.667; 100
1969-07-01;--:--;   -999.000;    112.419; 100
1969-08-01;--:--;   -999.000;     57.323; 100
1969-09-01;--:--;   -999.000;     27.533; 100
1969-10-01;--:--;   -999.000;     21.913; 100
1969-11-01;--:--;   -999.000;     16.523; 100
1969-12-01;--:--;   -999.000;     14.429; 100
1970-01-01;--:--;   -999.000;     13.365; 100
1970-02-01;--:--;   -999.000;     11.193; 100
1970-03-01;--:--;   -999.000;     11.603; 100
1970-04-01;--:--;   -999.000;     22.630; 100
1970-05-01;--:--;   -999.000;     58.065; 100
1970-06-01;--:--;   -999.000;     60.333; 100
1970-07-01;--:--;   -999.000;     48.710; 100
1970-08-01;--:--;   -999.000;     34.381; 100
1970-09-01;--:--;   -999.000;     14.013; 100
1970-10-01;--:--;   -999.000;     14.706; 100
1970-11-01;--:--;   -999.000;     12.037; 100
1970-12-01;--:--;   -999.000;     11.487; 100
1971-01-01;--:--;   -999.000;     10.484; 100
1971-02-01;--:--;   -999.000;     10.929; 100
1971-03-01;--:--;   -999.000;     14.806; 100
1971-04-01;--:--;   -999.000;     25.687; 100
1971-05-01;--:--;   -999.000;     76.452; 100
1971-06-01;--:--;   -999.000;     57.733; 100
1971-07-01;--:--;   -999.000;     28.290; 100
1971-08-01;--:--;   -999.000;     17.819; 100
1971-09-01;--:--;   -999.000;     13.113; 100
1971-10-01;--:--;   -999.000;     11.706; 100
1971-11-01;--:--;   -999.000;     11.287; 100
1971-12-01;--:--;   -999.000;      9.400; 100
1972-01-01;--:--;   -999.000;      9.139; 100
