# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217130
# River:                 DARYA-YE TALUQAN
# Station:               PUL-I-CHUGHA
# Country:               AF
# Latitude (DD):       36.733333
# Longitude (DD):      69.2
# Catchment area (km²):      9760.0
# Altitude (m ASL):        558.0
# Next downstream station:      2217100
# Remarks:               USGS-ID: 364400069120000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1960 - 1978
# No. of years:          19
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 222
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1960-04-01;--:--;   -999.000;   -999.000;  40
1960-05-01;--:--;   -999.000;     60.158; 100
1960-06-01;--:--;   -999.000;     89.970; 100
1960-07-01;--:--;   -999.000;    116.613; 100
1960-08-01;--:--;   -999.000;     59.484; 100
1960-09-01;--:--;   -999.000;     31.920; 100
1960-10-01;--:--;   -999.000;   -999.000;   0
1960-11-01;--:--;   -999.000;   -999.000;   0
1960-12-01;--:--;   -999.000;   -999.000;   0
1961-01-01;--:--;   -999.000;   -999.000;   0
1961-02-01;--:--;   -999.000;   -999.000;   0
1961-03-01;--:--;   -999.000;   -999.000;   0
1961-04-01;--:--;   -999.000;   -999.000;   0
1961-05-01;--:--;   -999.000;   -999.000;   0
1961-06-01;--:--;   -999.000;   -999.000;   0
1961-07-01;--:--;   -999.000;   -999.000;   0
1961-08-01;--:--;   -999.000;   -999.000;   0
1961-09-01;--:--;   -999.000;   -999.000;   0
1961-10-01;--:--;   -999.000;   -999.000;   0
1961-11-01;--:--;   -999.000;   -999.000;   0
1961-12-01;--:--;   -999.000;   -999.000;   0
1962-01-01;--:--;   -999.000;   -999.000;   0
1962-02-01;--:--;   -999.000;   -999.000;   0
1962-03-01;--:--;   -999.000;   -999.000;   0
1962-04-01;--:--;   -999.000;   -999.000;   0
1962-05-01;--:--;   -999.000;   -999.000;   0
1962-06-01;--:--;   -999.000;   -999.000;   0
1962-07-01;--:--;   -999.000;   -999.000;   0
1962-08-01;--:--;   -999.000;   -999.000;   0
1962-09-01;--:--;   -999.000;   -999.000;   0
1962-10-01;--:--;   -999.000;   -999.000;   0
1962-11-01;--:--;   -999.000;   -999.000;   0
1962-12-01;--:--;   -999.000;   -999.000;   0
1963-01-01;--:--;   -999.000;   -999.000;   0
1963-02-01;--:--;   -999.000;   -999.000;   0
1963-03-01;--:--;   -999.000;   -999.000;   0
1963-04-01;--:--;   -999.000;   -999.000;   0
1963-05-01;--:--;   -999.000;   -999.000;   0
1963-06-01;--:--;   -999.000;   -999.000;   0
1963-07-01;--:--;   -999.000;   -999.000;   0
1963-08-01;--:--;   -999.000;   -999.000;   0
1963-09-01;--:--;   -999.000;   -999.000;   0
1963-10-01;--:--;   -999.000;   -999.000;   0
1963-11-01;--:--;   -999.000;   -999.000;   0
1963-12-01;--:--;   -999.000;   -999.000;   0
1964-01-01;--:--;   -999.000;   -999.000;   0
1964-02-01;--:--;   -999.000;   -999.000;   0
1964-03-01;--:--;   -999.000;   -999.000;   0
1964-04-01;--:--;   -999.000;   -999.000;   0
1964-05-01;--:--;   -999.000;   -999.000;   0
1964-06-01;--:--;   -999.000;   -999.000;   0
1964-07-01;--:--;   -999.000;   -999.000;   0
1964-08-01;--:--;   -999.000;     63.958; 100
1964-09-01;--:--;   -999.000;     32.693; 100
1964-10-01;--:--;   -999.000;     31.371; 100
1964-11-01;--:--;   -999.000;     31.960; 100
1964-12-01;--:--;   -999.000;     30.803; 100
1965-01-01;--:--;   -999.000;     25.287; 100
1965-02-01;--:--;   -999.000;     22.389; 100
1965-03-01;--:--;   -999.000;     26.406; 100
1965-04-01;--:--;   -999.000;     41.300; 100
1965-05-01;--:--;   -999.000;     68.839; 100
1965-06-01;--:--;   -999.000;    192.667; 100
1965-07-01;--:--;   -999.000;    144.161; 100
1965-08-01;--:--;   -999.000;     62.871; 100
1965-09-01;--:--;   -999.000;     38.333; 100
1965-10-01;--:--;   -999.000;     29.335; 100
1965-11-01;--:--;   -999.000;     34.123; 100
1965-12-01;--:--;   -999.000;     32.116; 100
1966-01-01;--:--;   -999.000;     22.990; 100
1966-02-01;--:--;   -999.000;     24.432; 100
1966-03-01;--:--;   -999.000;     32.874; 100
1966-04-01;--:--;   -999.000;     45.027; 100
1966-05-01;--:--;   -999.000;     97.539; 100
1966-06-01;--:--;   -999.000;    236.913; 100
1966-07-01;--:--;   -999.000;    109.058; 100
