# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217200
# River:                 DARYA-YE KOKCHAH
# Station:               KHOJAGAR
# Country:               AF
# Latitude (DD):       37.083333
# Longitude (DD):      69.466667
# Catchment area (km²):      20645.0
# Altitude (m ASL):        446.0
# Next downstream station:      2517950
# Remarks:               USGS-ID: 370500069280000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 174
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-04-01;--:--;   -999.000;   -999.000;  17
1964-05-01;--:--;   -999.000;    190.742; 100
1964-06-01;--:--;   -999.000;    445.333; 100
1964-07-01;--:--;   -999.000;    465.968; 100
1964-08-01;--:--;   -999.000;    312.032; 100
1964-09-01;--:--;   -999.000;    187.833; 100
1964-10-01;--:--;   -999.000;    108.116; 100
1964-11-01;--:--;   -999.000;     74.240; 100
1964-12-01;--:--;   -999.000;     68.184; 100
1965-01-01;--:--;   -999.000;     67.710; 100
1965-02-01;--:--;   -999.000;     83.286; 100
1965-03-01;--:--;   -999.000;     80.623; 100
1965-04-01;--:--;   -999.000;    112.933; 100
1965-05-01;--:--;   -999.000;    161.355; 100
1965-06-01;--:--;   -999.000;    379.733; 100
1965-07-01;--:--;   -999.000;    411.774; 100
1965-08-01;--:--;   -999.000;    242.903; 100
1965-09-01;--:--;   -999.000;    147.300; 100
1965-10-01;--:--;   -999.000;    105.381; 100
1965-11-01;--:--;   -999.000;     95.253; 100
1965-12-01;--:--;   -999.000;     80.468; 100
1966-01-01;--:--;   -999.000;     70.210; 100
1966-02-01;--:--;   -999.000;     78.411; 100
1966-03-01;--:--;   -999.000;     84.948; 100
1966-04-01;--:--;   -999.000;    108.260; 100
1966-05-01;--:--;   -999.000;    200.545; 100
1966-06-01;--:--;   -999.000;    502.533; 100
1966-07-01;--:--;   -999.000;    476.258; 100
1966-08-01;--:--;   -999.000;    360.065; 100
1966-09-01;--:--;   -999.000;    189.300; 100
1966-10-01;--:--;   -999.000;    125.165; 100
1966-11-01;--:--;   -999.000;     90.350; 100
1966-12-01;--:--;   -999.000;     78.823; 100
1967-01-01;--:--;   -999.000;     68.323; 100
1967-02-01;--:--;   -999.000;     66.804; 100
1967-03-01;--:--;   -999.000;     68.710; 100
1967-04-01;--:--;   -999.000;    101.647; 100
1967-05-01;--:--;   -999.000;    176.677; 100
1967-06-01;--:--;   -999.000;    459.700; 100
1967-07-01;--:--;   -999.000;    580.581; 100
1967-08-01;--:--;   -999.000;    471.645; 100
1967-09-01;--:--;   -999.000;    240.067; 100
1967-10-01;--:--;   -999.000;    141.903; 100
1967-11-01;--:--;   -999.000;    108.360; 100
1967-12-01;--:--;   -999.000;     86.032; 100
1968-01-01;--:--;   -999.000;     67.132; 100
1968-02-01;--:--;   -999.000;     66.538; 100
1968-03-01;--:--;   -999.000;     84.045; 100
1968-04-01;--:--;   -999.000;    135.453; 100
1968-05-01;--:--;   -999.000;    219.452; 100
1968-06-01;--:--;   -999.000;    647.600; 100
1968-07-01;--:--;   -999.000;    671.806; 100
1968-08-01;--:--;   -999.000;    429.065; 100
1968-09-01;--:--;   -999.000;    191.400; 100
1968-10-01;--:--;   -999.000;    126.065; 100
1968-11-01;--:--;   -999.000;    100.037; 100
1968-12-01;--:--;   -999.000;     89.929; 100
1969-01-01;--:--;   -999.000;     87.042; 100
1969-02-01;--:--;   -999.000;     79.864; 100
1969-03-01;--:--;   -999.000;    153.010; 100
1969-04-01;--:--;   -999.000;    194.367; 100
1969-05-01;--:--;   -999.000;    368.290; 100
1969-06-01;--:--;   -999.000;    614.733; 100
1969-07-01;--:--;   -999.000;    703.194; 100
1969-08-01;--:--;   -999.000;    433.387; 100
1969-09-01;--:--;   -999.000;    178.033; 100
1969-10-01;--:--;   -999.000;    122.710; 100
1969-11-01;--:--;   -999.000;    110.733; 100
1969-12-01;--:--;   -999.000;     99.765; 100
1970-01-01;--:--;   -999.000;     92.665; 100
1970-02-01;--:--;   -999.000;     84.339; 100
1970-03-01;--:--;   -999.000;     76.935; 100
1970-04-01;--:--;   -999.000;    115.453; 100
1970-05-01;--:--;   -999.000;    215.581; 100
1970-06-01;--:--;   -999.000;    363.500; 100
1970-07-01;--:--;   -999.000;    313.129; 100
1970-08-01;--:--;   -999.000;    293.742; 100
1970-09-01;--:--;   -999.000;    208.800; 100
1970-10-01;--:--;   -999.000;     94.674; 100
1970-11-01;--:--;   -999.000;     67.023; 100
1970-12-01;--:--;   -999.000;     55.358; 100
1971-01-01;--:--;   -999.000;     43.584; 100
1971-02-01;--:--;   -999.000;     46.525; 100
1971-03-01;--:--;   -999.000;     63.400; 100
1971-04-01;--:--;   -999.000;     99.940; 100
1971-05-01;--:--;   -999.000;    209.613; 100
1971-06-01;--:--;   -999.000;    428.833; 100
1971-07-01;--:--;   -999.000;    339.194; 100
1971-08-01;--:--;   -999.000;    332.097; 100
1971-09-01;--:--;   -999.000;    158.747; 100
1971-10-01;--:--;   -999.000;     82.158; 100
1971-11-01;--:--;   -999.000;     72.177; 100
1971-12-01;--:--;   -999.000;     63.126; 100
1972-01-01;--:--;   -999.000;     53.129; 100
1972-02-01;--:--;   -999.000;     49.021; 100
1972-03-01;--:--;   -999.000;     80.339; 100
1972-04-01;--:--;   -999.000;    109.907; 100
1972-05-01;--:--;   -999.000;    176.065; 100
1972-06-01;--:--;   -999.000;    372.700; 100
1972-07-01;--:--;   -999.000;    336.903; 100
1972-08-01;--:--;   -999.000;    204.677; 100
1972-09-01;--:--;   -999.000;    130.300; 100
1972-10-01;--:--;   -999.000;     84.926; 100
1972-11-01;--:--;   -999.000;     72.637; 100
1972-12-01;--:--;   -999.000;     53.097; 100
1973-01-01;--:--;   -999.000;     42.510; 100
1973-02-01;--:--;   -999.000;     50.211; 100
1973-03-01;--:--;   -999.000;     85.548; 100
1973-04-01;--:--;   -999.000;    190.767; 100
1973-05-01;--:--;   -999.000;    315.839; 100
1973-06-01;--:--;   -999.000;    689.933; 100
1973-07-01;--:--;   -999.000;    591.774; 100
1973-08-01;--:--;   -999.000;    337.677; 100
1973-09-01;--:--;   -999.000;    224.133; 100
1973-10-01;--:--;   -999.000;    112.748; 100
1973-11-01;--:--;   -999.000;     84.140; 100
1973-12-01;--:--;   -999.000;     72.110; 100
1974-01-01;--:--;   -999.000;     64.084; 100
1974-02-01;--:--;   -999.000;     57.800; 100
1974-03-01;--:--;   -999.000;     74.165; 100
1974-04-01;--:--;   -999.000;     73.773; 100
1974-05-01;--:--;   -999.000;    127.716; 100
1974-06-01;--:--;   -999.000;    290.533; 100
1974-07-01;--:--;   -999.000;    382.452; 100
1974-08-01;--:--;   -999.000;    250.000; 100
1974-09-01;--:--;   -999.000;    153.033; 100
1974-10-01;--:--;   -999.000;     92.435; 100
1974-11-01;--:--;   -999.000;     66.090; 100
1974-12-01;--:--;   -999.000;     61.829; 100
1975-01-01;--:--;   -999.000;     52.265; 100
1975-02-01;--:--;   -999.000;     51.854; 100
1975-03-01;--:--;   -999.000;     62.287; 100
1975-04-01;--:--;   -999.000;    185.067; 100
1975-05-01;--:--;   -999.000;    298.484; 100
