# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217201
# River:                 DARYA-YE KOKCHAH
# Station:               NEAR JURM
# Country:               AF
# Latitude (DD):       36.933333
# Longitude (DD):      70.866667
# Catchment area (km²):      7670.0
# Altitude (m ASL):        1449.0
# Next downstream station:      2217200
# Remarks:               USGS-ID: 365600070520000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 1978
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 108
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-10-01;--:--;   -999.000;     54.381; 100
1969-11-01;--:--;   -999.000;     38.363; 100
1969-12-01;--:--;   -999.000;     30.200; 100
1970-01-01;--:--;   -999.000;     29.977; 100
1970-02-01;--:--;   -999.000;     24.846; 100
1970-03-01;--:--;   -999.000;     20.852; 100
1970-04-01;--:--;   -999.000;     28.573; 100
1970-05-01;--:--;   -999.000;     71.806; 100
1970-06-01;--:--;   -999.000;    156.053; 100
1970-07-01;--:--;   -999.000;    149.774; 100
1970-08-01;--:--;   -999.000;    151.774; 100
1970-09-01;--:--;   -999.000;    112.100; 100
1970-10-01;--:--;   -999.000;     52.503; 100
1970-11-01;--:--;   -999.000;     36.033; 100
1970-12-01;--:--;   -999.000;     29.074; 100
1971-01-01;--:--;   -999.000;     23.484; 100
1971-02-01;--:--;   -999.000;     17.214; 100
1971-03-01;--:--;   -999.000;     23.613; 100
1971-04-01;--:--;   -999.000;     39.167; 100
1971-05-01;--:--;   -999.000;    111.935; 100
1971-06-01;--:--;   -999.000;    196.667; 100
1971-07-01;--:--;   -999.000;    151.935; 100
1971-08-01;--:--;   -999.000;    131.129; 100
1971-09-01;--:--;   -999.000;     75.500; 100
1971-10-01;--:--;   -999.000;     36.968; 100
1971-11-01;--:--;   -999.000;     30.500; 100
1971-12-01;--:--;   -999.000;     24.761; 100
1972-01-01;--:--;   -999.000;     19.097; 100
1972-02-01;--:--;   -999.000;     17.379; 100
1972-03-01;--:--;   -999.000;     19.065; 100
1972-04-01;--:--;   -999.000;     18.993; 100
1972-05-01;--:--;   -999.000;     37.968; 100
1972-06-01;--:--;   -999.000;    145.900; 100
1972-07-01;--:--;   -999.000;    165.290; 100
1972-08-01;--:--;   -999.000;    111.581; 100
1972-09-01;--:--;   -999.000;     69.500; 100
