# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217210
# River:                 DARYA-YE WARDUJ
# Station:               SHASHPUL
# Country:               AF
# Latitude (DD):       37.016667
# Longitude (DD):      70.833333
# Catchment area (km²):      4485.0
# Altitude (m ASL):        1407.0
# Next downstream station:      2217201
# Remarks:               USGS-ID: 370100070500000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 1978
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 108
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-10-01;--:--;   -999.000;     45.103; 100
1969-11-01;--:--;   -999.000;     30.497; 100
1969-12-01;--:--;   -999.000;     23.484; 100
1970-01-01;--:--;   -999.000;     23.168; 100
1970-02-01;--:--;   -999.000;     21.014; 100
1970-03-01;--:--;   -999.000;     16.023; 100
1970-04-01;--:--;   -999.000;     21.727; 100
1970-05-01;--:--;   -999.000;     60.019; 100
1970-06-01;--:--;   -999.000;    135.043; 100
1970-07-01;--:--;   -999.000;    114.961; 100
1970-08-01;--:--;   -999.000;    109.742; 100
1970-09-01;--:--;   -999.000;     74.100; 100
1970-10-01;--:--;   -999.000;     34.032; 100
1970-11-01;--:--;   -999.000;     25.897; 100
1970-12-01;--:--;   -999.000;     21.326; 100
1971-01-01;--:--;   -999.000;     15.094; 100
1971-02-01;--:--;   -999.000;     12.036; 100
1971-03-01;--:--;   -999.000;     13.752; 100
1971-04-01;--:--;   -999.000;     25.343; 100
1971-05-01;--:--;   -999.000;     67.016; 100
1971-06-01;--:--;   -999.000;    147.333; 100
1971-07-01;--:--;   -999.000;    119.587; 100
1971-08-01;--:--;   -999.000;    109.939; 100
1971-09-01;--:--;   -999.000;     49.963; 100
1971-10-01;--:--;   -999.000;     25.765; 100
1971-11-01;--:--;   -999.000;     20.433; 100
1971-12-01;--:--;   -999.000;     17.397; 100
1972-01-01;--:--;   -999.000;     13.519; 100
1972-02-01;--:--;   -999.000;     11.786; 100
1972-03-01;--:--;   -999.000;     13.013; 100
1972-04-01;--:--;   -999.000;     16.570; 100
1972-05-01;--:--;   -999.000;     28.884; 100
1972-06-01;--:--;   -999.000;     96.500; 100
1972-07-01;--:--;   -999.000;    118.855; 100
1972-08-01;--:--;   -999.000;    101.194; 100
1972-09-01;--:--;   -999.000;     59.843; 100
1972-10-01;--:--;   -999.000;     32.806; 100
1972-11-01;--:--;   -999.000;     24.177; 100
1972-12-01;--:--;   -999.000;     18.026; 100
1973-01-01;--:--;   -999.000;     13.868; 100
1973-02-01;--:--;   -999.000;     13.204; 100
1973-03-01;--:--;   -999.000;     12.516; 100
1973-04-01;--:--;   -999.000;     23.550; 100
1973-05-01;--:--;   -999.000;     70.632; 100
1973-06-01;--:--;   -999.000;    203.400; 100
1973-07-01;--:--;   -999.000;    183.742; 100
1973-08-01;--:--;   -999.000;    124.874; 100
1973-09-01;--:--;   -999.000;     72.143; 100
1973-10-01;--:--;   -999.000;     31.077; 100
1973-11-01;--:--;   -999.000;     23.047; 100
1973-12-01;--:--;   -999.000;     19.029; 100
1974-01-01;--:--;   -999.000;     16.400; 100
