# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217400
# River:                 SHIRIN TAGAW
# Station:               PATA BABA
# Country:               AF
# Latitude (DD):       36.583333
# Longitude (DD):      64.866667
# Catchment area (km²):      11775.0
# Altitude (m ASL):        371.0
# Next downstream station:      -
# Remarks:               USGS-ID: 363500064520000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 173
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-05-01;--:--;   -999.000;   -999.000;  29
1964-06-01;--:--;   -999.000;      1.211; 100
1964-07-01;--:--;   -999.000;      1.263; 100
1964-08-01;--:--;   -999.000;      1.129; 100
1964-09-01;--:--;   -999.000;      1.093; 100
1964-10-01;--:--;   -999.000;      2.169; 100
1964-11-01;--:--;   -999.000;      3.236; 100
1964-12-01;--:--;   -999.000;      3.791; 100
1965-01-01;--:--;   -999.000;      4.303; 100
1965-02-01;--:--;   -999.000;      6.156; 100
1965-03-01;--:--;   -999.000;      8.186; 100
1965-04-01;--:--;   -999.000;     15.222; 100
1965-05-01;--:--;   -999.000;      5.947; 100
1965-06-01;--:--;   -999.000;      1.602; 100
1965-07-01;--:--;   -999.000;      0.862; 100
1965-08-01;--:--;   -999.000;      0.907; 100
1965-09-01;--:--;   -999.000;      0.770; 100
1965-10-01;--:--;   -999.000;      2.369; 100
1965-11-01;--:--;   -999.000;      3.074; 100
1965-12-01;--:--;   -999.000;      3.253; 100
1966-01-01;--:--;   -999.000;      1.650; 100
1966-02-01;--:--;   -999.000;      2.726; 100
1966-03-01;--:--;   -999.000;      3.370; 100
1966-04-01;--:--;   -999.000;      1.984; 100
1966-05-01;--:--;   -999.000;      0.807; 100
1966-06-01;--:--;   -999.000;      0.913; 100
1966-07-01;--:--;   -999.000;      0.508; 100
1966-08-01;--:--;   -999.000;      0.572; 100
1966-09-01;--:--;   -999.000;      0.739; 100
1966-10-01;--:--;   -999.000;      1.687; 100
1966-11-01;--:--;   -999.000;      2.120; 100
1966-12-01;--:--;   -999.000;      1.419; 100
1967-01-01;--:--;   -999.000;      2.240; 100
1967-02-01;--:--;   -999.000;      3.130; 100
1967-03-01;--:--;   -999.000;      3.581; 100
1967-04-01;--:--;   -999.000;      5.014; 100
1967-05-01;--:--;   -999.000;     10.608; 100
1967-06-01;--:--;   -999.000;      0.752; 100
1967-07-01;--:--;   -999.000;      0.607; 100
1967-08-01;--:--;   -999.000;      1.011; 100
1967-09-01;--:--;   -999.000;      0.946; 100
1967-10-01;--:--;   -999.000;      2.222; 100
1967-11-01;--:--;   -999.000;      3.277; 100
1967-12-01;--:--;   -999.000;      3.234; 100
1968-01-01;--:--;   -999.000;      3.203; 100
1968-02-01;--:--;   -999.000;      3.441; 100
1968-03-01;--:--;   -999.000;      3.386; 100
1968-04-01;--:--;   -999.000;      8.829; 100
1968-05-01;--:--;   -999.000;      8.642; 100
1968-06-01;--:--;   -999.000;      1.083; 100
1968-07-01;--:--;   -999.000;      0.807; 100
1968-08-01;--:--;   -999.000;      0.613; 100
1968-09-01;--:--;   -999.000;      0.512; 100
1968-10-01;--:--;   -999.000;      1.694; 100
1968-11-01;--:--;   -999.000;      3.025; 100
1968-12-01;--:--;   -999.000;     10.189; 100
1969-01-01;--:--;   -999.000;      6.216; 100
1969-02-01;--:--;   -999.000;      5.983; 100
1969-03-01;--:--;   -999.000;     16.425; 100
1969-04-01;--:--;   -999.000;     42.413; 100
1969-05-01;--:--;   -999.000;     21.365; 100
1969-06-01;--:--;   -999.000;      4.097; 100
1969-07-01;--:--;   -999.000;      2.110; 100
1969-08-01;--:--;   -999.000;      2.032; 100
1969-09-01;--:--;   -999.000;      2.101; 100
1969-10-01;--:--;   -999.000;      3.416; 100
1969-11-01;--:--;   -999.000;      5.911; 100
1969-12-01;--:--;   -999.000;      4.778; 100
1970-01-01;--:--;   -999.000;      3.686; 100
1970-02-01;--:--;   -999.000;      3.657; 100
1970-03-01;--:--;   -999.000;      7.709; 100
1970-04-01;--:--;   -999.000;      2.661; 100
1970-05-01;--:--;   -999.000;      0.606; 100
1970-06-01;--:--;   -999.000;      0.719; 100
1970-07-01;--:--;   -999.000;      0.534; 100
1970-08-01;--:--;   -999.000;      0.557; 100
1970-09-01;--:--;   -999.000;      1.010; 100
1970-10-01;--:--;   -999.000;      2.356; 100
1970-11-01;--:--;   -999.000;      2.936; 100
1970-12-01;--:--;   -999.000;      2.955; 100
1971-01-01;--:--;   -999.000;      2.693; 100
1971-02-01;--:--;   -999.000;      3.603; 100
1971-03-01;--:--;   -999.000;      3.474; 100
1971-04-01;--:--;   -999.000;      2.074; 100
1971-05-01;--:--;   -999.000;      0.525; 100
1971-06-01;--:--;   -999.000;      0.604; 100
1971-07-01;--:--;   -999.000;      0.511; 100
1971-08-01;--:--;   -999.000;      0.710; 100
1971-09-01;--:--;   -999.000;      0.619; 100
1971-10-01;--:--;   -999.000;      0.938; 100
1971-11-01;--:--;   -999.000;      1.379; 100
1971-12-01;--:--;   -999.000;      1.159; 100
1972-01-01;--:--;   -999.000;      1.098; 100
1972-02-01;--:--;   -999.000;      2.593; 100
1972-03-01;--:--;   -999.000;     22.403; 100
1972-04-01;--:--;   -999.000;     21.889; 100
1972-05-01;--:--;   -999.000;     19.121; 100
1972-06-01;--:--;   -999.000;      8.027; 100
1972-07-01;--:--;   -999.000;      2.484; 100
1972-08-01;--:--;   -999.000;      1.405; 100
1972-09-01;--:--;   -999.000;      0.911; 100
1972-10-01;--:--;   -999.000;      2.135; 100
1972-11-01;--:--;   -999.000;      2.971; 100
1972-12-01;--:--;   -999.000;      4.555; 100
1973-01-01;--:--;   -999.000;      8.090; 100
1973-02-01;--:--;   -999.000;      9.157; 100
1973-03-01;--:--;   -999.000;     18.235; 100
1973-04-01;--:--;   -999.000;     11.350; 100
1973-05-01;--:--;   -999.000;      1.546; 100
1973-06-01;--:--;   -999.000;      1.052; 100
1973-07-01;--:--;   -999.000;      1.362; 100
1973-08-01;--:--;   -999.000;      1.275; 100
1973-09-01;--:--;   -999.000;      1.580; 100
1973-10-01;--:--;   -999.000;      1.592; 100
