# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217401
# River:                 SHIRIN TAGAW
# Station:               KHISHT PUL
# Country:               AF
# Latitude (DD):       35.95
# Longitude (DD):      64.9
# Catchment area (km²):      3280.0
# Altitude (m ASL):        769.0
# Next downstream station:      2218400
# Remarks:               USGS-ID: 355700064540000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1966 - 1978
# No. of years:          13
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 153
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1966-01-01;--:--;   -999.000;      3.427; 100
1966-02-01;--:--;   -999.000;      4.193; 100
1966-03-01;--:--;   -999.000;      5.309; 100
1966-04-01;--:--;   -999.000;      5.555; 100
1966-05-01;--:--;   -999.000;      2.637; 100
1966-06-01;--:--;   -999.000;      0.918; 100
1966-07-01;--:--;   -999.000;      0.998; 100
1966-08-01;--:--;   -999.000;      1.097; 100
1966-09-01;--:--;   -999.000;      2.581; 100
1966-10-01;--:--;   -999.000;      5.240; 100
1966-11-01;--:--;   -999.000;      5.989; 100
1966-12-01;--:--;   -999.000;      5.930; 100
1967-01-01;--:--;   -999.000;      5.787; 100
1967-02-01;--:--;   -999.000;      6.464; 100
1967-03-01;--:--;   -999.000;      6.183; 100
1967-04-01;--:--;   -999.000;      9.418; 100
1967-05-01;--:--;   -999.000;      8.361; 100
1967-06-01;--:--;   -999.000;      1.872; 100
1967-07-01;--:--;   -999.000;      1.570; 100
1967-08-01;--:--;   -999.000;      1.072; 100
1967-09-01;--:--;   -999.000;      1.548; 100
1967-10-01;--:--;   -999.000;      3.262; 100
1967-11-01;--:--;   -999.000;      4.476; 100
1967-12-01;--:--;   -999.000;      4.473; 100
1968-01-01;--:--;   -999.000;      3.945; 100
1968-02-01;--:--;   -999.000;      3.894; 100
1968-03-01;--:--;   -999.000;      5.305; 100
1968-04-01;--:--;   -999.000;      6.405; 100
1968-05-01;--:--;   -999.000;      5.512; 100
1968-06-01;--:--;   -999.000;      1.597; 100
1968-07-01;--:--;   -999.000;      1.541; 100
1968-08-01;--:--;   -999.000;      1.128; 100
1968-09-01;--:--;   -999.000;      2.058; 100
1968-10-01;--:--;   -999.000;      3.634; 100
