# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217410
# River:                 MAIMANAH
# Station:               NEAR PATA BABA
# Country:               AF
# Latitude (DD):       36.533333
# Longitude (DD):      64.883333
# Catchment area (km²):      6685.0
# Altitude (m ASL):        381.0
# Next downstream station:      2218400
# Remarks:               USGS-ID: 363200064530000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1967 - 1972
# No. of years:          6
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 59
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1967-11-01;--:--;   -999.000;      0.971;  67
1967-12-01;--:--;   -999.000;      0.157; 100
1968-01-01;--:--;   -999.000;      0.130; 100
1968-02-01;--:--;   -999.000;      0.295; 100
1968-03-01;--:--;   -999.000;      0.725; 100
1968-04-01;--:--;   -999.000;      3.506; 100
1968-05-01;--:--;   -999.000;      4.304; 100
1968-06-01;--:--;   -999.000;      0.162; 100
1968-07-01;--:--;   -999.000;      0.038; 100
1968-08-01;--:--;   -999.000;      0.001; 100
1968-09-01;--:--;   -999.000;      0.080; 100
1968-10-01;--:--;   -999.000;      0.250; 100
1968-11-01;--:--;   -999.000;      0.243; 100
1968-12-01;--:--;   -999.000;      2.333; 100
1969-01-01;--:--;   -999.000;      1.495; 100
1969-02-01;--:--;   -999.000;      3.731; 100
1969-03-01;--:--;   -999.000;      8.079; 100
1969-04-01;--:--;   -999.000;     28.035; 100
1969-05-01;--:--;   -999.000;     16.928; 100
1969-06-01;--:--;   -999.000;      1.708; 100
1969-07-01;--:--;   -999.000;      0.131; 100
1969-08-01;--:--;   -999.000;      0.218; 100
1969-09-01;--:--;   -999.000;      0.482; 100
1969-10-01;--:--;   -999.000;      0.713; 100
1969-11-01;--:--;   -999.000;      1.299; 100
1969-12-01;--:--;   -999.000;      0.945; 100
1970-01-01;--:--;   -999.000;      0.815; 100
1970-02-01;--:--;   -999.000;      0.479; 100
1970-03-01;--:--;   -999.000;      2.400; 100
1970-04-01;--:--;   -999.000;      1.500; 100
1970-05-01;--:--;   -999.000;      0.043; 100
1970-06-01;--:--;   -999.000;      0.027; 100
1970-07-01;--:--;   -999.000;      0.000; 100
1970-08-01;--:--;   -999.000;      0.000; 100
1970-09-01;--:--;   -999.000;      0.043; 100
1970-10-01;--:--;   -999.000;      0.266; 100
1970-11-01;--:--;   -999.000;      0.284; 100
1970-12-01;--:--;   -999.000;      0.372; 100
1971-01-01;--:--;   -999.000;      0.385; 100
1971-02-01;--:--;   -999.000;      0.504; 100
1971-03-01;--:--;   -999.000;      0.531; 100
1971-04-01;--:--;   -999.000;      0.621; 100
1971-05-01;--:--;   -999.000;      0.009; 100
1971-06-01;--:--;   -999.000;      0.000; 100
1971-07-01;--:--;   -999.000;      0.000; 100
1971-08-01;--:--;   -999.000;      0.000; 100
1971-09-01;--:--;   -999.000;      0.000; 100
1971-10-01;--:--;   -999.000;      0.056; 100
1971-11-01;--:--;   -999.000;      0.232; 100
1971-12-01;--:--;   -999.000;      0.183; 100
1972-01-01;--:--;   -999.000;      0.575; 100
1972-02-01;--:--;   -999.000;      5.377; 100
1972-03-01;--:--;   -999.000;      9.737; 100
1972-04-01;--:--;   -999.000;     11.590; 100
1972-05-01;--:--;   -999.000;     10.060; 100
1972-06-01;--:--;   -999.000;      3.453; 100
1972-07-01;--:--;   -999.000;      0.473; 100
1972-08-01;--:--;   -999.000;      0.450; 100
1972-09-01;--:--;   -999.000;      0.425; 100
