# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217450
# River:                 BALKH
# Station:               RABAT-I-BALA
# Country:               AF
# Latitude (DD):       36.583333
# Longitude (DD):      66.966667
# Catchment area (km²):      18035.0
# Altitude (m ASL):        432.0
# Next downstream station:      -
# Remarks:               USGS-ID: 363500066580000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 174
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-04-01;--:--;   -999.000;     66.133; 100
1964-05-01;--:--;   -999.000;    127.542; 100
1964-06-01;--:--;   -999.000;     97.167; 100
1964-07-01;--:--;   -999.000;     52.281; 100
1964-08-01;--:--;   -999.000;     36.835; 100
1964-09-01;--:--;   -999.000;     37.487; 100
1964-10-01;--:--;   -999.000;     40.168; 100
1964-11-01;--:--;   -999.000;     39.460; 100
1964-12-01;--:--;   -999.000;     37.045; 100
1965-01-01;--:--;   -999.000;     36.623; 100
1965-02-01;--:--;   -999.000;     37.796; 100
1965-03-01;--:--;   -999.000;     42.800; 100
1965-04-01;--:--;   -999.000;     52.803; 100
1965-05-01;--:--;   -999.000;    110.371; 100
1965-06-01;--:--;   -999.000;    130.913; 100
1965-07-01;--:--;   -999.000;     66.174; 100
1965-08-01;--:--;   -999.000;     42.635; 100
1965-09-01;--:--;   -999.000;     42.520; 100
1965-10-01;--:--;   -999.000;     45.029; 100
1965-11-01;--:--;   -999.000;     45.903; 100
1965-12-01;--:--;   -999.000;     47.303; 100
1966-01-01;--:--;   -999.000;     47.281; 100
1966-02-01;--:--;   -999.000;     48.179; 100
1966-03-01;--:--;   -999.000;     55.884; 100
1966-04-01;--:--;   -999.000;     61.810; 100
1966-05-01;--:--;   -999.000;     73.697; 100
1966-06-01;--:--;   -999.000;     67.643; 100
1966-07-01;--:--;   -999.000;     44.042; 100
1966-08-01;--:--;   -999.000;     37.606; 100
1966-09-01;--:--;   -999.000;     37.330; 100
1966-10-01;--:--;   -999.000;     42.145; 100
1966-11-01;--:--;   -999.000;     41.707; 100
1966-12-01;--:--;   -999.000;     40.874; 100
1967-01-01;--:--;   -999.000;     37.768; 100
1967-02-01;--:--;   -999.000;     37.575; 100
1967-03-01;--:--;   -999.000;     40.035; 100
1967-04-01;--:--;   -999.000;     61.663; 100
1967-05-01;--:--;   -999.000;    103.535; 100
1967-06-01;--:--;   -999.000;    112.320; 100
1967-07-01;--:--;   -999.000;     54.184; 100
1967-08-01;--:--;   -999.000;     40.361; 100
1967-09-01;--:--;   -999.000;     39.280; 100
1967-10-01;--:--;   -999.000;     42.158; 100
1967-11-01;--:--;   -999.000;     41.640; 100
1967-12-01;--:--;   -999.000;     39.000; 100
1968-01-01;--:--;   -999.000;     35.723; 100
1968-02-01;--:--;   -999.000;     33.486; 100
1968-03-01;--:--;   -999.000;     37.000; 100
1968-04-01;--:--;   -999.000;     54.887; 100
1968-05-01;--:--;   -999.000;     88.658; 100
1968-06-01;--:--;   -999.000;    119.747; 100
1968-07-01;--:--;   -999.000;     56.061; 100
1968-08-01;--:--;   -999.000;     45.184; 100
1968-09-01;--:--;   -999.000;     40.110; 100
1968-10-01;--:--;   -999.000;     39.806; 100
1968-11-01;--:--;   -999.000;     40.497; 100
1968-12-01;--:--;   -999.000;     40.261; 100
1969-01-01;--:--;   -999.000;     35.994; 100
1969-02-01;--:--;   -999.000;     39.139; 100
1969-03-01;--:--;   -999.000;     55.255; 100
1969-04-01;--:--;   -999.000;    104.303; 100
1969-05-01;--:--;   -999.000;    147.300; 100
1969-06-01;--:--;   -999.000;    168.567; 100
1969-07-01;--:--;   -999.000;    103.600; 100
1969-08-01;--:--;   -999.000;     65.013; 100
1969-09-01;--:--;   -999.000;     55.440; 100
1969-10-01;--:--;   -999.000;     51.100; 100
1969-11-01;--:--;   -999.000;     53.470; 100
1969-12-01;--:--;   -999.000;     45.271; 100
1970-01-01;--:--;   -999.000;     43.052; 100
1970-02-01;--:--;   -999.000;     35.543; 100
1970-03-01;--:--;   -999.000;     40.690; 100
1970-04-01;--:--;   -999.000;     50.210; 100
1970-05-01;--:--;   -999.000;     64.623; 100
1970-06-01;--:--;   -999.000;     46.543; 100
1970-07-01;--:--;   -999.000;     29.752; 100
1970-08-01;--:--;   -999.000;     26.674; 100
1970-09-01;--:--;   -999.000;     31.087; 100
1970-10-01;--:--;   -999.000;     34.932; 100
1970-11-01;--:--;   -999.000;     35.813; 100
1970-12-01;--:--;   -999.000;     34.739; 100
1971-01-01;--:--;   -999.000;     31.871; 100
1971-02-01;--:--;   -999.000;     30.336; 100
1971-03-01;--:--;   -999.000;     28.861; 100
1971-04-01;--:--;   -999.000;     42.083; 100
1971-05-01;--:--;   -999.000;     52.432; 100
1971-06-01;--:--;   -999.000;     29.877; 100
1971-07-01;--:--;   -999.000;     19.758; 100
1971-08-01;--:--;   -999.000;     19.777; 100
1971-09-01;--:--;   -999.000;     20.800; 100
1971-10-01;--:--;   -999.000;     23.700; 100
1971-11-01;--:--;   -999.000;     26.273; 100
1971-12-01;--:--;   -999.000;     27.419; 100
1972-01-01;--:--;   -999.000;     29.003; 100
1972-02-01;--:--;   -999.000;     29.607; 100
1972-03-01;--:--;   -999.000;     35.477; 100
1972-04-01;--:--;   -999.000;     45.650; 100
1972-05-01;--:--;   -999.000;     92.490; 100
1972-06-01;--:--;   -999.000;    120.753; 100
1972-07-01;--:--;   -999.000;     41.397; 100
1972-08-01;--:--;   -999.000;     30.984; 100
1972-09-01;--:--;   -999.000;     30.010; 100
1972-10-01;--:--;   -999.000;     30.019; 100
1972-11-01;--:--;   -999.000;     29.550; 100
1972-12-01;--:--;   -999.000;     28.310; 100
1973-01-01;--:--;   -999.000;     25.503; 100
1973-02-01;--:--;   -999.000;     28.271; 100
1973-03-01;--:--;   -999.000;     37.665; 100
1973-04-01;--:--;   -999.000;     68.943; 100
1973-05-01;--:--;   -999.000;    142.161; 100
1973-06-01;--:--;   -999.000;    107.930; 100
1973-07-01;--:--;   -999.000;     44.861; 100
1973-08-01;--:--;   -999.000;     34.677; 100
1973-09-01;--:--;   -999.000;     35.263; 100
1973-10-01;--:--;   -999.000;     33.390; 100
1973-11-01;--:--;   -999.000;     32.920; 100
1973-12-01;--:--;   -999.000;     34.477; 100
1974-01-01;--:--;   -999.000;     33.442; 100
1974-02-01;--:--;   -999.000;     32.004; 100
1974-03-01;--:--;   -999.000;     35.781; 100
1974-04-01;--:--;   -999.000;     44.653; 100
1974-05-01;--:--;   -999.000;     78.971; 100
1974-06-01;--:--;   -999.000;     55.210; 100
1974-07-01;--:--;   -999.000;     34.055; 100
1974-08-01;--:--;   -999.000;     32.668; 100
1974-09-01;--:--;   -999.000;     32.740; 100
1974-10-01;--:--;   -999.000;     34.577; 100
1974-11-01;--:--;   -999.000;     33.687; 100
1974-12-01;--:--;   -999.000;     32.613; 100
1975-01-01;--:--;   -999.000;     29.894; 100
1975-02-01;--:--;   -999.000;     27.864; 100
1975-03-01;--:--;   -999.000;     34.852; 100
1975-04-01;--:--;   -999.000;     55.507; 100
1975-05-01;--:--;   -999.000;    113.400; 100
1975-06-01;--:--;   -999.000;    123.600; 100
1975-07-01;--:--;   -999.000;     54.823; 100
1975-08-01;--:--;   -999.000;     38.403; 100
1975-09-01;--:--;   -999.000;     39.367; 100
1975-10-01;--:--;   -999.000;     40.048; 100
