# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217451
# River:                 BALKH
# Station:               NEAR NAYAK
# Country:               AF
# Latitude (DD):       34.75
# Longitude (DD):      67.0
# Catchment area (km²):      1460.0
# Altitude (m ASL):        2580.0
# Next downstream station:      2218450
# Remarks:               USGS-ID: 344500067000000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 1978
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 117
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-01-01;--:--;   -999.000;   -999.000;  55
1969-02-01;--:--;   -999.000;      1.992; 100
1969-03-01;--:--;   -999.000;      2.697; 100
1969-04-01;--:--;   -999.000;      6.576; 100
1969-05-01;--:--;   -999.000;     16.445; 100
1969-06-01;--:--;   -999.000;     20.607; 100
1969-07-01;--:--;   -999.000;      9.985; 100
1969-08-01;--:--;   -999.000;      6.558; 100
1969-09-01;--:--;   -999.000;      6.120; 100
1969-10-01;--:--;   -999.000;      5.769; 100
1969-11-01;--:--;   -999.000;      5.502; 100
1969-12-01;--:--;   -999.000;      4.542; 100
1970-01-01;--:--;   -999.000;      4.259; 100
1970-02-01;--:--;   -999.000;      4.000; 100
1970-03-01;--:--;   -999.000;      4.006; 100
1970-04-01;--:--;   -999.000;      7.215; 100
1970-05-01;--:--;   -999.000;      7.957; 100
1970-06-01;--:--;   -999.000;      4.933; 100
1970-07-01;--:--;   -999.000;      3.416; 100
1970-08-01;--:--;   -999.000;      3.005; 100
1970-09-01;--:--;   -999.000;      3.377; 100
1970-10-01;--:--;   -999.000;      3.401; 100
1970-11-01;--:--;   -999.000;      3.265; 100
1970-12-01;--:--;   -999.000;      3.256; 100
1971-01-01;--:--;   -999.000;      3.522; 100
1971-02-01;--:--;   -999.000;      3.665; 100
1971-03-01;--:--;   -999.000;      4.116; 100
1971-04-01;--:--;   -999.000;      5.309; 100
1971-05-01;--:--;   -999.000;      6.829; 100
1971-06-01;--:--;   -999.000;      3.436; 100
1971-07-01;--:--;   -999.000;      2.957; 100
1971-08-01;--:--;   -999.000;      2.730; 100
1971-09-01;--:--;   -999.000;      2.474; 100
1971-10-01;--:--;   -999.000;      2.389; 100
1971-11-01;--:--;   -999.000;      2.432; 100
1971-12-01;--:--;   -999.000;      2.435; 100
1972-01-01;--:--;   -999.000;      2.267; 100
1972-02-01;--:--;   -999.000;      1.867; 100
1972-03-01;--:--;   -999.000;      2.168; 100
1972-04-01;--:--;   -999.000;      2.930; 100
1972-05-01;--:--;   -999.000;     11.990; 100
1972-06-01;--:--;   -999.000;     11.970; 100
