# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217460
# River:                 DARYA-YE SUF
# Station:               NEAR KISHANDEH
# Country:               AF
# Latitude (DD):       36.133333
# Longitude (DD):      66.95
# Catchment area (km²):      3070.0
# Altitude (m ASL):        753.0
# Next downstream station:      2218450
# Remarks:               USGS-ID: 360800066570000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 1978
# No. of years:          10
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 117
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-01-01;--:--;   -999.000;      2.839;  74
1969-02-01;--:--;   -999.000;      2.885; 100
1969-03-01;--:--;   -999.000;      2.984; 100
1969-04-01;--:--;   -999.000;      3.354; 100
1969-05-01;--:--;   -999.000;      3.804; 100
1969-06-01;--:--;   -999.000;      0.869; 100
1969-07-01;--:--;   -999.000;      1.111; 100
1969-08-01;--:--;   -999.000;      1.568; 100
1969-09-01;--:--;   -999.000;      2.037; 100
1969-10-01;--:--;   -999.000;      2.118; 100
1969-11-01;--:--;   -999.000;      2.132; 100
1969-12-01;--:--;   -999.000;      1.890; 100
1970-01-01;--:--;   -999.000;      1.943; 100
1970-02-01;--:--;   -999.000;      1.716; 100
1970-03-01;--:--;   -999.000;      2.696; 100
1970-04-01;--:--;   -999.000;      2.247; 100
1970-05-01;--:--;   -999.000;      0.546; 100
1970-06-01;--:--;   -999.000;      0.104; 100
1970-07-01;--:--;   -999.000;      0.154; 100
1970-08-01;--:--;   -999.000;      0.179; 100
1970-09-01;--:--;   -999.000;      0.688; 100
1970-10-01;--:--;   -999.000;      1.426; 100
1970-11-01;--:--;   -999.000;      1.725; 100
1970-12-01;--:--;   -999.000;      1.815; 100
1971-01-01;--:--;   -999.000;      2.070; 100
1971-02-01;--:--;   -999.000;      2.288; 100
1971-03-01;--:--;   -999.000;      1.774; 100
1971-04-01;--:--;   -999.000;      1.233; 100
1971-05-01;--:--;   -999.000;      0.085; 100
1971-06-01;--:--;   -999.000;      0.033; 100
1971-07-01;--:--;   -999.000;      0.031; 100
1971-08-01;--:--;   -999.000;      0.024; 100
1971-09-01;--:--;   -999.000;      0.115; 100
1971-10-01;--:--;   -999.000;      0.397; 100
1971-11-01;--:--;   -999.000;      0.668; 100
1971-12-01;--:--;   -999.000;      0.962; 100
1972-01-01;--:--;   -999.000;      1.130; 100
1972-02-01;--:--;   -999.000;      1.274; 100
1972-03-01;--:--;   -999.000;      1.763; 100
1972-04-01;--:--;   -999.000;      2.023; 100
1972-05-01;--:--;   -999.000;      3.691; 100
1972-06-01;--:--;   -999.000;      2.640; 100
1972-07-01;--:--;   -999.000;      0.000; 100
1972-08-01;--:--;   -999.000;      0.099; 100
1972-09-01;--:--;   -999.000;      0.730; 100
1972-10-01;--:--;   -999.000;      1.392; 100
1972-11-01;--:--;   -999.000;      1.727; 100
1972-12-01;--:--;   -999.000;      1.740; 100
1973-01-01;--:--;   -999.000;      1.949; 100
1973-02-01;--:--;   -999.000;      1.360; 100
1973-03-01;--:--;   -999.000;      1.666; 100
1973-04-01;--:--;   -999.000;      1.733; 100
1973-05-01;--:--;   -999.000;      1.406; 100
1973-06-01;--:--;   -999.000;      0.015; 100
1973-07-01;--:--;   -999.000;      0.040; 100
1973-08-01;--:--;   -999.000;      0.641; 100
1973-09-01;--:--;   -999.000;      0.837; 100
1973-10-01;--:--;   -999.000;      1.080; 100
1973-11-01;--:--;   -999.000;      1.591; 100
1973-12-01;--:--;   -999.000;      2.848; 100
1974-01-01;--:--;   -999.000;      2.665; 100
1974-02-01;--:--;   -999.000;      2.324; 100
1974-03-01;--:--;   -999.000;      2.138; 100
1974-04-01;--:--;   -999.000;      1.180; 100
1974-05-01;--:--;   -999.000;      0.732; 100
1974-06-01;--:--;   -999.000;      0.112; 100
1974-07-01;--:--;   -999.000;      0.000; 100
1974-08-01;--:--;   -999.000;      0.180; 100
1974-09-01;--:--;   -999.000;      1.010; 100
1974-10-01;--:--;   -999.000;      1.382; 100
1974-11-01;--:--;   -999.000;      1.690; 100
1974-12-01;--:--;   -999.000;      1.738; 100
1975-01-01;--:--;   -999.000;      1.697; 100
1975-02-01;--:--;   -999.000;      1.600; 100
1975-03-01;--:--;   -999.000;      1.764; 100
1975-04-01;--:--;   -999.000;      2.007; 100
1975-05-01;--:--;   -999.000;      1.584; 100
1975-06-01;--:--;   -999.000;      0.000; 100
1975-07-01;--:--;   -999.000;      0.190; 100
1975-08-01;--:--;   -999.000;      0.353; 100
1975-09-01;--:--;   -999.000;      0.696; 100
1975-10-01;--:--;   -999.000;      1.078; 100
1975-11-01;--:--;   -999.000;      1.453; 100
1975-12-01;--:--;   -999.000;      1.828; 100
1976-01-01;--:--;   -999.000;      2.194; 100
1976-02-01;--:--;   -999.000;      2.059; 100
1976-03-01;--:--;   -999.000;      2.025; 100
1976-04-01;--:--;   -999.000;      4.527; 100
1976-05-01;--:--;   -999.000;      7.700; 100
1976-06-01;--:--;   -999.000;      0.164; 100
1976-07-01;--:--;   -999.000;      0.037; 100
1976-08-01;--:--;   -999.000;      0.264; 100
1976-09-01;--:--;   -999.000;      1.404; 100
1976-10-01;--:--;   -999.000;      2.060; 100
1976-11-01;--:--;   -999.000;      2.668; 100
1976-12-01;--:--;   -999.000;      3.379; 100
1977-01-01;--:--;   -999.000;      3.147; 100
1977-02-01;--:--;   -999.000;      2.490; 100
1977-03-01;--:--;   -999.000;      1.808; 100
1977-04-01;--:--;   -999.000;      2.406; 100
1977-05-01;--:--;   -999.000;      0.714; 100
1977-06-01;--:--;   -999.000;      0.930; 100
1977-07-01;--:--;   -999.000;      0.002; 100
1977-08-01;--:--;   -999.000;      0.077; 100
1977-09-01;--:--;   -999.000;      1.027; 100
1977-10-01;--:--;   -999.000;      1.503; 100
1977-11-01;--:--;   -999.000;      1.778; 100
1977-12-01;--:--;   -999.000;      1.542; 100
1978-01-01;--:--;   -999.000;      1.749; 100
1978-02-01;--:--;   -999.000;      2.170; 100
1978-03-01;--:--;   -999.000;      1.920; 100
1978-04-01;--:--;   -999.000;      1.528; 100
1978-05-01;--:--;   -999.000;      3.644; 100
1978-06-01;--:--;   -999.000;      0.364; 100
1978-07-01;--:--;   -999.000;      0.000; 100
1978-08-01;--:--;   -999.000;      0.277; 100
1978-09-01;--:--;   -999.000;      1.450; 100
