# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217470
# River:                 DARYA-YE KHULM
# Station:               SAYAD
# Country:               AF
# Latitude (DD):       36.583333
# Longitude (DD):      67.783333
# Catchment area (km²):      8170.0
# Altitude (m ASL):        669.0
# Next downstream station:      -
# Remarks:               USGS-ID: 363500067470000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 173
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-05-01;--:--;   -999.000;   -999.000;  61
1964-06-01;--:--;   -999.000;      0.940; 100
1964-07-01;--:--;   -999.000;      0.896; 100
1964-08-01;--:--;   -999.000;      0.968; 100
1964-09-01;--:--;   -999.000;      0.963; 100
1964-10-01;--:--;   -999.000;      0.797; 100
1964-11-01;--:--;   -999.000;      0.912; 100
1964-12-01;--:--;   -999.000;      0.750; 100
1965-01-01;--:--;   -999.000;      1.212; 100
1965-02-01;--:--;   -999.000;      2.046; 100
1965-03-01;--:--;   -999.000;      2.254; 100
1965-04-01;--:--;   -999.000;      2.267; 100
1965-05-01;--:--;   -999.000;      5.312; 100
1965-06-01;--:--;   -999.000;      1.387; 100
1965-07-01;--:--;   -999.000;      1.292; 100
1965-08-01;--:--;   -999.000;      0.912; 100
1965-09-01;--:--;   -999.000;      1.348; 100
1965-10-01;--:--;   -999.000;      1.313; 100
1965-11-01;--:--;   -999.000;      1.954; 100
1965-12-01;--:--;   -999.000;      2.219; 100
1966-01-01;--:--;   -999.000;      2.107; 100
1966-02-01;--:--;   -999.000;      2.250; 100
1966-03-01;--:--;   -999.000;      2.451; 100
1966-04-01;--:--;   -999.000;      1.990; 100
1966-05-01;--:--;   -999.000;      1.514; 100
1966-06-01;--:--;   -999.000;      1.151; 100
1966-07-01;--:--;   -999.000;      1.048; 100
1966-08-01;--:--;   -999.000;      0.896; 100
1966-09-01;--:--;   -999.000;      1.098; 100
1966-10-01;--:--;   -999.000;      1.755; 100
1966-11-01;--:--;   -999.000;      1.976; 100
1966-12-01;--:--;   -999.000;      2.198; 100
1967-01-01;--:--;   -999.000;      2.313; 100
1967-02-01;--:--;   -999.000;      2.234; 100
1967-03-01;--:--;   -999.000;      1.857; 100
1967-04-01;--:--;   -999.000;      1.722; 100
1967-05-01;--:--;   -999.000;      5.405; 100
1967-06-01;--:--;   -999.000;      1.524; 100
1967-07-01;--:--;   -999.000;      1.639; 100
1967-08-01;--:--;   -999.000;      1.837; 100
1967-09-01;--:--;   -999.000;      1.993; 100
1967-10-01;--:--;   -999.000;      2.412; 100
1967-11-01;--:--;   -999.000;      3.000; 100
1967-12-01;--:--;   -999.000;      2.846; 100
1968-01-01;--:--;   -999.000;      2.129; 100
1968-02-01;--:--;   -999.000;      1.854; 100
1968-03-01;--:--;   -999.000;      2.308; 100
1968-04-01;--:--;   -999.000;      2.638; 100
1968-05-01;--:--;   -999.000;      5.151; 100
1968-06-01;--:--;   -999.000;      3.247; 100
1968-07-01;--:--;   -999.000;      1.515; 100
1968-08-01;--:--;   -999.000;      1.394; 100
1968-09-01;--:--;   -999.000;      1.748; 100
1968-10-01;--:--;   -999.000;      1.602; 100
1968-11-01;--:--;   -999.000;      1.629; 100
1968-12-01;--:--;   -999.000;      2.863; 100
1969-01-01;--:--;   -999.000;      3.063; 100
1969-02-01;--:--;   -999.000;      3.332; 100
1969-03-01;--:--;   -999.000;      5.522; 100
1969-04-01;--:--;   -999.000;      5.370; 100
1969-05-01;--:--;   -999.000;      9.729; 100
1969-06-01;--:--;   -999.000;      3.049; 100
1969-07-01;--:--;   -999.000;      1.822; 100
1969-08-01;--:--;   -999.000;      1.683; 100
1969-09-01;--:--;   -999.000;      1.872; 100
1969-10-01;--:--;   -999.000;      2.069; 100
1969-11-01;--:--;   -999.000;      3.376; 100
1969-12-01;--:--;   -999.000;      3.245; 100
1970-01-01;--:--;   -999.000;      2.810; 100
1970-02-01;--:--;   -999.000;      2.398; 100
1970-03-01;--:--;   -999.000;      3.496; 100
1970-04-01;--:--;   -999.000;      2.560; 100
1970-05-01;--:--;   -999.000;      1.713; 100
1970-06-01;--:--;   -999.000;      1.310; 100
1970-07-01;--:--;   -999.000;      1.528; 100
1970-08-01;--:--;   -999.000;      1.205; 100
1970-09-01;--:--;   -999.000;      1.440; 100
1970-10-01;--:--;   -999.000;      1.422; 100
1970-11-01;--:--;   -999.000;      2.018; 100
1970-12-01;--:--;   -999.000;      2.724; 100
1971-01-01;--:--;   -999.000;      2.184; 100
1971-02-01;--:--;   -999.000;      2.236; 100
1971-03-01;--:--;   -999.000;      2.313; 100
1971-04-01;--:--;   -999.000;      1.870; 100
1971-05-01;--:--;   -999.000;      1.052; 100
1971-06-01;--:--;   -999.000;      1.236; 100
1971-07-01;--:--;   -999.000;      1.235; 100
1971-08-01;--:--;   -999.000;      1.026; 100
1971-09-01;--:--;   -999.000;      1.010; 100
1971-10-01;--:--;   -999.000;      0.926; 100
1971-11-01;--:--;   -999.000;      1.221; 100
1971-12-01;--:--;   -999.000;      1.518; 100
1972-01-01;--:--;   -999.000;      1.819; 100
1972-02-01;--:--;   -999.000;      2.118; 100
1972-03-01;--:--;   -999.000;      3.136; 100
1972-04-01;--:--;   -999.000;      3.098; 100
1972-05-01;--:--;   -999.000;      7.505; 100
1972-06-01;--:--;   -999.000;      1.580; 100
1972-07-01;--:--;   -999.000;      1.052; 100
1972-08-01;--:--;   -999.000;      1.070; 100
1972-09-01;--:--;   -999.000;      1.204; 100
1972-10-01;--:--;   -999.000;      1.141; 100
1972-11-01;--:--;   -999.000;      1.412; 100
1972-12-01;--:--;   -999.000;      1.528; 100
1973-01-01;--:--;   -999.000;      1.612; 100
1973-02-01;--:--;   -999.000;      1.626; 100
1973-03-01;--:--;   -999.000;      2.294; 100
1973-04-01;--:--;   -999.000;      2.764; 100
1973-05-01;--:--;   -999.000;      2.265; 100
1973-06-01;--:--;   -999.000;      1.202; 100
1973-07-01;--:--;   -999.000;      1.200; 100
1973-08-01;--:--;   -999.000;      0.956; 100
1973-09-01;--:--;   -999.000;      0.973; 100
1973-10-01;--:--;   -999.000;      1.433; 100
1973-11-01;--:--;   -999.000;      1.432; 100
1973-12-01;--:--;   -999.000;      1.700; 100
1974-01-01;--:--;   -999.000;      1.708; 100
1974-02-01;--:--;   -999.000;      1.848; 100
1974-03-01;--:--;   -999.000;      2.418; 100
1974-04-01;--:--;   -999.000;      1.222; 100
1974-05-01;--:--;   -999.000;      1.195; 100
1974-06-01;--:--;   -999.000;      0.926; 100
1974-07-01;--:--;   -999.000;      0.952; 100
1974-08-01;--:--;   -999.000;      0.904; 100
1974-09-01;--:--;   -999.000;      0.969; 100
1974-10-01;--:--;   -999.000;      1.146; 100
1974-11-01;--:--;   -999.000;      1.475; 100
1974-12-01;--:--;   -999.000;      1.955; 100
1975-01-01;--:--;   -999.000;      1.953; 100
1975-02-01;--:--;   -999.000;      1.777; 100
1975-03-01;--:--;   -999.000;      2.145; 100
1975-04-01;--:--;   -999.000;      2.184; 100
1975-05-01;--:--;   -999.000;      3.524; 100
1975-06-01;--:--;   -999.000;      0.716; 100
1975-07-01;--:--;   -999.000;      0.705; 100
1975-08-01;--:--;   -999.000;      0.843; 100
1975-09-01;--:--;   -999.000;      0.974; 100
1975-10-01;--:--;   -999.000;      1.095; 100
1975-11-01;--:--;   -999.000;      1.603; 100
1975-12-01;--:--;   -999.000;      1.926; 100
1976-01-01;--:--;   -999.000;      1.623; 100
1976-02-01;--:--;   -999.000;      1.937; 100
1976-03-01;--:--;   -999.000;      3.303; 100
1976-04-01;--:--;   -999.000;     10.127; 100
1976-05-01;--:--;   -999.000;      5.901; 100
1976-06-01;--:--;   -999.000;      0.644; 100
