# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2217480
# River:                 DARYA-YE SAR-E PUL
# Station:               ASIABAD
# Country:               AF
# Latitude (DD):       36.2
# Longitude (DD):      65.95
# Catchment area (km²):      6950.0
# Altitude (m ASL):        642.0
# Next downstream station:      -
# Remarks:               USGS-ID: 361200065570000
# Owner of original data: United States of America - US Geological Survey (USGS)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1964 - 1978
# No. of years:          15
# Last update:           2018-05-25
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 168
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1964-10-01;--:--;   -999.000;      6.960; 100
1964-11-01;--:--;   -999.000;      7.622; 100
1964-12-01;--:--;   -999.000;      7.560; 100
1965-01-01;--:--;   -999.000;      7.427; 100
1965-02-01;--:--;   -999.000;      8.075; 100
1965-03-01;--:--;   -999.000;      9.371; 100
1965-04-01;--:--;   -999.000;      8.867; 100
1965-05-01;--:--;   -999.000;      9.955; 100
1965-06-01;--:--;   -999.000;      6.671; 100
1965-07-01;--:--;   -999.000;      4.706; 100
1965-08-01;--:--;   -999.000;      4.353; 100
1965-09-01;--:--;   -999.000;      5.883; 100
1965-10-01;--:--;   -999.000;      7.817; 100
1965-11-01;--:--;   -999.000;      7.392; 100
1965-12-01;--:--;   -999.000;      6.644; 100
1966-01-01;--:--;   -999.000;      5.929; 100
1966-02-01;--:--;   -999.000;      7.729; 100
1966-03-01;--:--;   -999.000;      9.306; 100
1966-04-01;--:--;   -999.000;      6.364; 100
1966-05-01;--:--;   -999.000;      4.695; 100
1966-06-01;--:--;   -999.000;      3.331; 100
1966-07-01;--:--;   -999.000;      2.953; 100
1966-08-01;--:--;   -999.000;      2.805; 100
1966-09-01;--:--;   -999.000;      3.274; 100
1966-10-01;--:--;   -999.000;      5.197; 100
1966-11-01;--:--;   -999.000;      6.045; 100
1966-12-01;--:--;   -999.000;      5.566; 100
1967-01-01;--:--;   -999.000;      5.903; 100
1967-02-01;--:--;   -999.000;      6.002; 100
1967-03-01;--:--;   -999.000;      6.290; 100
1967-04-01;--:--;   -999.000;      7.515; 100
1967-05-01;--:--;   -999.000;     15.357; 100
1967-06-01;--:--;   -999.000;      7.485; 100
1967-07-01;--:--;   -999.000;      4.971; 100
1967-08-01;--:--;   -999.000;      4.201; 100
1967-09-01;--:--;   -999.000;      4.481; 100
1967-10-01;--:--;   -999.000;      5.761; 100
1967-11-01;--:--;   -999.000;      7.091; 100
1967-12-01;--:--;   -999.000;      5.567; 100
1968-01-01;--:--;   -999.000;      5.831; 100
1968-02-01;--:--;   -999.000;      5.803; 100
1968-03-01;--:--;   -999.000;      7.245; 100
1968-04-01;--:--;   -999.000;      9.762; 100
1968-05-01;--:--;   -999.000;     12.504; 100
1968-06-01;--:--;   -999.000;      9.792; 100
1968-07-01;--:--;   -999.000;      6.380; 100
1968-08-01;--:--;   -999.000;      5.840; 100
1968-09-01;--:--;   -999.000;      6.576; 100
1968-10-01;--:--;   -999.000;      7.975; 100
1968-11-01;--:--;   -999.000;      8.386; 100
1968-12-01;--:--;   -999.000;      9.751; 100
1969-01-01;--:--;   -999.000;      7.813; 100
1969-02-01;--:--;   -999.000;      8.553; 100
1969-03-01;--:--;   -999.000;     15.723; 100
1969-04-01;--:--;   -999.000;     31.087; 100
1969-05-01;--:--;   -999.000;     29.871; 100
1969-06-01;--:--;   -999.000;     23.643; 100
1969-07-01;--:--;   -999.000;     15.568; 100
1969-08-01;--:--;   -999.000;     12.135; 100
1969-09-01;--:--;   -999.000;     12.370; 100
1969-10-01;--:--;   -999.000;     13.103; 100
1969-11-01;--:--;   -999.000;     11.687; 100
1969-12-01;--:--;   -999.000;     10.244; 100
1970-01-01;--:--;   -999.000;      9.309; 100
1970-02-01;--:--;   -999.000;      9.551; 100
1970-03-01;--:--;   -999.000;     11.290; 100
1970-04-01;--:--;   -999.000;     11.025; 100
1970-05-01;--:--;   -999.000;      7.265; 100
1970-06-01;--:--;   -999.000;      4.721; 100
1970-07-01;--:--;   -999.000;      4.633; 100
1970-08-01;--:--;   -999.000;      4.431; 100
1970-09-01;--:--;   -999.000;      5.409; 100
1970-10-01;--:--;   -999.000;      7.525; 100
1970-11-01;--:--;   -999.000;      7.897; 100
1970-12-01;--:--;   -999.000;      7.971; 100
1971-01-01;--:--;   -999.000;      7.329; 100
1971-02-01;--:--;   -999.000;      7.303; 100
1971-03-01;--:--;   -999.000;      6.827; 100
1971-04-01;--:--;   -999.000;      7.158; 100
1971-05-01;--:--;   -999.000;      3.768; 100
1971-06-01;--:--;   -999.000;      3.163; 100
1971-07-01;--:--;   -999.000;      2.899; 100
1971-08-01;--:--;   -999.000;      3.045; 100
1971-09-01;--:--;   -999.000;      3.592; 100
1971-10-01;--:--;   -999.000;      4.737; 100
1971-11-01;--:--;   -999.000;      5.510; 100
1971-12-01;--:--;   -999.000;      5.576; 100
1972-01-01;--:--;   -999.000;      6.187; 100
1972-02-01;--:--;   -999.000;      7.132; 100
1972-03-01;--:--;   -999.000;     11.069; 100
1972-04-01;--:--;   -999.000;      7.913; 100
1972-05-01;--:--;   -999.000;     14.289; 100
1972-06-01;--:--;   -999.000;      7.601; 100
1972-07-01;--:--;   -999.000;      3.888; 100
1972-08-01;--:--;   -999.000;      3.377; 100
1972-09-01;--:--;   -999.000;      3.906; 100
1972-10-01;--:--;   -999.000;      5.405; 100
1972-11-01;--:--;   -999.000;      5.375; 100
1972-12-01;--:--;   -999.000;      5.105; 100
1973-01-01;--:--;   -999.000;      5.726; 100
1973-02-01;--:--;   -999.000;      6.752; 100
1973-03-01;--:--;   -999.000;     11.117; 100
1973-04-01;--:--;   -999.000;     14.508; 100
1973-05-01;--:--;   -999.000;     10.585; 100
1973-06-01;--:--;   -999.000;      7.314; 100
1973-07-01;--:--;   -999.000;      4.452; 100
1973-08-01;--:--;   -999.000;      4.144; 100
1973-09-01;--:--;   -999.000;      5.625; 100
1973-10-01;--:--;   -999.000;      6.233; 100
1973-11-01;--:--;   -999.000;      6.534; 100
1973-12-01;--:--;   -999.000;      6.358; 100
1974-01-01;--:--;   -999.000;      6.053; 100
1974-02-01;--:--;   -999.000;      6.650; 100
1974-03-01;--:--;   -999.000;      7.061; 100
1974-04-01;--:--;   -999.000;      6.671; 100
1974-05-01;--:--;   -999.000;      6.584; 100
1974-06-01;--:--;   -999.000;      4.214; 100
1974-07-01;--:--;   -999.000;      3.453; 100
