# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2316201
# River:                 SYR DARYA
# Station:               KAZALINSK
# Country:               KZ
# Latitude (DD):       45.75
# Longitude (DD):      62.12
# Catchment area (km²):      -999.0
# Altitude (m ASL):        60.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936 - 1985
# No. of years:          50
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 600
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-01-01;--:--;    321.000;   -999.000;   0
1936-02-01;--:--;    354.000;   -999.000;   0
1936-03-01;--:--;    401.000;   -999.000;   0
1936-04-01;--:--;    614.000;   -999.000;   0
1936-05-01;--:--;    786.000;   -999.000;   0
1936-06-01;--:--;    863.000;   -999.000;   0
1936-07-01;--:--;    780.000;   -999.000;   0
1936-08-01;--:--;    523.000;   -999.000;   0
1936-09-01;--:--;    407.000;   -999.000;   0
1936-10-01;--:--;    413.000;   -999.000;   0
1936-11-01;--:--;   -999.000;   -999.000;   0
1936-12-01;--:--;   -999.000;   -999.000;   0
1937-01-01;--:--;    262.000;   -999.000;   0
1937-02-01;--:--;    362.000;   -999.000;   0
1937-03-01;--:--;    442.000;   -999.000;   0
1937-04-01;--:--;    493.000;   -999.000;   0
1937-05-01;--:--;    633.000;   -999.000;   0
1937-06-01;--:--;    770.000;   -999.000;   0
1937-07-01;--:--;    753.000;   -999.000;   0
1937-08-01;--:--;    512.000;   -999.000;   0
1937-09-01;--:--;    344.000;   -999.000;   0
1937-10-01;--:--;    363.000;   -999.000;   0
1937-11-01;--:--;    402.000;   -999.000;   0
1937-12-01;--:--;    377.000;   -999.000;   0
1938-01-01;--:--;    299.000;   -999.000;   0
1938-02-01;--:--;    385.000;   -999.000;   0
1938-03-01;--:--;    451.000;   -999.000;   0
1938-04-01;--:--;    513.000;   -999.000;   0
1938-05-01;--:--;    557.000;   -999.000;   0
1938-06-01;--:--;    510.000;   -999.000;   0
1938-07-01;--:--;    330.000;   -999.000;   0
1938-08-01;--:--;    299.000;   -999.000;   0
1938-09-01;--:--;    245.000;   -999.000;   0
1938-10-01;--:--;    256.000;   -999.000;   0
1938-11-01;--:--;    338.000;   -999.000;   0
1938-12-01;--:--;    213.000;   -999.000;   0
1939-01-01;--:--;    263.000;   -999.000;   0
1939-02-01;--:--;    321.000;   -999.000;   0
1939-03-01;--:--;    344.000;   -999.000;   0
1939-04-01;--:--;    405.000;   -999.000;   0
1939-05-01;--:--;    527.000;   -999.000;   0
1939-06-01;--:--;    514.000;   -999.000;   0
1939-07-01;--:--;    411.000;   -999.000;   0
1939-08-01;--:--;    311.000;   -999.000;   0
1939-09-01;--:--;    257.000;   -999.000;   0
1939-10-01;--:--;    250.000;   -999.000;   0
1939-11-01;--:--;   -999.000;   -999.000;   0
1939-12-01;--:--;   -999.000;   -999.000;   0
1940-01-01;--:--;   -999.000;   -999.000;   0
1940-02-01;--:--;   -999.000;   -999.000;   0
1940-03-01;--:--;   -999.000;   -999.000;   0
1940-04-01;--:--;   -999.000;   -999.000;   0
1940-05-01;--:--;    306.000;   -999.000;   0
1940-06-01;--:--;    510.000;   -999.000;   0
1940-07-01;--:--;    545.000;   -999.000;   0
1940-08-01;--:--;    326.000;   -999.000;   0
1940-09-01;--:--;    216.000;   -999.000;   0
1940-10-01;--:--;    227.000;   -999.000;   0
1940-11-01;--:--;    365.000;   -999.000;   0
1940-12-01;--:--;   -999.000;   -999.000;   0
1941-01-01;--:--;   -999.000;   -999.000;   0
1941-02-01;--:--;    280.000;   -999.000;   0
1941-03-01;--:--;   -999.000;   -999.000;   0
1941-04-01;--:--;    619.000;   -999.000;   0
1941-05-01;--:--;    714.000;   -999.000;   0
1941-06-01;--:--;    807.000;   -999.000;   0
1941-07-01;--:--;    618.000;   -999.000;   0
1941-08-01;--:--;    294.000;   -999.000;   0
1941-09-01;--:--;    245.000;   -999.000;   0
1941-10-01;--:--;    256.000;   -999.000;   0
1941-11-01;--:--;   -999.000;   -999.000;   0
1941-12-01;--:--;   -999.000;   -999.000;   0
1942-01-01;--:--;    349.000;   -999.000;   0
1942-02-01;--:--;    237.000;   -999.000;   0
1942-03-01;--:--;    471.000;   -999.000;   0
1942-04-01;--:--;    723.000;   -999.000;   0
1942-05-01;--:--;    760.000;   -999.000;   0
1942-06-01;--:--;    790.000;   -999.000;   0
1942-07-01;--:--;    827.000;   -999.000;   0
1942-08-01;--:--;    519.000;   -999.000;   0
1942-09-01;--:--;    346.000;   -999.000;   0
1942-10-01;--:--;    337.000;   -999.000;   0
1942-11-01;--:--;    426.000;   -999.000;   0
1942-12-01;--:--;    507.000;   -999.000;   0
1943-01-01;--:--;    354.000;   -999.000;   0
1943-02-01;--:--;    334.000;   -999.000;   0
1943-03-01;--:--;    398.000;   -999.000;   0
1943-04-01;--:--;    653.000;   -999.000;   0
1943-05-01;--:--;    711.000;   -999.000;   0
1943-06-01;--:--;    835.000;   -999.000;   0
1943-07-01;--:--;    750.000;   -999.000;   0
1943-08-01;--:--;    478.000;   -999.000;   0
1943-09-01;--:--;    297.000;   -999.000;   0
1943-10-01;--:--;    336.000;   -999.000;   0
1943-11-01;--:--;    515.000;   -999.000;   0
1943-12-01;--:--;    490.000;   -999.000;   0
1944-01-01;--:--;    396.000;   -999.000;   0
1944-02-01;--:--;    472.000;   -999.000;   0
1944-03-01;--:--;    474.000;   -999.000;   0
1944-04-01;--:--;    412.000;   -999.000;   0
1944-05-01;--:--;    412.000;   -999.000;   0
1944-06-01;--:--;    407.000;   -999.000;   0
1944-07-01;--:--;    478.000;   -999.000;   0
1944-08-01;--:--;    363.000;   -999.000;   0
1944-09-01;--:--;    302.000;   -999.000;   0
1944-10-01;--:--;    319.000;   -999.000;   0
1944-11-01;--:--;    397.000;   -999.000;   0
1944-12-01;--:--;    184.000;   -999.000;   0
1945-01-01;--:--;    254.000;   -999.000;   0
1945-02-01;--:--;    366.000;   -999.000;   0
1945-03-01;--:--;    402.000;   -999.000;   0
1945-04-01;--:--;    640.000;   -999.000;   0
1945-05-01;--:--;    762.000;   -999.000;   0
1945-06-01;--:--;    732.000;   -999.000;   0
1945-07-01;--:--;    747.000;   -999.000;   0
1945-08-01;--:--;    477.000;   -999.000;   0
1945-09-01;--:--;    309.000;   -999.000;   0
1945-10-01;--:--;    338.000;   -999.000;   0
1945-11-01;--:--;   -999.000;   -999.000;   0
1945-12-01;--:--;   -999.000;   -999.000;   0
1946-01-01;--:--;   -999.000;   -999.000;   0
1946-02-01;--:--;   -999.000;   -999.000;   0
1946-03-01;--:--;   -999.000;   -999.000;   0
1946-04-01;--:--;   -999.000;   -999.000;   0
1946-05-01;--:--;   -999.000;   -999.000;   0
1946-06-01;--:--;   -999.000;   -999.000;   0
1946-07-01;--:--;   -999.000;   -999.000;   0
1946-08-01;--:--;   -999.000;   -999.000;   0
1946-09-01;--:--;   -999.000;   -999.000;   0
1946-10-01;--:--;   -999.000;   -999.000;   0
1946-11-01;--:--;   -999.000;   -999.000;   0
1946-12-01;--:--;   -999.000;   -999.000;   0
1947-01-01;--:--;    261.000;   -999.000;   0
1947-02-01;--:--;    307.000;   -999.000;   0
1947-03-01;--:--;    372.000;   -999.000;   0
1947-04-01;--:--;    441.000;   -999.000;   0
1947-05-01;--:--;    341.000;   -999.000;   0
1947-06-01;--:--;    464.000;   -999.000;   0
1947-07-01;--:--;    382.000;   -999.000;   0
