# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2316204
# River:                 SYR DARYA
# Station:               KARAOZEK
# Country:               KZ
# Latitude (DD):       45.0
# Longitude (DD):      65.27
# Catchment area (km²):      -999.0
# Altitude (m ASL):        118.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1937 - 1985
# No. of years:          49
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 585
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1937-04-01;--:--;    128.000;   -999.000;   0
1937-05-01;--:--;   -999.000;   -999.000;   0
1937-06-01;--:--;   -999.000;   -999.000;   0
1937-07-01;--:--;   -999.000;   -999.000;   0
1937-08-01;--:--;    152.000;   -999.000;   0
1937-09-01;--:--;     71.600;   -999.000;   0
1937-10-01;--:--;     85.400;   -999.000;   0
1937-11-01;--:--;   -999.000;   -999.000;   0
1937-12-01;--:--;   -999.000;   -999.000;   0
1938-01-01;--:--;    158.000;   -999.000;   0
1938-02-01;--:--;    135.000;   -999.000;   0
1938-03-01;--:--;    150.000;   -999.000;   0
1938-04-01;--:--;    156.000;   -999.000;   0
1938-05-01;--:--;    196.000;   -999.000;   0
1938-06-01;--:--;    146.000;   -999.000;   0
1938-07-01;--:--;     50.600;   -999.000;   0
1938-08-01;--:--;   -999.000;   -999.000;   0
1938-09-01;--:--;   -999.000;   -999.000;   0
1938-10-01;--:--;     13.600;   -999.000;   0
1938-11-01;--:--;   -999.000;   -999.000;   0
1938-12-01;--:--;   -999.000;   -999.000;   0
1939-01-01;--:--;   -999.000;   -999.000;   0
1939-02-01;--:--;   -999.000;   -999.000;   0
1939-03-01;--:--;   -999.000;   -999.000;   0
1939-04-01;--:--;    125.000;   -999.000;   0
1939-05-01;--:--;    218.000;   -999.000;   0
1939-06-01;--:--;    168.000;   -999.000;   0
1939-07-01;--:--;     63.200;   -999.000;   0
1939-08-01;--:--;   -999.000;   -999.000;   0
1939-09-01;--:--;   -999.000;   -999.000;   0
1939-10-01;--:--;   -999.000;   -999.000;   0
1939-11-01;--:--;   -999.000;   -999.000;   0
1939-12-01;--:--;   -999.000;   -999.000;   0
1940-01-01;--:--;   -999.000;   -999.000;   0
1940-02-01;--:--;   -999.000;   -999.000;   0
1940-03-01;--:--;   -999.000;   -999.000;   0
1940-04-01;--:--;     66.300;   -999.000;   0
1940-05-01;--:--;     12.200;   -999.000;   0
1940-06-01;--:--;    174.000;   -999.000;   0
1940-07-01;--:--;    153.000;   -999.000;   0
1940-08-01;--:--;     42.700;   -999.000;   0
1940-09-01;--:--;   -999.000;   -999.000;   0
1940-10-01;--:--;   -999.000;   -999.000;   0
1940-11-01;--:--;   -999.000;   -999.000;   0
1940-12-01;--:--;   -999.000;   -999.000;   0
1941-01-01;--:--;   -999.000;   -999.000;   0
1941-02-01;--:--;   -999.000;   -999.000;   0
1941-03-01;--:--;   -999.000;   -999.000;   0
1941-04-01;--:--;    203.000;   -999.000;   0
1941-05-01;--:--;    314.000;   -999.000;   0
1941-06-01;--:--;    350.000;   -999.000;   0
1941-07-01;--:--;    181.000;   -999.000;   0
1941-08-01;--:--;     58.100;   -999.000;   0
1941-09-01;--:--;     39.800;   -999.000;   0
1941-10-01;--:--;     46.300;   -999.000;   0
1941-11-01;--:--;     76.400;   -999.000;   0
1941-12-01;--:--;   -999.000;   -999.000;   0
1942-01-01;--:--;   -999.000;   -999.000;   0
1942-02-01;--:--;   -999.000;   -999.000;   0
1942-03-01;--:--;   -999.000;   -999.000;   0
1942-04-01;--:--;   -999.000;   -999.000;   0
1942-05-01;--:--;   -999.000;   -999.000;   0
1942-06-01;--:--;   -999.000;   -999.000;   0
1942-07-01;--:--;   -999.000;   -999.000;   0
1942-08-01;--:--;   -999.000;   -999.000;   0
1942-09-01;--:--;   -999.000;   -999.000;   0
1942-10-01;--:--;   -999.000;   -999.000;   0
1942-11-01;--:--;   -999.000;   -999.000;   0
1942-12-01;--:--;   -999.000;   -999.000;   0
1943-01-01;--:--;   -999.000;   -999.000;   0
1943-02-01;--:--;   -999.000;   -999.000;   0
1943-03-01;--:--;   -999.000;   -999.000;   0
1943-04-01;--:--;   -999.000;   -999.000;   0
1943-05-01;--:--;   -999.000;   -999.000;   0
1943-06-01;--:--;   -999.000;   -999.000;   0
1943-07-01;--:--;   -999.000;   -999.000;   0
1943-08-01;--:--;   -999.000;   -999.000;   0
1943-09-01;--:--;   -999.000;   -999.000;   0
1943-10-01;--:--;   -999.000;   -999.000;   0
1943-11-01;--:--;   -999.000;   -999.000;   0
1943-12-01;--:--;   -999.000;   -999.000;   0
1944-01-01;--:--;   -999.000;   -999.000;   0
1944-02-01;--:--;   -999.000;   -999.000;   0
1944-03-01;--:--;    190.000;   -999.000;   0
1944-04-01;--:--;    149.000;   -999.000;   0
1944-05-01;--:--;    194.000;   -999.000;   0
1944-06-01;--:--;    183.000;   -999.000;   0
1944-07-01;--:--;    232.000;   -999.000;   0
1944-08-01;--:--;    146.000;   -999.000;   0
1944-09-01;--:--;    109.000;   -999.000;   0
1944-10-01;--:--;    130.000;   -999.000;   0
1944-11-01;--:--;   -999.000;   -999.000;   0
1944-12-01;--:--;   -999.000;   -999.000;   0
1945-01-01;--:--;   -999.000;   -999.000;   0
1945-02-01;--:--;   -999.000;   -999.000;   0
1945-03-01;--:--;   -999.000;   -999.000;   0
1945-04-01;--:--;   -999.000;   -999.000;   0
1945-05-01;--:--;   -999.000;   -999.000;   0
1945-06-01;--:--;   -999.000;   -999.000;   0
1945-07-01;--:--;   -999.000;   -999.000;   0
1945-08-01;--:--;   -999.000;   -999.000;   0
