# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416202
# River:                 SYR DARYA
# Station:               KAL
# Country:               KG
# Latitude (DD):       40.88
# Longitude (DD):      71.45
# Catchment area (km²):      90000.0
# Altitude (m ASL):        378.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936 - 1985
# No. of years:          50
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 600
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-01-01;--:--;    278.000;   -999.000;   0
1936-02-01;--:--;    277.000;   -999.000;   0
1936-03-01;--:--;    314.000;   -999.000;   0
1936-04-01;--:--;    583.000;   -999.000;   0
1936-05-01;--:--;   1420.000;   -999.000;   0
1936-06-01;--:--;   1400.000;   -999.000;   0
1936-07-01;--:--;    727.000;   -999.000;   0
1936-08-01;--:--;    497.000;   -999.000;   0
1936-09-01;--:--;    440.000;   -999.000;   0
1936-10-01;--:--;    408.000;   -999.000;   0
1936-11-01;--:--;    373.000;   -999.000;   0
1936-12-01;--:--;    283.000;   -999.000;   0
1937-01-01;--:--;    268.000;   -999.000;   0
1937-02-01;--:--;    264.000;   -999.000;   0
1937-03-01;--:--;    276.000;   -999.000;   0
1937-04-01;--:--;    364.000;   -999.000;   0
1937-05-01;--:--;    880.000;   -999.000;   0
1937-06-01;--:--;   1110.000;   -999.000;   0
1937-07-01;--:--;    866.000;   -999.000;   0
1937-08-01;--:--;    506.000;   -999.000;   0
1937-09-01;--:--;    364.000;   -999.000;   0
1937-10-01;--:--;    366.000;   -999.000;   0
1937-11-01;--:--;    357.000;   -999.000;   0
1937-12-01;--:--;    362.000;   -999.000;   0
1938-01-01;--:--;    273.000;   -999.000;   0
1938-02-01;--:--;    274.000;   -999.000;   0
1938-03-01;--:--;    321.000;   -999.000;   0
1938-04-01;--:--;    468.000;   -999.000;   0
1938-05-01;--:--;    749.000;   -999.000;   0
1938-06-01;--:--;    551.000;   -999.000;   0
1938-07-01;--:--;    544.000;   -999.000;   0
1938-08-01;--:--;    498.000;   -999.000;   0
1938-09-01;--:--;    264.000;   -999.000;   0
1938-10-01;--:--;    287.000;   -999.000;   0
1938-11-01;--:--;    283.000;   -999.000;   0
1938-12-01;--:--;    279.000;   -999.000;   0
1939-01-01;--:--;    244.000;   -999.000;   0
1939-02-01;--:--;    229.000;   -999.000;   0
1939-03-01;--:--;    281.000;   -999.000;   0
1939-04-01;--:--;    271.000;   -999.000;   0
1939-05-01;--:--;    875.000;   -999.000;   0
1939-06-01;--:--;    518.000;   -999.000;   0
1939-07-01;--:--;    501.000;   -999.000;   0
1939-08-01;--:--;    402.000;   -999.000;   0
1939-09-01;--:--;    268.000;   -999.000;   0
1939-10-01;--:--;    230.000;   -999.000;   0
1939-11-01;--:--;    258.000;   -999.000;   0
1939-12-01;--:--;    256.000;   -999.000;   0
1940-01-01;--:--;    209.000;   -999.000;   0
1940-02-01;--:--;    191.000;   -999.000;   0
1940-03-01;--:--;    206.000;   -999.000;   0
1940-04-01;--:--;    201.000;   -999.000;   0
1940-05-01;--:--;    424.000;   -999.000;   0
1940-06-01;--:--;    942.000;   -999.000;   0
1940-07-01;--:--;    482.000;   -999.000;   0
1940-08-01;--:--;    357.000;   -999.000;   0
1940-09-01;--:--;    207.000;   -999.000;   0
1940-10-01;--:--;    270.000;   -999.000;   0
1940-11-01;--:--;    329.000;   -999.000;   0
1940-12-01;--:--;    269.000;   -999.000;   0
1941-01-01;--:--;    245.000;   -999.000;   0
1941-02-01;--:--;    207.000;   -999.000;   0
1941-03-01;--:--;    281.000;   -999.000;   0
1941-04-01;--:--;    495.000;   -999.000;   0
1941-05-01;--:--;   1060.000;   -999.000;   0
1941-06-01;--:--;   1010.000;   -999.000;   0
1941-07-01;--:--;    425.000;   -999.000;   0
1941-08-01;--:--;    331.000;   -999.000;   0
1941-09-01;--:--;    215.000;   -999.000;   0
1941-10-01;--:--;    226.000;   -999.000;   0
1941-11-01;--:--;    246.000;   -999.000;   0
1941-12-01;--:--;    273.000;   -999.000;   0
1942-01-01;--:--;    247.000;   -999.000;   0
1942-02-01;--:--;    235.000;   -999.000;   0
1942-03-01;--:--;    298.000;   -999.000;   0
1942-04-01;--:--;    471.000;   -999.000;   0
1942-05-01;--:--;    983.000;   -999.000;   0
1942-06-01;--:--;   1100.000;   -999.000;   0
1942-07-01;--:--;    664.000;   -999.000;   0
1942-08-01;--:--;    401.000;   -999.000;   0
1942-09-01;--:--;    250.000;   -999.000;   0
1942-10-01;--:--;    224.000;   -999.000;   0
1942-11-01;--:--;    287.000;   -999.000;   0
1942-12-01;--:--;    268.000;   -999.000;   0
1943-01-01;--:--;    263.000;   -999.000;   0
1943-02-01;--:--;    241.000;   -999.000;   0
1943-03-01;--:--;    294.000;   -999.000;   0
1943-04-01;--:--;    348.000;   -999.000;   0
1943-05-01;--:--;    648.000;   -999.000;   0
1943-06-01;--:--;    812.000;   -999.000;   0
1943-07-01;--:--;    682.000;   -999.000;   0
1943-08-01;--:--;    394.000;   -999.000;   0
1943-09-01;--:--;    260.000;   -999.000;   0
1943-10-01;--:--;    263.000;   -999.000;   0
1943-11-01;--:--;    319.000;   -999.000;   0
1943-12-01;--:--;    292.000;   -999.000;   0
1944-01-01;--:--;    251.000;   -999.000;   0
1944-02-01;--:--;    252.000;   -999.000;   0
1944-03-01;--:--;    243.000;   -999.000;   0
1944-04-01;--:--;    244.000;   -999.000;   0
1944-05-01;--:--;    455.000;   -999.000;   0
1944-06-01;--:--;    553.000;   -999.000;   0
1944-07-01;--:--;    634.000;   -999.000;   0
1944-08-01;--:--;    426.000;   -999.000;   0
1944-09-01;--:--;    284.000;   -999.000;   0
1944-10-01;--:--;    299.000;   -999.000;   0
1944-11-01;--:--;    340.000;   -999.000;   0
1944-12-01;--:--;    285.000;   -999.000;   0
1945-01-01;--:--;    265.000;   -999.000;   0
1945-02-01;--:--;    249.000;   -999.000;   0
1945-03-01;--:--;    341.000;   -999.000;   0
1945-04-01;--:--;    608.000;   -999.000;   0
1945-05-01;--:--;    801.000;   -999.000;   0
1945-06-01;--:--;   1300.000;   -999.000;   0
1945-07-01;--:--;    910.000;   -999.000;   0
1945-08-01;--:--;    481.000;   -999.000;   0
1945-09-01;--:--;    306.000;   -999.000;   0
1945-10-01;--:--;    320.000;   -999.000;   0
1945-11-01;--:--;    379.000;   -999.000;   0
1945-12-01;--:--;    326.000;   -999.000;   0
1946-01-01;--:--;    302.000;   -999.000;   0
1946-02-01;--:--;    325.000;   -999.000;   0
1946-03-01;--:--;    321.000;   -999.000;   0
1946-04-01;--:--;    590.000;   -999.000;   0
1946-05-01;--:--;    689.000;   -999.000;   0
1946-06-01;--:--;    818.000;   -999.000;   0
1946-07-01;--:--;    749.000;   -999.000;   0
1946-08-01;--:--;    535.000;   -999.000;   0
1946-09-01;--:--;    287.000;   -999.000;   0
1946-10-01;--:--;    310.000;   -999.000;   0
1946-11-01;--:--;    394.000;   -999.000;   0
1946-12-01;--:--;    367.000;   -999.000;   0
