# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416600
# River:                 GAVA-SAY
# Station:               GAYA
# Country:               KG
# Latitude (DD):       41.2
# Longitude (DD):      71.08
# Catchment area (km²):      657.0
# Altitude (m ASL):        1063.0
# Next downstream station:      2316200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1981
# No. of years:          4
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 48
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      1.000;      1.000; 100
1978-02-01;--:--;      0.000;      0.893; 100
1978-03-01;--:--;      1.000;      1.000; 100
1978-04-01;--:--;     10.000;     10.600; 100
1978-05-01;--:--;     26.000;     26.903; 100
1978-06-01;--:--;     16.000;     17.300; 100
1978-07-01;--:--;      4.000;      4.968; 100
1978-08-01;--:--;      2.000;      2.194; 100
1978-09-01;--:--;      1.000;      1.100; 100
1978-10-01;--:--;      1.000;      1.000; 100
1978-11-01;--:--;      0.000;      1.000; 100
1978-12-01;--:--;      1.000;      1.000; 100
1979-01-01;--:--;      1.000;      1.000; 100
1979-02-01;--:--;      0.000;      1.000; 100
1979-03-01;--:--;      1.000;      1.290; 100
1979-04-01;--:--;     12.000;     13.033; 100
1979-05-01;--:--;     24.000;     24.774; 100
1979-06-01;--:--;     33.000;     34.433; 100
1979-07-01;--:--;      9.000;      9.516; 100
1979-08-01;--:--;      4.000;      4.290; 100
1979-09-01;--:--;      2.000;      2.100; 100
1979-10-01;--:--;      1.000;      1.806; 100
1979-11-01;--:--;      1.000;      1.200; 100
1979-12-01;--:--;      1.000;      1.000; 100
1980-01-01;--:--;      1.000;      1.000; 100
1980-02-01;--:--;      0.000;      1.000; 100
1980-03-01;--:--;      1.000;      1.000; 100
1980-04-01;--:--;      6.000;      6.767; 100
1980-05-01;--:--;     22.000;     22.935; 100
1980-06-01;--:--;     13.000;     13.567; 100
1980-07-01;--:--;      4.000;      4.516; 100
1980-08-01;--:--;      1.000;      1.871; 100
1980-09-01;--:--;      0.000;      1.000; 100
1980-10-01;--:--;      1.000;      1.000; 100
1980-11-01;--:--;      0.000;      1.000; 100
1980-12-01;--:--;      0.000;      0.290; 100
1981-01-01;--:--;      0.000;      0.000; 100
1981-02-01;--:--;      0.000;      0.000; 100
1981-03-01;--:--;      0.000;      0.258; 100
1981-04-01;--:--;      6.000;      6.967; 100
1981-05-01;--:--;     21.000;     21.903; 100
1981-06-01;--:--;      9.000;     10.000; 100
1981-07-01;--:--;      5.000;      5.290; 100
1981-08-01;--:--;      2.000;      2.935; 100
1981-09-01;--:--;      1.000;      2.000; 100
1981-10-01;--:--;      1.000;      1.355; 100
1981-11-01;--:--;      0.000;      1.000; 100
1981-12-01;--:--;      1.000;      1.000; 100
