# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416850
# River:                 NORIN
# Station:               UCH-KURGAN
# Country:               KG
# Latitude (DD):       41.17
# Longitude (DD):      72.1
# Catchment area (km²):      58400.0
# Altitude (m ASL):        498.0
# Next downstream station:      2316200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1933 - 1990
# No. of years:          58
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 696
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1933-01-01;--:--;    128.000;   -999.000;   0
1933-02-01;--:--;    149.000;   -999.000;   0
1933-03-01;--:--;    185.000;   -999.000;   0
1933-04-01;--:--;    293.000;   -999.000;   0
1933-05-01;--:--;    674.000;   -999.000;   0
1933-06-01;--:--;    794.000;   -999.000;   0
1933-07-01;--:--;    584.000;   -999.000;   0
1933-08-01;--:--;    525.000;   -999.000;   0
1933-09-01;--:--;    300.000;   -999.000;   0
1933-10-01;--:--;    202.000;   -999.000;   0
1933-11-01;--:--;    170.000;   -999.000;   0
1933-12-01;--:--;    155.000;   -999.000;   0
1934-01-01;--:--;    103.000;   -999.000;   0
1934-02-01;--:--;    137.000;   -999.000;   0
1934-03-01;--:--;    158.000;   -999.000;   0
1934-04-01;--:--;    323.000;   -999.000;   0
1934-05-01;--:--;    635.000;   -999.000;   0
1934-06-01;--:--;   1620.000;   -999.000;   0
1934-07-01;--:--;   1010.000;   -999.000;   0
1934-08-01;--:--;    674.000;   -999.000;   0
1934-09-01;--:--;    406.000;   -999.000;   0
1934-10-01;--:--;    300.000;   -999.000;   0
1934-11-01;--:--;    240.000;   -999.000;   0
1934-12-01;--:--;    210.000;   -999.000;   0
1935-01-01;--:--;    175.000;   -999.000;   0
1935-02-01;--:--;    184.000;   -999.000;   0
1935-03-01;--:--;    216.000;   -999.000;   0
1935-04-01;--:--;    306.000;   -999.000;   0
1935-05-01;--:--;    791.000;   -999.000;   0
1935-06-01;--:--;   1010.000;   -999.000;   0
1935-07-01;--:--;    894.000;   -999.000;   0
1935-08-01;--:--;    650.000;   -999.000;   0
1935-09-01;--:--;    340.000;   -999.000;   0
1935-10-01;--:--;    249.000;   -999.000;   0
1935-11-01;--:--;    219.000;   -999.000;   0
1935-12-01;--:--;    203.000;   -999.000;   0
1936-01-01;--:--;    141.000;   -999.000;   0
1936-02-01;--:--;    161.000;   -999.000;   0
1936-03-01;--:--;    172.000;   -999.000;   0
1936-04-01;--:--;    383.000;   -999.000;   0
1936-05-01;--:--;    888.000;   -999.000;   0
1936-06-01;--:--;   1050.000;   -999.000;   0
1936-07-01;--:--;    666.000;   -999.000;   0
1936-08-01;--:--;    470.000;   -999.000;   0
1936-09-01;--:--;    332.000;   -999.000;   0
1936-10-01;--:--;    248.000;   -999.000;   0
1936-11-01;--:--;    206.000;   -999.000;   0
1936-12-01;--:--;    165.000;   -999.000;   0
1937-01-01;--:--;    158.000;   -999.000;   0
1937-02-01;--:--;    166.000;   -999.000;   0
1937-03-01;--:--;    174.000;   -999.000;   0
1937-04-01;--:--;    233.000;   -999.000;   0
1937-05-01;--:--;    672.000;   -999.000;   0
1937-06-01;--:--;    965.000;   -999.000;   0
1937-07-01;--:--;    829.000;   -999.000;   0
1937-08-01;--:--;    501.000;   -999.000;   0
1937-09-01;--:--;    324.000;   -999.000;   0
1937-10-01;--:--;    240.000;   -999.000;   0
1937-11-01;--:--;    198.000;   -999.000;   0
1937-12-01;--:--;    180.000;   -999.000;   0
1938-01-01;--:--;    161.000;    160.871; 100
1938-02-01;--:--;    156.000;    155.893; 100
1938-03-01;--:--;    167.000;    167.484; 100
1938-04-01;--:--;    317.000;    317.300; 100
1938-05-01;--:--;    637.000;    637.226; 100
1938-06-01;--:--;    441.000;    430.900; 100
1938-07-01;--:--;    562.000;    562.290; 100
1938-08-01;--:--;    404.000;    403.806; 100
1938-09-01;--:--;    248.000;    247.933; 100
1938-10-01;--:--;    209.000;    208.839; 100
1938-11-01;--:--;    181.000;    181.033; 100
1938-12-01;--:--;    159.000;    159.323; 100
1939-01-01;--:--;    145.000;    144.935; 100
1939-02-01;--:--;    143.000;    143.393; 100
1939-03-01;--:--;    172.000;    172.194; 100
1939-04-01;--:--;    197.000;    197.367; 100
1939-05-01;--:--;    766.000;    766.290; 100
1939-06-01;--:--;    551.000;    550.533; 100
1939-07-01;--:--;    596.000;    595.613; 100
1939-08-01;--:--;    452.000;    452.419; 100
1939-09-01;--:--;    274.000;    273.800; 100
1939-10-01;--:--;    195.000;    195.129; 100
1939-11-01;--:--;    172.000;    171.867; 100
1939-12-01;--:--;    151.000;    150.774; 100
1940-01-01;--:--;    137.000;    136.839; 100
1940-02-01;--:--;    150.000;    148.828; 100
1940-03-01;--:--;    144.000;    144.258; 100
1940-04-01;--:--;    191.000;    190.700; 100
1940-05-01;--:--;    467.000;    466.677; 100
1940-06-01;--:--;   1010.000;   1008.900; 100
1940-07-01;--:--;    609.000;    609.355; 100
1940-08-01;--:--;    409.000;    408.677; 100
1940-09-01;--:--;    207.000;    207.167; 100
1940-10-01;--:--;    195.000;    195.419; 100
1940-11-01;--:--;    196.000;    195.533; 100
1940-12-01;--:--;    155.000;    154.742; 100
1941-01-01;--:--;    145.000;    145.452; 100
1941-02-01;--:--;    138.000;    137.536; 100
1941-03-01;--:--;    192.000;    191.839; 100
1941-04-01;--:--;    380.000;    379.767; 100
1941-05-01;--:--;    973.000;    973.323; 100
1941-06-01;--:--;   1050.000;   1046.033; 100
1941-07-01;--:--;    532.000;    531.806; 100
1941-08-01;--:--;    439.000;    438.581; 100
1941-09-01;--:--;    247.000;    246.667; 100
1941-10-01;--:--;    201.000;    200.742; 100
1941-11-01;--:--;    193.000;    192.967; 100
1941-12-01;--:--;    169.000;    169.065; 100
1942-01-01;--:--;    145.000;    145.387; 100
1942-02-01;--:--;    144.000;    143.643; 100
1942-03-01;--:--;    177.000;    177.323; 100
1942-04-01;--:--;    359.000;    358.800; 100
1942-05-01;--:--;   1060.000;   1058.645; 100
1942-06-01;--:--;   1250.000;   1246.533; 100
1942-07-01;--:--;    858.000;    858.032; 100
1942-08-01;--:--;    550.000;    549.645; 100
1942-09-01;--:--;    296.000;    297.200; 100
1942-10-01;--:--;    202.000;    201.839; 100
1942-11-01;--:--;    189.000;    188.433; 100
1942-12-01;--:--;    170.000;    169.581; 100
1943-01-01;--:--;    165.000;    165.000; 100
1943-02-01;--:--;    162.000;    162.393; 100
1943-03-01;--:--;    180.000;    180.323; 100
1943-04-01;--:--;    261.000;    261.233; 100
1943-05-01;--:--;    611.000;    610.935; 100
1943-06-01;--:--;    834.000;    823.533; 100
1943-07-01;--:--;    769.000;    768.710; 100
1943-08-01;--:--;    465.000;    465.355; 100
1943-09-01;--:--;    273.000;    273.333; 100
1943-10-01;--:--;    207.000;    206.839; 100
1943-11-01;--:--;    197.000;    196.867; 100
1943-12-01;--:--;    168.000;    168.484; 100
1944-01-01;--:--;    152.000;    152.290; 100
1944-02-01;--:--;    149.000;    149.103; 100
1944-03-01;--:--;    188.000;    187.613; 100
1944-04-01;--:--;    208.000;    208.133; 100
1944-05-01;--:--;    429.000;    429.129; 100
1944-06-01;--:--;    627.000;    626.667; 100
1944-07-01;--:--;    743.000;    742.613; 100
1944-08-01;--:--;    482.000;    481.581; 100
1944-09-01;--:--;    252.000;    251.767; 100
1944-10-01;--:--;    197.000;    197.194; 100
1944-11-01;--:--;    191.000;    191.100; 100
1944-12-01;--:--;    163.000;    163.032; 100
1945-01-01;--:--;    159.000;    159.419; 100
1945-02-01;--:--;    150.000;    150.071; 100
1945-03-01;--:--;    168.000;    168.387; 100
1945-04-01;--:--;    363.000;    363.000; 100
1945-05-01;--:--;    604.000;    604.290; 100
