# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416870
# River:                 NORIN
# Station:               TOKTOGUL RESERVOIR
# Country:               KG
# Latitude (DD):       41.657223
# Longitude (DD):      72.636224
# Catchment area (km²):      -999.0
# Altitude (m ASL):        -999.00
# Next downstream station:      2416890
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1951 - 1995
# No. of years:          45
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 531
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1951-01-01;--:--;    137.000;   -999.000;   0
1951-02-01;--:--;    133.000;   -999.000;   0
1951-03-01;--:--;    135.000;   -999.000;   0
1951-04-01;--:--;    205.000;   -999.000;   0
1951-05-01;--:--;    747.000;   -999.000;   0
1951-06-01;--:--;    677.000;   -999.000;   0
1951-07-01;--:--;    643.000;   -999.000;   0
1951-08-01;--:--;    471.000;   -999.000;   0
1951-09-01;--:--;    238.000;   -999.000;   0
1951-10-01;--:--;    239.000;   -999.000;   0
1951-11-01;--:--;    212.000;   -999.000;   0
1951-12-01;--:--;    157.000;   -999.000;   0
1952-01-01;--:--;    142.000;   -999.000;   0
1952-02-01;--:--;    140.000;   -999.000;   0
1952-03-01;--:--;    146.000;   -999.000;   0
1952-04-01;--:--;    358.000;   -999.000;   0
1952-05-01;--:--;    680.000;   -999.000;   0
1952-06-01;--:--;   1362.000;   -999.000;   0
1952-07-01;--:--;   1327.000;   -999.000;   0
1952-08-01;--:--;    850.000;   -999.000;   0
1952-09-01;--:--;    432.000;   -999.000;   0
1952-10-01;--:--;    306.000;   -999.000;   0
1952-11-01;--:--;    260.000;   -999.000;   0
