# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2416890
# River:                 NORIN
# Station:               NARYN
# Country:               KG
# Latitude (DD):       41.43
# Longitude (DD):      76.02
# Catchment area (km²):      10500.0
# Altitude (m ASL):        2039.0
# Next downstream station:      2416860
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1933 - 1980
# No. of years:          48
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 576
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1933-01-01;--:--;     26.000;   -999.000;   0
1933-02-01;--:--;     27.000;   -999.000;   0
1933-03-01;--:--;     28.000;   -999.000;   0
1933-04-01;--:--;     54.000;   -999.000;   0
1933-05-01;--:--;    135.000;   -999.000;   0
1933-06-01;--:--;    195.000;   -999.000;   0
1933-07-01;--:--;    243.000;   -999.000;   0
1933-08-01;--:--;    289.000;   -999.000;   0
1933-09-01;--:--;    131.000;   -999.000;   0
1933-10-01;--:--;     50.000;   -999.000;   0
1933-11-01;--:--;     38.000;   -999.000;   0
1933-12-01;--:--;     35.000;   -999.000;   0
1934-01-01;--:--;     30.000;   -999.000;   0
1934-02-01;--:--;     27.000;   -999.000;   0
1934-03-01;--:--;     26.000;   -999.000;   0
1934-04-01;--:--;     46.000;   -999.000;   0
1934-05-01;--:--;    168.000;   -999.000;   0
1934-06-01;--:--;    397.000;   -999.000;   0
1934-07-01;--:--;    228.000;   -999.000;   0
1934-08-01;--:--;    209.000;   -999.000;   0
1934-09-01;--:--;     94.000;   -999.000;   0
1934-10-01;--:--;     49.000;   -999.000;   0
1934-11-01;--:--;     37.000;   -999.000;   0
1934-12-01;--:--;     32.000;   -999.000;   0
1935-01-01;--:--;     30.000;   -999.000;   0
1935-02-01;--:--;     26.000;   -999.000;   0
1935-03-01;--:--;     30.000;   -999.000;   0
1935-04-01;--:--;     40.000;   -999.000;   0
1935-05-01;--:--;    113.000;   -999.000;   0
1935-06-01;--:--;    191.000;   -999.000;   0
1935-07-01;--:--;    245.000;   -999.000;   0
1935-08-01;--:--;    278.000;   -999.000;   0
1935-09-01;--:--;     87.000;   -999.000;   0
1935-10-01;--:--;     46.000;   -999.000;   0
1935-11-01;--:--;     37.000;   -999.000;   0
1935-12-01;--:--;     31.000;   -999.000;   0
1936-01-01;--:--;   -999.000;   -999.000;   0
1936-02-01;--:--;   -999.000;   -999.000;   0
1936-03-01;--:--;   -999.000;   -999.000;   0
1936-04-01;--:--;     72.000;   -999.000;   0
1936-05-01;--:--;    178.000;   -999.000;   0
1936-06-01;--:--;    230.000;   -999.000;   0
1936-07-01;--:--;    210.000;   -999.000;   0
1936-08-01;--:--;    132.000;   -999.000;   0
1936-09-01;--:--;     86.000;   -999.000;   0
1936-10-01;--:--;     47.000;   -999.000;   0
1936-11-01;--:--;     37.000;   -999.000;   0
1936-12-01;--:--;     32.000;   -999.000;   0
1937-01-01;--:--;     24.000;   -999.000;   0
1937-02-01;--:--;     24.000;   -999.000;   0
1937-03-01;--:--;     26.000;   -999.000;   0
1937-04-01;--:--;     29.000;   -999.000;   0
1937-05-01;--:--;     71.000;   -999.000;   0
1937-06-01;--:--;    145.000;   -999.000;   0
1937-07-01;--:--;    174.000;   -999.000;   0
1937-08-01;--:--;    113.000;   -999.000;   0
1937-09-01;--:--;     57.000;   -999.000;   0
1937-10-01;--:--;     35.000;   -999.000;   0
1937-11-01;--:--;     24.000;   -999.000;   0
1937-12-01;--:--;     14.000;   -999.000;   0
1938-01-01;--:--;     10.000;   -999.000;   0
1938-02-01;--:--;     19.000;   -999.000;   0
1938-03-01;--:--;     20.000;   -999.000;   0
1938-04-01;--:--;     37.000;   -999.000;   0
1938-05-01;--:--;     91.000;   -999.000;   0
1938-06-01;--:--;     54.000;   -999.000;   0
1938-07-01;--:--;   -999.000;   -999.000;   0
1938-08-01;--:--;   -999.000;   -999.000;   0
1938-09-01;--:--;     50.000;   -999.000;   0
1938-10-01;--:--;     34.000;   -999.000;   0
1938-11-01;--:--;     26.000;   -999.000;   0
1938-12-01;--:--;     19.000;   -999.000;   0
1939-01-01;--:--;     19.000;   -999.000;   0
1939-02-01;--:--;     18.000;   -999.000;   0
1939-03-01;--:--;     18.000;   -999.000;   0
1939-04-01;--:--;     21.000;   -999.000;   0
1939-05-01;--:--;    133.000;   -999.000;   0
1939-06-01;--:--;     88.000;   -999.000;   0
1939-07-01;--:--;    198.000;   -999.000;   0
1939-08-01;--:--;    185.000;   -999.000;   0
1939-09-01;--:--;     71.000;   -999.000;   0
1939-10-01;--:--;     38.000;   -999.000;   0
1939-11-01;--:--;     30.000;   -999.000;   0
1939-12-01;--:--;     23.000;   -999.000;   0
1940-01-01;--:--;     21.000;   -999.000;   0
1940-02-01;--:--;     23.000;   -999.000;   0
1940-03-01;--:--;     24.000;   -999.000;   0
1940-04-01;--:--;     35.000;   -999.000;   0
1940-05-01;--:--;     70.000;   -999.000;   0
1940-06-01;--:--;    170.000;   -999.000;   0
1940-07-01;--:--;    169.000;   -999.000;   0
1940-08-01;--:--;    137.000;   -999.000;   0
1940-09-01;--:--;     58.000;   -999.000;   0
1940-10-01;--:--;     42.000;   -999.000;   0
1940-11-01;--:--;     30.000;   -999.000;   0
1940-12-01;--:--;     25.000;   -999.000;   0
1941-01-01;--:--;     26.000;   -999.000;   0
1941-02-01;--:--;     25.000;   -999.000;   0
1941-03-01;--:--;     25.000;   -999.000;   0
1941-04-01;--:--;     58.000;   -999.000;   0
1941-05-01;--:--;    196.000;   -999.000;   0
1941-06-01;--:--;    247.000;   -999.000;   0
1941-07-01;--:--;    155.000;   -999.000;   0
1941-08-01;--:--;    179.000;   -999.000;   0
