# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517475
# River:                 QAROTOG
# Station:               KARATAG
# Country:               TJ
# Latitude (DD):       38.63
# Longitude (DD):      68.33
# Catchment area (km²):      684.0
# Altitude (m ASL):        906.0
# Next downstream station:      2517610
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1932 - 1986
# No. of years:          55
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 660
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1932-01-01;--:--;      4.910;   -999.000;   0
1932-02-01;--:--;      4.990;   -999.000;   0
1932-03-01;--:--;     12.800;   -999.000;   0
1932-04-01;--:--;     36.500;   -999.000;   0
1932-05-01;--:--;     39.600;   -999.000;   0
1932-06-01;--:--;     54.700;   -999.000;   0
1932-07-01;--:--;     54.700;   -999.000;   0
1932-08-01;--:--;     26.500;   -999.000;   0
1932-09-01;--:--;     14.500;   -999.000;   0
1932-10-01;--:--;      8.010;   -999.000;   0
1932-11-01;--:--;      6.020;   -999.000;   0
1932-12-01;--:--;      5.790;   -999.000;   0
1933-01-01;--:--;      5.430;   -999.000;   0
1933-02-01;--:--;      6.180;   -999.000;   0
1933-03-01;--:--;     11.600;   -999.000;   0
1933-04-01;--:--;     24.000;   -999.000;   0
1933-05-01;--:--;     75.200;   -999.000;   0
1933-06-01;--:--;     65.200;   -999.000;   0
1933-07-01;--:--;     52.000;   -999.000;   0
1933-08-01;--:--;     29.400;   -999.000;   0
1933-09-01;--:--;     15.200;   -999.000;   0
1933-10-01;--:--;      8.600;   -999.000;   0
1933-11-01;--:--;      6.490;   -999.000;   0
1933-12-01;--:--;      6.970;   -999.000;   0
1934-01-01;--:--;      6.160;   -999.000;   0
1934-02-01;--:--;      9.680;   -999.000;   0
1934-03-01;--:--;     12.000;   -999.000;   0
1934-04-01;--:--;     41.800;   -999.000;   0
1934-05-01;--:--;     47.800;   -999.000;   0
1934-06-01;--:--;     97.600;   -999.000;   0
1934-07-01;--:--;     84.700;   -999.000;   0
1934-08-01;--:--;     51.100;   -999.000;   0
1934-09-01;--:--;     19.700;   -999.000;   0
1934-10-01;--:--;     11.200;   -999.000;   0
1934-11-01;--:--;      8.240;   -999.000;   0
1934-12-01;--:--;      6.540;   -999.000;   0
1935-01-01;--:--;      5.720;   -999.000;   0
1935-02-01;--:--;      6.750;   -999.000;   0
1935-03-01;--:--;     12.700;   -999.000;   0
1935-04-01;--:--;     27.800;   -999.000;   0
1935-05-01;--:--;     64.600;   -999.000;   0
1935-06-01;--:--;     61.800;   -999.000;   0
1935-07-01;--:--;     73.200;   -999.000;   0
1935-08-01;--:--;     39.600;   -999.000;   0
1935-09-01;--:--;     15.000;   -999.000;   0
1935-10-01;--:--;      8.700;   -999.000;   0
1935-11-01;--:--;      7.490;   -999.000;   0
1935-12-01;--:--;      5.640;   -999.000;   0
1936-01-01;--:--;      5.230;   -999.000;   0
1936-02-01;--:--;      6.430;   -999.000;   0
1936-03-01;--:--;      9.330;   -999.000;   0
1936-04-01;--:--;     30.400;   -999.000;   0
1936-05-01;--:--;     70.600;   -999.000;   0
1936-06-01;--:--;     69.700;   -999.000;   0
1936-07-01;--:--;     39.500;   -999.000;   0
1936-08-01;--:--;     22.700;   -999.000;   0
1936-09-01;--:--;     14.100;   -999.000;   0
1936-10-01;--:--;      6.790;   -999.000;   0
1936-11-01;--:--;      5.620;   -999.000;   0
1936-12-01;--:--;      4.060;   -999.000;   0
1937-01-01;--:--;      3.760;   -999.000;   0
1937-02-01;--:--;      4.230;   -999.000;   0
1937-03-01;--:--;      7.370;   -999.000;   0
1937-04-01;--:--;     22.300;   -999.000;   0
1937-05-01;--:--;   -999.000;   -999.000;   0
1937-06-01;--:--;     53.500;   -999.000;   0
1937-07-01;--:--;     41.700;   -999.000;   0
1937-08-01;--:--;     20.100;   -999.000;   0
1937-09-01;--:--;     10.500;   -999.000;   0
1937-10-01;--:--;      6.350;   -999.000;   0
1937-11-01;--:--;      5.190;   -999.000;   0
1937-12-01;--:--;      4.340;   -999.000;   0
1938-01-01;--:--;      4.460;   -999.000;   0
1938-02-01;--:--;      4.710;   -999.000;   0
1938-03-01;--:--;      9.530;   -999.000;   0
1938-04-01;--:--;     31.700;   -999.000;   0
1938-05-01;--:--;     52.300;   -999.000;   0
1938-06-01;--:--;     37.000;   -999.000;   0
1938-07-01;--:--;     26.300;   -999.000;   0
1938-08-01;--:--;     16.800;   -999.000;   0
1938-09-01;--:--;      9.480;   -999.000;   0
1938-10-01;--:--;      5.970;   -999.000;   0
1938-11-01;--:--;      4.130;   -999.000;   0
1938-12-01;--:--;      4.460;   -999.000;   0
1939-01-01;--:--;      3.940;   -999.000;   0
1939-02-01;--:--;      4.600;   -999.000;   0
1939-03-01;--:--;      7.420;   -999.000;   0
1939-04-01;--:--;     17.800;   -999.000;   0
1939-05-01;--:--;     47.900;   -999.000;   0
1939-06-01;--:--;     70.800;   -999.000;   0
1939-07-01;--:--;     38.000;   -999.000;   0
1939-08-01;--:--;     19.600;   -999.000;   0
1939-09-01;--:--;     11.600;   -999.000;   0
1939-10-01;--:--;      8.930;   -999.000;   0
1939-11-01;--:--;      6.990;   -999.000;   0
1939-12-01;--:--;      6.690;   -999.000;   0
1940-01-01;--:--;      5.610;   -999.000;   0
1940-02-01;--:--;      5.140;   -999.000;   0
1940-03-01;--:--;      8.090;   -999.000;   0
1940-04-01;--:--;     25.000;   -999.000;   0
1940-05-01;--:--;     52.600;   -999.000;   0
1940-06-01;--:--;     64.600;   -999.000;   0
1940-07-01;--:--;     41.600;   -999.000;   0
1940-08-01;--:--;     24.600;   -999.000;   0
1940-09-01;--:--;     12.200;   -999.000;   0
1940-10-01;--:--;      7.550;   -999.000;   0
1940-11-01;--:--;      6.070;   -999.000;   0
1940-12-01;--:--;      6.210;   -999.000;   0
1941-01-01;--:--;      7.170;   -999.000;   0
1941-02-01;--:--;      9.510;   -999.000;   0
1941-03-01;--:--;     20.500;   -999.000;   0
1941-04-01;--:--;   -999.000;   -999.000;   0
1941-05-01;--:--;   -999.000;   -999.000;   0
1941-06-01;--:--;   -999.000;   -999.000;   0
1941-07-01;--:--;   -999.000;   -999.000;   0
1941-08-01;--:--;   -999.000;   -999.000;   0
1941-09-01;--:--;     12.600;   -999.000;   0
1941-10-01;--:--;      7.530;   -999.000;   0
1941-11-01;--:--;      5.840;   -999.000;   0
1941-12-01;--:--;      5.530;   -999.000;   0
1942-01-01;--:--;      5.210;   -999.000;   0
1942-02-01;--:--;      5.560;   -999.000;   0
1942-03-01;--:--;     16.400;   -999.000;   0
1942-04-01;--:--;     38.700;   -999.000;   0
1942-05-01;--:--;     56.700;   -999.000;   0
1942-06-01;--:--;     60.700;   -999.000;   0
1942-07-01;--:--;     55.900;   -999.000;   0
1942-08-01;--:--;     28.500;   -999.000;   0
1942-09-01;--:--;     12.700;   -999.000;   0
1942-10-01;--:--;      7.700;   -999.000;   0
1942-11-01;--:--;      6.650;   -999.000;   0
1942-12-01;--:--;      6.060;   -999.000;   0
1943-01-01;--:--;      5.270;   -999.000;   0
1943-02-01;--:--;      6.360;   -999.000;   0
1943-03-01;--:--;   -999.000;   -999.000;   0
1943-04-01;--:--;   -999.000;   -999.000;   0
1943-05-01;--:--;     47.300;   -999.000;   0
1943-06-01;--:--;     60.500;   -999.000;   0
1943-07-01;--:--;     49.000;   -999.000;   0
1943-08-01;--:--;     30.200;   -999.000;   0
1943-09-01;--:--;     19.200;   -999.000;   0
1943-10-01;--:--;     10.400;   -999.000;   0
1943-11-01;--:--;      9.050;   -999.000;   0
1943-12-01;--:--;      8.580;   -999.000;   0
1944-01-01;--:--;      7.880;   -999.000;   0
1944-02-01;--:--;      6.520;   -999.000;   0
1944-03-01;--:--;     11.000;   -999.000;   0
1944-04-01;--:--;     26.400;   -999.000;   0
1944-05-01;--:--;     45.800;   -999.000;   0
1944-06-01;--:--;     37.700;   -999.000;   0
1944-07-01;--:--;     32.500;   -999.000;   0
1944-08-01;--:--;     24.400;   -999.000;   0
1944-09-01;--:--;     12.000;   -999.000;   0
1944-10-01;--:--;      6.710;   -999.000;   0
1944-11-01;--:--;      6.240;   -999.000;   0
1944-12-01;--:--;      4.900;   -999.000;   0
1945-01-01;--:--;      4.020;   -999.000;   0
1945-02-01;--:--;      4.090;   -999.000;   0
1945-03-01;--:--;     11.400;   -999.000;   0
1945-04-01;--:--;     27.100;   -999.000;   0
1945-05-01;--:--;     53.500;   -999.000;   0
1945-06-01;--:--;     50.000;   -999.000;   0
1945-07-01;--:--;     33.000;   -999.000;   0
1945-08-01;--:--;     22.100;   -999.000;   0
1945-09-01;--:--;     15.600;   -999.000;   0
1945-10-01;--:--;     10.900;   -999.000;   0
1945-11-01;--:--;      7.620;   -999.000;   0
1945-12-01;--:--;      5.440;   -999.000;   0
1946-01-01;--:--;      6.030;   -999.000;   0
1946-02-01;--:--;      9.020;   -999.000;   0
1946-03-01;--:--;     12.400;   -999.000;   0
1946-04-01;--:--;     34.700;   -999.000;   0
1946-05-01;--:--;     41.200;   -999.000;   0
1946-06-01;--:--;     42.100;   -999.000;   0
1946-07-01;--:--;     37.100;   -999.000;   0
1946-08-01;--:--;     19.300;   -999.000;   0
1946-09-01;--:--;     13.800;   -999.000;   0
1946-10-01;--:--;     10.900;   -999.000;   0
1946-11-01;--:--;      5.470;   -999.000;   0
1946-12-01;--:--;      4.910;   -999.000;   0
1947-01-01;--:--;      4.470;   -999.000;   0
1947-02-01;--:--;      4.970;   -999.000;   0
1947-03-01;--:--;     10.600;   -999.000;   0
1947-04-01;--:--;     26.700;   -999.000;   0
1947-05-01;--:--;     58.400;   -999.000;   0
1947-06-01;--:--;     58.900;   -999.000;   0
1947-07-01;--:--;     42.600;   -999.000;   0
1947-08-01;--:--;     23.300;   -999.000;   0
1947-09-01;--:--;     13.300;   -999.000;   0
1947-10-01;--:--;      7.190;   -999.000;   0
1947-11-01;--:--;      7.020;   -999.000;   0
1947-12-01;--:--;      5.790;   -999.000;   0
1948-01-01;--:--;      5.030;   -999.000;   0
1948-02-01;--:--;      5.220;   -999.000;   0
1948-03-01;--:--;      9.050;   -999.000;   0
1948-04-01;--:--;     44.400;   -999.000;   0
1948-05-01;--:--;     64.900;   -999.000;   0
1948-06-01;--:--;     63.500;   -999.000;   0
1948-07-01;--:--;     66.600;   -999.000;   0
1948-08-01;--:--;     32.500;   -999.000;   0
1948-09-01;--:--;     12.700;   -999.000;   0
1948-10-01;--:--;      8.060;   -999.000;   0
1948-11-01;--:--;      5.880;   -999.000;   0
1948-12-01;--:--;      5.180;   -999.000;   0
1949-01-01;--:--;      5.940;   -999.000;   0
1949-02-01;--:--;      6.850;   -999.000;   0
1949-03-01;--:--;     13.500;   -999.000;   0
1949-04-01;--:--;     56.600;   -999.000;   0
1949-05-01;--:--;     76.300;   -999.000;   0
1949-06-01;--:--;     51.400;   -999.000;   0
1949-07-01;--:--;     55.400;   -999.000;   0
1949-08-01;--:--;     25.700;   -999.000;   0
1949-09-01;--:--;     14.100;   -999.000;   0
1949-10-01;--:--;      7.420;   -999.000;   0
1949-11-01;--:--;      5.410;   -999.000;   0
1949-12-01;--:--;      4.610;   -999.000;   0
1950-01-01;--:--;      4.920;   -999.000;   0
1950-02-01;--:--;      4.570;   -999.000;   0
1950-03-01;--:--;      8.550;   -999.000;   0
1950-04-01;--:--;     15.200;   -999.000;   0
1950-05-01;--:--;     44.300;   -999.000;   0
1950-06-01;--:--;     50.600;   -999.000;   0
1950-07-01;--:--;     38.700;   -999.000;   0
1950-08-01;--:--;     22.300;   -999.000;   0
1950-09-01;--:--;      9.070;   -999.000;   0
1950-10-01;--:--;      5.220;   -999.000;   0
1950-11-01;--:--;      4.480;   -999.000;   0
1950-12-01;--:--;      4.280;   -999.000;   0
1951-01-01;--:--;      4.280;   -999.000;   0
1951-02-01;--:--;      4.340;   -999.000;   0
1951-03-01;--:--;      5.980;   -999.000;   0
1951-04-01;--:--;     15.300;   -999.000;   0
1951-05-01;--:--;     39.000;   -999.000;   0
1951-06-01;--:--;     35.700;   -999.000;   0
1951-07-01;--:--;     31.800;   -999.000;   0
1951-08-01;--:--;     21.400;   -999.000;   0
1951-09-01;--:--;      8.320;   -999.000;   0
