# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517500
# River:                 YAGHNOB
# Station:               TAKFON
# Country:               TJ
# Latitude (DD):       39.18
# Longitude (DD):      68.53
# Catchment area (km²):      1490.0
# Altitude (m ASL):        1760.0
# Next downstream station:      2517450
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1986
# No. of years:          9
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 108
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      4.000;      4.000; 100
1978-02-01;--:--;      4.000;      5.214; 100
1978-03-01;--:--;      5.000;      5.161; 100
1978-04-01;--:--;     11.000;     12.200; 100
1978-05-01;--:--;     51.000;     51.065; 100
1978-06-01;--:--;    130.000;    134.467; 100
1978-07-01;--:--;    112.000;    112.871; 100
1978-08-01;--:--;     52.000;     52.097; 100
1978-09-01;--:--;     25.000;     26.533; 100
1978-10-01;--:--;     13.000;     13.871; 100
1978-11-01;--:--;      9.000;     10.300; 100
1978-12-01;--:--;      8.000;      8.581; 100
1979-01-01;--:--;      6.000;      6.903; 100
1979-02-01;--:--;      6.000;      6.714; 100
1979-03-01;--:--;      5.000;      5.774; 100
1979-04-01;--:--;     17.000;     18.033; 100
1979-05-01;--:--;     44.000;     44.161; 100
1979-06-01;--:--;    130.000;    134.633; 100
1979-07-01;--:--;    133.000;    133.742; 100
1979-08-01;--:--;     58.000;     58.839; 100
1979-09-01;--:--;     27.000;     28.800; 100
1979-10-01;--:--;     20.000;     20.065; 100
1979-11-01;--:--;     13.000;     14.300; 100
1979-12-01;--:--;     12.000;     12.935; 100
1980-01-01;--:--;      8.000;      8.548; 100
1980-02-01;--:--;      6.000;      6.448; 100
1980-03-01;--:--;      5.000;      5.355; 100
1980-04-01;--:--;     15.000;     15.600; 100
1980-05-01;--:--;     61.000;     61.032; 100
1980-06-01;--:--;    112.000;    115.967; 100
1980-07-01;--:--;     85.000;     85.323; 100
1980-08-01;--:--;     39.000;     39.677; 100
1980-09-01;--:--;     25.000;     26.667; 100
1980-10-01;--:--;     17.000;     17.839; 100
1980-11-01;--:--;     13.000;     14.133; 100
1980-12-01;--:--;      9.000;      9.710; 100
1981-01-01;--:--;      7.000;      7.129; 100
1981-02-01;--:--;      5.000;      6.036; 100
1981-03-01;--:--;      6.000;      6.161; 100
1981-04-01;--:--;     15.000;     15.700; 100
1981-05-01;--:--;     83.000;     83.000; 100
1981-06-01;--:--;     86.000;     89.000; 100
1981-07-01;--:--;    133.000;    133.548; 100
1981-08-01;--:--;     54.000;     54.581; 100
1981-09-01;--:--;     26.000;     26.933; 100
1981-10-01;--:--;     17.000;     17.839; 100
1981-11-01;--:--;     11.000;     11.367; 100
1981-12-01;--:--;      7.000;      7.613; 100
1982-01-01;--:--;      6.000;      6.129; 100
1982-02-01;--:--;      4.000;      4.893; 100
1982-03-01;--:--;      4.000;      4.387; 100
1982-04-01;--:--;     12.000;     12.900; 100
1982-05-01;--:--;     48.000;     48.548; 100
1982-06-01;--:--;     67.000;     70.233; 100
1982-07-01;--:--;     63.000;     63.290; 100
1982-08-01;--:--;     45.000;     45.806; 100
1982-09-01;--:--;     21.000;     21.900; 100
1982-10-01;--:--;     13.000;     13.097; 100
1982-11-01;--:--;      9.000;     10.267; 100
1982-12-01;--:--;      8.000;      8.226; 100
1983-01-01;--:--;      7.000;      7.806; 100
1983-02-01;--:--;      7.000;      7.821; 100
1983-03-01;--:--;      7.000;      7.161; 100
1983-04-01;--:--;     11.000;     12.367; 100
1983-05-01;--:--;     56.000;     56.000; 100
1983-06-01;--:--;     89.000;     92.800; 100
1983-07-01;--:--;    101.000;    101.581; 100
1983-08-01;--:--;     65.000;     65.935; 100
1983-09-01;--:--;     27.000;     28.033; 100
1983-10-01;--:--;     13.000;     13.839; 100
1983-11-01;--:--;      9.000;      9.300; 100
1983-12-01;--:--;      8.000;      8.613; 100
1984-01-01;--:--;      7.000;      7.258; 100
1984-02-01;--:--;      5.000;      6.345; 100
1984-03-01;--:--;      6.000;      6.387; 100
1984-04-01;--:--;     12.000;     12.867; 100
1984-05-01;--:--;     41.000;     41.581; 100
1984-06-01;--:--;    160.000;    166.267; 100
1984-07-01;--:--;     99.000;     99.226; 100
1984-08-01;--:--;     64.000;     64.065; 100
1984-09-01;--:--;     31.000;     33.033; 100
1984-10-01;--:--;     13.000;     13.548; 100
1984-11-01;--:--;      8.000;      9.067; 100
1984-12-01;--:--;      8.000;      8.516; 100
1985-01-01;--:--;      6.000;      6.323; 100
1985-02-01;--:--;      4.000;      5.464; 100
1985-03-01;--:--;      5.000;      5.194; 100
1985-04-01;--:--;     13.000;     14.167; 100
1985-05-01;--:--;     45.000;     45.194; 100
1985-06-01;--:--;    111.000;    114.967; 100
