# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517750
# River:                 MUKSU
# Station:               DAVSEAR
# Country:               TJ
# Latitude (DD):       39.13
# Longitude (DD):      71.57
# Catchment area (km²):      6550.0
# Altitude (m ASL):        2220.0
# Next downstream station:      2517920
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1961 - 1985
# No. of years:          25
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 300
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1961-01-01;--:--;     18.000;   -999.000;   0
1961-02-01;--:--;     16.000;   -999.000;   0
1961-03-01;--:--;     16.000;   -999.000;   0
1961-04-01;--:--;     18.000;   -999.000;   0
1961-05-01;--:--;     64.000;   -999.000;   0
1961-06-01;--:--;    168.000;   -999.000;   0
1961-07-01;--:--;    468.000;   -999.000;   0
1961-08-01;--:--;    446.000;   -999.000;   0
1961-09-01;--:--;    304.000;   -999.000;   0
1961-10-01;--:--;     50.000;   -999.000;   0
1961-11-01;--:--;     24.000;   -999.000;   0
1961-12-01;--:--;     19.000;   -999.000;   0
1962-01-01;--:--;     17.000;   -999.000;   0
1962-02-01;--:--;     14.000;   -999.000;   0
1962-03-01;--:--;     13.000;   -999.000;   0
1962-04-01;--:--;     14.000;   -999.000;   0
1962-05-01;--:--;     26.000;   -999.000;   0
1962-06-01;--:--;    102.000;   -999.000;   0
1962-07-01;--:--;    278.000;   -999.000;   0
1962-08-01;--:--;    312.000;   -999.000;   0
1962-09-01;--:--;    138.000;   -999.000;   0
1962-10-01;--:--;     34.000;   -999.000;   0
1962-11-01;--:--;     19.000;   -999.000;   0
1962-12-01;--:--;     15.000;   -999.000;   0
1963-01-01;--:--;     15.000;   -999.000;   0
1963-02-01;--:--;     14.000;   -999.000;   0
1963-03-01;--:--;     15.000;   -999.000;   0
1963-04-01;--:--;     19.000;   -999.000;   0
1963-05-01;--:--;     41.000;   -999.000;   0
1963-06-01;--:--;    154.000;   -999.000;   0
1963-07-01;--:--;    324.000;   -999.000;   0
1963-08-01;--:--;    360.000;   -999.000;   0
1963-09-01;--:--;    176.000;   -999.000;   0
1963-10-01;--:--;     50.000;   -999.000;   0
1963-11-01;--:--;     24.000;   -999.000;   0
1963-12-01;--:--;     18.000;   -999.000;   0
1964-01-01;--:--;     16.000;   -999.000;   0
1964-02-01;--:--;     17.000;   -999.000;   0
1964-03-01;--:--;     18.000;   -999.000;   0
1964-04-01;--:--;     18.000;   -999.000;   0
1964-05-01;--:--;     30.000;   -999.000;   0
1964-06-01;--:--;    118.000;   -999.000;   0
1964-07-01;--:--;    294.000;   -999.000;   0
1964-08-01;--:--;    320.000;   -999.000;   0
1964-09-01;--:--;    181.000;   -999.000;   0
1964-10-01;--:--;     49.000;   -999.000;   0
1964-11-01;--:--;     23.000;   -999.000;   0
1964-12-01;--:--;     19.000;   -999.000;   0
1965-01-01;--:--;     17.000;   -999.000;   0
1965-02-01;--:--;     16.000;   -999.000;   0
1965-03-01;--:--;     15.000;   -999.000;   0
1965-04-01;--:--;     16.000;   -999.000;   0
1965-05-01;--:--;     41.000;   -999.000;   0
1965-06-01;--:--;    115.000;   -999.000;   0
1965-07-01;--:--;    270.000;   -999.000;   0
1965-08-01;--:--;    225.000;   -999.000;   0
1965-09-01;--:--;    110.000;   -999.000;   0
1965-10-01;--:--;     33.000;   -999.000;   0
1965-11-01;--:--;     21.000;   -999.000;   0
1965-12-01;--:--;     17.000;   -999.000;   0
1966-01-01;--:--;     16.000;   -999.000;   0
1966-02-01;--:--;     15.000;   -999.000;   0
1966-03-01;--:--;     14.000;   -999.000;   0
1966-04-01;--:--;     16.000;   -999.000;   0
1966-05-01;--:--;     31.000;   -999.000;   0
1966-06-01;--:--;    226.000;   -999.000;   0
1966-07-01;--:--;    273.000;   -999.000;   0
1966-08-01;--:--;    323.000;   -999.000;   0
1966-09-01;--:--;    130.000;   -999.000;   0
1966-10-01;--:--;     39.000;   -999.000;   0
1966-11-01;--:--;     24.000;   -999.000;   0
1966-12-01;--:--;     21.000;   -999.000;   0
1967-01-01;--:--;     16.000;   -999.000;   0
1967-02-01;--:--;     14.000;   -999.000;   0
1967-03-01;--:--;     15.000;   -999.000;   0
1967-04-01;--:--;     23.000;   -999.000;   0
1967-05-01;--:--;     35.000;   -999.000;   0
1967-06-01;--:--;    143.000;   -999.000;   0
1967-07-01;--:--;    294.000;   -999.000;   0
1967-08-01;--:--;    356.000;   -999.000;   0
1967-09-01;--:--;    188.000;   -999.000;   0
1967-10-01;--:--;     39.000;   -999.000;   0
1967-11-01;--:--;     24.000;   -999.000;   0
1967-12-01;--:--;     20.000;   -999.000;   0
1968-01-01;--:--;     18.000;   -999.000;   0
1968-02-01;--:--;     15.000;   -999.000;   0
1968-03-01;--:--;     17.000;   -999.000;   0
1968-04-01;--:--;     21.000;   -999.000;   0
1968-05-01;--:--;     29.000;   -999.000;   0
1968-06-01;--:--;    120.000;   -999.000;   0
1968-07-01;--:--;    355.000;   -999.000;   0
1968-08-01;--:--;    376.000;   -999.000;   0
1968-09-01;--:--;    114.000;   -999.000;   0
1968-10-01;--:--;     37.000;   -999.000;   0
1968-11-01;--:--;     21.000;   -999.000;   0
1968-12-01;--:--;     18.000;   -999.000;   0
1969-01-01;--:--;     17.000;   -999.000;   0
1969-02-01;--:--;     17.000;   -999.000;   0
1969-03-01;--:--;     17.000;   -999.000;   0
1969-04-01;--:--;     20.000;   -999.000;   0
1969-05-01;--:--;     52.000;   -999.000;   0
1969-06-01;--:--;    149.000;   -999.000;   0
1969-07-01;--:--;    264.000;   -999.000;   0
1969-08-01;--:--;    346.000;   -999.000;   0
1969-09-01;--:--;    119.000;   -999.000;   0
1969-10-01;--:--;     38.000;   -999.000;   0
1969-11-01;--:--;     20.000;   -999.000;   0
1969-12-01;--:--;     16.000;   -999.000;   0
1970-01-01;--:--;     15.000;   -999.000;   0
1970-02-01;--:--;     14.000;   -999.000;   0
1970-03-01;--:--;     14.000;   -999.000;   0
1970-04-01;--:--;     16.000;   -999.000;   0
1970-05-01;--:--;     40.000;   -999.000;   0
1970-06-01;--:--;    139.000;   -999.000;   0
1970-07-01;--:--;    273.000;   -999.000;   0
1970-08-01;--:--;    312.000;   -999.000;   0
1970-09-01;--:--;    266.000;   -999.000;   0
1970-10-01;--:--;     61.000;   -999.000;   0
1970-11-01;--:--;     29.000;   -999.000;   0
