# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517760
# River:                 OBIKHINGOB
# Station:               TAVILDARA
# Country:               TJ
# Latitude (DD):       38.7
# Longitude (DD):      70.52
# Catchment area (km²):      5390.0
# Altitude (m ASL):        1616.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1958 - 1985
# No. of years:          28
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 326
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1958-11-01;--:--;     64.000;   -999.000;   0
1958-12-01;--:--;     51.000;   -999.000;   0
1959-01-01;--:--;     39.000;   -999.000;   0
1959-02-01;--:--;     34.000;   -999.000;   0
1959-03-01;--:--;     43.000;   -999.000;   0
1959-04-01;--:--;    122.000;   -999.000;   0
1959-05-01;--:--;    188.000;   -999.000;   0
1959-06-01;--:--;    425.000;   -999.000;   0
1959-07-01;--:--;    515.000;   -999.000;   0
1959-08-01;--:--;    404.000;   -999.000;   0
1959-09-01;--:--;    315.000;   -999.000;   0
1959-10-01;--:--;    133.000;   -999.000;   0
1959-11-01;--:--;     71.000;   -999.000;   0
1959-12-01;--:--;     51.000;   -999.000;   0
1960-01-01;--:--;     42.000;   -999.000;   0
1960-02-01;--:--;     40.000;   -999.000;   0
1960-03-01;--:--;     39.000;   -999.000;   0
1960-04-01;--:--;     61.000;   -999.000;   0
1960-05-01;--:--;    148.000;   -999.000;   0
1960-06-01;--:--;    327.000;   -999.000;   0
1960-07-01;--:--;    487.000;   -999.000;   0
1960-08-01;--:--;    401.000;   -999.000;   0
1960-09-01;--:--;    182.000;   -999.000;   0
1960-10-01;--:--;     85.000;   -999.000;   0
1960-11-01;--:--;     57.000;   -999.000;   0
1960-12-01;--:--;     45.000;   -999.000;   0
1961-01-01;--:--;     37.000;   -999.000;   0
1961-02-01;--:--;     34.000;   -999.000;   0
1961-03-01;--:--;     38.000;   -999.000;   0
1961-04-01;--:--;     60.000;   -999.000;   0
1961-05-01;--:--;    167.000;   -999.000;   0
1961-06-01;--:--;    259.000;   -999.000;   0
1961-07-01;--:--;    422.000;   -999.000;   0
1961-08-01;--:--;    334.000;   -999.000;   0
1961-09-01;--:--;    237.000;   -999.000;   0
1961-10-01;--:--;     87.000;   -999.000;   0
1961-11-01;--:--;     50.000;   -999.000;   0
1961-12-01;--:--;     39.000;   -999.000;   0
1962-01-01;--:--;     31.000;   -999.000;   0
1962-02-01;--:--;     26.000;   -999.000;   0
1962-03-01;--:--;     33.000;   -999.000;   0
1962-04-01;--:--;     60.000;   -999.000;   0
1962-05-01;--:--;    101.000;   -999.000;   0
1962-06-01;--:--;    227.000;   -999.000;   0
1962-07-01;--:--;    410.000;   -999.000;   0
1962-08-01;--:--;    343.000;   -999.000;   0
1962-09-01;--:--;    186.000;   -999.000;   0
1962-10-01;--:--;     76.000;   -999.000;   0
1962-11-01;--:--;     50.000;   -999.000;   0
1962-12-01;--:--;     37.000;   -999.000;   0
1963-01-01;--:--;     32.000;   -999.000;   0
1963-02-01;--:--;     28.000;   -999.000;   0
1963-03-01;--:--;     32.000;   -999.000;   0
