# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517800
# River:                 LANGAR
# Station:               AT THE MOUTH
# Country:               TJ
# Latitude (DD):       38.20208
# Longitude (DD):      72.65625
# Catchment area (km²):      335.0
# Altitude (m ASL):        3240.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1978 - 1986
# No. of years:          9
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 108
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1978-01-01;--:--;      1.000;      1.387; 100
1978-02-01;--:--;      0.000;      1.000; 100
1978-03-01;--:--;      1.000;      1.000; 100
1978-04-01;--:--;      1.000;      1.067; 100
1978-05-01;--:--;      1.000;      1.935; 100
1978-06-01;--:--;      6.000;      7.000; 100
1978-07-01;--:--;     17.000;     17.484; 100
1978-08-01;--:--;     20.000;     20.290; 100
1978-09-01;--:--;      8.000;      8.667; 100
1978-10-01;--:--;      5.000;      5.194; 100
1978-11-01;--:--;      3.000;      3.100; 100
1978-12-01;--:--;      2.000;      2.871; 100
1979-01-01;--:--;      2.000;      2.000; 100
1979-02-01;--:--;      1.000;      1.714; 100
1979-03-01;--:--;      1.000;      1.032; 100
1979-04-01;--:--;      0.000;      1.000; 100
1979-05-01;--:--;      1.000;      1.000; 100
1979-06-01;--:--;      6.000;      6.267; 100
1979-07-01;--:--;     13.000;     13.290; 100
1979-08-01;--:--;     13.000;     13.097; 100
1979-09-01;--:--;      5.000;      5.733; 100
1979-10-01;--:--;      3.000;      3.000; 100
1979-11-01;--:--;      2.000;      3.000; 100
1979-12-01;--:--;      3.000;      3.000; 100
1980-01-01;--:--;      1.000;      1.516; 100
1980-02-01;--:--;      0.000;      1.000; 100
1980-03-01;--:--;      1.000;      1.000; 100
1980-04-01;--:--;      0.000;      0.967; 100
1980-05-01;--:--;      0.000;      0.935; 100
1980-06-01;--:--;      3.000;      3.867; 100
1980-07-01;--:--;     12.000;     12.419; 100
1980-08-01;--:--;   -999.000;   -999.000;   0
1980-09-01;--:--;   -999.000;   -999.000;   0
1980-10-01;--:--;   -999.000;   -999.000;  10
1980-11-01;--:--;      1.000;      1.900; 100
1980-12-01;--:--;      1.000;      1.000; 100
1981-01-01;--:--;      0.000;      0.516; 100
1981-02-01;--:--;      0.000;      0.000; 100
1981-03-01;--:--;      0.000;      0.000; 100
1981-04-01;--:--;      0.000;      0.000; 100
1981-05-01;--:--;      0.000;      0.968; 100
1981-06-01;--:--;      1.000;      1.700; 100
1981-07-01;--:--;      4.000;      4.645; 100
1981-08-01;--:--;      4.000;      4.194; 100
1981-09-01;--:--;      1.000;      2.000; 100
1981-10-01;--:--;      1.000;      1.032; 100
1981-11-01;--:--;      0.000;      1.000; 100
1981-12-01;--:--;      0.000;      0.419; 100
1982-01-01;--:--;      0.000;      0.903; 100
1982-02-01;--:--;      0.000;      0.000; 100
1982-03-01;--:--;      0.000;      0.000; 100
1982-04-01;--:--;      0.000;      0.000; 100
1982-05-01;--:--;      1.000;      1.000; 100
1982-06-01;--:--;      2.000;      2.733; 100
1982-07-01;--:--;      6.000;      6.839; 100
1982-08-01;--:--;     14.000;     14.323; 100
1982-09-01;--:--;      4.000;      4.733; 100
1982-10-01;--:--;      2.000;      2.452; 100
1982-11-01;--:--;      1.000;      1.867; 100
1982-12-01;--:--;      1.000;      1.000; 100
1983-01-01;--:--;      0.000;      0.871; 100
1983-02-01;--:--;      0.000;      0.000; 100
1983-03-01;--:--;      0.000;      0.161; 100
1983-04-01;--:--;      0.000;      0.533; 100
1983-05-01;--:--;      1.000;      1.000; 100
1983-06-01;--:--;      2.000;      2.433; 100
1983-07-01;--:--;      8.000;      8.129; 100
1983-08-01;--:--;     18.000;     18.581; 100
1983-09-01;--:--;      8.000;      8.500; 100
1983-10-01;--:--;      2.000;      2.194; 100
1983-11-01;--:--;      2.000;      2.500; 100
1983-12-01;--:--;      2.000;      2.000; 100
1984-01-01;--:--;      1.000;      1.452; 100
1984-02-01;--:--;      0.000;      1.000; 100
1984-03-01;--:--;      1.000;      1.000; 100
1984-04-01;--:--;      0.000;      1.000; 100
1984-05-01;--:--;      1.000;      1.000; 100
