# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517810
# River:                 BARTANG
# Station:               NUSUR
# Country:               TJ
# Latitude (DD):       38.3
# Longitude (DD):      72.4
# Catchment area (km²):      21400.0
# Altitude (m ASL):        2500.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1969 - 1985
# No. of years:          17
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 204
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1969-01-01;--:--;     54.000;   -999.000;   0
1969-02-01;--:--;     53.000;   -999.000;   0
1969-03-01;--:--;     53.000;   -999.000;   0
1969-04-01;--:--;     53.000;   -999.000;   0
1969-05-01;--:--;     60.000;   -999.000;   0
1969-06-01;--:--;    107.000;   -999.000;   0
1969-07-01;--:--;    142.000;   -999.000;   0
1969-08-01;--:--;    161.000;   -999.000;   0
1969-09-01;--:--;    101.000;   -999.000;   0
1969-10-01;--:--;     71.000;   -999.000;   0
1969-11-01;--:--;     60.000;   -999.000;   0
1969-12-01;--:--;     57.000;   -999.000;   0
1970-01-01;--:--;     52.000;   -999.000;   0
1970-02-01;--:--;     50.000;   -999.000;   0
1970-03-01;--:--;     51.000;   -999.000;   0
1970-04-01;--:--;     51.000;   -999.000;   0
1970-05-01;--:--;     56.000;   -999.000;   0
1970-06-01;--:--;     87.000;   -999.000;   0
1970-07-01;--:--;    113.000;   -999.000;   0
1970-08-01;--:--;    150.000;   -999.000;   0
1970-09-01;--:--;    121.000;   -999.000;   0
1970-10-01;--:--;     72.000;   -999.000;   0
1970-11-01;--:--;     62.000;   -999.000;   0
1970-12-01;--:--;     57.000;   -999.000;   0
1971-01-01;--:--;     53.000;   -999.000;   0
1971-02-01;--:--;     50.000;   -999.000;   0
1971-03-01;--:--;     49.000;   -999.000;   0
1971-04-01;--:--;     47.000;   -999.000;   0
1971-05-01;--:--;     52.000;   -999.000;   0
1971-06-01;--:--;    102.000;   -999.000;   0
1971-07-01;--:--;    151.000;   -999.000;   0
1971-08-01;--:--;    192.000;   -999.000;   0
1971-09-01;--:--;     99.000;   -999.000;   0
1971-10-01;--:--;     68.000;   -999.000;   0
1971-11-01;--:--;     60.000;   -999.000;   0
1971-12-01;--:--;     55.000;   -999.000;   0
1972-01-01;--:--;     50.000;   -999.000;   0
1972-02-01;--:--;     50.000;   -999.000;   0
1972-03-01;--:--;     49.000;   -999.000;   0
1972-04-01;--:--;     49.000;   -999.000;   0
1972-05-01;--:--;     55.000;   -999.000;   0
1972-06-01;--:--;     80.000;   -999.000;   0
1972-07-01;--:--;    107.000;   -999.000;   0
1972-08-01;--:--;    118.000;   -999.000;   0
1972-09-01;--:--;     87.000;   -999.000;   0
1972-10-01;--:--;     60.000;   -999.000;   0
1972-11-01;--:--;     54.000;   -999.000;   0
1972-12-01;--:--;     48.000;   -999.000;   0
1973-01-01;--:--;     47.000;   -999.000;   0
1973-02-01;--:--;     46.000;   -999.000;   0
1973-03-01;--:--;     45.000;   -999.000;   0
1973-04-01;--:--;     45.000;   -999.000;   0
1973-05-01;--:--;     51.000;   -999.000;   0
1973-06-01;--:--;    126.000;   -999.000;   0
1973-07-01;--:--;    219.000;   -999.000;   0
1973-08-01;--:--;    221.000;   -999.000;   0
1973-09-01;--:--;    163.000;   -999.000;   0
1973-10-01;--:--;     89.000;   -999.000;   0
1973-11-01;--:--;     76.000;   -999.000;   0
1973-12-01;--:--;     65.000;   -999.000;   0
1974-01-01;--:--;     63.000;   -999.000;   0
1974-02-01;--:--;     60.000;   -999.000;   0
1974-03-01;--:--;     59.000;   -999.000;   0
1974-04-01;--:--;     59.000;   -999.000;   0
1974-05-01;--:--;     61.000;   -999.000;   0
1974-06-01;--:--;     85.000;   -999.000;   0
1974-07-01;--:--;    148.000;   -999.000;   0
1974-08-01;--:--;    137.000;   -999.000;   0
1974-09-01;--:--;     91.000;   -999.000;   0
1974-10-01;--:--;     63.000;   -999.000;   0
1974-11-01;--:--;     55.000;   -999.000;   0
1974-12-01;--:--;     52.000;   -999.000;   0
1975-01-01;--:--;     51.000;   -999.000;   0
1975-02-01;--:--;     47.000;   -999.000;   0
1975-03-01;--:--;     48.000;   -999.000;   0
1975-04-01;--:--;     49.000;   -999.000;   0
1975-05-01;--:--;     49.000;   -999.000;   0
1975-06-01;--:--;     82.000;   -999.000;   0
1975-07-01;--:--;    131.000;   -999.000;   0
1975-08-01;--:--;    178.000;   -999.000;   0
1975-09-01;--:--;     99.000;   -999.000;   0
1975-10-01;--:--;     62.000;   -999.000;   0
1975-11-01;--:--;     58.000;   -999.000;   0
1975-12-01;--:--;     54.000;   -999.000;   0
1976-01-01;--:--;     52.000;   -999.000;   0
1976-02-01;--:--;     51.000;   -999.000;   0
1976-03-01;--:--;     50.000;   -999.000;   0
1976-04-01;--:--;     49.000;   -999.000;   0
1976-05-01;--:--;     55.000;   -999.000;   0
1976-06-01;--:--;     82.000;   -999.000;   0
1976-07-01;--:--;    158.000;   -999.000;   0
1976-08-01;--:--;    179.000;   -999.000;   0
1976-09-01;--:--;    109.000;   -999.000;   0
1976-10-01;--:--;     71.000;   -999.000;   0
1976-11-01;--:--;     59.000;   -999.000;   0
1976-12-01;--:--;     53.000;   -999.000;   0
1977-01-01;--:--;     51.000;   -999.000;   0
1977-02-01;--:--;     51.000;   -999.000;   0
1977-03-01;--:--;     49.000;   -999.000;   0
1977-04-01;--:--;     50.000;   -999.000;   0
1977-05-01;--:--;     54.000;   -999.000;   0
1977-06-01;--:--;    124.000;   -999.000;   0
1977-07-01;--:--;    225.000;   -999.000;   0
1977-08-01;--:--;    185.000;   -999.000;   0
1977-09-01;--:--;    122.000;   -999.000;   0
1977-10-01;--:--;     81.000;   -999.000;   0
1977-11-01;--:--;     65.000;   -999.000;   0
1977-12-01;--:--;     58.000;   -999.000;   0
