# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517900
# River:                 VAKHSH
# Station:               TUTKAUL
# Country:               TJ
# Latitude (DD):       38.33
# Longitude (DD):      69.3
# Catchment area (km²):      31200.0
# Altitude (m ASL):        692.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1932 - 1967
# No. of years:          36
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 425
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1932-01-01;--:--;    181.000;   -999.000;   0
1932-02-01;--:--;    178.000;   -999.000;   0
1932-03-01;--:--;    276.000;   -999.000;   0
1932-04-01;--:--;    492.000;   -999.000;   0
1932-05-01;--:--;    758.000;   -999.000;   0
1932-06-01;--:--;   1240.000;   -999.000;   0
1932-07-01;--:--;   1940.000;   -999.000;   0
1932-08-01;--:--;   1310.000;   -999.000;   0
1932-09-01;--:--;    632.000;   -999.000;   0
1932-10-01;--:--;    283.000;   -999.000;   0
1932-11-01;--:--;    209.000;   -999.000;   0
1932-12-01;--:--;    172.000;   -999.000;   0
1933-01-01;--:--;    150.000;   -999.000;   0
1933-02-01;--:--;    151.000;   -999.000;   0
1933-03-01;--:--;    177.000;   -999.000;   0
1933-04-01;--:--;    306.000;   -999.000;   0
1933-05-01;--:--;    710.000;   -999.000;   0
1933-06-01;--:--;   1060.000;   -999.000;   0
1933-07-01;--:--;   1730.000;   -999.000;   0
1933-08-01;--:--;   1650.000;   -999.000;   0
1933-09-01;--:--;    757.000;   -999.000;   0
1933-10-01;--:--;    304.000;   -999.000;   0
1933-11-01;--:--;    206.000;   -999.000;   0
1933-12-01;--:--;    183.000;   -999.000;   0
1934-01-01;--:--;    147.000;   -999.000;   0
1934-02-01;--:--;    201.000;   -999.000;   0
1934-03-01;--:--;    228.000;   -999.000;   0
1934-04-01;--:--;    502.000;   -999.000;   0
1934-05-01;--:--;    674.000;   -999.000;   0
1934-06-01;--:--;   1650.000;   -999.000;   0
1934-07-01;--:--;   1890.000;   -999.000;   0
1934-08-01;--:--;   1500.000;   -999.000;   0
1934-09-01;--:--;    679.000;   -999.000;   0
1934-10-01;--:--;    335.000;   -999.000;   0
1934-11-01;--:--;    245.000;   -999.000;   0
1934-12-01;--:--;    217.000;   -999.000;   0
1935-01-01;--:--;    181.000;   -999.000;   0
1935-02-01;--:--;    169.000;   -999.000;   0
1935-03-01;--:--;    236.000;   -999.000;   0
1935-04-01;--:--;    329.000;   -999.000;   0
1935-05-01;--:--;    722.000;   -999.000;   0
1935-06-01;--:--;    945.000;   -999.000;   0
1935-07-01;--:--;   1740.000;   -999.000;   0
1935-08-01;--:--;   1580.000;   -999.000;   0
1935-09-01;--:--;    680.000;   -999.000;   0
1935-10-01;--:--;    303.000;   -999.000;   0
1935-11-01;--:--;    259.000;   -999.000;   0
1935-12-01;--:--;    187.000;   -999.000;   0
1936-01-01;--:--;    162.000;   -999.000;   0
1936-02-01;--:--;    164.000;   -999.000;   0
1936-03-01;--:--;    172.000;   -999.000;   0
1936-04-01;--:--;    386.000;   -999.000;   0
1936-05-01;--:--;   1050.000;   -999.000;   0
1936-06-01;--:--;   1540.000;   -999.000;   0
1936-07-01;--:--;   1800.000;   -999.000;   0
1936-08-01;--:--;   1120.000;   -999.000;   0
1936-09-01;--:--;    747.000;   -999.000;   0
1936-10-01;--:--;    277.000;   -999.000;   0
1936-11-01;--:--;    220.000;   -999.000;   0
1936-12-01;--:--;    183.000;   -999.000;   0
1937-01-01;--:--;    176.000;   -999.000;   0
1937-02-01;--:--;    171.000;   -999.000;   0
1937-03-01;--:--;    178.000;   -999.000;   0
1937-04-01;--:--;    342.000;   -999.000;   0
1937-05-01;--:--;    935.000;   -999.000;   0
1937-06-01;--:--;   1400.000;   -999.000;   0
1937-07-01;--:--;   1710.000;   -999.000;   0
1937-08-01;--:--;   1410.000;   -999.000;   0
1937-09-01;--:--;    716.000;   -999.000;   0
1937-10-01;--:--;    336.000;   -999.000;   0
1937-11-01;--:--;    265.000;   -999.000;   0
1937-12-01;--:--;    199.000;   -999.000;   0
1938-01-01;--:--;    175.000;   -999.000;   0
1938-02-01;--:--;    167.000;   -999.000;   0
1938-03-01;--:--;    208.000;   -999.000;   0
1938-04-01;--:--;    514.000;   -999.000;   0
1938-05-01;--:--;   1080.000;   -999.000;   0
1938-06-01;--:--;    943.000;   -999.000;   0
1938-07-01;--:--;   1270.000;   -999.000;   0
1938-08-01;--:--;   1200.000;   -999.000;   0
1938-09-01;--:--;    542.000;   -999.000;   0
1938-10-01;--:--;    280.000;   -999.000;   0
1938-11-01;--:--;    217.000;   -999.000;   0
1938-12-01;--:--;    195.000;   -999.000;   0
1939-01-01;--:--;    174.000;   -999.000;   0
1939-02-01;--:--;    167.000;   -999.000;   0
1939-03-01;--:--;    185.000;   -999.000;   0
1939-04-01;--:--;    319.000;   -999.000;   0
1939-05-01;--:--;    921.000;   -999.000;   0
1939-06-01;--:--;   1210.000;   -999.000;   0
1939-07-01;--:--;   1450.000;   -999.000;   0
1939-08-01;--:--;   1310.000;   -999.000;   0
1939-09-01;--:--;    668.000;   -999.000;   0
1939-10-01;--:--;    316.000;   -999.000;   0
1939-11-01;--:--;    216.000;   -999.000;   0
1939-12-01;--:--;    175.000;   -999.000;   0
1940-01-01;--:--;    173.000;   -999.000;   0
1940-02-01;--:--;    173.000;   -999.000;   0
1940-03-01;--:--;    188.000;   -999.000;   0
1940-04-01;--:--;    308.000;   -999.000;   0
1940-05-01;--:--;    649.000;   -999.000;   0
1940-06-01;--:--;   1230.000;   -999.000;   0
1940-07-01;--:--;   1270.000;   -999.000;   0
1940-08-01;--:--;   1060.000;   -999.000;   0
1940-09-01;--:--;    536.000;   -999.000;   0
1940-10-01;--:--;    292.000;   -999.000;   0
1940-11-01;--:--;    228.000;   -999.000;   0
1940-12-01;--:--;    188.000;   -999.000;   0
1941-01-01;--:--;    166.000;   -999.000;   0
1941-02-01;--:--;    180.000;   -999.000;   0
1941-03-01;--:--;    230.000;   -999.000;   0
1941-04-01;--:--;    547.000;   -999.000;   0
1941-05-01;--:--;   1160.000;   -999.000;   0
1941-06-01;--:--;   1670.000;   -999.000;   0
1941-07-01;--:--;   1630.000;   -999.000;   0
1941-08-01;--:--;   1570.000;   -999.000;   0
1941-09-01;--:--;    714.000;   -999.000;   0
1941-10-01;--:--;    404.000;   -999.000;   0
1941-11-01;--:--;    272.000;   -999.000;   0
1941-12-01;--:--;    241.000;   -999.000;   0
1942-01-01;--:--;    209.000;   -999.000;   0
