# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517920
# River:                 VAKHSH
# Station:               GARM
# Country:               TJ
# Latitude (DD):       39.0
# Longitude (DD):      70.33
# Catchment area (km²):      20000.0
# Altitude (m ASL):        1316.0
# Next downstream station:      2517910
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1933 - 1990
# No. of years:          58
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 696
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1933-01-01;--:--;    119.000;   -999.000;   0
1933-02-01;--:--;    118.000;   -999.000;   0
1933-03-01;--:--;    114.000;   -999.000;   0
1933-04-01;--:--;    145.000;   -999.000;   0
1933-05-01;--:--;    432.000;   -999.000;   0
1933-06-01;--:--;    909.000;   -999.000;   0
1933-07-01;--:--;   1280.000;   -999.000;   0
1933-08-01;--:--;   1110.000;   -999.000;   0
1933-09-01;--:--;    684.000;   -999.000;   0
1933-10-01;--:--;    229.000;   -999.000;   0
1933-11-01;--:--;    174.000;   -999.000;   0
1933-12-01;--:--;    158.000;   -999.000;   0
1934-01-01;--:--;    140.000;   -999.000;   0
1934-02-01;--:--;    137.000;   -999.000;   0
1934-03-01;--:--;    103.000;   -999.000;   0
1934-04-01;--:--;    156.000;   -999.000;   0
1934-05-01;--:--;    219.000;   -999.000;   0
1934-06-01;--:--;   -999.000;   -999.000;   0
1934-07-01;--:--;   -999.000;   -999.000;   0
1934-08-01;--:--;   -999.000;   -999.000;   0
1934-09-01;--:--;   -999.000;   -999.000;   0
1934-10-01;--:--;    230.000;   -999.000;   0
1934-11-01;--:--;    181.000;   -999.000;   0
1934-12-01;--:--;    149.000;   -999.000;   0
1935-01-01;--:--;    104.000;   -999.000;   0
1935-02-01;--:--;    114.000;   -999.000;   0
1935-03-01;--:--;    129.000;   -999.000;   0
1935-04-01;--:--;    170.000;   -999.000;   0
1935-05-01;--:--;    365.000;   -999.000;   0
1935-06-01;--:--;   -999.000;   -999.000;   0
1935-07-01;--:--;   -999.000;   -999.000;   0
1935-08-01;--:--;   -999.000;   -999.000;   0
1935-09-01;--:--;   -999.000;   -999.000;   0
1935-10-01;--:--;   -999.000;   -999.000;   0
1935-11-01;--:--;   -999.000;   -999.000;   0
1935-12-01;--:--;   -999.000;   -999.000;   0
1936-01-01;--:--;   -999.000;   -999.000;   0
1936-02-01;--:--;   -999.000;   -999.000;   0
1936-03-01;--:--;   -999.000;   -999.000;   0
1936-04-01;--:--;   -999.000;   -999.000;   0
1936-05-01;--:--;   -999.000;   -999.000;   0
1936-06-01;--:--;   -999.000;   -999.000;   0
1936-07-01;--:--;   -999.000;   -999.000;   0
1936-08-01;--:--;   -999.000;   -999.000;   0
1936-09-01;--:--;   -999.000;   -999.000;   0
1936-10-01;--:--;   -999.000;   -999.000;   0
1936-11-01;--:--;    167.000;    167.200; 100
1936-12-01;--:--;    155.000;    154.968; 100
1937-01-01;--:--;    114.000;    114.129; 100
1937-02-01;--:--;    110.000;    109.786; 100
1937-03-01;--:--;    110.000;    109.548; 100
1937-04-01;--:--;    179.000;    178.333; 100
1937-05-01;--:--;    409.000;    409.355; 100
1937-06-01;--:--;    744.000;    743.800; 100
1937-07-01;--:--;    872.000;    871.645; 100
1937-08-01;--:--;    828.000;    827.839; 100
1937-09-01;--:--;    422.000;    422.400; 100
1937-10-01;--:--;    200.000;    200.194; 100
1937-11-01;--:--;    143.000;    143.067; 100
1937-12-01;--:--;    110.000;    110.200; 100
1938-01-01;--:--;     96.000;     96.613; 100
1938-02-01;--:--;    112.000;    112.479; 100
1938-03-01;--:--;    107.000;    107.381; 100
1938-04-01;--:--;    191.000;    190.667; 100
1938-05-01;--:--;    522.000;    522.581; 100
1938-06-01;--:--;    530.000;    530.367; 100
1938-07-01;--:--;   -999.000;   -999.000;   0
1938-08-01;--:--;   -999.000;   -999.000;   0
1938-09-01;--:--;   -999.000;   -999.000;   0
1938-10-01;--:--;   -999.000;   -999.000;   0
1938-11-01;--:--;   -999.000;   -999.000;   0
1938-12-01;--:--;   -999.000;   -999.000;   0
1939-01-01;--:--;    109.000;    108.935; 100
1939-02-01;--:--;    111.000;    111.043; 100
1939-03-01;--:--;    113.000;    113.142; 100
1939-04-01;--:--;    143.000;    142.933; 100
