# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2517950
# River:                 DARYA-YE PANJ
# Station:               NIZ. PYANDZH
# Country:               TJ
# Latitude (DD):       37.19375
# Longitude (DD):      68.61458
# Catchment area (km²):      113000.0
# Altitude (m ASL):        327.0
# Next downstream station:      2617110
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1965 - 1989
# No. of years:          25
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 300
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1965-01-01;--:--;    329.000;   -999.000;   0
1965-02-01;--:--;    393.000;   -999.000;   0
1965-03-01;--:--;    440.000;   -999.000;   0
1965-04-01;--:--;    665.000;   -999.000;   0
1965-05-01;--:--;   1140.000;   -999.000;   0
1965-06-01;--:--;   1850.000;   -999.000;   0
1965-07-01;--:--;   2280.000;   -999.000;   0
1965-08-01;--:--;   1280.000;   -999.000;   0
1965-09-01;--:--;    780.000;   -999.000;   0
1965-10-01;--:--;    529.000;   -999.000;   0
1965-11-01;--:--;    492.000;   -999.000;   0
1965-12-01;--:--;    350.000;   -999.000;   0
1966-01-01;--:--;    309.000;   -999.000;   0
1966-02-01;--:--;    375.000;   -999.000;   0
1966-03-01;--:--;    476.000;   -999.000;   0
1966-04-01;--:--;    873.000;   -999.000;   0
1966-05-01;--:--;   1410.000;   -999.000;   0
1966-06-01;--:--;   3280.000;   -999.000;   0
1966-07-01;--:--;   2560.000;   -999.000;   0
1966-08-01;--:--;   1950.000;   -999.000;   0
1966-09-01;--:--;   1000.000;   -999.000;   0
1966-10-01;--:--;    638.000;   -999.000;   0
1966-11-01;--:--;    477.000;   -999.000;   0
1966-12-01;--:--;    419.000;   -999.000;   0
1967-01-01;--:--;    399.000;   -999.000;   0
1967-02-01;--:--;    414.000;   -999.000;   0
1967-03-01;--:--;    466.000;   -999.000;   0
1967-04-01;--:--;    774.000;   -999.000;   0
1967-05-01;--:--;   1190.000;   -999.000;   0
1967-06-01;--:--;   2020.000;   -999.000;   0
1967-07-01;--:--;   2440.000;   -999.000;   0
1967-08-01;--:--;   2220.000;   -999.000;   0
1967-09-01;--:--;   1170.000;   -999.000;   0
1967-10-01;--:--;    666.000;   -999.000;   0
1967-11-01;--:--;    531.000;   -999.000;   0
1967-12-01;--:--;    509.000;   -999.000;   0
1968-01-01;--:--;   -999.000;   -999.000;   0
1968-02-01;--:--;   -999.000;   -999.000;   0
1968-03-01;--:--;   -999.000;   -999.000;   0
1968-04-01;--:--;   -999.000;   -999.000;   0
1968-05-01;--:--;   -999.000;   -999.000;   0
1968-06-01;--:--;   -999.000;   -999.000;   0
1968-07-01;--:--;   -999.000;   -999.000;   0
1968-08-01;--:--;   -999.000;   -999.000;   0
1968-09-01;--:--;   -999.000;   -999.000;   0
1968-10-01;--:--;   -999.000;   -999.000;   0
1968-11-01;--:--;   -999.000;   -999.000;   0
1968-12-01;--:--;   -999.000;   -999.000;   0
1969-01-01;--:--;    425.000;   -999.000;   0
1969-02-01;--:--;    450.000;   -999.000;   0
1969-03-01;--:--;   -999.000;   -999.000;   0
1969-04-01;--:--;   -999.000;   -999.000;   0
1969-05-01;--:--;   -999.000;   -999.000;   0
1969-06-01;--:--;   -999.000;   -999.000;   0
1969-07-01;--:--;   -999.000;   -999.000;   0
1969-08-01;--:--;   -999.000;   -999.000;   0
1969-09-01;--:--;   -999.000;   -999.000;   0
1969-10-01;--:--;   -999.000;   -999.000;   0
1969-11-01;--:--;   -999.000;   -999.000;   0
1969-12-01;--:--;   -999.000;   -999.000;   0
