# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2617110
# River:                 AMU DARYA
# Station:               KERKI
# Country:               TM
# Latitude (DD):       37.83
# Longitude (DD):      65.25
# Catchment area (km²):      309000.0
# Altitude (m ASL):        241.0
# Next downstream station:      2817100
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1932 - 1989
# No. of years:          58
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 696
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1932-01-01;--:--;    921.000;   -999.000;   0
1932-02-01;--:--;   1010.000;   -999.000;   0
1932-03-01;--:--;   1100.000;   -999.000;   0
1932-04-01;--:--;   1750.000;   -999.000;   0
1932-05-01;--:--;   2890.000;   -999.000;   0
1932-06-01;--:--;   3500.000;   -999.000;   0
1932-07-01;--:--;   4770.000;   -999.000;   0
1932-08-01;--:--;   3680.000;   -999.000;   0
1932-09-01;--:--;   2200.000;   -999.000;   0
1932-10-01;--:--;   1130.000;   -999.000;   0
1932-11-01;--:--;   1020.000;   -999.000;   0
1932-12-01;--:--;    864.000;   -999.000;   0
1933-01-01;--:--;   -999.000;   -999.000;   0
1933-02-01;--:--;   -999.000;   -999.000;   0
1933-03-01;--:--;    998.000;   -999.000;   0
1933-04-01;--:--;   1250.000;   -999.000;   0
1933-05-01;--:--;   2330.000;   -999.000;   0
1933-06-01;--:--;   3260.000;   -999.000;   0
1933-07-01;--:--;   3750.000;   -999.000;   0
1933-08-01;--:--;   3560.000;   -999.000;   0
1933-09-01;--:--;   2010.000;   -999.000;   0
1933-10-01;--:--;   1030.000;   -999.000;   0
1933-11-01;--:--;    844.000;   -999.000;   0
1933-12-01;--:--;   -999.000;   -999.000;   0
1934-01-01;--:--;   -999.000;   -999.000;   0
1934-02-01;--:--;   -999.000;   -999.000;   0
1934-03-01;--:--;    860.000;   -999.000;   0
1934-04-01;--:--;   2420.000;   -999.000;   0
1934-05-01;--:--;   2620.000;   -999.000;   0
1934-06-01;--:--;   -999.000;   -999.000;   0
1934-07-01;--:--;   -999.000;   -999.000;   0
1934-08-01;--:--;   -999.000;   -999.000;   0
1934-09-01;--:--;   -999.000;   -999.000;   0
1934-10-01;--:--;   1560.000;   -999.000;   0
1934-11-01;--:--;   1210.000;   -999.000;   0
1934-12-01;--:--;   -999.000;   -999.000;   0
1935-01-01;--:--;    869.000;   -999.000;   0
1935-02-01;--:--;    703.000;   -999.000;   0
1935-03-01;--:--;    846.000;   -999.000;   0
1935-04-01;--:--;   1040.000;   -999.000;   0
1935-05-01;--:--;   2380.000;   -999.000;   0
1935-06-01;--:--;   3820.000;   -999.000;   0
1935-07-01;--:--;   5170.000;   -999.000;   0
1935-08-01;--:--;   4000.000;   -999.000;   0
1935-09-01;--:--;   1920.000;   -999.000;   0
1935-10-01;--:--;   1080.000;   -999.000;   0
1935-11-01;--:--;    990.000;   -999.000;   0
1935-12-01;--:--;    736.000;   -999.000;   0
1936-01-01;--:--;    781.000;    780.613; 100
1936-02-01;--:--;    716.000;    715.690; 100
1936-03-01;--:--;    715.000;    714.774; 100
1936-04-01;--:--;   1360.000;   1364.400; 100
1936-05-01;--:--;   3260.000;   3259.677; 100
1936-06-01;--:--;   4700.000;   4703.667; 100
1936-07-01;--:--;   4740.000;   4744.839; 100
1936-08-01;--:--;   2930.000;   2932.258; 100
1936-09-01;--:--;   1810.000;   1805.667; 100
1936-10-01;--:--;   1240.000;   1241.290; 100
1936-11-01;--:--;    986.000;    985.867; 100
1936-12-01;--:--;    820.000;    819.806; 100
1937-01-01;--:--;   -999.000;   -999.000;   0
1937-02-01;--:--;    730.000;    730.000; 100
1937-03-01;--:--;    825.000;    825.387; 100
1937-04-01;--:--;   1460.000;   1455.500; 100
