# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2816203
# River:                 SYR DARYA
# Station:               BEKABAD
# Country:               UZ
# Latitude (DD):       40.22
# Longitude (DD):      69.27
# Catchment area (km²):      142000.0
# Altitude (m ASL):        292.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1936 - 1985
# No. of years:          50
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 600
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1936-01-01;--:--;    322.000;   -999.000;   0
1936-02-01;--:--;    321.000;   -999.000;   0
1936-03-01;--:--;    346.000;   -999.000;   0
1936-04-01;--:--;    685.000;   -999.000;   0
1936-05-01;--:--;   1600.000;   -999.000;   0
1936-06-01;--:--;   1730.000;   -999.000;   0
1936-07-01;--:--;    852.000;   -999.000;   0
1936-08-01;--:--;    604.000;   -999.000;   0
1936-09-01;--:--;    437.000;   -999.000;   0
1936-10-01;--:--;    414.000;   -999.000;   0
1936-11-01;--:--;    412.000;   -999.000;   0
1936-12-01;--:--;    363.000;   -999.000;   0
1937-01-01;--:--;    319.000;   -999.000;   0
1937-02-01;--:--;    340.000;   -999.000;   0
1937-03-01;--:--;    341.000;   -999.000;   0
1937-04-01;--:--;    438.000;   -999.000;   0
1937-05-01;--:--;    942.000;   -999.000;   0
1937-06-01;--:--;   1130.000;   -999.000;   0
1937-07-01;--:--;    917.000;   -999.000;   0
1937-08-01;--:--;    513.000;   -999.000;   0
1937-09-01;--:--;    373.000;   -999.000;   0
1937-10-01;--:--;    373.000;   -999.000;   0
1937-11-01;--:--;    403.000;   -999.000;   0
1937-12-01;--:--;    367.000;   -999.000;   0
1938-01-01;--:--;    320.000;   -999.000;   0
1938-02-01;--:--;    287.000;   -999.000;   0
1938-03-01;--:--;    359.000;   -999.000;   0
1938-04-01;--:--;    455.000;   -999.000;   0
1938-05-01;--:--;    707.000;   -999.000;   0
1938-06-01;--:--;    407.000;   -999.000;   0
1938-07-01;--:--;    446.000;   -999.000;   0
1938-08-01;--:--;    341.000;   -999.000;   0
1938-09-01;--:--;    270.000;   -999.000;   0
1938-10-01;--:--;    304.000;   -999.000;   0
1938-11-01;--:--;    314.000;   -999.000;   0
1938-12-01;--:--;    307.000;   -999.000;   0
1939-01-01;--:--;    276.000;   -999.000;   0
1939-02-01;--:--;    248.000;   -999.000;   0
1939-03-01;--:--;    298.000;   -999.000;   0
1939-04-01;--:--;    296.000;   -999.000;   0
1939-05-01;--:--;    835.000;   -999.000;   0
1939-06-01;--:--;    510.000;   -999.000;   0
1939-07-01;--:--;    499.000;   -999.000;   0
1939-08-01;--:--;    408.000;   -999.000;   0
1939-09-01;--:--;    301.000;   -999.000;   0
1939-10-01;--:--;    255.000;   -999.000;   0
1939-11-01;--:--;    308.000;   -999.000;   0
1939-12-01;--:--;    307.000;   -999.000;   0
1940-01-01;--:--;    263.000;   -999.000;   0
1940-02-01;--:--;    227.000;   -999.000;   0
1940-03-01;--:--;    236.000;   -999.000;   0
1940-04-01;--:--;    243.000;   -999.000;   0
1940-05-01;--:--;    400.000;   -999.000;   0
1940-06-01;--:--;   1060.000;   -999.000;   0
1940-07-01;--:--;    563.000;   -999.000;   0
1940-08-01;--:--;    396.000;   -999.000;   0
1940-09-01;--:--;    231.000;   -999.000;   0
1940-10-01;--:--;    290.000;   -999.000;   0
1940-11-01;--:--;    391.000;   -999.000;   0
1940-12-01;--:--;    332.000;   -999.000;   0
1941-01-01;--:--;    326.000;   -999.000;   0
1941-02-01;--:--;    281.000;   -999.000;   0
1941-03-01;--:--;    327.000;   -999.000;   0
