# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2816550
# River:                 CHIRCHIQ
# Station:               HODJIKENT
# Country:               UZ
# Latitude (DD):       41.62708
# Longitude (DD):      69.94375
# Catchment area (km²):      10900.0
# Altitude (m ASL):        730.0
# Next downstream station:      2316200
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1935 - 1985
# No. of years:          51
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 612
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1935-01-01;--:--;     83.000;   -999.000;   0
1935-02-01;--:--;     80.000;   -999.000;   0
1935-03-01;--:--;    113.000;   -999.000;   0
1935-04-01;--:--;    208.000;   -999.000;   0
1935-05-01;--:--;    467.000;   -999.000;   0
1935-06-01;--:--;    588.000;   -999.000;   0
1935-07-01;--:--;    516.000;   -999.000;   0
1935-08-01;--:--;    293.000;   -999.000;   0
1935-09-01;--:--;    152.000;   -999.000;   0
1935-10-01;--:--;    108.000;   -999.000;   0
1935-11-01;--:--;     88.000;   -999.000;   0
1935-12-01;--:--;     77.000;   -999.000;   0
1936-01-01;--:--;     65.000;   -999.000;   0
1936-02-01;--:--;     66.000;   -999.000;   0
1936-03-01;--:--;     68.000;   -999.000;   0
1936-04-01;--:--;    210.000;   -999.000;   0
1936-05-01;--:--;    463.000;   -999.000;   0
1936-06-01;--:--;    553.000;   -999.000;   0
1936-07-01;--:--;    334.000;   -999.000;   0
1936-08-01;--:--;    202.000;   -999.000;   0
1936-09-01;--:--;    141.000;   -999.000;   0
1936-10-01;--:--;     97.000;   -999.000;   0
1936-11-01;--:--;     78.000;   -999.000;   0
1936-12-01;--:--;     70.000;   -999.000;   0
1937-01-01;--:--;     64.000;   -999.000;   0
1937-02-01;--:--;     60.000;   -999.000;   0
1937-03-01;--:--;     61.000;   -999.000;   0
1937-04-01;--:--;    126.000;   -999.000;   0
1937-05-01;--:--;    342.000;   -999.000;   0
1937-06-01;--:--;    481.000;   -999.000;   0
1937-07-01;--:--;    369.000;   -999.000;   0
1937-08-01;--:--;    199.000;   -999.000;   0
1937-09-01;--:--;    124.000;   -999.000;   0
1937-10-01;--:--;     86.000;   -999.000;   0
1937-11-01;--:--;     79.000;   -999.000;   0
1937-12-01;--:--;     69.000;   -999.000;   0
1938-01-01;--:--;     68.000;   -999.000;   0
1938-02-01;--:--;     71.000;   -999.000;   0
1938-03-01;--:--;     76.000;   -999.000;   0
1938-04-01;--:--;    218.000;   -999.000;   0
1938-05-01;--:--;    443.000;   -999.000;   0
1938-06-01;--:--;    307.000;   -999.000;   0
1938-07-01;--:--;    242.000;   -999.000;   0
1938-08-01;--:--;    177.000;   -999.000;   0
1938-09-01;--:--;    106.000;   -999.000;   0
1938-10-01;--:--;     77.000;   -999.000;   0
1938-11-01;--:--;     62.000;   -999.000;   0
1938-12-01;--:--;     61.000;   -999.000;   0
1939-01-01;--:--;     55.000;   -999.000;   0
1939-02-01;--:--;     55.000;   -999.000;   0
1939-03-01;--:--;     73.000;   -999.000;   0
1939-04-01;--:--;    134.000;   -999.000;   0
1939-05-01;--:--;    443.000;   -999.000;   0
1939-06-01;--:--;    476.000;   -999.000;   0
1939-07-01;--:--;    306.000;   -999.000;   0
1939-08-01;--:--;    192.000;   -999.000;   0
1939-09-01;--:--;    114.000;   -999.000;   0
1939-10-01;--:--;     83.000;   -999.000;   0
1939-11-01;--:--;     76.000;   -999.000;   0
1939-12-01;--:--;     68.000;   -999.000;   0
1940-01-01;--:--;     65.000;   -999.000;   0
1940-02-01;--:--;     62.000;   -999.000;   0
1940-03-01;--:--;     81.000;   -999.000;   0
1940-04-01;--:--;    183.000;   -999.000;   0
1940-05-01;--:--;    314.000;   -999.000;   0
1940-06-01;--:--;    553.000;   -999.000;   0
1940-07-01;--:--;    332.000;   -999.000;   0
1940-08-01;--:--;    196.000;   -999.000;   0
1940-09-01;--:--;    118.000;   -999.000;   0
1940-10-01;--:--;    105.000;   -999.000;   0
1940-11-01;--:--;     98.000;   -999.000;   0
1940-12-01;--:--;     79.000;   -999.000;   0
1941-01-01;--:--;     76.000;   -999.000;   0
1941-02-01;--:--;     78.000;   -999.000;   0
1941-03-01;--:--;    160.000;   -999.000;   0
1941-04-01;--:--;    376.000;   -999.000;   0
1941-05-01;--:--;    720.000;   -999.000;   0
1941-06-01;--:--;    701.000;   -999.000;   0
1941-07-01;--:--;    338.000;   -999.000;   0
1941-08-01;--:--;    254.000;   -999.000;   0
1941-09-01;--:--;    142.000;   -999.000;   0
1941-10-01;--:--;    104.000;   -999.000;   0
1941-11-01;--:--;     88.000;   -999.000;   0
1941-12-01;--:--;     82.000;   -999.000;   0
1942-01-01;--:--;     70.000;   -999.000;   0
1942-02-01;--:--;     67.000;   -999.000;   0
1942-03-01;--:--;    137.000;   -999.000;   0
1942-04-01;--:--;    299.000;   -999.000;   0
1942-05-01;--:--;    686.000;   -999.000;   0
1942-06-01;--:--;    781.000;   -999.000;   0
1942-07-01;--:--;    516.000;   -999.000;   0
1942-08-01;--:--;    281.000;   -999.000;   0
1942-09-01;--:--;    146.000;   -999.000;   0
1942-10-01;--:--;    101.000;   -999.000;   0
1942-11-01;--:--;     92.000;   -999.000;   0
1942-12-01;--:--;     75.000;   -999.000;   0
1943-01-01;--:--;     63.000;   -999.000;   0
1943-02-01;--:--;     56.000;   -999.000;   0
1943-03-01;--:--;     89.000;   -999.000;   0
1943-04-01;--:--;    268.000;   -999.000;   0
1943-05-01;--:--;    516.000;   -999.000;   0
1943-06-01;--:--;    591.000;   -999.000;   0
1943-07-01;--:--;    395.000;   -999.000;   0
1943-08-01;--:--;    244.000;   -999.000;   0
1943-09-01;--:--;    130.000;   -999.000;   0
1943-10-01;--:--;     82.000;   -999.000;   0
1943-11-01;--:--;     64.000;   -999.000;   0
1943-12-01;--:--;     64.000;   -999.000;   0
1944-01-01;--:--;     67.000;   -999.000;   0
1944-02-01;--:--;     60.000;   -999.000;   0
1944-03-01;--:--;     93.000;   -999.000;   0
1944-04-01;--:--;    213.000;   -999.000;   0
1944-05-01;--:--;    379.000;   -999.000;   0
1944-06-01;--:--;    392.000;   -999.000;   0
1944-07-01;--:--;    325.000;   -999.000;   0
1944-08-01;--:--;    185.000;   -999.000;   0
1944-09-01;--:--;    110.000;   -999.000;   0
1944-10-01;--:--;     79.000;   -999.000;   0
1944-11-01;--:--;     76.000;   -999.000;   0
1944-12-01;--:--;     61.000;   -999.000;   0
1945-01-01;--:--;     54.000;   -999.000;   0
1945-02-01;--:--;     52.000;   -999.000;   0
1945-03-01;--:--;     72.000;   -999.000;   0
1945-04-01;--:--;    231.000;   -999.000;   0
1945-05-01;--:--;    402.000;   -999.000;   0
1945-06-01;--:--;    634.000;   -999.000;   0
1945-07-01;--:--;    441.000;   -999.000;   0
1945-08-01;--:--;    230.000;   -999.000;   0
1945-09-01;--:--;    124.000;   -999.000;   0
1945-10-01;--:--;     93.000;   -999.000;   0
1945-11-01;--:--;     85.000;   -999.000;   0
1945-12-01;--:--;     77.000;   -999.000;   0
1946-01-01;--:--;     69.000;   -999.000;   0
1946-02-01;--:--;     76.000;   -999.000;   0
1946-03-01;--:--;    100.000;   -999.000;   0
1946-04-01;--:--;    390.000;   -999.000;   0
1946-05-01;--:--;    542.000;   -999.000;   0
1946-06-01;--:--;    531.000;   -999.000;   0
1946-07-01;--:--;    383.000;   -999.000;   0
1946-08-01;--:--;    232.000;   -999.000;   0
1946-09-01;--:--;    137.000;   -999.000;   0
1946-10-01;--:--;     99.000;   -999.000;   0
1946-11-01;--:--;     97.000;   -999.000;   0
1946-12-01;--:--;     88.000;   -999.000;   0
1947-01-01;--:--;     76.000;   -999.000;   0
1947-02-01;--:--;     70.000;   -999.000;   0
1947-03-01;--:--;    117.000;   -999.000;   0
1947-04-01;--:--;    194.000;   -999.000;   0
1947-05-01;--:--;    310.000;   -999.000;   0
1947-06-01;--:--;    409.000;   -999.000;   0
1947-07-01;--:--;    315.000;   -999.000;   0
1947-08-01;--:--;    203.000;   -999.000;   0
1947-09-01;--:--;    135.000;   -999.000;   0
1947-10-01;--:--;     99.000;   -999.000;   0
1947-11-01;--:--;    117.000;   -999.000;   0
1947-12-01;--:--;     86.000;   -999.000;   0
1948-01-01;--:--;     79.000;   -999.000;   0
1948-02-01;--:--;     70.000;   -999.000;   0
1948-03-01;--:--;    117.000;   -999.000;   0
1948-04-01;--:--;    280.000;   -999.000;   0
1948-05-01;--:--;    580.000;   -999.000;   0
1948-06-01;--:--;    618.000;   -999.000;   0
1948-07-01;--:--;    578.000;   -999.000;   0
1948-08-01;--:--;    281.000;   -999.000;   0
1948-09-01;--:--;    151.000;   -999.000;   0
1948-10-01;--:--;    105.000;   -999.000;   0
1948-11-01;--:--;     85.000;   -999.000;   0
1948-12-01;--:--;     78.000;   -999.000;   0
1949-01-01;--:--;     70.000;   -999.000;   0
1949-02-01;--:--;     66.000;   -999.000;   0
1949-03-01;--:--;     84.000;   -999.000;   0
1949-04-01;--:--;    248.000;   -999.000;   0
1949-05-01;--:--;    602.000;   -999.000;   0
1949-06-01;--:--;    680.000;   -999.000;   0
1949-07-01;--:--;    587.000;   -999.000;   0
1949-08-01;--:--;    300.000;   -999.000;   0
1949-09-01;--:--;    164.000;   -999.000;   0
1949-10-01;--:--;    111.000;   -999.000;   0
1949-11-01;--:--;     88.000;   -999.000;   0
1949-12-01;--:--;     72.000;   -999.000;   0
1950-01-01;--:--;     66.000;   -999.000;   0
1950-02-01;--:--;     59.000;   -999.000;   0
1950-03-01;--:--;     80.000;   -999.000;   0
1950-04-01;--:--;    121.000;   -999.000;   0
1950-05-01;--:--;    364.000;   -999.000;   0
1950-06-01;--:--;    461.000;   -999.000;   0
1950-07-01;--:--;    312.000;   -999.000;   0
1950-08-01;--:--;    200.000;   -999.000;   0
1950-09-01;--:--;    115.000;   -999.000;   0
1950-10-01;--:--;     84.000;   -999.000;   0
1950-11-01;--:--;     72.000;   -999.000;   0
1950-12-01;--:--;     67.000;   -999.000;   0
1951-01-01;--:--;     60.000;   -999.000;   0
1951-02-01;--:--;     54.000;   -999.000;   0
1951-03-01;--:--;     74.000;   -999.000;   0
1951-04-01;--:--;    164.000;   -999.000;   0
