# Title:                 GRDC STATION DATA FILE
#                        --------------
# Format:                DOS-ASCII
# Field delimiter:       ;
# missing values are indicated by -999.000
#
# file generation date:  2025-09-02
#
# GRDC-No.:              2817100
# River:                 AMU DARYA
# Station:               CHATLY
# Country:               UZ
# Latitude (DD):       42.28
# Longitude (DD):      59.7
# Catchment area (km²):      450000.0
# Altitude (m ASL):        72.0
# Next downstream station:      -
# Remarks:               
# Owner of original data: Initial dataset collected in the framework of the First GARP Global Experiment (FGGE)
#************************************************************
#
# Data Set Content:      MEAN MONTHLY DISCHARGE (MQ)
#                        --------------------
# Unit of measure:                  m³/s
# Time series:           1931 - 1973
# No. of years:          43
# Last update:           2018-05-29
#
# Table Header:
#     YYYY-MM-DD - Date (DD=00)
#     hh:mm      - Time
#     Original   - original (provided) data
#     Calculated - GRDC calculated from daily data
#     Flag       - percentage of valid values used for calculation from daily data
#************************************************************
#
# Data lines: 516
# DATA
YYYY-MM-DD;hh:mm; Original; Calculated; Flag
1931-01-01;--:--;    607.000;   -999.000;   0
1931-02-01;--:--;    790.000;   -999.000;   0
1931-03-01;--:--;    846.000;   -999.000;   0
1931-04-01;--:--;   1090.000;   -999.000;   0
1931-05-01;--:--;   2020.000;   -999.000;   0
1931-06-01;--:--;   2340.000;   -999.000;   0
1931-07-01;--:--;   3200.000;   -999.000;   0
1931-08-01;--:--;   3300.000;   -999.000;   0
1931-09-01;--:--;   2490.000;   -999.000;   0
1931-10-01;--:--;   1400.000;   -999.000;   0
1931-11-01;--:--;    969.000;   -999.000;   0
1931-12-01;--:--;    872.000;   -999.000;   0
1932-01-01;--:--;    782.000;   -999.000;   0
1932-02-01;--:--;    715.000;   -999.000;   0
1932-03-01;--:--;    656.000;   -999.000;   0
1932-04-01;--:--;    966.000;   -999.000;   0
1932-05-01;--:--;   1580.000;   -999.000;   0
1932-06-01;--:--;   2970.000;   -999.000;   0
1932-07-01;--:--;   3660.000;   -999.000;   0
1932-08-01;--:--;   3180.000;   -999.000;   0
1932-09-01;--:--;   1630.000;   -999.000;   0
1932-10-01;--:--;   1080.000;   -999.000;   0
1932-11-01;--:--;    788.000;   -999.000;   0
1932-12-01;--:--;    791.000;   -999.000;   0
1933-01-01;--:--;    560.000;   -999.000;   0
1933-02-01;--:--;    798.000;   -999.000;   0
1933-03-01;--:--;   1030.000;   -999.000;   0
1933-04-01;--:--;    833.000;   -999.000;   0
1933-05-01;--:--;   1390.000;   -999.000;   0
1933-06-01;--:--;   2450.000;   -999.000;   0
1933-07-01;--:--;   3220.000;   -999.000;   0
1933-08-01;--:--;   3380.000;   -999.000;   0
1933-09-01;--:--;   1890.000;   -999.000;   0
1933-10-01;--:--;   -999.000;   -999.000;   0
1933-11-01;--:--;   -999.000;   -999.000;   0
1933-12-01;--:--;   -999.000;   -999.000;   0
1934-01-01;--:--;   -999.000;   -999.000;   0
1934-02-01;--:--;   -999.000;   -999.000;   0
1934-03-01;--:--;   -999.000;   -999.000;   0
1934-04-01;--:--;   -999.000;   -999.000;   0
1934-05-01;--:--;   1940.000;   -999.000;   0
1934-06-01;--:--;   4040.000;   -999.000;   0
1934-07-01;--:--;   5760.000;   -999.000;   0
1934-08-01;--:--;   4500.000;   -999.000;   0
1934-09-01;--:--;   2210.000;   -999.000;   0
1934-10-01;--:--;   1330.000;   -999.000;   0
1934-11-01;--:--;    993.000;   -999.000;   0
1934-12-01;--:--;    724.000;   -999.000;   0
